Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-05-02T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 27,Apr 28,Apr 29,Apr 30,May 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 24,Apr 27,Apr 28,Apr 29,Apr 30,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5954.8,5921.5,5818.2,5773.7,5798.8,5808.1,5753.4,25.1,0.43,5954.8,5773.7,-108.0,-1.83,5954.8,5773.7,-34.1,-0.58,5954.8,5278.8,410.2,7.61,5954.8,5278.8,360.0,6.62,51151.6,51568.0,51279.1,50384.7,49999.3,51568.0,49999.3,-1152.3,-2.25,51568.0,49999.3,-498.1,-0.99,51568.0,45110.3,3952.4,8.58,51568.0,43681.7,4874.9,10.80,,
XAF,All Australian 50,6076.2,6040.9,5923.1,5868.4,5889.8,5902.8,5849.3,21.4,0.36,6076.2,5868.4,-136.7,-2.27,6076.2,5868.4,-68.4,-1.15,6081.0,5389.2,391.6,7.12,6081.0,5389.2,318.3,5.71,53739.3,54182.3,53867.4,52816.8,52329.6,54182.3,52329.6,-1409.7,-2.62,54182.3,52329.6,-800.4,-1.51,54222.3,47407.4,3963.2,8.19,54222.3,45852.9,4873.6,10.27,,
XAT,All Australian 200,5926.9,5894.3,5785.2,5736.2,5759.9,5770.7,5715.7,23.7,0.41,5926.9,5736.2,-117.9,-2.01,5926.9,5736.2,-42.6,-0.73,5926.9,5251.9,396.8,7.40,5926.9,5251.9,345.9,6.39,52008.2,52442.3,52154.1,51189.0,50755.7,52442.3,50755.7,-1252.5,-2.41,52442.3,50755.7,-577.6,-1.13,52442.3,45851.2,3934.8,8.40,52442.3,44281.4,4920.1,10.73,,
XTL,S&P/ASX 20,3733.7,3715.7,3641.4,3601.6,3614.6,3624.0,3591.5,13.0,0.36,3733.7,3601.6,-88.2,-2.38,3734.9,3601.6,-65.9,-1.79,3760.5,3321.7,215.8,6.35,3760.5,3321.7,160.0,4.63,64973.5,65514.9,65198.9,63895.6,63196.5,65514.9,63196.5,-1776.9,-2.73,65537.0,63196.5,-1386.0,-2.15,65985.5,57424.2,4440.7,7.56,65985.5,55673.0,5372.6,9.29,,
XFL,S&P/ASX 50,6147.4,6112.8,5993.4,5937.8,5959.5,5972.7,5918.4,21.7,0.37,6147.4,5937.8,-137.8,-2.26,6147.4,5937.8,-67.6,-1.12,6152.9,5453.2,396.1,7.12,6152.9,5453.2,323.9,5.75,54275.3,54720.8,54412.8,53350.7,52854.9,54720.8,52854.9,-1420.4,-2.62,54720.8,52854.9,-795.0,-1.48,54764.7,47882.7,4004.5,8.20,54764.7,46300.1,4937.3,10.30,,
XTO,S&P/ASX 100,4995.1,4966.1,4870.7,4828.7,4848.4,4857.7,4812.2,19.7,0.41,4995.1,4828.7,-106.0,-2.14,4995.1,4828.7,-51.4,-1.05,4996.2,4422.0,335.4,7.43,4996.2,4422.0,305.5,6.72,13340.2,13449.8,13371.6,13114.7,13001.7,13449.8,13001.7,-338.5,-2.54,13449.8,13001.7,-189.6,-1.44,13449.8,11747.2,1012.8,8.45,13449.8,11295.6,1305.5,11.16,,
XJO,S&P/ASX 200,5982.7,5948.5,5838.6,5790.0,5814.4,5825.1,5769.6,24.4,0.42,5982.7,5790.0,-118.9,-2.00,5982.7,5790.0,-46.4,-0.79,5982.7,5299.2,403.4,7.45,5982.7,5299.2,356.3,6.53,52386.0,52822.2,52520.7,51549.8,51120.7,52822.2,51120.7,-1265.3,-2.42,52822.2,51120.7,-616.5,-1.19,52822.2,46166.2,3981.5,8.45,52822.2,44533.8,5007.4,10.86,,
XVI,S&P/ASX 200 VIX,14.406,14.554,16.158,18.084,16.978,17.679,16.736,-1.106,-6.12,18.084,14.406,2.378,16.29,18.084,12.614,2.151,14.51,18.084,12.403,2.397,16.44,19.164,9.309,4.512,36.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5912.7,5879.5,5773.4,5726.3,5750.6,5760.9,5706.3,24.3,0.42,5912.7,5726.3,-113.9,-1.94,5912.7,5726.3,-43.2,-0.75,5912.7,5240.7,401.7,7.51,5912.7,5240.7,351.0,6.50,51584.8,52008.8,51716.7,50783.0,50369.2,52008.8,50369.2,-1215.6,-2.36,52008.8,50369.2,-584.7,-1.15,52008.8,45487.5,3943.6,8.49,52008.8,43915.8,4909.8,10.80,,
XMD,S&P/ASX MidCap 50,5326.4,5288.1,5199.0,5181.2,5218.8,5218.8,5153.7,37.6,0.73,5326.4,5181.2,-64.0,-1.21,5363.8,5181.2,-25.9,-0.49,5363.8,4638.6,471.3,9.93,5363.8,4638.6,687.6,15.17,14548.6,14668.9,14563.2,14317.9,14268.8,14668.9,14268.8,-279.8,-1.92,14759.9,14268.8,-157.1,-1.09,14759.9,12623.2,1349.3,10.44,14759.9,11578.7,2228.4,18.51,,
