Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-08-11T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 6,Aug 7,Aug 8,Aug 9,Aug 10,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 6,Aug 7,Aug 8,Aug 9,Aug 10,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4292.9,4311.4,4332.9,4330.1,4302.8,4336.1,4302.8,-27.3,-0.63,4332.9,4292.9,59.8,1.41,4332.9,4106.0,164.9,3.98,4504.8,4033.4,191.8,4.66,4504.8,3927.6,64.9,1.53,32928.9,33070.3,33235.6,33213.8,33004.8,33235.6,32928.9,458.7,1.41,33235.6,31493.8,1265.7,3.99,34266.8,30869.4,2171.5,7.04,34266.8,29204.1,1934.3,6.23,,
XAF,All Australian 50,4318.1,4337.6,4357.3,4351.9,4315.4,4354.3,4314.4,-36.5,-0.84,4357.3,4315.4,47.3,1.11,4357.3,4093.8,197.6,4.80,4413.6,3983.7,266.3,6.58,4413.6,3853.0,169.9,4.10,33831.2,33984.1,34138.1,34096.3,33810.4,34138.1,33810.4,371.1,1.11,34138.1,32074.1,1548.1,4.80,34251.1,31167.4,2846.7,9.19,34251.1,29181.9,2897.6,9.37,,
XAT,All Australian 200,4257.3,4276.3,4297.0,4294.0,4262.0,4298.2,4261.8,-32.0,-0.75,4297.0,4257.3,55.2,1.31,4297.0,4054.0,177.7,4.35,4426.4,3973.9,211.3,5.22,4426.4,3855.4,92.2,2.21,33227.4,33375.6,33536.6,33513.3,33263.9,33536.6,33227.4,431.3,1.31,33536.6,31640.2,1387.5,4.35,34230.5,30947.5,2388.8,7.74,34230.5,29116.8,2243.1,7.23,,
XTL,S&P/ASX 20,2621.8,2635.1,2652.0,2648.4,2623.2,2649.5,2622.0,-25.2,-0.95,2652.0,2621.8,31.2,1.21,2652.0,2476.9,132.9,5.34,2659.9,2396.0,173.5,7.08,2659.9,2334.2,100.3,3.98,40314.4,40519.2,40779.3,40724.5,40337.2,40779.3,40314.4,481.0,1.21,40779.3,38087.6,2044.1,5.34,40779.3,36842.5,3592.2,9.78,40779.3,34671.5,3479.3,9.44,,
XFL,S&P/ASX 50,4354.2,4373.9,4393.8,4386.7,4350.6,4389.7,4349.5,-36.1,-0.82,4393.8,4350.6,46.7,1.09,4393.8,4128.1,198.6,4.78,4442.6,4010.1,274.1,6.73,4442.6,3876.7,186.1,4.47,34072.0,34225.6,34381.6,34326.1,34043.4,34381.6,34043.4,365.7,1.09,34381.6,32302.5,1553.7,4.78,34434.2,31334.8,2908.0,9.34,34434.2,29332.3,3016.0,9.72,,
XTO,S&P/ASX 100,3512.6,3528.0,3543.5,3539.6,3512.0,3542.4,3511.6,-27.6,-0.78,3543.5,3512.0,40.2,1.16,3543.5,3341.1,148.5,4.41,3618.2,3260.5,195.3,5.89,3618.2,3155.5,110.9,3.26,8333.7,8370.0,8406.8,8397.6,8332.2,8406.8,8332.2,95.4,1.16,8406.8,7926.8,352.3,4.41,8503.6,7719.3,650.6,8.47,8503.6,7240.1,647.4,8.42,,
XJO,S&P/ASX 200,4272.6,4291.6,4312.6,4308.3,4277.3,4313.2,4277.1,-31.0,-0.72,4312.6,4272.6,55.8,1.32,4312.6,4068.0,179.3,4.37,4435.9,3985.0,220.7,5.44,4435.9,3863.9,104.7,2.51,33297.5,33445.4,33609.0,33575.6,33334.2,33609.0,33297.5,435.0,1.32,33609.0,31702.5,1397.5,4.38,34257.1,30989.0,2455.1,7.95,34257.1,29145.7,2328.2,7.51,,
XKO,S&P/ASX 300,4258.1,4276.6,4297.9,4294.1,4263.6,4299.3,4263.6,-30.5,-0.71,4297.9,4258.1,56.2,1.34,4297.9,4057.5,175.3,4.29,4432.4,3977.4,211.3,5.22,4432.4,3860.9,88.1,2.11,33089.3,33233.0,33398.7,33368.9,33132.1,33398.7,33089.3,437.1,1.34,33398.7,31530.2,1363.0,4.29,34136.0,30841.3,2365.6,7.69,34136.0,29050.7,2176.7,7.03,,
XMD,S&P/ASX MidCap 50,3528.8,3539.7,3550.1,3562.7,3549.1,3577.1,3549.1,-13.6,-0.38,3562.7,3528.8,62.6,1.80,3572.3,3452.7,45.2,1.29,3950.9,3435.4,-29.8,-0.83,3961.9,3408.2,-236.0,-6.24,8740.0,8767.1,8792.7,8824.0,8790.5,8824.0,8740.0,155.2,1.80,8847.7,8551.6,112.1,1.29,9693.0,8495.1,128.3,1.48,9693.0,8186.5,-155.1,-1.73,,
XSO,S&P/ASX Small Ords,2124.1,2132.8,2158.5,2161.7,2163.9,2181.2,2161.6,2.2,0.10,2163.9,2124.1,72.7,3.47,2163.9,2044.8,60.4,2.87,2526.6,2044.8,-45.5,-2.06,2526.6,2044.8,-221.4,-9.28,4984.9,5005.3,5065.6,5073.1,5078.3,5078.3,4984.9,170.6,3.48,5078.3,4798.2,142.4,2.89,5892.6,4798.2,-30.5,-0.60,5892.6,4798.2,-354.2,-6.52,,
XDJ,Consumer Discretionary,1261.4,1264.7,1271.5,1253.7,1252.2,1258.4,1252.0,-1.5,-0.12,1271.5,1252.2,5.0,0.40,1271.5,1224.4,22.2,1.81,1313.3,1179.0,79.5,6.78,1313.3,1140.6,57.5,4.82,8853.5,8876.7,8924.0,8799.2,8789.1,8924.0,8789.1,35.2,0.40,8924.0,8593.5,156.2,1.81,9212.9,8076.6,755.6,9.41,9212.9,7636.0,826.8,10.38,,
