Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-12-05T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 30,Dec 1,Dec 2,Dec 3,Dec 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 30,Dec 1,Dec 2,Dec 3,Dec 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5218.2,5312.6,5304.7,5276.7,5201.5,5276.7,5168.9,-75.2,-1.43,5312.6,5201.5,-49.9,-0.95,5326.5,5064.5,-93.4,-1.76,5954.8,4958.1,-187.1,-3.47,5954.8,4958.1,-112.2,-2.11,46555.2,47397.6,47329.1,47080.4,46409.1,47397.6,46409.1,-440.2,-0.94,47510.9,45164.9,-526.1,-1.12,51568.0,43929.2,362.1,0.79,51568.0,43763.4,1088.8,2.40,,
XAF,All Australian 50,5163.1,5265.3,5263.9,5230.9,5156.3,5230.9,5122.1,-74.6,-1.43,5265.3,5156.3,-42.6,-0.82,5269.1,4994.7,-85.5,-1.63,6081.0,4950.0,-341.9,-6.22,6081.0,4950.0,-268.3,-4.95,47612.6,48555.1,48542.0,48237.2,47549.9,48555.1,47549.9,-393.1,-0.82,48581.0,46046.0,-380.0,-0.79,54222.3,45262.3,-816.5,-1.69,54222.3,45262.3,-85.4,-0.18,,
XAT,All Australian 200,5111.9,5211.0,5203.7,5173.3,5098.7,5173.3,5065.6,-74.6,-1.44,5211.0,5098.7,-50.0,-0.97,5222.7,4951.8,-90.8,-1.75,5926.9,4871.4,-264.4,-4.93,5926.9,4871.4,-189.3,-3.58,46669.4,47573.5,47508.4,47232.6,46551.1,47573.5,46551.1,-451.6,-0.96,47669.0,45190.0,-486.1,-1.03,52442.3,44141.5,-269.7,-0.58,52442.3,44141.5,472.5,1.03,,
XTL,S&P/ASX 20,3081.6,3149.0,3154.4,3134.7,3086.8,3134.7,3066.4,-47.9,-1.53,3154.4,3081.6,-17.1,-0.55,3154.4,2981.2,-45.4,-1.45,3760.5,2963.6,-312.0,-9.18,3760.5,2963.6,-266.2,-7.94,56134.8,57362.0,57461.3,57101.4,56229.2,57461.3,56134.8,-310.9,-0.55,57461.3,54305.4,-219.7,-0.39,65985.5,53410.1,-2526.7,-4.30,65985.5,53410.1,-1735.8,-2.99,,
XFL,S&P/ASX 50,5217.8,5321.2,5319.7,5286.6,5211.2,5286.6,5176.5,-75.4,-1.43,5321.2,5211.2,-42.9,-0.82,5325.8,5048.8,-87.2,-1.65,6152.9,5002.4,-352.2,-6.33,6152.9,5002.4,-279.0,-5.08,48032.2,48984.4,48970.6,48665.9,47971.6,48984.4,47971.6,-395.1,-0.82,49018.1,46463.1,-390.9,-0.81,54764.7,45661.4,-878.8,-1.80,54764.7,45661.4,-150.9,-0.31,,
XTO,S&P/ASX 100,4292.2,4374.4,4368.9,4342.5,4279.5,4342.5,4251.4,-63.0,-1.45,4374.4,4279.5,-42.9,-0.99,4385.5,4158.6,-76.3,-1.75,4996.2,4097.0,-233.5,-5.17,4996.2,4097.0,-168.9,-3.80,11933.1,12161.8,12146.4,12073.4,11898.2,12161.8,11898.2,-118.5,-0.99,12189.5,11556.7,-119.4,-0.99,13449.8,11301.0,-90.7,-0.76,13449.8,11301.0,102.1,0.87,,
XJO,S&P/ASX 200,5166.5,5266.1,5258.3,5227.7,5151.6,5227.7,5117.6,-76.1,-1.46,5266.1,5151.6,-51.0,-0.98,5276.4,5003.8,-90.7,-1.73,5982.7,4918.4,-259.4,-4.79,5982.7,4918.4,-183.7,-3.44,47063.2,47970.6,47901.0,47623.3,46930.0,47970.6,46930.0,-459.5,-0.97,48053.0,45562.7,-483.2,-1.02,52822.2,44471.4,-209.3,-0.44,52822.2,44471.4,536.5,1.16,,
XVI,S&P/ASX 200 VIX,17.313,16.825,16.825,17.634,18.333,18.893,18.333,0.699,3.96,18.333,16.825,1.438,8.51,22.346,16.825,-0.650,-3.42,30.244,0.171,3.752,25.73,30.244,0.171,3.385,22.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5120.9,5218.0,5210.3,5181.2,5106.6,5181.2,5073.6,-74.6,-1.44,5218.0,5106.6,-49.3,-0.96,5229.0,4963.4,-89.4,-1.72,5912.7,4873.4,-242.4,-4.53,5912.7,4873.4,-166.2,-3.15,46459.9,47340.8,47271.6,47009.2,46332.0,47340.8,46332.0,-442.6,-0.95,47429.3,45012.8,-480.5,-1.03,52008.8,43892.1,-93.6,-0.20,52008.8,43892.1,654.8,1.43,,
XMD,S&P/ASX MidCap 50,5018.2,5090.6,5048.5,5024.5,4942.8,5024.5,4912.2,-81.7,-1.63,5090.6,4942.8,-113.7,-2.25,5169.4,4907.0,-126.9,-2.50,5363.8,4637.4,195.3,4.11,5363.8,4637.4,307.6,6.64,14103.5,14307.0,14188.6,14124.7,13894.9,14307.0,13894.9,-311.5,-2.19,14512.4,13772.7,-329.0,-2.31,14759.9,12623.2,975.4,7.55,14759.9,12227.2,1307.0,10.38,,
