Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-10T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4379.5,4321.6,4351.3,4338.9,4264.1,4338.9,4248.5,-74.8,-1.72,4379.5,4264.1,-82.2,-1.89,4379.5,4057.6,-142.1,-3.23,5064.9,3927.6,-582.8,-12.02,5064.9,3927.6,-565.9,-11.72,32786.0,32352.5,32576.3,32483.6,31926.1,32786.0,31926.1,-611.2,-1.88,32859.0,30374.1,-932.9,-2.84,36827.4,29204.1,-2886.6,-8.29,36827.4,29204.1,-2717.2,-7.84,,
XAF,All Australian 50,4297.3,4240.3,4271.3,4262.3,4181.9,4262.3,4163.2,-80.4,-1.89,4297.3,4181.9,-84.1,-1.97,4297.3,3962.7,-144.6,-3.34,4939.1,3853.0,-500.3,-10.69,4939.1,3853.0,-524.0,-11.13,32816.7,32380.9,32617.7,32549.5,31935.0,32816.7,31935.0,-642.2,-1.97,32873.3,30261.5,-938.3,-2.85,36488.5,29181.9,-2211.5,-6.48,36488.5,29181.9,-2353.3,-6.86,,
XAT,All Australian 200,4319.1,4259.6,4290.2,4278.7,4200.5,4278.7,4183.9,-78.2,-1.83,4319.1,4200.5,-85.2,-1.99,4319.1,3980.9,-143.1,-3.29,4976.2,3855.4,-550.0,-11.58,4976.2,3855.4,-548.9,-11.56,32860.4,32407.9,32642.6,32555.2,31963.1,32860.4,31963.1,-643.2,-1.97,32902.3,30286.3,-939.3,-2.85,36695.0,29116.8,-2627.9,-7.60,36695.0,29116.8,-2571.2,-7.45,,
XTL,S&P/ASX 20,2599.2,2565.1,2583.5,2575.9,2524.8,2575.9,2511.9,-51.1,-1.98,2599.2,2524.8,-55.4,-2.15,2599.2,2390.0,-96.6,-3.68,2998.7,2334.2,-307.3,-10.85,2998.7,2334.2,-323.6,-11.36,38987.3,38476.0,38752.1,38637.3,37871.8,38987.3,37871.8,-830.5,-2.15,39090.6,35849.6,-1218.8,-3.12,43396.5,34671.5,-2581.8,-6.38,43396.5,34671.5,-2814.6,-6.92,,
XFL,S&P/ASX 50,4323.5,4266.2,4297.3,4288.2,4207.5,4288.2,4188.3,-80.7,-1.88,4323.5,4207.5,-84.2,-1.96,4323.5,3986.5,-142.2,-3.27,4953.4,3876.7,-485.8,-10.35,4953.4,3876.7,-510.6,-10.82,32982.5,32545.7,32782.7,32713.1,32097.9,32982.5,32097.9,-642.4,-1.96,33016.4,30412.0,-918.6,-2.78,36564.0,29332.3,-2104.7,-6.15,36564.0,29332.3,-2255.5,-6.57,,
XTO,S&P/ASX 100,3524.0,3476.9,3502.3,3493.1,3429.0,3493.1,3414.4,-64.1,-1.84,3524.0,3429.0,-68.2,-1.95,3524.0,3248.9,-113.6,-3.21,4049.1,3155.5,-424.3,-11.01,4049.1,3155.5,-433.8,-11.23,8147.6,8038.6,8097.9,8076.7,7929.2,8147.6,7929.2,-156.4,-1.93,8153.6,7511.6,-224.4,-2.75,9067.0,7240.1,-589.3,-6.92,9067.0,7240.1,-598.9,-7.02,,
XJO,S&P/ASX 200,4321.3,4262.0,4292.5,4280.7,4203.0,4280.7,4186.1,-77.7,-1.82,4321.3,4203.0,-85.0,-1.98,4321.3,3984.3,-143.1,-3.29,4971.2,3863.9,-542.2,-11.43,4971.2,3863.9,-542.9,-11.44,32834.6,32383.6,32617.2,32527.7,31940.4,32834.6,31940.4,-640.9,-1.97,32880.0,30273.2,-939.6,-2.86,36617.7,29145.7,-2578.1,-7.47,36617.7,29145.7,-2534.6,-7.35,,
XKO,S&P/ASX 300,4318.5,4259.5,4289.7,4278.6,4201.8,4278.6,4185.1,-76.8,-1.79,4318.5,4201.8,-83.3,-1.94,4318.5,3984.2,-140.4,-3.23,4984.1,3860.9,-559.0,-11.74,4984.1,3860.9,-552.9,-11.63,32728.2,32280.7,32511.8,32427.4,31848.6,32728.2,31848.6,-626.1,-1.93,32768.8,30193.7,-920.2,-2.81,36632.1,29050.7,-2711.8,-7.85,36632.1,29050.7,-2619.0,-7.60,,
XMD,S&P/ASX MidCap 50,3861.3,3805.2,3833.9,3808.0,3752.7,3808.0,3743.5,-55.3,-1.45,3861.3,3752.7,-70.9,-1.85,3870.5,3555.7,-103.0,-2.67,4573.1,3408.2,-714.8,-16.00,4573.1,3408.2,-630.3,-14.38,9286.4,9151.3,9226.4,9164.1,9039.2,9286.4,9039.2,-156.5,-1.70,9305.6,8551.3,-230.9,-2.49,10728.9,8186.5,-1309.4,-12.65,10728.9,8186.5,-1068.8,-10.57,,
XSO,S&P/ASX Small Ords,2427.1,2386.8,2398.7,2392.8,2359.9,2392.8,2354.8,-32.9,-1.37,2427.1,2359.9,-44.8,-1.86,2443.5,2254.8,-85.3,-3.49,2946.3,2137.3,-532.6,-18.41,2946.3,2137.3,-425.8,-15.28,5597.4,5504.5,5531.8,5518.3,5442.7,5597.4,5442.7,-103.1,-1.86,5632.0,5198.4,-189.3,-3.36,6625.3,4915.5,-1059.6,-16.30,6625.3,4915.5,-804.0,-12.87,,
XDJ,Consumer Discretionary,1271.7,1256.7,1258.2,1248.2,1234.6,1248.2,1228.8,-13.6,-1.09,1271.7,1234.6,-24.3,-1.93,1271.7,1188.5,-35.0,-2.76,1557.8,1140.6,-266.2,-17.74,1557.8,1140.6,-262.5,-17.53,8706.5,8603.9,8614.3,8545.8,8452.6,8706.5,8452.6,-166.0,-1.93,8706.5,8136.8,-239.4,-2.75,10210.5,7636.0,-1329.8,-13.59,10210.5,7636.0,-1305.7,-13.38,,
XSJ,Consumer Staples,7765.2,7672.0,7719.4,7689.9,7624.0,7689.9,7581.5,-65.9,-0.86,7765.2,7624.0,-121.9,-1.57,7765.2,7403.6,-79.0,-1.03,8013.9,7011.2,-90.5,-1.17,8013.9,7011.2,11.9,0.16,56761.7,56080.5,56426.5,56211.4,55789.4,56761.7,55789.4,-830.8,-1.47,56761.7,54101.0,-499.1,-0.89,56761.7,49979.4,1991.6,3.70,56761.7,49979.4,2706.1,5.10,,
