Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-09-05T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 31,Sep 1,Sep 2,Sep 3,Sep 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 31,Sep 1,Sep 2,Sep 3,Sep 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5222.1,5117.1,5119.4,5048.7,5060.8,5088.1,5017.3,11.9,0.24,5222.1,5048.7,-213.9,-4.06,5659.5,5014.2,-621.1,-10.93,5954.8,5014.2,-327.8,-6.08,5954.8,5014.2,-538.2,-9.61,45970.2,45067.2,45109.0,44497.5,44617.2,45970.2,44497.5,-1803.6,-3.89,49591.0,43952.0,-4973.8,-10.03,51568.0,43952.0,-1429.7,-3.10,51568.0,43681.7,-2703.9,-5.71,,
XAF,All Australian 50,5258.0,5146.1,5155.0,5082.5,5093.8,5122.5,5049.2,12.0,0.24,5258.0,5082.5,-228.1,-4.29,5765.1,5053.0,-695.2,-12.01,6081.0,5053.0,-404.4,-7.36,6081.0,5053.0,-595.0,-10.46,47798.2,46798.6,46887.4,46234.0,46350.3,47798.2,46234.0,-2028.8,-4.19,52104.5,45714.6,-5754.2,-11.04,54222.3,45714.6,-2016.1,-4.17,54222.3,45714.6,-3144.3,-6.35,,
XAT,All Australian 200,5158.8,5049.4,5053.7,4980.2,4992.6,5021.1,4948.2,12.8,0.26,5158.8,4980.2,-222.6,-4.27,5622.3,4953.3,-653.0,-11.57,5926.9,4953.3,-370.5,-6.91,5926.9,4953.3,-565.0,-10.17,46455.4,45490.9,45549.1,44895.6,45018.2,46455.4,44895.6,-1932.6,-4.12,50372.7,44404.7,-5354.5,-10.63,52442.3,44404.7,-1802.7,-3.85,52442.3,44281.4,-2969.2,-6.19,,
XTL,S&P/ASX 20,3178.6,3104.8,3113.4,3070.0,3075.3,3092.7,3050.4,4.7,0.15,3178.6,3070.0,-149.4,-4.63,3518.8,3049.9,-459.1,-12.99,3760.5,3049.9,-323.4,-9.52,3760.5,3049.9,-441.2,-12.55,56940.1,55646.2,55800.2,55021.8,55118.2,56940.1,55021.8,-2649.1,-4.59,62582.1,54356.5,-7463.9,-11.93,65985.5,54356.5,-3637.7,-6.19,65985.5,54356.5,-5009.5,-8.33,,
XFL,S&P/ASX 50,5313.6,5200.5,5209.2,5136.2,5147.7,5176.8,5102.4,12.2,0.24,5313.6,5136.2,-230.6,-4.29,5829.2,5105.8,-706.0,-12.06,6152.9,5105.8,-415.7,-7.47,6152.9,5105.8,-608.0,-10.56,48218.3,47209.9,47296.8,46640.4,46758.6,48218.3,46640.4,-2047.0,-4.19,52594.9,46111.2,-5836.3,-11.10,54764.7,46111.2,-2091.9,-4.28,54764.7,46111.2,-3224.6,-6.45,,
XTO,S&P/ASX 100,4342.2,4251.1,4257.4,4197.6,4207.4,4231.9,4170.8,10.6,0.25,4342.2,4197.6,-184.3,-4.20,4742.6,4171.5,-554.7,-11.65,4996.2,4171.5,-305.6,-6.77,4996.2,4171.5,-442.0,-9.51,11907.3,11663.3,11684.2,11522.0,11551.8,11907.3,11522.0,-488.1,-4.05,12934.0,11386.2,-1382.2,-10.69,13449.8,11386.2,-437.1,-3.65,13449.8,11295.6,-664.9,-5.44,,
XJO,S&P/ASX 200,5207.0,5096.4,5101.5,5027.8,5040.6,5069.2,4995.6,13.2,0.26,5207.0,5027.8,-223.0,-4.24,5674.0,5001.3,-657.3,-11.54,5982.7,5001.3,-370.4,-6.85,5982.7,5001.3,-558.1,-9.97,46787.7,45814.7,45880.0,45226.2,45352.7,46787.7,45226.2,-1931.7,-4.09,50730.5,44738.2,-5377.8,-10.60,52822.2,44738.2,-1786.5,-3.79,52822.2,44533.8,-2888.6,-5.99,,
XVI,S&P/ASX 200 VIX,26.079,30.244,29.006,29.486,29.231,30.219,29.051,-0.255,-0.86,30.244,26.079,5.886,25.21,30.244,15.444,14.121,93.45,30.244,0.171,14.650,100.47,30.244,0.171,17.217,143.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5152.7,5044.6,5048.9,4976.4,4989.5,5016.9,4945.1,13.0,0.26,5152.7,4976.4,-218.4,-4.19,5609.5,4950.1,-643.1,-11.42,5912.7,4950.1,-359.4,-6.72,5912.7,4950.1,-553.4,-9.98,46116.4,45169.4,45227.6,44587.8,44716.1,46116.4,44587.8,-1881.7,-4.04,49955.9,44107.5,-5239.8,-10.49,52008.8,44107.5,-1709.4,-3.68,52008.8,43915.8,-2866.6,-6.02,,
XMD,S&P/ASX MidCap 50,4835.2,4746.0,4745.8,4677.4,4691.5,4731.7,4656.2,17.3,0.37,4835.2,4677.4,-169.6,-3.49,5103.3,4637.4,-428.3,-8.37,5363.8,4637.4,-56.0,-1.18,5363.8,4637.4,-31.0,-0.66,13460.7,13227.9,13246.5,13062.1,13101.5,13460.7,13062.1,-401.5,-2.97,14153.0,12865.0,-1051.5,-7.43,14759.9,12623.2,182.0,1.41,14759.9,11578.7,377.9,2.97,,
