Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-10-02T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 27,Sep 28,Sep 29,Sep 30,Oct 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 27,Sep 28,Sep 29,Sep 30,Oct 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1563.8,1559.1,1554.1,1537.7,1531.1,1542.5,1527.6,-6.6,-0.43,1563.8,1531.1,-14.0,-0.91,1569.5,1513.0,20.5,1.36,1670.5,1424.3,-105.7,-6.46,1670.5,1424.3,-55.6,-3.50,10149.7,10119.1,10086.3,9980.1,9937.5,10149.7,9937.5,-69.7,-0.70,10149.7,9709.0,228.5,2.35,10680.0,9106.3,-340.7,-3.32,10680.0,9106.3,8.8,0.09,,
XSJ,Consumer Staples,8415.1,8395.4,8262.8,8127.9,8143.3,8204.0,8083.2,15.4,0.19,8415.1,8127.9,-106.4,-1.29,8415.1,8117.4,93.2,1.16,8415.1,7095.7,334.0,4.28,8415.1,7095.7,808.9,11.03,58402.4,58265.7,57386.5,56450.2,56556.8,58402.4,56450.2,-697.7,-1.22,58402.4,55447.5,1109.2,2.00,58402.4,47464.4,4318.6,8.27,58402.4,47464.4,7547.3,15.40,,
XEJ,Energy,15307.0,15243.4,15152.4,14989.3,15081.8,15089.5,14974.0,92.5,0.62,15307.0,14989.3,-11.8,-0.08,15307.0,14642.4,170.1,1.14,16753.3,13714.7,-1037.4,-6.44,16907.8,13714.7,-1078.7,-6.67,99827.4,99412.5,98819.0,97755.7,98359.0,99827.4,97755.7,-76.6,-0.08,99827.4,95456.6,1160.7,1.19,106793.3,88395.3,-4392.1,-4.27,107707.9,88395.3,-4534.9,-4.41,,
XFJ,Financials,4518.5,4523.5,4485.4,4411.1,4377.0,4439.6,4355.6,-34.1,-0.77,4523.5,4377.0,-57.3,-1.29,4531.6,4366.4,39.3,0.91,5040.0,4077.7,-426.6,-8.88,5058.4,4077.7,-374.8,-7.89,36721.1,36761.7,36452.0,35848.5,35571.0,36761.7,35571.0,-465.8,-1.29,36814.2,35199.3,371.6,1.06,39826.8,32702.7,-1948.2,-5.19,39826.8,32702.7,-1037.8,-2.83,,
XXJ,Financials-x-A-REIT,5242.2,5248.7,5200.8,5105.0,5059.6,5139.4,5032.2,-45.4,-0.89,5248.7,5059.6,-72.7,-1.42,5248.7,5011.1,81.0,1.63,5934.6,4674.3,-547.8,-9.77,5934.6,4674.3,-452.1,-8.20,40835.9,40886.1,40512.8,39766.8,39413.0,40886.1,39413.0,-566.5,-1.42,40886.1,38726.0,687.0,1.77,44955.1,35932.3,-2625.8,-6.25,44955.1,35932.3,-1354.9,-3.32,,
XHJ,Health Care,8362.0,8322.5,8287.1,8246.2,8202.0,8278.1,8168.0,-44.2,-0.54,8362.0,8202.0,-133.1,-1.60,8388.6,8049.1,-40.1,-0.49,9195.2,7848.5,-550.5,-6.29,9195.2,7848.5,-452.4,-5.23,48507.7,48278.4,48073.4,47835.9,47579.4,48507.7,47579.4,-722.1,-1.49,48507.7,46644.3,386.1,0.82,52486.9,44799.6,-1754.5,-3.56,52486.9,44799.6,-1156.5,-2.37,,
XNJ,Industrials,3740.3,3743.1,3746.1,3710.5,3700.4,3728.8,3688.7,-10.1,-0.27,3746.1,3700.4,18.8,0.51,3746.1,3556.8,149.6,4.21,4145.5,3140.1,-304.7,-7.61,4145.5,3140.1,-78.7,-2.08,27368.6,27388.8,27411.0,27150.6,27083.3,27411.0,27083.3,144.3,0.54,27411.0,25800.6,1282.7,4.97,29527.1,22749.0,-1443.5,-5.06,29527.1,22749.0,311.9,1.17,,
XIJ,Info Technology,608.8,613.4,605.5,596.7,599.0,604.1,594.8,2.3,0.39,613.4,596.7,0.0,0.00,613.4,579.9,12.9,2.21,736.7,559.3,-73.7,-10.95,736.7,559.3,-34.4,-5.44,3580.0,3607.0,3560.3,3508.4,3522.1,3607.0,3508.4,-0.0,-0.00,3607.0,3391.8,94.0,2.74,4262.9,3236.2,-316.6,-8.25,4262.9,3236.2,-92.7,-2.56,,
XMJ,Materials,12604.9,12541.6,12557.1,12429.8,12522.9,12580.3,12430.3,93.1,0.75,12604.9,12429.8,101.2,0.81,12604.9,12080.0,526.5,4.39,13373.9,10889.1,-254.3,-1.99,13373.9,10865.5,1672.0,15.41,79772.5,79371.6,79470.1,78664.0,79263.7,79772.5,78664.0,692.6,0.88,79772.5,75296.3,3967.4,5.27,83367.2,68188.9,-55.9,-0.07,83367.2,67373.6,11980.7,17.81,,
XPJ,A-REIT,873.4,873.8,869.8,864.2,862.9,868.9,860.5,-1.3,-0.15,873.8,862.9,-5.4,-0.62,908.7,862.9,-24.8,-2.79,920.6,813.8,-34.4,-3.83,962.2,813.8,-57.7,-6.26,19818.6,19827.2,19736.8,19610.2,19579.6,19827.2,19579.6,-123.2,-0.63,20582.4,19579.6,-527.5,-2.62,20582.4,17970.7,146.5,0.75,20582.4,17887.8,-68.6,-0.35,,
XTJ,Telecommunications,918.2,930.5,924.9,904.8,911.0,917.6,904.7,6.2,0.69,930.5,904.8,-8.8,-0.95,989.0,904.8,-49.8,-5.18,1182.5,904.8,-264.3,-22.49,1205.3,904.8,-209.4,-18.69,8567.4,8681.5,8629.5,8441.9,8499.6,8681.5,8441.9,-82.2,-0.96,9227.4,8441.9,-464.8,-5.18,10067.0,8441.9,-1506.0,-15.05,10261.1,8441.9,-1013.9,-10.66,,
XUJ,Utilities,4496.9,4480.9,4491.4,4473.6,4448.0,4478.6,4446.1,-25.6,-0.57,4496.9,4448.0,32.8,0.74,4496.9,4313.0,162.7,3.80,4577.1,3998.4,120.0,2.77,4577.1,3998.4,317.8,7.69,38580.0,38442.6,38532.3,38380.1,38160.5,38580.0,38160.5,282.0,0.74,38580.0,36327.6,1832.9,5.05,38580.0,33266.4,2831.8,8.02,38580.0,32862.8,4890.3,14.70,,
XMM,Metals & Mining,4541.7,4515.2,4523.1,4478.1,4517.5,4539.9,4478.1,39.4,0.88,4541.7,4478.1,45.5,1.02,4541.7,4315.9,240.0,5.61,4772.8,3866.0,-18.2,-0.40,4772.8,3840.2,684.8,17.87,5933.6,5899.0,5909.3,5850.5,5902.9,5933.6,5850.5,63.8,1.09,5933.6,5542.5,360.3,6.50,6174.4,5001.6,85.2,1.46,6174.4,4924.7,987.8,20.10,,
XGD,Gold,7652.2,7560.9,7664.6,7603.0,7611.4,7647.5,7589.4,8.4,0.11,7664.6,7560.9,-45.8,-0.60,7887.8,7046.9,571.8,8.12,7887.8,5090.0,1754.8,29.96,7887.8,5090.0,2496.7,48.81,8683.9,8580.4,8698.1,8628.2,8637.7,8698.1,8580.4,-24.5,-0.28,8923.1,7959.5,678.3,8.52,8923.1,5742.7,2033.1,30.78,8923.1,5742.7,2876.0,49.91,,
XJR,Resources,5321.2,5292.2,5290.7,5236.4,5279.5,5298.1,5236.5,43.1,0.82,5321.2,5236.4,37.5,0.72,5321.2,5107.0,210.3,4.15,5684.5,4611.8,-142.9,-2.64,5684.5,4611.8,492.5,10.29,25986.4,25845.2,25837.8,25572.4,25786.0,25986.4,25572.4,198.0,0.77,25986.4,24592.1,1193.9,4.85,27346.9,22285.5,-173.5,-0.67,27346.9,22285.5,2878.2,12.56,,
,
