Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-03-16T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 11,Mar 12,Mar 13,Mar 14,Mar 15,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5160.0,5128.6,5104.4,5043.8,5129.3,5129.3,5043.8,85.5,1.70,5160.0,5043.8,-8.2,-0.16,5160.0,4998.6,74.7,1.48,5160.0,4712.3,464.7,9.96,5160.0,4033.4,764.6,17.52,40968.7,40719.6,40528.6,40048.2,40728.9,40968.7,40048.2,-60.4,-0.15,40968.7,39461.8,989.0,2.49,40968.7,37020.3,4086.3,11.15,40968.7,30869.4,7586.5,22.89,,
XAF,All Australian 50,5214.1,5189.4,5162.4,5099.9,5190.5,5190.5,5099.9,90.6,1.78,5214.1,5099.9,-0.4,-0.01,5214.1,5050.8,99.4,1.95,5214.1,4733.5,492.8,10.49,5214.1,3983.7,964.1,22.81,42412.3,42211.4,41991.3,41483.4,42220.1,42412.3,41483.4,-3.5,-0.01,42412.3,40849.3,1260.7,3.08,42412.3,38052.6,4457.9,11.81,42412.3,31167.4,9459.2,28.87,,
XAT,All Australian 200,5124.5,5095.7,5070.4,5010.3,5098.8,5098.8,5010.3,88.5,1.77,5124.5,5010.3,-3.3,-0.06,5124.5,4959.7,84.6,1.69,5124.5,4671.7,467.5,10.09,5124.5,3973.9,831.7,19.49,41464.3,41231.7,41027.1,40541.0,41257.8,41464.3,40541.0,-25.4,-0.06,41464.3,39902.4,1105.4,2.75,41464.3,37380.5,4203.4,11.34,41464.3,30947.5,8305.4,25.20,,
XTL,S&P/ASX 20,3194.6,3180.3,3159.3,3120.0,3178.3,3178.3,3120.0,58.3,1.87,3194.6,3120.0,-5.3,-0.17,3194.6,3086.1,58.8,1.88,3194.6,2885.8,311.7,10.87,3194.6,2396.0,643.2,25.37,51048.3,50819.9,50484.8,49856.1,50789.1,51048.3,49856.1,-84.4,-0.17,51048.3,49063.2,1504.9,3.05,51048.3,45563.7,5529.8,12.22,51048.3,36842.5,12233.3,31.73,,
XFL,S&P/ASX 50,5262.4,5237.3,5210.1,5147.2,5238.3,5238.3,5147.2,91.1,1.77,5262.4,5147.2,0.2,0.00,5262.4,5096.0,103.2,2.01,5262.4,4770.1,505.7,10.68,5262.4,4010.1,982.2,23.08,42743.5,42539.4,42318.5,41807.3,42547.6,42743.5,41807.3,1.6,0.00,42743.5,41155.5,1289.9,3.13,42743.5,38295.2,4555.8,11.99,42743.5,31334.8,9596.7,29.12,,
XTO,S&P/ASX 100,4246.4,4223.7,4202.0,4152.5,4225.0,4225.0,4152.5,72.5,1.75,4246.4,4152.5,-2.2,-0.05,4246.4,4109.0,80.5,1.94,4246.4,3855.7,404.3,10.58,4246.4,3260.5,747.5,21.50,10448.8,10392.9,10339.4,10217.8,10396.1,10448.8,10217.8,-5.5,-0.05,10448.8,10053.7,305.2,3.02,10448.8,9380.5,1101.3,11.85,10448.8,7719.3,2233.7,27.37,,
XJO,S&P/ASX 200,5146.9,5117.9,5092.4,5032.2,5120.2,5120.2,5032.2,88.0,1.75,5146.9,5032.2,-3.2,-0.06,5146.9,4980.1,86.3,1.71,5146.9,4690.3,471.3,10.14,5146.9,3985.0,844.0,19.74,41574.2,41339.6,41134.0,40648.3,41360.2,41574.2,40648.3,-24.5,-0.06,41574.2,39999.0,1115.7,2.77,41574.2,37467.1,4225.6,11.38,41574.2,30989.0,8385.5,25.43,,
XKO,S&P/ASX 300,5118.9,5089.7,5064.2,5004.4,5091.4,5091.4,5004.4,87.0,1.74,5118.9,5004.4,-4.1,-0.08,5118.9,4953.8,82.6,1.65,5118.9,4669.1,465.1,10.05,5118.9,3977.4,811.9,18.97,41215.7,40980.5,40775.0,40293.9,40995.6,41215.7,40293.9,-31.4,-0.08,41215.7,39662.8,1075.1,2.69,41215.7,37184.2,4155.5,11.28,41215.7,30841.3,8086.0,24.57,,
XMD,S&P/ASX MidCap 50,4276.0,4232.2,4212.3,4174.1,4237.6,4237.6,4174.1,63.5,1.52,4276.0,4174.1,-23.0,-0.54,4276.0,4111.3,57.3,1.37,4276.0,3914.1,374.6,9.70,4276.0,3435.4,349.2,8.98,10906.4,10794.6,10743.9,10646.5,10808.6,10906.4,10646.5,-58.5,-0.54,10906.4,10432.5,228.7,2.16,10906.4,9898.6,1039.3,10.64,10906.4,8495.1,1286.3,13.51,,
XSO,S&P/ASX Small Ords,2391.8,2367.5,2359.3,2330.1,2369.1,2369.1,2330.1,39.0,1.67,2391.8,2330.1,-9.8,-0.41,2406.8,2317.4,-45.4,-1.88,2414.5,2304.9,88.4,3.88,2525.0,2044.8,-137.4,-5.48,5747.9,5689.7,5670.1,5600.8,5696.0,5747.9,5600.8,-20.9,-0.37,5770.0,5541.0,-73.9,-1.28,5770.0,5503.0,251.2,4.61,5892.6,4798.2,-141.6,-2.43,,
