Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-30T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 25,Nov 26,Nov 27,Nov 28,Nov 29,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5346.1,5350.6,5324.9,5326.6,5314.3,5331.4,5302.0,-12.3,-0.23,5350.6,5314.3,-16.0,-0.30,5426.0,5284.3,-96.4,-1.78,5437.3,5437.3,649.7,13.93,5437.3,5437.3,796.3,17.62,43701.0,43738.9,43528.7,43543.0,43445.9,43738.9,43445.9,-126.0,-0.29,44158.9,43194.6,-529.6,-1.20,44191.5,37020.3,6803.3,18.57,44191.5,35378.3,8019.3,22.64,,
XAF,All Australian 50,5467.0,5474.3,5455.2,5456.7,5445.2,5463.5,5430.1,-11.5,-0.21,5474.3,5445.2,-7.5,-0.14,5560.4,5407.7,-93.7,-1.69,5561.2,5561.2,747.5,15.91,5561.2,5561.2,896.0,19.70,45883.8,45945.7,45784.8,45797.3,45700.9,45945.7,45700.9,-63.6,-0.14,46381.3,45386.1,-449.9,-0.97,46381.3,38052.6,7938.7,21.02,46381.3,36558.6,9180.8,25.14,,
XAT,All Australian 200,5308.9,5313.7,5289.5,5290.3,5276.4,5295.1,5263.9,-13.9,-0.26,5313.7,5276.4,-16.3,-0.31,5391.1,5245.7,-97.3,-1.81,5399.5,5399.5,645.1,13.93,5399.5,5399.5,788.4,17.57,44274.1,44316.2,44113.6,44120.8,44008.5,44316.2,44008.5,-130.4,-0.30,44742.6,43745.7,-519.9,-1.17,44742.6,37380.5,6954.1,18.77,44742.6,35829.8,8164.4,22.78,,
XTL,S&P/ASX 20,3371.5,3379.5,3369.7,3371.7,3365.7,3377.7,3356.6,-6.0,-0.18,3379.5,3365.7,-0.9,-0.03,3445.1,3339.4,-64.9,-1.89,3445.1,3445.1,499.1,17.41,3445.1,3445.1,594.5,21.45,55669.0,55799.6,55638.3,55672.0,55572.7,55799.6,55572.7,-13.8,-0.02,56458.8,55138.8,-586.7,-1.04,56458.8,45563.7,10313.5,22.79,56458.8,43852.0,11819.0,27.01,,
XFL,S&P/ASX 50,5532.4,5539.5,5520.7,5522.4,5511.0,5529.5,5495.8,-11.4,-0.21,5539.5,5511.0,-6.8,-0.12,5627.4,5472.2,-94.9,-1.69,5628.4,5628.4,778.4,16.45,5628.4,5628.4,926.9,20.22,46356.6,46416.0,46259.0,46272.5,46177.4,46416.0,46177.4,-57.3,-0.12,46862.3,45851.9,-456.6,-0.98,46862.3,38295.2,8185.6,21.55,46862.3,36789.5,9425.8,25.65,,
XTO,S&P/ASX 100,4446.2,4449.6,4432.9,4434.9,4422.9,4439.5,4413.0,-12.0,-0.27,4449.6,4422.9,-8.9,-0.20,4511.5,4393.6,-71.7,-1.60,4513.5,4513.5,602.2,15.76,4513.5,4513.5,719.3,19.42,11277.9,11286.9,11244.5,11249.5,11220.2,11286.9,11220.2,-21.2,-0.19,11384.6,11144.5,-104.9,-0.93,11384.6,9380.5,1925.5,20.72,11384.6,8994.7,2226.0,24.75,,
XJO,S&P/ASX 200,5352.8,5357.0,5332.9,5334.3,5320.0,5339.2,5308.1,-14.3,-0.27,5357.0,5320.0,-15.9,-0.30,5433.8,5288.3,-95.5,-1.76,5441.4,5441.4,671.1,14.43,5441.4,5441.4,814.0,18.06,44552.8,44589.1,44388.2,44400.4,44285.1,44589.1,44285.1,-126.8,-0.29,45009.1,44014.6,-505.3,-1.13,45009.1,37467.1,7150.6,19.26,45009.1,35910.0,8355.9,23.26,,
XVI,S&P/ASX 200 VIX,12.921,12.693,12.785,12.841,12.822,13.253,12.635,-0.019,-0.15,12.921,12.693,-0.636,-4.73,14.718,12.182,0.465,3.76,21.700,11.776,-4636.128,-99.72,21.700,11.776,-4493.214,-99.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5303.0,5307.3,5282.7,5284.1,5271.2,5289.2,5258.9,-12.9,-0.24,5307.3,5271.2,-16.2,-0.31,5384.6,5240.8,-98.5,-1.83,5395.3,5395.3,644.9,13.94,5395.3,5395.3,786.2,17.53,43987.7,44024.5,43820.2,43832.3,43728.7,44024.5,43728.7,-129.4,-0.30,44452.6,43470.5,-535.6,-1.21,44475.2,37184.2,6888.6,18.70,44475.2,35623.4,8076.9,22.66,,
XMD,S&P/ASX MidCap 50,4322.6,4306.3,4275.5,4283.6,4247.8,4284.3,4239.2,-35.8,-0.84,4322.6,4247.8,-37.8,-0.88,4326.4,4221.3,-30.5,-0.71,4326.4,4326.4,384.8,9.96,4326.4,4326.4,479.2,12.72,11289.4,11250.7,11170.4,11191.5,11107.8,11289.4,11107.8,-84.8,-0.76,11293.7,11019.3,-50.0,-0.45,11293.7,9756.1,1338.5,13.70,11293.7,9400.7,1628.0,17.17,,
