Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-29T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 24,Aug 25,Aug 26,Aug 27,Aug 28,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1749.2,1783.3,1786.0,1812.5,1818.3,1837.5,1809.1,5.8,0.32,1818.3,1749.2,5.4,0.30,1919.9,1749.2,-37.4,-2.02,2021.0,1713.3,65.0,3.71,2021.0,1713.3,-31.8,-1.72,13724.1,13996.0,14025.2,14236.0,14296.6,14296.6,13724.1,73.2,0.51,15008.4,13724.1,-210.2,-1.45,15772.9,13162.6,826.8,6.14,15772.9,12935.8,262.0,1.87,,
XSJ,Consumer Staples,8302.0,8467.3,8524.8,8654.3,8747.6,8789.4,8649.0,93.3,1.08,8747.6,8302.0,202.7,2.37,9109.4,8302.0,-36.3,-0.41,10122.8,8302.0,-425.5,-4.64,10122.8,8302.0,-1304.8,-12.98,70608.3,72986.1,73565.7,74702.5,75507.7,75507.7,70608.3,2834.2,3.90,77474.9,70608.3,801.3,1.07,85291.5,70608.3,-1001.1,-1.31,85291.5,70608.3,-7539.4,-9.08,,
XEJ,Energy,8606.0,8660.5,8903.9,9044.5,9376.8,9501.9,9044.5,332.3,3.67,9376.8,8606.0,206.9,2.26,10996.4,8606.0,-1333.0,-12.45,12090.7,8606.0,-2224.6,-19.18,12090.7,8606.0,-5626.9,-37.50,64339.7,65069.3,67839.8,68911.0,71442.7,71442.7,64339.7,2887.5,4.21,82210.8,64339.7,-8625.6,-10.77,90391.5,64339.7,-12861.6,-15.26,111140.9,64339.7,-37353.9,-34.33,,
XFJ,Financials,5737.6,5958.9,5993.8,6058.7,6048.4,6122.0,5992.6,-10.3,-0.17,6058.7,5737.6,33.7,0.56,6683.8,5737.6,-511.0,-7.79,7186.4,5737.6,-207.0,-3.31,7186.4,5737.6,-258.4,-4.10,61840.9,64225.6,64636.8,65355.8,65243.9,65355.8,61840.9,417.2,0.64,71443.2,61840.9,-4868.9,-6.94,75638.7,61840.9,4.8,0.01,75638.7,59639.1,643.4,1.00,,
XXJ,Financial-x-A-REIT,6561.9,6822.0,6877.6,6946.5,6936.9,7021.3,6872.0,-9.6,-0.14,6946.5,6561.9,35.7,0.52,7739.1,6561.9,-653.5,-8.61,8394.2,6561.9,-345.3,-4.74,8394.2,6561.9,-462.8,-6.25,67762.0,70448.3,71066.4,71803.7,71704.3,71803.7,67762.0,438.2,0.61,79262.9,67762.0,-6035.3,-7.76,84666.9,67762.0,-1068.1,-1.47,84666.9,66776.9,-905.2,-1.25,,
XHJ,Health Care,17804.8,18172.6,18119.6,18634.8,18597.0,18749.9,18509.7,-37.8,-0.20,18634.8,17804.8,377.0,2.07,19877.6,17804.8,-522.2,-2.73,19933.9,17005.1,1109.8,6.35,19933.9,17005.1,3094.9,19.96,115207.8,117587.3,117320.9,120657.0,120412.2,120657.0,115207.8,2518.0,2.14,128489.8,115207.8,-3175.6,-2.57,128804.9,108911.1,8413.5,7.51,128804.9,95128.7,22084.2,22.46,,
XNJ,Industrials,4442.7,4546.9,4548.7,4590.7,4577.3,4616.6,4560.0,-13.4,-0.29,4590.7,4442.7,-13.8,-0.30,4862.9,4442.7,-177.4,-3.73,4968.2,4233.2,255.5,5.91,4968.2,4233.2,325.1,7.65,38797.9,39708.5,39724.0,40098.5,40099.2,40099.2,38797.9,5.1,0.01,42445.7,38797.9,-1402.4,-3.38,43057.2,36323.0,3015.6,8.13,43057.2,32870.0,4146.1,11.53,,
XIJ,Info Technology,664.8,673.5,686.1,702.9,694.9,702.9,693.8,-8.0,-1.14,702.9,664.8,-2.7,-0.39,820.5,664.8,-96.2,-12.16,853.7,664.8,-87.8,-11.22,853.7,664.8,-116.5,-14.36,4575.2,4634.5,4721.8,4837.1,4782.2,4837.1,4575.2,-18.8,-0.39,5597.4,4575.2,-614.7,-11.39,5803.2,4575.2,-484.5,-9.20,5803.2,4575.2,-642.2,-11.84,,
XMJ,Materials,7592.5,7776.3,7892.8,7914.7,8207.0,8228.2,7914.7,292.3,3.69,8207.0,7592.5,248.3,3.12,8637.7,7592.5,-199.8,-2.38,9946.3,7592.5,-520.7,-5.97,9946.3,7592.5,-1829.2,-18.23,55147.6,56482.6,57328.5,57488.1,59611.1,59611.1,55147.6,1803.7,3.12,62540.8,55147.6,-1257.8,-2.07,70664.0,55147.6,-2281.2,-3.69,70664.0,55147.6,-10479.2,-14.95,,
XPJ,A-REIT,1200.2,1239.6,1231.9,1250.6,1246.2,1261.5,1234.9,-4.4,-0.35,1250.6,1200.2,9.8,0.79,1306.9,1200.2,-40.8,-3.17,1343.7,1197.3,60.1,5.06,1343.7,1197.3,104.7,9.17,36089.0,37274.3,37042.6,37604.6,37473.9,37604.6,36089.0,294.8,0.79,38960.9,36089.0,-892.8,-2.33,39203.9,34828.8,2968.4,8.60,39203.9,30884.2,4780.8,14.62,,
XTJ,Telecommunications,2086.0,2069.1,2079.3,2095.6,2070.4,2112.9,2058.1,-25.2,-1.20,2095.6,2069.1,-80.5,-3.74,2296.1,2069.1,-187.8,-8.32,2321.2,2069.1,-16.4,-0.79,2321.2,2069.1,129.7,6.69,26319.6,26745.7,26878.2,27088.8,26762.5,27088.8,26319.6,-374.9,-1.38,28970.5,26319.6,-1729.3,-6.07,28970.5,25580.0,1008.3,3.92,28970.5,22729.7,2834.5,11.85,,
XUJ,Utilities,6406.1,6510.7,6518.1,6705.4,6727.6,6781.6,6617.2,22.2,0.33,6727.6,6406.1,211.2,3.24,6790.2,6406.1,201.9,3.09,6918.1,5936.5,813.4,13.75,6918.1,5936.5,676.0,11.17,71985.5,73724.0,73808.0,75928.8,76179.9,76179.9,71985.5,2955.6,4.04,76300.9,71985.5,2850.5,3.89,76606.1,65111.5,11313.6,17.44,76606.1,62222.8,11606.5,17.97,,
XMM,Metals & Mining,2197.3,2249.8,2281.1,2288.9,2403.6,2407.9,2288.9,114.7,5.01,2403.6,2197.3,90.6,3.92,2499.1,2197.3,-10.3,-0.42,3045.0,2197.3,-243.4,-9.19,3045.0,2197.3,-831.9,-25.71,3266.4,3344.5,3391.0,3402.6,3573.1,3573.1,3266.4,134.7,3.92,3699.2,3266.4,0.1,0.00,4412.5,3266.4,-261.3,-6.81,4645.6,3266.4,-1050.9,-22.73,,
XGD,Gold,2256.4,2192.0,2156.3,2146.6,2195.2,2215.6,2146.6,48.6,2.26,2256.4,2146.6,-134.6,-5.78,2329.8,2099.9,-22.3,-1.01,2736.3,2069.2,147.9,7.22,2736.3,2069.2,-162.5,-6.89,2636.3,2561.0,2519.2,2508.0,2564.8,2636.3,2508.0,-157.2,-5.78,2722.0,2453.3,-26.1,-1.01,3196.9,2412.7,177.6,7.44,3196.9,1941.8,-180.3,-6.57,,
XJR,S&P/ASX 200 Res,2715.3,2767.3,2818.4,2838.5,2970.7,2982.6,2838.5,132.2,4.66,2970.7,2715.3,101.9,3.55,3207.8,2715.3,-135.4,-4.36,3741.5,2715.3,-419.6,-12.38,3741.5,2715.3,-1238.4,-29.42,15138.7,15451.2,15802.8,15915.7,16656.8,16656.8,15138.7,662.4,4.14,17831.1,15138.7,-609.0,-3.53,20500.6,15138.7,-1747.2,-9.49,22856.1,15138.7,-5965.1,-26.37,,
,
