Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-09T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 4,Apr 5,Apr 6,Apr 7,Apr 8,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 4,Apr 5,Apr 6,Apr 7,Apr 8,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4984.7,4998.6,5011.4,5005.5,5036.5,5037.1,5000.6,31.0,0.62,5036.5,4984.7,81.9,1.65,5036.5,4609.9,134.0,2.73,5036.5,4609.9,189.6,3.91,5036.5,4250.6,63.6,1.28,36238.2,36339.2,36434.2,36391.8,36616.6,36616.6,36238.2,598.0,1.66,36616.6,33473.5,1040.2,2.92,36616.6,33473.5,1803.9,5.18,36616.6,29893.9,1866.8,5.37,,
XAF,ALL Australian 50,4842.3,4855.2,4873.0,4868.3,4898.6,4899.8,4861.1,30.3,0.62,4898.6,4842.3,70.9,1.47,4898.6,4507.3,131.7,2.76,4898.6,4507.3,216.4,4.62,5017.2,4220.3,-55.6,-1.12,35773.4,35868.4,36000.5,35965.7,36189.1,36189.1,35773.4,523.3,1.47,36189.1,33259.8,1017.7,2.89,36189.1,33259.8,2042.5,5.98,36189.1,30076.1,1134.8,3.24,,
XAT,ALL Australian 200,4890.0,4902.5,4915.7,4911.2,4944.5,4945.6,4905.2,33.3,0.68,4944.5,4890.0,77.6,1.59,4944.5,4531.8,132.7,2.76,4944.5,4531.8,194.0,4.08,5001.2,4218.4,-4.0,-0.08,36055.1,36147.9,36247.6,36214.3,36459.4,36459.4,36055.1,573.9,1.60,36459.4,33376.2,1031.3,2.91,36459.4,33376.2,1868.4,5.40,36459.4,30043.8,1464.4,4.18,,
XTL,S&P/Asx 20,2929.6,2940.1,2952.4,2949.5,2966.1,2966.5,2944.4,16.6,0.56,2966.1,2929.6,41.9,1.43,2966.1,2726.8,85.5,2.97,2968.8,2726.8,134.0,4.73,3060.6,2560.9,-51.8,-1.72,42396.7,42549.6,42727.5,42684.7,42925.9,42925.9,42396.7,607.1,1.43,42925.9,39420.6,1281.4,3.08,42925.9,39420.6,2472.3,6.11,42925.9,35716.1,1147.5,2.75,,
XFL,S&P/Asx 50,4858.0,4871.3,4889.0,4883.9,4913.6,4914.8,4876.7,29.7,0.61,4913.6,4858.0,70.2,1.45,4913.6,4522.6,131.4,2.75,4913.6,4522.6,220.3,4.69,5036.9,4235.3,-57.8,-1.16,35859.6,35958.1,36088.9,36051.0,36270.1,36270.1,35859.6,518.1,1.45,36270.1,33345.4,1015.8,2.88,36270.1,33345.4,2067.5,6.04,36270.1,30164.1,1108.7,3.15,,
XTO,S&P/Asx 100,3979.2,3990.9,4001.9,3997.7,4023.5,4024.3,3992.4,25.8,0.65,4023.5,3979.2,63.0,1.59,4023.5,3695.3,109.8,2.80,4023.5,3695.3,170.2,4.42,4095.8,3455.4,-27.3,-0.67,8909.5,8935.8,8960.8,8951.4,9009.4,9009.4,8909.5,141.7,1.60,9009.4,8264.4,258.7,2.96,9009.4,8264.4,490.9,5.76,9009.4,7468.5,316.9,3.65,,
XJO,S&P/Asx 200,4886.8,4900.1,4912.9,4908.1,4940.6,4941.6,4902.1,32.5,0.66,4940.6,4886.8,78.8,1.62,4940.6,4528.7,132.4,2.75,4940.6,4528.7,195.4,4.12,5001.9,4222.1,-7.5,-0.15,35992.7,36090.5,36187.0,36151.8,36390.7,36390.7,35992.7,582.2,1.63,36390.7,33317.6,1028.2,2.91,36390.7,33317.6,1872.2,5.42,36390.7,30045.0,1426.7,4.08,,
XKO,S&P/Asx 300,4900.9,4913.7,4926.8,4921.6,4954.2,4954.8,4915.9,32.6,0.66,4954.2,4900.9,79.4,1.63,4954.2,4537.2,133.0,2.76,4954.2,4537.2,193.4,4.06,4995.0,4214.7,13.1,0.27,36016.8,36110.7,36209.6,36171.0,36410.9,36410.9,36016.8,586.8,1.64,36410.9,33306.3,1032.7,2.92,36410.9,33306.3,1850.6,5.35,36410.9,29938.5,1556.2,4.46,,
XMD,S&P/Asx Midcap 50,4532.5,4553.3,4534.8,4530.0,4573.1,4573.1,4529.1,43.1,0.95,4573.1,4530.0,119.5,2.68,4573.1,4130.0,144.0,3.25,4573.1,4130.0,105.6,2.36,4573.1,3797.0,143.5,3.24,10628.1,10676.7,10638.9,10627.6,10728.9,10728.9,10627.6,285.9,2.74,10728.9,9674.0,365.4,3.53,10728.9,9674.0,380.3,3.67,10728.9,8628.5,756.0,7.58,,
XSO,S&P/Asx Small Ords,2888.1,2886.2,2892.2,2888.8,2912.2,2912.2,2884.4,23.4,0.81,2912.2,2886.2,57.0,1.99,2912.2,2592.6,65.2,2.29,2946.3,2592.6,19.7,0.68,2946.3,2229.7,272.7,10.33,6542.3,6537.9,6552.2,6544.5,6597.5,6597.5,6537.9,130.3,2.02,6597.5,5867.0,163.5,2.54,6625.3,5867.0,95.2,1.46,6625.3,4946.8,769.0,13.19,,
