Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-30T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 25,Jul 26,Jul 27,Jul 28,Jul 29,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4603.8,4646.3,4612.6,4539.2,4500.5,4543.6,4496.7,-38.7,-0.85,4646.3,4500.5,-173.6,-3.71,4716.0,4500.5,-79.3,-1.73,5064.9,4500.5,-346.4,-7.15,5064.9,4356.6,-6.9,-0.15,33713.2,34024.5,33777.9,33240.5,32957.3,34024.5,32957.3,-1270.6,-3.71,34534.4,32957.3,-574.6,-1.71,36827.4,32957.3,-1855.4,-5.33,36827.4,30855.2,1255.7,3.96,,
XAF,All Australian 50,4480.3,4520.5,4483.1,4412.0,4372.6,4417.8,4369.6,-39.4,-0.89,4520.5,4372.6,-182.1,-4.00,4624.7,4372.6,-143.6,-3.18,4939.1,4372.6,-309.6,-6.61,4939.1,4312.2,-131.4,-2.92,33364.9,33664.5,33385.9,32856.6,32563.2,33664.5,32563.2,-1356.2,-4.00,34440.1,32563.2,-1069.2,-3.18,36488.5,32563.2,-1583.4,-4.64,36488.5,30992.3,465.1,1.45,,
XAT,All Australian 200,4531.2,4574.6,4538.8,4465.0,4425.3,4470.0,4421.7,-39.7,-0.89,4574.6,4425.3,-179.0,-3.89,4654.7,4425.3,-102.3,-2.26,4976.2,4425.3,-325.2,-6.85,4976.2,4319.0,-67.0,-1.49,33670.9,33993.5,33727.7,33179.5,32884.3,33993.5,32884.3,-1330.2,-3.89,34588.8,32884.3,-758.8,-2.26,36695.0,32884.3,-1706.6,-4.93,36695.0,30986.3,888.4,2.78,,
XTL,S&P/ASX 20,2715.6,2737.3,2712.4,2668.9,2644.3,2672.8,2642.6,-24.6,-0.92,2737.3,2644.3,-114.1,-4.14,2807.0,2644.3,-100.0,-3.65,2998.7,2644.3,-187.8,-6.63,2998.7,2597.7,-99.2,-3.62,39629.2,39946.3,39582.1,38947.7,38588.4,39946.3,38588.4,-1665.9,-4.14,40963.3,38588.4,-1460.3,-3.65,43396.5,38588.4,-1865.2,-4.61,43396.5,36591.9,325.5,0.85,,
XFL,S&P/ASX 50,4494.1,4534.0,4496.6,4425.8,4386.9,4432.3,4383.8,-38.9,-0.88,4534.0,4386.9,-181.3,-3.97,4640.9,4386.9,-147.3,-3.25,4953.4,4386.9,-306.4,-6.53,4953.4,4324.0,-130.6,-2.89,33438.6,33735.8,33457.4,32930.9,32640.8,33735.8,32640.8,-1349.5,-3.97,34531.1,32640.8,-1096.1,-3.25,36564.0,32640.8,-1561.8,-4.57,36564.0,31056.4,466.9,1.45,,
XTO,S&P/ASX 100,3686.7,3720.1,3690.5,3631.4,3600.0,3636.1,3597.0,-31.4,-0.86,3720.1,3600.0,-146.1,-3.90,3796.5,3600.0,-102.6,-2.77,4049.1,3600.0,-253.3,-6.57,4049.1,3530.5,-80.1,-2.18,8320.3,8395.7,8329.0,8195.6,8124.6,8395.7,8124.6,-329.7,-3.90,8568.2,8124.6,-231.7,-2.77,9067.0,8124.6,-393.8,-4.62,9067.0,7689.1,170.5,2.14,,
XJO,S&P/ASX 200,4530.4,4573.3,4537.4,4463.8,4424.6,4468.8,4421.1,-39.2,-0.88,4573.3,4424.6,-178.3,-3.87,4654.7,4424.6,-104.9,-2.32,4971.2,4424.6,-320.6,-6.76,4971.2,4320.1,-68.9,-1.53,33626.2,33945.2,33678.2,33132.0,32841.6,33945.2,32841.6,-1322.7,-3.87,34549.4,32841.6,-776.6,-2.31,36617.7,32841.6,-1676.9,-4.86,36617.7,30967.0,864.3,2.70,,
XKO,S&P/ASX 300,4536.8,4579.9,4544.1,4470.4,4431.2,4475.2,4427.6,-39.2,-0.88,4579.9,4431.2,-177.6,-3.85,4658.0,4431.2,-97.5,-2.15,4984.1,4431.2,-329.6,-6.92,4984.1,4316.1,-53.7,-1.20,33596.8,33916.0,33651.1,33104.9,32815.1,33916.0,32815.1,-1314.8,-3.85,34494.6,32815.1,-720.3,-2.15,36632.1,32815.1,-1745.3,-5.05,36632.1,30879.1,956.2,3.00,,
XMD,S&P/ASX MidCap 50,4245.9,4290.0,4266.1,4188.5,4157.1,4196.2,4145.7,-31.4,-0.75,4290.0,4157.1,-144.8,-3.37,4301.9,4143.4,39.9,0.97,4573.1,4074.9,-310.4,-6.95,4573.1,3921.9,140.4,3.50,10034.6,10138.8,10082.3,9898.9,9824.7,10138.8,9824.7,-342.1,-3.36,10166.8,9730.3,94.5,0.97,10728.9,9630.3,-523.9,-5.06,10728.9,8924.9,695.7,7.62,,
XSO,S&P/ASX Small Ords,2651.1,2687.1,2669.4,2620.8,2595.5,2622.8,2591.0,-25.3,-0.97,2687.1,2595.5,-91.5,-3.41,2687.1,2559.0,101.3,4.06,2946.3,2461.7,-297.0,-10.27,2946.3,2359.1,221.9,9.35,6034.6,6116.7,6076.4,5965.8,5908.1,6116.7,5908.1,-208.4,-3.41,6116.7,5674.4,233.7,4.12,6625.3,5600.5,-594.2,-9.14,6625.3,5237.7,641.9,12.19,,
