Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-12T23:15:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 7,Nov 8,Nov 9,Nov 10,Nov 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 7,Nov 8,Nov 9,Nov 10,Nov 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSJ,Consumer Staples,7657.8,7647.4,7703.0,7664.4,7746.5,7746.5,7664.4,82.1,1.07,7746.5,7647.4,143.9,1.89,7746.5,7455.6,174.6,2.31,8013.9,7011.2,32.0,0.41,8061.8,7011.2,-282.2,-3.52,55958.7,55882.7,56288.6,56006.3,56606.8,56606.8,55882.7,1052.1,1.89,56606.8,54481.1,1276.0,2.31,56701.2,49979.4,2808.9,5.22,56701.2,49979.4,680.2,1.22,,
XEJ,Energy,13902.2,13979.7,14202.9,13858.4,14078.5,14078.5,13810.1,220.1,1.59,14202.9,13858.4,133.5,0.96,14202.9,13193.4,420.5,3.08,17736.5,11605.0,-2035.9,-12.63,17736.5,11605.0,-1634.4,-10.40,92701.3,93217.8,94706.3,92409.2,93876.4,94706.3,92409.2,889.6,0.96,94706.3,87974.7,2803.8,3.08,116809.6,77383.0,-11216.8,-10.67,116809.6,77383.0,-8598.3,-8.39,,
XFJ,Financials,4054.5,4080.9,4129.3,3995.0,4043.1,4047.5,3995.0,48.1,1.20,4129.3,3995.0,-38.0,-0.93,4191.1,3986.2,39.9,1.00,4666.6,3596.7,-318.7,-7.31,4666.6,3596.7,-263.1,-6.11,35297.9,35527.7,35954.7,35141.9,35565.2,35954.7,35141.9,275.7,0.78,36240.8,34462.3,956.1,2.76,38822.8,30965.7,-498.5,-1.38,38822.8,30965.7,45.8,0.13,,
XXJ,Financial-x-A-REIT,4695.8,4729.2,4778.2,4610.0,4661.1,4667.2,4610.0,51.1,1.11,4778.2,4610.0,-68.8,-1.46,4879.1,4610.0,17.9,0.39,5430.9,4119.7,-402.7,-7.95,5430.9,4119.7,-326.4,-6.54,39231.9,39511.4,39927.6,38993.6,39425.9,39927.6,38993.6,225.8,0.58,40435.9,38249.6,944.6,2.45,43285.0,34142.5,-714.9,-1.78,43285.0,34142.5,-107.2,-0.27,,
XHJ,Health Care,7713.7,7792.5,7822.3,7773.3,7912.9,7912.9,7773.3,139.6,1.80,7912.9,7713.7,247.4,3.23,7968.8,7551.3,36.4,0.46,9186.8,7082.8,-1020.3,-11.42,9186.8,7082.8,-515.2,-6.11,46003.3,46473.6,46651.2,46382.6,47215.9,47215.9,46003.3,1499.6,3.28,47525.2,45034.8,241.6,0.51,53892.5,41891.0,-4605.3,-8.89,53892.5,41891.0,-1675.0,-3.43,,
XNJ,Industrials,3368.8,3380.1,3418.6,3369.9,3438.8,3438.8,3369.9,68.9,2.04,3438.8,3368.8,82.1,2.45,3438.8,3263.6,134.1,4.06,3870.5,3031.9,-297.7,-7.97,3870.5,3031.9,-287.1,-7.71,25555.9,25641.4,25934.1,25564.1,26087.4,26087.4,25555.9,623.2,2.45,26087.4,24757.9,1023.5,4.08,28566.6,22990.4,-1472.9,-5.34,28566.6,22990.4,-1233.9,-4.52,,
XIJ,Info Technology,532.1,526.0,526.0,512.0,519.5,519.5,512.0,7.5,1.46,532.1,512.0,38.8,8.08,532.1,474.0,38.7,8.05,666.6,458.0,-125.2,-19.42,666.6,458.0,-83.7,-13.88,3251.7,3215.0,3214.5,3129.3,3175.0,3251.7,3129.3,237.4,8.08,3251.7,2896.6,236.6,8.05,3919.5,2743.0,-615.9,-16.25,3919.5,2743.0,-372.0,-10.49,,
XMJ,Materials,11720.6,11790.7,11989.3,11679.0,11801.5,11801.5,11590.1,122.5,1.05,11989.3,11679.0,46.2,0.39,11989.3,11039.3,113.8,0.97,15046.2,10436.7,-2279.1,-16.19,15046.2,10436.7,-2023.6,-14.64,75748.2,76200.8,77484.2,75479.3,76270.7,77484.2,75479.3,298.6,0.39,77484.2,71344.6,735.3,0.97,96133.1,67434.3,-12940.5,-14.51,96133.1,67434.3,-11291.1,-12.90,,
XPJ,A-REIT,790.1,792.7,808.5,793.6,807.1,807.1,793.6,13.5,1.70,808.5,790.1,14.7,1.86,808.5,772.2,33.1,4.27,887.0,708.9,-32.7,-3.90,887.0,708.9,-32.9,-3.92,19066.9,19128.7,19509.9,19150.2,19475.9,19509.9,19066.9,355.3,1.86,19509.9,18612.4,820.1,4.40,20646.7,17036.7,122.0,0.63,20646.7,17036.7,394.0,2.06,,
XTJ,Telecommunications,1074.9,1078.6,1072.3,1065.9,1075.7,1075.9,1065.9,9.8,0.92,1078.6,1065.9,3.8,0.35,1087.6,1051.4,16.4,1.55,1087.6,891.0,116.1,12.10,1087.6,891.0,164.6,18.07,10994.7,11032.5,10967.7,10902.7,11002.7,11032.5,10902.7,38.3,0.35,11125.1,10754.8,169.4,1.56,11125.1,8708.4,2028.2,22.60,11125.1,8339.6,2500.8,29.42,,
XUJ,Utilities,4426.2,4448.9,4524.6,4482.5,4531.8,4531.8,4466.0,49.3,1.10,4531.8,4426.2,107.2,2.42,4531.8,4296.8,181.2,4.16,4550.9,3990.1,118.4,2.68,4599.5,3990.1,-42.2,-0.92,40488.0,40695.9,41388.1,41003.4,41454.1,41454.1,40488.0,980.8,2.42,41454.1,39304.0,1657.3,4.16,41454.1,35021.3,2997.0,7.79,41454.1,35021.3,2212.6,5.64,,
XMM,Metals & Mining,4198.7,4228.7,4298.2,4190.1,4236.4,4236.4,4157.6,46.3,1.10,4298.2,4190.1,15.0,0.36,4298.2,3944.8,39.9,0.95,5491.6,3732.7,-909.3,-17.67,5491.6,3732.7,-807.4,-16.01,5590.5,5630.4,5723.0,5579.1,5640.6,5723.0,5579.1,19.9,0.35,5723.0,5252.4,53.1,0.95,7235.3,4968.6,-1083.5,-16.11,7235.3,4968.6,-950.4,-14.42,,
XGD,Gold,7172.5,7261.5,7378.2,7280.4,7344.9,7344.9,7203.9,64.5,0.89,7378.2,7172.5,276.0,3.90,7378.2,6668.5,139.0,1.93,8435.7,6432.0,-754.2,-9.31,8435.7,6432.0,-895.4,-10.87,8193.3,8294.9,8428.2,8316.5,8390.1,8428.2,8193.3,315.2,3.90,8428.2,7617.4,158.7,1.93,9595.8,7347.4,-802.8,-8.73,9595.8,7347.4,-963.0,-10.30,,
XJR,S&P/ASX 200 Res,4896.7,4927.8,5010.2,4884.0,4943.8,4943.8,4851.8,59.8,1.22,5010.2,4884.0,23.4,0.48,5010.2,4610.4,69.5,1.43,6355.0,4291.7,-965.0,-16.33,6355.0,4291.7,-855.0,-14.74,24397.0,24551.9,24962.6,24333.6,24631.6,24962.6,24333.6,116.5,0.48,24962.6,22970.3,346.2,1.43,31311.1,21378.1,-4228.5,-14.65,31311.1,21378.1,-3691.0,-13.03,,
,
