Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-03-21T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 16,Mar 17,Mar 18,Mar 19,Mar 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5769.7,5811.0,5808.0,5912.5,5936.3,5940.0,5892.1,23.8,0.40,5936.3,5769.7,148.3,2.56,5936.3,5763.3,90.7,1.55,5936.3,5278.8,547.7,10.16,5936.3,5278.8,582.3,10.88,49892.5,50249.9,50254.1,51158.6,51365.3,51365.3,49892.5,1335.7,2.67,51365.3,49808.9,1246.8,2.49,51365.3,45110.3,5318.4,11.55,51365.3,43681.7,6977.4,15.72,,
XAF,All Australian 50,5881.9,5938.4,5940.3,6057.5,6081.0,6087.1,6029.7,23.5,0.39,6081.0,5881.9,186.8,3.17,6081.0,5881.9,95.4,1.59,6081.0,5389.2,582.8,10.60,6081.0,5389.2,656.9,12.11,52410.7,52914.2,52967.5,54012.8,54222.3,54222.3,52410.7,1717.6,3.27,54222.3,52407.2,1361.3,2.58,54222.3,47407.4,5855.9,12.11,54222.3,45852.9,8025.1,17.37,,
XAT,All Australian 200,5740.9,5784.5,5784.2,5892.2,5916.5,5920.9,5869.2,24.3,0.41,5916.5,5740.9,158.1,2.75,5916.5,5737.6,88.8,1.52,5916.5,5251.9,553.4,10.32,5916.5,5251.9,622.6,11.76,50738.3,51123.7,51153.4,52108.4,52324.7,52324.7,50738.3,1450.0,2.85,52324.7,50686.8,1266.0,2.48,52324.7,45851.2,5503.8,11.76,52324.7,44281.4,7525.9,16.80,,
XTL,S&P/ASX 20,3627.2,3668.6,3674.5,3746.0,3760.5,3766.9,3726.9,14.5,0.39,3760.5,3627.2,129.8,3.58,3760.5,3623.1,72.2,1.96,3760.5,3321.7,361.7,10.64,3760.5,3321.7,414.0,12.37,63591.1,64316.8,64477.3,65731.7,65985.5,65985.5,63591.1,2355.6,3.70,65985.5,63496.3,1928.1,3.01,65985.5,57424.2,7229.6,12.30,65985.5,55673.0,9971.1,17.80,,
XFL,S&P/ASX 50,5952.0,6009.3,6010.8,6129.6,6152.9,6159.2,6101.3,23.3,0.38,6152.9,5952.0,187.9,3.15,6152.9,5952.0,96.0,1.59,6152.9,5453.2,589.5,10.60,6152.9,5453.2,664.6,12.11,52939.4,53449.3,53499.1,54556.4,54764.7,54764.7,52939.4,1725.0,3.25,54764.7,52939.4,1371.5,2.57,54764.7,47882.7,5914.2,12.11,54764.7,46300.1,8102.4,17.36,,
XTO,S&P/ASX 100,4837.7,4881.5,4882.4,4975.6,4996.2,5000.2,4955.2,20.6,0.41,4996.2,4837.7,145.4,3.00,4996.2,4837.4,85.8,1.75,4996.2,4422.0,483.2,10.71,4996.2,4422.0,565.2,12.75,13013.3,13131.2,13142.3,13393.2,13448.7,13448.7,13013.3,404.6,3.10,13448.7,13007.6,355.7,2.72,13448.7,11747.2,1459.8,12.18,13448.7,11295.6,2044.1,17.92,,
XJO,S&P/ASX 200,5797.7,5842.1,5842.3,5950.8,5975.5,5979.8,5927.9,24.7,0.42,5975.5,5797.7,161.0,2.77,5975.5,5793.2,94.0,1.60,5975.5,5299.2,564.5,10.43,5975.5,5299.2,637.4,11.94,51128.0,51520.1,51555.5,52512.7,52731.3,52731.3,51128.0,1472.4,2.87,52731.3,51066.4,1310.5,2.55,52731.3,46166.2,5592.0,11.86,52731.3,44533.8,7653.1,16.98,,
XVI,S&P/ASX 200 VIX,14.652,14.682,14.160,13.243,12.403,13.337,12.139,-0.840,-6.34,14.682,12.403,-2.408,-16.26,15.066,12.403,-2.658,-17.65,16.722,12.403,-2.178,-14.94,19.164,9.309,-0.201,-1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5731.1,5774.3,5773.8,5880.0,5903.9,5908.3,5857.8,23.9,0.41,5903.9,5731.1,156.4,2.72,5903.9,5725.8,90.8,1.56,5903.9,5240.7,555.0,10.38,5903.9,5240.7,613.6,11.60,50349.0,50728.9,50757.7,51691.5,51902.5,51902.5,50349.0,1427.2,2.83,51902.5,50280.3,1271.0,2.51,51902.5,45487.5,5476.9,11.80,51902.5,43915.8,7385.2,16.59,,
XMD,S&P/ASX MidCap 50,5168.4,5192.1,5191.0,5262.4,5298.0,5300.1,5258.3,35.6,0.68,5298.0,5168.4,94.1,1.81,5298.0,5139.4,157.1,3.06,5298.0,4638.6,550.5,11.60,5298.0,4638.6,819.9,18.31,14202.4,14267.7,14269.9,14466.2,14563.8,14563.8,14202.4,274.9,1.92,14563.8,14016.2,547.6,3.91,14563.8,12623.2,1644.3,12.73,14563.8,11578.7,2694.1,22.70,,
