Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-29T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 24,Mar 25,Mar 26,Mar 27,Mar 28,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5362.1,5351.0,5387.2,5359.7,5376.8,5381.8,5352.1,17.1,0.32,5387.2,5351.0,22.8,0.43,5477.0,5312.7,-38.6,-0.71,5477.0,5088.7,23.7,0.44,5477.0,5088.7,396.9,7.97,44465.4,44376.5,44677.0,44451.1,44592.8,44677.0,44376.5,204.9,0.46,45361.7,44046.0,-104.2,-0.23,45361.7,41681.2,747.8,1.71,45361.7,37129.1,5002.6,12.64,,
XAF,All Australian 50,5436.8,5433.0,5474.6,5450.8,5465.9,5472.2,5445.3,15.1,0.28,5474.6,5433.0,41.8,0.77,5538.0,5376.3,-30.6,-0.56,5539.1,5175.5,8.1,0.15,5539.1,5175.5,437.7,8.71,46308.6,46276.1,46630.7,46427.6,46556.8,46630.7,46276.1,359.6,0.78,47132.0,45790.5,-47.0,-0.10,47132.0,43505.3,678.4,1.48,47132.0,39049.4,5619.8,13.73,,
XAT,All Australian 200,5302.9,5293.6,5333.8,5307.5,5324.8,5330.4,5300.7,17.3,0.33,5333.8,5293.6,30.9,0.58,5416.9,5249.3,-35.7,-0.67,5416.9,5028.8,20.1,0.38,5416.9,5028.8,381.2,7.71,44880.4,44803.5,45143.9,44922.1,45069.2,45143.9,44803.5,270.4,0.60,45797.1,44421.0,-87.8,-0.19,45797.1,42022.3,741.8,1.67,45797.1,37733.6,5025.1,12.55,,
XTL,S&P/ASX 20,3355.8,3357.5,3387.9,3373.8,3385.5,3389.6,3372.8,11.7,0.35,3387.9,3355.8,39.0,1.17,3415.8,3316.9,-6.1,-0.18,3415.9,3184.2,7.1,0.21,3415.9,3184.2,312.6,10.17,56170.7,56197.7,56707.0,56470.9,56667.4,56707.0,56170.7,653.1,1.17,57121.3,55519.4,178.5,0.32,57121.3,52576.0,884.7,1.59,57121.3,47032.2,7512.6,15.28,,
XFL,S&P/ASX 50,5501.8,5497.3,5539.1,5514.6,5529.1,5535.5,5508.4,14.5,0.26,5539.1,5497.3,40.8,0.74,5605.7,5441.2,-33.6,-0.60,5605.7,5238.2,2.2,0.04,5605.7,5238.2,454.6,8.96,46779.7,46741.5,47097.0,46888.8,47012.2,47097.0,46741.5,349.9,0.75,47625.0,46261.4,-69.5,-0.15,47625.0,43959.9,629.2,1.36,47625.0,39422.6,5757.4,13.96,,
XTO,S&P/ASX 100,4438.3,4432.4,4466.7,4444.9,4457.8,4462.5,4440.0,12.9,0.29,4466.7,4432.4,26.8,0.60,4530.0,4393.9,-27.8,-0.62,4530.0,4210.6,12.6,0.28,4530.0,4210.6,359.8,8.78,11424.1,11409.4,11497.6,11441.6,11474.7,11497.6,11409.4,70.2,0.62,11649.7,11309.0,-19.4,-0.17,11649.7,10700.4,178.0,1.58,11649.7,9607.8,1381.3,13.69,,
XJO,S&P/ASX 200,5346.9,5336.6,5376.8,5350.1,5366.9,5372.5,5342.7,16.8,0.31,5376.8,5336.6,28.8,0.54,5462.3,5294.0,-37.9,-0.70,5462.3,5070.3,14.7,0.27,5462.3,5070.3,400.4,8.06,45159.1,45075.0,45414.0,45189.4,45332.0,45414.0,45075.0,253.8,0.56,46084.4,44705.9,-103.7,-0.23,46084.4,42284.9,696.9,1.56,46084.4,37962.9,5171.1,12.88,,
XVI,S&P/ASX 200 VIX,12.741,12.677,12.184,12.479,12.120,12.406,11.899,-0.359,-2.88,12.741,12.120,-0.484,-3.84,15.349,12.120,-0.993,-7.57,18.372,0.147,0.558,4.83,21.700,0.147,-1.984,-14.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5298.3,5286.9,5325.1,5298.6,5315.0,5320.4,5291.1,16.4,0.31,5325.1,5286.9,24.7,0.47,5413.8,5247.9,-41.5,-0.78,5413.8,5027.6,10.2,0.19,5413.8,5027.6,377.1,7.64,44590.7,44498.3,44819.9,44596.9,44735.6,44819.9,44498.3,218.3,0.49,45513.3,44160.1,-135.1,-0.30,45513.3,41785.8,646.8,1.47,45513.3,37491.8,4932.3,12.39,,
XMD,S&P/ASX MidCap 50,4454.5,4429.1,4468.1,4429.2,4451.9,4456.1,4424.2,22.7,0.51,4468.1,4429.1,-26.2,-0.59,4613.1,4429.1,-34.6,-0.77,4613.1,4099.4,102.4,2.35,4613.1,4099.4,297.7,7.17,11809.5,11746.9,11850.4,11747.1,11807.4,11850.4,11746.9,-62.3,-0.52,12210.9,11746.9,-43.8,-0.37,12210.9,10758.1,393.0,3.44,12210.9,9756.1,1196.2,11.27,,
