Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-30T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 25,Aug 26,Aug 27,Aug 28,Aug 29,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5632.8,5634.5,5648.9,5621.3,5624.6,5628.3,5613.5,3.3,0.06,5648.9,5621.3,-15.9,-0.28,5648.9,5429.6,44.0,0.79,5648.9,5088.7,271.5,5.07,5648.9,5088.7,499.3,9.74,47281.0,47309.1,47530.9,47310.4,47383.1,47530.9,47281.0,37.7,0.08,47530.9,45425.3,695.5,1.49,47530.9,41681.2,3538.1,8.07,47530.9,41443.6,5976.5,14.43,,
XAF,All Australian 50,5732.0,5736.9,5747.3,5721.5,5718.3,5724.8,5706.3,-3.2,-0.06,5747.3,5718.3,-26.6,-0.46,5747.3,5535.1,25.5,0.45,5747.3,5175.5,260.5,4.77,5747.3,5175.5,483.2,9.23,49488.9,49547.6,49767.6,49547.6,49578.8,49767.6,49488.9,-21.0,-0.04,49767.6,47601.8,620.7,1.27,49767.6,43505.3,3700.4,8.07,49767.6,43428.7,6187.4,14.26,,
XAT,All Australian 200,5594.1,5596.6,5609.8,5583.0,5584.6,5589.4,5573.2,1.6,0.03,5609.8,5583.0,-20.2,-0.36,5609.8,5395.8,38.0,0.69,5609.8,5028.8,279.9,5.28,5609.8,5028.8,491.8,9.66,47957.6,47992.5,48216.3,47994.2,48059.9,48216.3,47957.6,10.5,0.02,48216.3,46089.9,682.4,1.44,48216.3,42022.3,3732.5,8.42,48216.3,41869.0,6097.1,14.53,,
XTL,S&P/ASX 20,3537.1,3543.4,3545.9,3531.4,3528.2,3532.7,3520.1,-3.2,-0.09,3545.9,3528.2,-19.4,-0.55,3548.8,3418.2,7.9,0.22,3548.8,3184.2,149.8,4.43,3548.8,3184.2,293.9,9.09,60031.3,60154.5,60393.4,60146.5,60168.6,60393.4,60031.3,-40.4,-0.07,60393.4,57737.2,706.5,1.19,60393.4,52576.0,4385.9,7.86,60393.4,52576.0,7454.9,14.14,,
XFL,S&P/ASX 50,5798.0,5803.2,5813.5,5787.8,5784.5,5791.8,5772.5,-3.3,-0.06,5813.5,5784.5,-26.6,-0.46,5813.5,5597.5,26.0,0.45,5813.5,5238.2,257.6,4.66,5813.5,5238.2,485.6,9.16,49969.0,50029.8,50250.5,50032.5,50062.5,50250.5,49969.0,-19.8,-0.04,50250.5,48053.1,627.4,1.27,50250.5,43959.9,3679.5,7.93,50250.5,43886.4,6212.1,14.17,,
XTO,S&P/ASX 100,4679.4,4683.0,4693.1,4672.0,4671.8,4676.1,4662.1,-0.2,-0.00,4693.1,4671.8,-17.1,-0.36,4693.1,4520.1,25.4,0.55,4693.1,4210.6,226.6,5.10,4693.1,4210.6,416.8,9.80,12205.5,12218.5,12275.0,12221.2,12234.2,12275.0,12205.5,3.9,0.03,12275.0,11745.1,160.9,1.33,12275.0,10700.4,937.5,8.30,12275.0,10670.3,1570.7,14.73,,
XJO,S&P/ASX 200,5634.9,5637.6,5651.2,5624.4,5625.9,5630.6,5614.3,1.5,0.03,5651.2,5624.4,-19.7,-0.35,5651.2,5435.3,37.5,0.67,5651.2,5070.3,273.7,5.11,5651.2,5070.3,490.9,9.56,48208.1,48244.7,48472.0,48251.0,48315.3,48472.0,48208.1,15.4,0.03,48472.0,46331.7,678.6,1.42,48472.0,42284.9,3680.2,8.25,48472.0,42141.4,6083.9,14.41,,
XVI,S&P/ASX 200 VIX,11.544,11.296,11.312,11.123,10.827,11.095,10.773,-0.296,-2.66,11.544,10.827,-0.617,-5.39,15.123,10.751,0.187,1.76,18.372,0.147,-0.735,-6.36,18.372,0.147,-3.878,-26.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5578.6,5580.8,5594.2,5568.0,5569.7,5574.4,5558.5,1.7,0.03,5594.2,5568.0,-19.6,-0.35,5594.2,5381.9,37.4,0.68,5594.2,5027.6,264.9,4.99,5594.2,5027.6,476.2,9.35,47552.7,47584.2,47806.4,47591.4,47656.2,47806.4,47552.7,12.6,0.03,47806.4,45711.7,667.7,1.42,47806.4,41785.8,3567.4,8.09,47806.4,41624.4,5906.5,14.15,,
XMD,S&P/ASX MidCap 50,4716.3,4715.1,4741.5,4716.6,4738.3,4738.5,4713.9,21.7,0.46,4741.5,4715.1,21.8,0.46,4741.5,4577.6,64.9,1.39,4741.5,4099.4,388.8,8.94,4741.5,4099.4,632.4,15.40,12643.1,12639.8,12721.4,12661.0,12725.8,12725.8,12639.8,82.3,0.65,12725.8,12233.9,235.8,1.89,12725.8,10758.1,1311.4,11.49,12725.8,10621.3,2090.6,19.66,,
XSO,S&P/ASX Small Ords,2284.6,2274.9,2286.9,2271.0,2281.6,2281.6,2271.0,10.6,0.47,2286.9,2271.0,-4.3,-0.19,2286.9,2167.2,50.6,2.27,2286.9,2092.8,88.0,4.01,2286.9,2092.8,93.1,4.26,5720.4,5696.5,5726.5,5692.5,5720.7,5726.5,5692.5,-2.0,-0.04,5726.5,5422.1,139.5,2.50,5726.5,5156.7,317.3,5.87,5726.5,5074.3,398.7,7.49,,
XDJ,Consumer Discretionary,1869.3,1867.4,1862.7,1844.7,1850.1,1854.7,1844.6,5.4,0.29,1869.3,1844.7,-16.5,-0.89,1872.5,1777.8,10.8,0.59,1913.4,1715.0,19.0,1.04,1913.4,1715.0,109.9,6.32,14164.1,14150.1,14114.0,13993.8,14034.6,14164.1,13993.8,-109.5,-0.77,14166.9,13420.6,149.9,1.08,14336.1,12735.0,437.3,3.22,14336.1,12735.0,1228.0,9.59,,
XSJ,Consumer Staples,10285.7,10261.7,10297.0,10283.8,10052.4,10285.5,10019.4,-231.4,-2.25,10297.0,10052.4,-247.1,-2.40,10424.5,9907.9,-28.2,-0.28,10424.5,9567.9,36.4,0.36,10424.5,9567.9,74.9,0.75,83968.3,83852.2,84140.1,84036.8,83047.0,84140.1,83047.0,-1034.3,-1.23,85101.4,80884.4,753.1,0.92,85101.4,76594.5,2865.1,3.57,85101.4,75952.5,3993.3,5.05,,
XEJ,Energy,15183.6,15118.6,15079.8,14913.1,15003.7,15013.0,14913.1,90.6,0.61,15183.6,14913.1,-25.5,-0.17,15183.6,14185.6,410.5,2.81,15183.6,13017.6,1380.8,10.14,15183.6,13017.6,1233.4,8.96,108491.8,108361.4,109348.4,108139.3,108796.6,109348.4,108139.3,1408.2,1.31,109348.4,101360.4,4523.3,4.34,109348.4,91514.2,13026.7,13.60,109348.4,90393.6,12076.8,12.49,,
XFJ,Financials,6259.4,6270.1,6305.2,6284.7,6306.8,6313.6,6284.4,22.1,0.35,6306.8,6259.4,35.5,0.57,6306.8,6027.3,71.4,1.15,6306.8,5503.9,431.1,7.34,6306.8,5503.9,695.9,12.40,64080.1,64189.5,64571.5,64365.9,64600.6,64600.6,64080.1,399.2,0.62,64600.6,61288.4,1196.5,1.89,64600.6,54492.0,6430.5,11.05,64600.6,54492.0,10044.6,18.41,,
XXJ,Financial-x-A-REIT,7320.8,7348.8,7390.6,7372.6,7399.7,7407.6,7371.7,27.1,0.37,7399.7,7320.8,63.3,0.86,7412.6,7080.1,70.1,0.96,7412.6,6467.5,418.1,5.99,7412.6,6467.5,808.9,12.27,71789.1,72064.3,72503.7,72332.2,72609.5,72609.5,71789.1,667.0,0.93,72609.5,68883.8,1297.6,1.82,72609.5,61376.9,6353.4,9.59,72609.5,61376.9,11175.0,18.19,,
XHJ,Health Care,15343.3,15450.5,15561.1,15561.2,15502.1,15644.2,15484.3,-59.1,-0.38,15561.2,15343.3,203.4,1.33,15561.2,13996.7,1123.0,7.81,15561.2,13849.2,1134.8,7.90,15561.2,13849.2,1515.7,10.84,97190.1,97869.0,98649.3,98702.4,98328.0,98702.4,97190.1,1420.4,1.47,98702.4,88629.9,7277.0,7.99,98702.4,86829.4,8281.2,9.20,98702.4,85058.8,11328.3,13.02,,
XNJ,Industrials,4220.7,4216.9,4230.5,4222.2,4252.2,4258.2,4212.5,30.0,0.71,4252.2,4216.9,38.3,0.91,4252.2,4067.3,100.1,2.41,4252.2,3771.2,283.3,7.14,4252.2,3771.2,460.9,12.16,35573.6,35541.3,35665.3,35625.7,35953.1,35953.1,35541.3,436.5,1.23,35953.1,34255.0,984.0,2.81,35953.1,31167.8,3151.6,9.61,35953.1,30581.2,5176.7,16.82,,
XIJ,Info Technology,809.4,807.1,807.8,804.1,811.4,812.6,804.1,7.3,0.91,811.4,804.1,6.2,0.77,837.6,763.2,-12.8,-1.55,837.6,702.5,69.9,9.43,837.6,702.5,113.2,16.20,5410.9,5395.3,5399.9,5375.5,5424.3,5424.3,5375.5,41.7,0.77,5555.5,5061.8,-42.0,-0.77,5555.5,4603.8,565.2,11.63,5555.5,4568.7,869.9,19.10,,
XMJ,Materials,10141.4,10125.2,10186.8,10072.0,10036.3,10072.0,9975.0,-35.7,-0.35,10186.8,10036.3,-223.8,-2.18,10542.1,10036.3,-415.3,-3.97,10774.9,9487.2,-173.4,-1.70,10774.9,9487.2,424.1,4.41,70824.6,70711.2,71141.3,70339.6,70090.3,71141.3,70090.3,-1563.2,-2.18,73622.9,70090.3,-2762.4,-3.79,73944.4,66130.4,49.0,0.07,73944.4,64475.8,5061.2,7.78,,
XPJ,A-REIT,1155.1,1142.4,1148.1,1138.7,1141.6,1145.7,1138.1,2.9,0.25,1155.1,1138.7,-14.0,-1.21,1155.6,1083.9,25.1,2.25,1155.6,980.1,156.7,15.91,1155.6,980.1,132.8,13.17,33078.3,32714.0,32879.9,32611.4,32693.1,33078.3,32611.4,-399.5,-1.21,33092.5,31034.7,723.6,2.26,33092.5,27037.3,5532.1,20.37,33092.5,26036.8,5385.4,19.72,,
XTJ,Telecommunications,1987.8,1999.5,1933.4,1934.5,1940.6,1947.6,1934.4,6.1,0.32,1999.5,1933.4,-47.5,-2.39,1999.5,1874.7,43.6,2.30,1999.5,1741.3,119.0,6.54,1999.5,1741.3,249.7,14.77,23901.8,24042.5,23832.6,23852.0,23927.9,24042.5,23832.6,23.2,0.10,24042.5,22541.2,1122.0,4.92,24042.5,20377.3,2611.1,12.25,24042.5,19381.8,4156.5,21.02,,
XUJ,Utilities,6053.0,6021.3,6053.0,6038.4,6051.6,6051.6,6008.5,13.2,0.22,6053.0,6021.3,12.8,0.21,6071.2,5892.7,142.0,2.40,6071.2,5357.0,672.1,12.49,6071.2,5357.0,575.9,10.52,64588.4,64249.8,64588.6,64432.5,64573.3,64588.6,64249.8,136.1,0.21,64782.9,62878.3,1514.6,2.40,64782.9,55642.3,8697.5,15.57,64782.9,53514.4,9082.6,16.37,,
XMM,Metals & Mining,3280.5,3270.0,3288.3,3246.4,3235.5,3246.4,3208.6,-10.9,-0.34,3288.3,3235.5,-96.3,-2.89,3453.9,3235.5,-191.6,-5.59,3522.5,3063.2,-103.8,-3.11,3522.5,3063.2,21.5,0.67,4688.4,4673.4,4699.4,4639.6,4624.0,4699.4,4624.0,-137.6,-2.89,4936.1,4624.0,-262.7,-5.38,4948.8,4367.8,-66.5,-1.42,4948.8,4367.8,168.3,3.78,,
XGD,Gold,2307.8,2296.0,2351.4,2354.0,2357.7,2372.6,2343.2,3.7,0.16,2357.7,2296.0,14.0,0.60,2432.3,2268.5,-34.5,-1.44,2679.6,2003.5,459.3,24.20,2679.6,2003.5,-596.1,-20.18,2687.0,2673.2,2737.8,2740.8,2745.1,2745.1,2673.2,16.4,0.60,2831.9,2641.2,-40.2,-1.44,3119.4,2330.8,536.7,24.30,3407.6,2001.8,-675.0,-19.74,,
XJR,S&P/ASX 200 Res,4265.3,4251.0,4263.3,4210.8,4209.1,4210.8,4178.1,-1.7,-0.04,4265.3,4209.1,-87.7,-2.04,4376.0,4209.1,-130.7,-3.01,4376.0,3970.3,22.8,0.54,4376.0,3970.3,133.1,3.27,22815.5,22761.5,22913.3,22630.8,22621.9,22913.3,22621.9,-361.9,-1.57,23407.3,22567.0,-554.5,-2.39,23407.3,20876.7,609.5,2.77,23407.3,20663.0,1393.7,6.57,,
,
