Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-05-28T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 23,May 24,May 25,May 26,May 27,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 23,May 24,May 25,May 26,May 27,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4722.9,4708.3,4661.6,4735.1,4760.3,4764.2,4727.2,25.2,0.53,4760.3,4661.6,-47.4,-0.99,4952.3,4661.6,-193.7,-3.91,5064.9,4609.9,-86.6,-1.79,5064.9,4250.6,281.3,6.28,34463.1,34356.6,34016.1,34558.8,34742.7,34742.7,34016.1,-339.0,-0.97,36023.2,34016.1,-1280.4,-3.55,36827.4,33473.5,-70.0,-0.20,36827.4,29893.9,3336.2,10.62,,
XAF,ALL Australian 50,4615.1,4601.5,4556.4,4628.3,4652.0,4656.6,4618.2,23.7,0.51,4652.0,4556.4,-52.0,-1.11,4854.2,4556.4,-197.9,-4.08,4939.1,4507.3,-30.2,-0.65,4939.1,4220.3,195.0,4.38,34260.2,34159.5,33824.4,34363.5,34539.2,34539.2,33824.4,-381.1,-1.09,35861.4,33824.4,-1290.2,-3.60,36488.5,33259.8,392.6,1.15,36488.5,30076.1,2860.2,9.03,,
XAT,ALL Australian 200,4641.9,4627.6,4582.9,4659.0,4682.9,4686.7,4648.5,23.9,0.51,4682.9,4582.9,-49.4,-1.04,4875.7,4582.9,-192.6,-3.95,4976.2,4531.8,-67.6,-1.42,4976.2,4218.4,231.3,5.19,34370.3,34264.7,33933.1,34502.9,34679.7,34679.7,33933.1,-359.2,-1.03,35954.1,33933.1,-1272.5,-3.54,36695.0,33376.2,88.7,0.26,36695.0,30043.8,3075.8,9.73,,
XTL,S&P/Asx 20,2802.4,2792.2,2763.5,2807.4,2822.3,2825.4,2801.2,14.9,0.53,2822.3,2763.5,-35.0,-1.23,2955.1,2763.5,-126.4,-4.29,2998.7,2726.8,-9.8,-0.35,2998.7,2560.9,105.8,3.89,40792.6,40643.5,40226.8,40865.5,41081.9,41081.9,40226.8,-510.3,-1.23,42765.5,40226.8,-1591.4,-3.73,43396.5,39420.6,628.3,1.55,43396.5,35716.1,3281.2,8.68,,
XFL,S&P/Asx 50,4633.8,4620.2,4574.9,4646.4,4670.3,4675.0,4636.8,23.9,0.51,4670.3,4574.9,-52.3,-1.11,4869.8,4574.9,-194.8,-4.00,4953.4,4522.6,-23.0,-0.49,4953.4,4235.3,194.0,4.33,34369.8,34268.7,33932.7,34468.2,34645.4,34645.4,33932.7,-382.6,-1.09,35947.4,33932.7,-1266.6,-3.53,36564.0,33345.4,442.8,1.29,36564.0,30164.1,2842.9,8.94,,
XTO,S&P/Asx 100,3790.3,3779.5,3743.9,3803.4,3822.7,3826.5,3795.2,19.3,0.51,3822.7,3743.9,-41.4,-1.07,3976.3,3743.9,-151.9,-3.82,4049.1,3695.3,-30.6,-0.80,4049.1,3455.4,169.8,4.65,8524.0,8499.7,8419.5,8554.5,8598.0,8598.0,8419.5,-91.9,-1.06,8903.8,8419.5,-302.0,-3.39,9067.0,8264.4,79.5,0.93,9067.0,7468.5,727.6,9.24,,
XJO,S&P/Asx 200,4643.0,4628.8,4584.7,4660.2,4684.0,4688.0,4650.1,23.8,0.51,4684.0,4584.7,-48.2,-1.02,4873.0,4584.7,-188.9,-3.88,4971.2,4528.7,-61.2,-1.29,4971.2,4222.1,226.5,5.08,34340.0,34235.7,33909.1,34473.5,34649.2,34649.2,33909.1,-350.0,-1.00,35894.7,33909.1,-1244.5,-3.47,36617.7,33317.6,130.7,0.38,36617.7,30045.0,3029.5,9.58,,
XKO,S&P/Asx 300,4652.3,4637.9,4591.6,4666.5,4690.8,4694.7,4656.8,24.3,0.52,4690.8,4591.6,-50.1,-1.06,4883.9,4591.6,-193.2,-3.96,4984.1,4537.2,-70.0,-1.47,4984.1,4214.7,240.3,5.40,34330.3,34223.9,33882.6,34440.4,34620.1,34620.1,33882.6,-363.4,-1.04,35896.4,33882.6,-1276.3,-3.56,36632.1,33306.3,59.8,0.17,36632.1,29938.5,3106.1,9.86,,
XMD,S&P/Asx Midcap 50,4271.6,4262.0,4233.8,4309.6,4329.9,4336.4,4296.9,20.3,0.47,4329.9,4233.8,-34.8,-0.80,4420.2,4233.8,-107.5,-2.42,4573.1,4130.0,-137.6,-3.08,4573.1,3797.0,289.4,7.16,10028.9,10006.4,9940.2,10118.3,10165.8,10165.8,9940.2,-81.8,-0.80,10413.3,9940.2,-247.6,-2.38,10728.9,9674.0,-182.8,-1.77,10728.9,8628.5,1062.0,11.66,,
XSO,S&P/Asx Small Ords,2652.3,2637.8,2597.5,2650.1,2667.4,2667.4,2645.2,17.3,0.65,2667.4,2597.5,-24.8,-0.92,2803.3,2597.5,-148.2,-5.26,2946.3,2592.6,-225.1,-7.78,2946.3,2229.7,319.2,13.59,6015.8,5982.8,5891.4,6013.6,6052.7,6052.7,5891.4,-51.9,-0.85,6380.2,5891.4,-327.5,-5.13,6625.3,5867.0,-449.6,-6.92,6625.3,4946.8,860.6,16.57,,
