Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-06-25T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 20,Jun 21,Jun 22,Jun 23,Jun 24,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4512.5,4565.2,4590.8,4561.4,4565.0,4576.8,4549.1,3.6,0.08,4590.8,4512.5,13.9,0.31,4788.9,4512.5,-143.3,-3.04,5064.9,4512.5,-281.9,-5.82,5064.9,4250.6,125.6,2.83,32986.8,33371.9,33558.9,33343.9,33423.9,33558.9,32986.8,158.7,0.48,34951.8,32986.8,-932.7,-2.71,36827.4,32986.8,-1388.9,-3.99,36827.4,29893.9,2202.3,7.05,,
XAF,All Australian 50,4423.7,4481.3,4503.3,4469.1,4483.0,4498.8,4463.5,13.9,0.31,4503.3,4423.7,31.2,0.70,4672.2,4423.7,-118.5,-2.58,4939.1,4423.7,-199.2,-4.25,4939.1,4220.3,62.9,1.42,32910.8,33339.8,33503.1,33249.1,33384.8,33503.1,32910.8,264.6,0.80,34689.0,32910.8,-774.7,-2.27,36488.5,32910.8,-761.7,-2.23,36488.5,30076.1,1884.8,5.98,,
XAT,All Australian 200,4450.7,4507.3,4531.6,4499.3,4506.3,4519.9,4488.3,7.0,0.16,4531.6,4450.7,21.9,0.49,4707.8,4450.7,-121.3,-2.62,4976.2,4450.7,-244.2,-5.14,4976.2,4218.4,97.2,2.21,33020.3,33440.6,33620.9,33380.9,33484.9,33620.9,33020.3,218.1,0.66,34864.1,33020.3,-779.8,-2.28,36695.0,33020.3,-1106.1,-3.20,36695.0,30043.8,2082.9,6.63,,
XTL,S&P/ASX 20,2678.1,2715.1,2728.7,2704.7,2716.3,2727.8,2703.6,11.6,0.43,2728.7,2678.1,21.0,0.78,2831.6,2678.1,-75.9,-2.72,2998.7,2678.1,-115.8,-4.09,2998.7,2560.9,29.2,1.09,39082.2,39621.5,39821.1,39469.6,39639.7,39821.1,39082.2,306.6,0.78,41217.2,39082.2,-1003.8,-2.47,43396.5,39082.2,-813.9,-2.01,43396.5,35716.1,2162.8,5.77,,
XFL,S&P/ASX 50,4440.1,4497.8,4520.3,4486.0,4500.1,4515.8,4480.6,14.1,0.31,4520.3,4440.1,32.0,0.72,4690.7,4440.1,-120.1,-2.60,4953.4,4440.1,-193.2,-4.12,4953.4,4235.3,63.8,1.44,33004.9,33433.6,33600.8,33345.5,33483.2,33600.8,33004.9,270.8,0.82,34797.2,33004.9,-785.5,-2.29,36564.0,33004.9,-719.4,-2.10,36564.0,30164.1,1887.1,5.97,,
XTO,S&P/ASX 100,3634.2,3680.6,3699.7,3673.3,3680.7,3692.5,3665.8,7.4,0.20,3699.7,3634.2,21.5,0.59,3840.3,3634.2,-98.8,-2.61,4049.1,3634.2,-172.6,-4.48,4049.1,3455.4,66.0,1.83,8189.7,8294.4,8337.4,8277.9,8306.8,8337.4,8189.7,61.7,0.75,8637.6,8189.7,-192.9,-2.27,9067.0,8189.7,-211.7,-2.49,9067.0,7468.5,493.9,6.32,,
XJO,S&P/ASX 200,4451.7,4508.2,4532.6,4500.5,4508.1,4521.5,4490.2,7.6,0.17,4532.6,4451.7,23.2,0.52,4708.3,4451.7,-120.7,-2.61,4971.2,4451.7,-237.1,-5.00,4971.2,4222.1,95.1,2.15,32990.8,33409.2,33590.0,33352.3,33459.5,33590.0,32990.8,226.7,0.68,34829.1,32990.8,-776.1,-2.27,36617.7,32990.8,-1059.0,-3.07,36617.7,30045.0,2056.1,6.55,,
XKO,S&P/ASX 300,4454.6,4510.5,4535.5,4503.7,4509.9,4522.8,4492.7,6.2,0.14,4535.5,4454.6,20.0,0.44,4716.6,4454.6,-128.0,-2.76,4984.1,4454.6,-250.9,-5.27,4984.1,4214.7,105.4,2.39,32936.3,33349.3,33534.3,33298.8,33395.9,33534.3,32936.3,202.4,0.61,34810.0,32936.3,-828.1,-2.42,36632.1,32936.3,-1164.5,-3.37,36632.1,29938.5,2109.2,6.74,,
XMD,S&P/ASX MidCap 50,4113.7,4159.8,4187.1,4172.3,4144.3,4172.1,4126.4,-28.0,-0.67,4187.1,4113.7,-16.9,-0.40,4378.3,4113.7,-117.7,-2.76,4573.1,4113.7,-323.2,-7.24,4573.1,3797.0,192.5,4.87,9671.0,9779.4,9843.4,9808.8,9794.4,9843.4,9671.0,22.5,0.23,10279.3,9671.0,-212.1,-2.12,10728.9,9671.0,-554.2,-5.36,10728.9,8628.5,814.1,9.07,,
XSO,S&P/ASX Small Ords,2506.6,2532.0,2555.2,2540.0,2528.0,2541.0,2521.7,-12.0,-0.47,2555.2,2506.6,-23.8,-0.93,2705.6,2506.6,-109.8,-4.16,2946.3,2506.6,-364.5,-12.60,2946.3,2229.7,201.3,8.65,5690.8,5748.5,5801.2,5766.7,5751.3,5801.2,5690.8,-42.2,-0.73,6139.3,5690.8,-231.5,-3.87,6625.3,5690.8,-751.0,-11.55,6625.3,4946.8,590.9,11.45,,
XDJ,Consumer Discretionary,1331.0,1343.9,1356.0,1351.2,1353.4,1357.4,1349.0,2.2,0.16,1356.0,1331.0,14.3,1.07,1419.9,1331.0,-39.4,-2.83,1557.8,1331.0,-147.4,-9.82,1572.1,1331.0,-121.4,-8.23,8861.7,8947.6,9027.6,8995.8,9014.2,9027.6,8861.7,98.7,1.11,9453.4,8861.7,-259.0,-2.79,10210.5,8861.7,-768.1,-7.85,10246.9,8861.7,-414.7,-4.40,,
XSJ,Consumer Staples,7637.7,7786.1,7776.2,7727.8,7791.6,7821.2,7727.8,63.8,0.83,7791.6,7637.7,116.2,1.51,7854.0,7637.7,8.3,0.11,8013.9,7490.6,77.1,1.00,8415.1,7214.4,305.4,4.08,54428.4,55485.8,55415.9,55070.4,55525.4,55525.4,54428.4,901.3,1.65,55895.2,54370.3,133.2,0.24,56701.2,52783.5,1727.5,3.21,58402.4,49212.8,4459.0,8.73,,
XEJ,Energy,14605.7,14869.3,14957.8,14822.2,14759.5,14831.4,14657.9,-62.7,-0.42,14957.8,14605.7,-159.4,-1.07,16512.9,14605.7,-1132.1,-7.12,17736.5,14605.7,-1354.9,-8.41,17736.5,13791.8,341.3,2.37,96190.8,97926.8,98509.6,97616.3,97203.5,98509.6,96190.8,-1050.2,-1.07,108751.5,96190.8,-7456.2,-7.12,116809.6,96190.8,-7889.7,-7.51,116809.6,88892.3,4273.4,4.60,,
