Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-28T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 23,Jun 24,Jun 25,Jun 26,Jun 27,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5432.7,5415.1,5386.8,5446.8,5429.1,5462.1,5424.7,-17.7,-0.32,5446.8,5386.8,27.5,0.51,5506.7,5363.9,-61.7,-1.12,5516.1,5088.7,76.0,1.42,5516.1,5088.7,653.7,13.69,45335.3,45188.2,44978.3,45561.0,45415.6,45561.0,44978.3,339.9,0.75,45938.0,44760.9,-388.2,-0.85,45938.0,41681.2,1570.5,3.58,45938.0,37584.9,7145.2,18.67,,
XAF,All Australian 50,5554.9,5535.5,5501.8,5567.1,5550.5,5585.0,5545.6,-16.6,-0.30,5567.1,5501.8,29.6,0.54,5631.8,5484.2,-70.0,-1.25,5650.1,5175.5,92.7,1.70,5650.1,5175.5,641.1,13.06,47659.4,47493.0,47237.3,47877.1,47734.6,47877.1,47237.3,367.4,0.78,48305.8,47052.5,-474.9,-0.99,48305.8,43505.3,1856.2,4.05,48305.8,39513.1,7414.6,18.39,,
XAT,All Australian 200,5411.4,5391.2,5360.5,5422.4,5403.2,5438.0,5398.9,-19.2,-0.35,5422.4,5360.5,26.0,0.48,5484.5,5339.9,-65.8,-1.20,5493.5,5028.8,98.5,1.86,5493.5,5028.8,637.7,13.38,46105.1,45933.6,45700.3,46311.4,46149.8,46311.4,45700.3,335.4,0.73,46712.5,45496.1,-429.3,-0.92,46712.5,42022.3,1822.4,4.11,46712.5,38178.5,7219.6,18.54,,
XTL,S&P/ASX 20,3432.1,3417.6,3397.2,3440.2,3428.0,3451.1,3425.3,-12.2,-0.35,3440.2,3397.2,17.4,0.51,3490.3,3390.9,-54.2,-1.56,3508.1,3184.2,49.6,1.47,3508.1,3184.2,413.6,13.72,57939.8,57695.3,57382.6,58109.0,57903.7,58109.0,57382.6,325.5,0.57,58922.5,57244.2,-883.0,-1.50,58922.5,52576.0,2121.0,3.80,58922.5,47632.8,9270.0,19.06,,
XFL,S&P/ASX 50,5619.3,5600.0,5565.4,5631.4,5614.3,5649.2,5609.2,-17.1,-0.30,5631.4,5565.4,29.7,0.53,5697.9,5547.6,-72.4,-1.27,5715.6,5238.2,87.4,1.58,5715.6,5238.2,649.4,13.08,48126.2,47960.6,47698.7,48343.5,48196.7,48343.5,47698.7,367.8,0.77,48786.8,47512.2,-493.7,-1.01,48786.8,43959.9,1813.8,3.91,48786.8,39903.7,7481.5,18.38,,
XTO,S&P/ASX 100,4534.5,4517.9,4492.6,4544.7,4529.7,4558.1,4525.5,-15.0,-0.33,4544.7,4492.6,23.1,0.51,4596.2,4477.5,-54.9,-1.20,4605.4,4210.6,84.5,1.90,4605.4,4210.6,539.3,13.52,11753.7,11710.7,11652.5,11808.2,11769.8,11808.2,11652.5,88.5,0.76,11909.6,11605.9,-109.5,-0.92,11909.6,10700.4,473.1,4.19,11909.6,9720.1,1856.8,18.73,,
XJO,S&P/ASX 200,5453.3,5432.8,5402.0,5464.3,5445.1,5480.1,5440.7,-19.2,-0.35,5464.3,5402.0,25.6,0.47,5527.2,5382.7,-66.6,-1.21,5536.1,5070.3,92.9,1.74,5536.1,5070.3,642.5,13.38,46367.6,46193.1,45959.7,46573.0,46411.5,46573.0,45959.7,331.6,0.72,46979.9,45767.4,-435.5,-0.93,46979.9,42284.9,1776.4,3.98,46979.9,38412.1,7248.2,18.51,,
XVI,S&P/ASX 200 VIX,10.459,10.423,11.017,10.289,10.722,10.792,10.197,0.433,4.21,11.017,10.289,0.310,2.98,12.526,10.226,-0.580,-5.13,18.372,0.147,-0.840,-7.27,20.900,0.147,-6.921,-39.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5395.4,5375.9,5345.9,5407.0,5388.3,5422.6,5384.0,-18.7,-0.35,5407.0,5345.9,25.9,0.48,5466.4,5324.6,-62.9,-1.15,5476.4,5027.6,83.5,1.57,5476.4,5027.6,629.8,13.24,45709.9,45544.3,45317.1,45918.6,45762.1,45918.6,45317.1,332.0,0.73,46295.7,45109.5,-402.9,-0.87,46295.7,41785.8,1673.3,3.80,46295.7,37947.0,7084.6,18.32,,
XMD,S&P/ASX MidCap 50,4564.7,4539.6,4536.4,4579.1,4553.1,4590.2,4545.1,-26.0,-0.57,4579.1,4536.4,15.4,0.34,4622.0,4487.3,-24.4,-0.53,4622.0,4099.4,203.6,4.68,4622.0,4099.4,672.0,17.31,12159.0,12092.0,12083.6,12228.1,12166.0,12228.1,12083.6,79.0,0.65,12303.9,11952.9,-12.0,-0.10,12303.9,10758.1,751.6,6.59,12303.9,9839.6,2173.3,21.75,,
XSO,S&P/ASX Small Ords,2158.3,2151.3,2139.9,2160.2,2148.5,2165.5,2148.5,-11.7,-0.54,2160.2,2139.9,2.6,0.12,2177.3,2105.4,-13.3,-0.61,2277.1,2092.8,-45.1,-2.06,2277.1,2092.8,204.1,10.50,5380.3,5362.9,5335.1,5400.4,5371.3,5400.4,5335.1,21.9,0.41,5425.4,5248.0,-15.4,-0.29,5645.9,5156.7,-32.1,-0.59,5645.9,4658.5,660.8,14.03,,
XDJ,Consumer Discretionary,1782.1,1775.1,1765.4,1796.6,1787.4,1802.6,1784.0,-9.2,-0.51,1796.6,1765.4,14.4,0.81,1823.6,1736.3,-18.2,-1.01,1913.4,1715.0,-43.7,-2.38,1913.4,1715.0,214.3,13.63,13443.9,13390.4,13321.1,13562.7,13493.4,13562.7,13321.1,118.2,0.88,13744.9,13097.7,-115.9,-0.85,14336.1,12735.0,-103.9,-0.76,14336.1,11313.6,1988.9,17.29,,
XSJ,Consumer Staples,9791.3,9774.0,9768.5,9903.7,9831.1,9939.3,9822.2,-72.6,-0.73,9903.7,9768.5,119.3,1.23,10323.4,9711.8,-484.5,-4.70,10323.4,9567.9,-184.9,-1.85,10323.4,9567.9,191.3,1.98,79854.9,79713.7,79668.7,80771.1,80237.0,80771.1,79668.7,1030.4,1.30,84194.5,79206.5,-3894.1,-4.63,84194.5,76594.5,55.1,0.07,84194.5,73767.7,4850.1,6.43,,
XEJ,Energy,14456.6,14428.5,14301.5,14397.0,14437.2,14468.7,14391.1,40.2,0.28,14456.6,14301.5,16.1,0.11,14624.4,14301.0,-81.9,-0.56,14624.4,13017.6,814.3,5.98,14624.4,13017.6,1930.1,15.43,103297.1,103096.6,102189.0,102871.4,103158.4,103297.1,102189.0,115.3,0.11,104495.7,102185.2,-585.1,-0.56,104495.7,91514.2,7388.5,7.71,104495.7,85198.7,16538.1,19.09,,
XFJ,Financials,6158.6,6126.3,6083.1,6159.1,6126.0,6168.6,6118.1,-33.1,-0.54,6159.1,6083.1,-4.8,-0.08,6180.8,6083.1,-0.7,-0.01,6215.0,5503.9,250.3,4.26,6215.0,5503.9,797.5,14.97,62383.0,62056.3,61700.2,62626.3,62289.9,62626.3,61700.2,188.6,0.30,62626.3,61669.0,230.5,0.37,62626.3,54492.0,4119.8,7.08,62626.3,50216.6,10936.4,21.30,,
XXJ,Financial-x-A-REIT,7255.5,7213.4,7163.3,7260.5,7214.5,7276.0,7206.4,-46.0,-0.63,7260.5,7163.3,-10.8,-0.15,7295.7,7163.3,-11.3,-0.16,7363.2,6467.5,232.9,3.34,7363.2,6467.5,1035.0,16.75,70588.6,70179.6,69692.3,70638.9,70191.7,70638.9,69692.3,-103.0,-0.15,70979.8,69692.3,-107.3,-0.15,70979.8,61376.9,3935.6,5.94,70979.8,55822.0,13074.6,22.89,,
XHJ,Health Care,14341.7,14259.6,14194.9,14347.5,14332.3,14440.5,14327.6,-15.2,-0.11,14347.5,14194.9,62.9,0.44,14821.9,14194.9,-343.9,-2.34,14937.8,13849.2,-35.0,-0.24,14937.8,13849.2,1278.3,9.79,90814.0,90294.2,89884.9,90850.9,90754.6,90850.9,89884.9,398.2,0.44,93854.8,89884.9,-2177.9,-2.34,94445.0,86829.4,707.8,0.79,94445.0,79371.7,9923.8,12.28,,
