Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-06-13T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 5,Jun 9,Jun 10,Jun 11,Jun 12,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 5,Jun 9,Jun 10,Jun 11,Jun 12,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5506.5,5479.7,5486.0,5562.6,5552.1,5562.6,5536.4,-10.5,-0.19,5562.6,5479.7,40.8,0.74,5774.9,5479.7,-120.9,-2.13,5954.8,5278.8,163.5,3.03,5954.8,5278.8,168.4,3.13,47954.3,47731.4,47786.3,0.0,48362.5,48362.5,47731.4,366.3,0.76,50289.7,47731.4,-841.4,-1.71,51568.0,45110.3,2315.6,5.03,51568.0,43681.7,3436.7,7.65,,
XAF,All Australian 50,5540.4,5516.5,5523.4,5602.0,5591.1,5602.6,5573.4,-10.9,-0.19,5602.0,5516.5,39.6,0.71,5825.5,5516.5,-136.5,-2.38,6081.0,5389.2,92.9,1.69,6081.0,5389.2,73.4,1.33,49767.3,49559.0,49621.1,0.0,50229.3,50229.3,49559.0,362.9,0.73,52328.5,49559.0,-947.4,-1.85,54222.3,47407.4,1862.9,3.85,54222.3,45852.9,2889.9,6.10,,
XAT,All Australian 200,5446.9,5420.3,5427.8,5505.7,5494.2,5505.7,5477.8,-11.5,-0.21,5505.7,5420.3,41.3,0.76,5724.8,5420.3,-127.4,-2.27,5926.9,5251.9,131.1,2.44,5926.9,5251.9,132.3,2.47,48496.3,48269.0,48335.6,0.0,48927.0,48927.0,48269.0,377.6,0.78,50968.0,48269.0,-897.6,-1.80,52442.3,45851.2,2106.1,4.50,52442.3,44281.4,3242.9,7.10,,
XTL,S&P/ASX 20,3359.0,3343.9,3346.6,3399.1,3386.4,3399.5,3377.6,-12.7,-0.37,3399.1,3343.9,16.1,0.48,3540.5,3343.9,-113.0,-3.23,3760.5,3321.7,-12.4,-0.36,3760.5,3321.7,-30.3,-0.89,59475.9,59207.9,59256.0,0.0,59960.3,59960.3,59207.9,284.5,0.48,62689.3,59207.9,-1600.8,-2.60,65985.5,57424.2,1204.4,2.05,65985.5,55673.0,2280.0,3.95,,
XFL,S&P/ASX 50,5606.6,5582.2,5589.2,5669.4,5658.2,5669.8,5640.0,-11.2,-0.20,5669.4,5582.2,40.3,0.72,5894.1,5582.2,-137.5,-2.37,6152.9,5453.2,94.8,1.70,6152.9,5453.2,76.5,1.37,50273.5,50061.4,50124.2,0.0,50742.7,50742.7,50061.4,368.5,0.73,52851.6,50061.4,-951.8,-1.84,54764.7,47882.7,1892.2,3.87,54764.7,46300.1,2938.4,6.15,,
XTO,S&P/ASX 100,4576.3,4555.6,4560.9,4625.5,4616.6,4626.2,4602.7,-8.9,-0.19,4625.5,4555.6,33.7,0.74,4809.2,4555.6,-107.3,-2.27,4996.2,4422.0,103.6,2.30,4996.2,4422.0,117.1,2.60,12404.5,12350.8,12365.1,0.0,12516.1,12516.1,12350.8,94.0,0.76,13035.1,12350.8,-226.6,-1.78,13449.8,11747.2,527.2,4.40,13449.8,11295.6,853.4,7.32,,
XJO,S&P/ASX 200,5498.5,5471.3,5478.6,5556.7,5545.3,5556.7,5528.9,-11.4,-0.21,5556.7,5471.3,41.0,0.74,5777.2,5471.3,-129.5,-2.28,5982.7,5299.2,134.2,2.48,5982.7,5299.2,140.2,2.59,48851.3,48619.3,48684.7,0.0,49276.7,49276.7,48619.3,373.5,0.76,51324.9,48619.3,-913.2,-1.82,52822.2,46166.2,2137.4,4.53,52822.2,44533.8,3319.4,7.22,,
XVI,S&P/ASX 200 VIX,18.378,18.645,18.163,17.042,17.426,17.949,17.315,0.384,2.25,18.645,17.042,-1.153,-6.21,18.645,15.106,-0.486,-2.71,19.692,0.171,2.845,19.51,19.692,0.171,5.782,49.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5442.4,5415.6,5422.5,5499.3,5488.4,5499.3,5472.2,-10.9,-0.20,5499.3,5415.6,39.9,0.73,5716.0,5415.6,-128.0,-2.28,5912.7,5240.7,139.5,2.61,5912.7,5240.7,141.7,2.65,48166.0,47937.0,47998.5,0.0,48582.5,48582.5,47937.0,362.4,0.75,50585.1,47937.0,-903.7,-1.83,52008.8,45487.5,2156.9,4.65,52008.8,43915.8,3285.7,7.25,,
XMD,S&P/ASX MidCap 50,5052.8,5022.8,5024.8,5088.7,5081.2,5094.6,5072.5,-7.5,-0.15,5088.7,5022.8,44.3,0.88,5294.2,5022.8,-74.4,-1.44,5363.8,4638.6,333.8,7.03,5363.8,4638.6,593.9,13.24,13939.0,13866.4,13872.0,0.0,14027.8,14027.8,13866.4,132.6,0.95,14599.3,13866.4,-178.6,-1.26,14759.9,12623.2,1108.3,8.58,14759.9,11578.7,2075.0,17.36,,
XSO,S&P/ASX Small Ords,2161.2,2140.7,2146.3,2176.6,2171.3,2176.6,2165.6,-5.3,-0.24,2176.6,2140.7,14.8,0.69,2263.3,2140.7,-53.1,-2.39,2263.3,2001.2,126.9,6.21,2263.3,2001.2,65.9,3.13,5561.4,5508.8,5523.5,0.0,5587.8,5587.8,5508.8,38.5,0.69,5823.6,5508.8,-135.7,-2.37,5823.6,5089.5,390.2,7.51,5823.6,4882.3,339.7,6.47,,
XDJ,Consumer Discretionary,1920.4,1893.3,1886.0,1909.2,1905.1,1917.0,1903.6,-4.1,-0.21,1920.4,1886.0,-4.6,-0.24,2009.7,1886.0,-47.6,-2.44,2021.0,1713.3,151.8,8.66,2021.0,1713.3,168.9,9.73,15000.7,14788.6,14731.5,14913.4,14881.1,15000.7,14731.5,-36.2,-0.24,15696.3,14731.5,-359.1,-2.36,15772.9,13162.6,1411.4,10.48,15772.9,12935.8,1783.4,13.62,,
XSJ,Consumer Staples,8755.8,8670.1,8733.1,8700.9,8662.2,8700.9,8652.3,-38.7,-0.44,8755.8,8662.2,-34.2,-0.39,9379.1,8662.2,-403.3,-4.45,10122.8,8662.2,-510.9,-5.57,10122.8,8662.2,-1252.4,-12.63,74456.8,73727.9,74264.1,73989.7,73660.5,74456.8,73660.5,-291.0,-0.39,79756.8,73660.5,-3429.3,-4.45,85291.5,73660.5,-2848.2,-3.72,85291.5,73342.3,-7199.5,-8.90,,
XEJ,Energy,11237.3,11253.5,11417.1,11652.3,11653.9,11696.6,11526.6,1.7,0.01,11653.9,11237.3,402.5,3.58,11823.9,11190.5,73.3,0.63,12090.7,10301.0,52.5,0.45,12090.7,10301.0,-2934.0,-20.11,84011.5,84132.9,85355.6,87113.8,87126.2,87126.2,84011.5,3009.4,3.58,88397.5,83661.9,547.9,0.63,90391.5,74854.3,2821.9,3.35,111140.9,74854.3,-17108.8,-16.41,,
XFJ,Financials,6209.2,6188.0,6201.2,6311.3,6295.9,6326.9,6273.4,-15.4,-0.24,6311.3,6188.0,49.5,0.79,6583.5,6188.0,-190.1,-2.93,7186.4,6165.5,40.5,0.65,7186.4,6165.5,173.1,2.83,66209.9,65983.2,66124.7,67298.6,67134.8,67298.6,65983.2,528.6,0.79,70200.5,65983.2,-1400.4,-2.04,75638.7,64303.3,1895.6,2.91,75638.7,59639.1,5114.4,8.25,,
XXJ,Financial-x-A-REIT,7151.1,7123.5,7134.7,7285.8,7260.5,7306.3,7234.1,-25.3,-0.35,7285.8,7123.5,56.8,0.79,7599.8,7123.5,-247.6,-3.30,8394.2,7123.5,-21.7,-0.30,8394.2,7123.5,32.7,0.45,73776.1,73237.3,72954.5,73070.6,0.0,73237.3,72954.5,0.0,0.00,77833.1,72954.5,0.0,0.00,84666.9,71254.0,0.0,0.00,84666.9,66776.9,0.0,0.00,,
XHJ,Health Care,18487.8,18365.1,18211.7,18263.0,18372.8,18403.3,18208.2,109.8,0.60,18487.8,18211.7,68.9,0.38,19135.2,18080.7,111.4,0.61,19933.9,17005.1,885.6,5.06,19933.9,17005.1,4063.6,28.40,119498.1,118705.0,117713.5,118044.8,118754.9,119498.1,117713.5,445.1,0.38,123682.8,116830.4,757.1,0.64,128804.9,108911.1,6756.3,6.03,128804.9,88629.9,28146.4,31.06,,
XNJ,Industrials,4750.5,4746.3,4735.7,4765.7,4756.4,4774.0,4745.5,-9.3,-0.20,4765.7,4735.7,31.2,0.66,4968.2,4725.2,32.7,0.69,4968.2,4233.2,434.6,10.06,4968.2,4233.2,714.0,17.66,41170.7,41149.6,41058.2,41318.2,41237.5,41318.2,41058.2,286.5,0.70,43057.2,40938.0,299.4,0.73,43057.2,36323.0,4153.8,11.20,43057.2,32870.0,7410.1,21.91,,
XIJ,Info Technology,809.2,804.1,808.3,812.3,815.5,819.0,811.1,3.2,0.39,815.5,804.1,2.0,0.24,837.9,802.6,13.6,1.69,853.7,757.6,32.8,4.19,853.7,757.6,30.9,3.94,5520.0,5485.1,5513.6,5541.2,5563.0,5563.0,5485.1,13.4,0.24,5713.7,5468.3,94.7,1.73,5803.2,5098.0,296.3,5.63,5803.2,4958.9,359.3,6.90,,
XMJ,Materials,9113.2,9022.1,9049.8,9230.2,9179.1,9230.2,9147.3,-51.1,-0.55,9230.2,9022.1,64.2,0.70,9556.0,9022.1,-352.2,-3.70,9946.3,8248.8,451.3,5.17,9946.3,8248.8,-308.1,-3.25,65935.7,65324.4,65524.7,66830.9,66460.7,66830.9,65324.4,512.7,0.78,69062.4,65324.4,-2399.5,-3.48,70664.0,58495.7,4568.4,7.38,73622.9,57471.6,330.3,0.50,,
XPJ,A-REIT,1251.1,1249.8,1256.3,1255.1,1259.3,1266.8,1248.2,4.2,0.33,1259.3,1249.8,10.1,0.81,1312.0,1249.1,-10.8,-0.85,1343.7,1197.3,73.1,6.16,1343.7,1197.3,190.7,17.84,36705.3,36668.0,36857.9,0.0,36945.8,36945.8,36668.0,297.4,0.81,38493.3,36648.4,-316.2,-0.85,39203.9,34828.8,2440.3,7.07,39203.9,29682.6,7167.5,24.07,,
XTJ,Telecommunications,2129.9,2131.4,2112.9,2140.7,2136.7,2146.6,2132.3,-4.0,-0.19,2140.7,2112.9,10.9,0.51,2226.0,2112.9,-33.3,-1.54,2321.2,2072.7,49.9,2.39,2321.2,2072.7,323.1,17.81,26873.3,26892.3,26658.8,27009.6,26958.4,27009.6,26658.8,137.5,0.51,28086.0,26658.8,-420.7,-1.54,28647.5,25580.0,1204.3,4.68,28647.5,21671.9,5154.8,23.64,,
XUJ,Utilities,6576.0,6535.5,6517.4,6575.4,6632.7,6653.9,6548.2,57.3,0.87,6632.7,6517.4,56.4,0.86,6918.1,6515.4,82.2,1.25,6918.1,5936.5,718.5,12.15,6918.1,5936.5,779.1,13.31,72818.1,72546.1,72344.6,72989.1,73624.9,73624.9,72344.6,803.3,1.10,76606.1,72147.2,1089.0,1.50,76606.1,65111.5,8758.6,13.50,76606.1,61723.0,11939.9,19.36,,
XMM,Metals & Mining,2706.6,2674.4,2681.7,2734.8,2712.5,2734.8,2703.3,-22.3,-0.82,2734.8,2674.4,2.2,0.08,2894.8,2674.4,-178.9,-6.19,3045.0,2488.4,65.5,2.48,3045.0,2488.4,-350.7,-11.45,4006.4,3958.7,3969.5,4048.2,4015.1,4048.2,3958.7,3.2,0.08,4285.0,3958.7,-264.7,-6.19,4412.5,3604.6,180.7,4.71,4936.1,3537.4,-352.7,-8.07,,
XGD,Gold,2563.8,2550.7,2568.0,2565.9,2570.3,2573.5,2534.3,4.4,0.17,2570.3,2550.7,27.9,1.10,2736.3,2542.4,-24.1,-0.93,2736.3,2069.2,522.9,25.54,2736.3,2069.2,407.8,18.86,2995.4,2980.1,3000.3,2997.8,3002.9,3002.9,2980.1,32.5,1.10,3196.9,2970.4,-28.2,-0.93,3196.9,2412.7,615.7,25.79,3196.9,1941.8,485.2,19.27,,
XJR,S&P/ASX 200 Res,3405.4,3378.3,3399.7,3468.8,3449.2,3468.8,3431.3,-19.6,-0.57,3468.8,3378.3,40.4,1.19,3609.3,3378.3,-148.8,-4.13,3741.5,3157.8,58.9,1.74,3741.5,3157.8,-568.6,-14.15,18929.8,18779.2,18898.0,0.0,19173.1,19173.1,18779.2,224.7,1.19,20062.8,18779.2,-826.9,-4.13,20500.6,17142.0,769.2,4.18,23407.3,16867.8,-2283.5,-10.64,,
,
