Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-12-14T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 9,Dec 10,Dec 11,Dec 12,Dec 13,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 9,Dec 10,Dec 11,Dec 12,Dec 13,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5148.4,5146.2,5109.5,5069.2,5101.5,5101.5,5053.1,32.3,0.64,5148.4,5069.2,-84.5,-1.63,5396.2,5069.2,-216.0,-4.06,5437.3,4633.5,436.9,9.37,5437.3,4633.5,506.4,11.02,42091.1,42072.8,41773.1,41443.6,41708.4,42091.1,41443.6,-690.0,-1.63,44096.1,41443.6,-1744.2,-4.01,44191.5,37020.3,5065.8,13.82,44191.5,35980.0,5673.2,15.74,,
XAF,All Australian 50,5263.8,5265.3,5220.2,5174.5,5210.0,5210.0,5159.3,35.5,0.69,5265.3,5174.5,-99.8,-1.88,5517.1,5174.5,-229.2,-4.21,5561.2,4733.5,512.3,10.90,5561.2,4733.5,580.1,12.53,44178.3,44191.3,43813.0,43428.7,43727.4,44191.3,43428.7,-837.5,-1.88,46292.6,43428.7,-1910.9,-4.19,46381.3,38052.6,5965.2,15.80,46381.3,37073.1,6559.5,17.65,,
XAT,All Australian 200,5100.9,5100.1,5060.8,5019.9,5054.6,5054.6,5003.7,34.7,0.69,5100.9,5019.9,-87.9,-1.71,5357.9,5019.9,-222.0,-4.21,5399.5,4619.6,423.3,9.14,5399.5,4619.6,488.7,10.70,42544.8,42538.3,42210.2,41869.0,42159.4,42544.8,41869.0,-732.3,-1.71,44668.6,41869.0,-1831.1,-4.16,44742.6,37380.5,5105.1,13.78,44742.6,36391.9,5689.2,15.60,,
XTL,S&P/ASX 20,3250.3,3249.8,3223.0,3193.5,3214.2,3214.2,3183.6,20.7,0.65,3250.3,3193.5,-66.7,-2.03,3400.4,3193.5,-136.7,-4.08,3445.1,2885.8,347.6,12.13,3445.1,2885.8,387.3,13.70,53667.6,53659.3,53217.0,52728.6,53071.1,53667.6,52728.6,-1101.3,-2.03,56145.9,52728.6,-2256.3,-4.08,56458.8,45563.7,7811.8,17.26,56458.8,44479.7,8437.5,18.90,,
XFL,S&P/ASX 50,5327.6,5329.3,5284.0,5237.6,5273.8,5273.8,5223.2,36.2,0.69,5329.3,5237.6,-100.5,-1.87,5583.4,5237.6,-230.3,-4.18,5628.4,4770.1,541.2,11.43,5628.4,4770.1,609.2,13.06,44640.6,44655.2,44275.6,43886.4,44189.8,44655.2,43886.4,-842.3,-1.87,46771.7,43886.4,-1917.0,-4.16,46862.3,38295.2,6198.1,16.31,46862.3,37299.7,6793.6,18.17,,
XTO,S&P/ASX 100,4276.3,4276.5,4241.9,4206.2,4235.3,4235.3,4193.9,29.1,0.69,4276.5,4206.2,-76.3,-1.77,4483.4,4206.2,-179.8,-4.07,4513.5,3855.7,414.6,10.85,4513.5,3855.7,468.9,12.45,10848.2,10848.7,10760.8,10670.3,10744.5,10848.7,10670.3,-193.2,-1.77,11369.0,10670.3,-451.3,-4.03,11384.6,9380.5,1449.8,15.60,11384.6,9126.8,1596.7,17.45,,
XJO,S&P/ASX 200,5144.4,5143.6,5104.3,5062.5,5098.4,5098.4,5047.5,35.9,0.71,5144.4,5062.5,-87.6,-1.69,5401.7,5062.5,-220.8,-4.15,5441.4,4656.0,449.4,9.67,5441.4,4656.0,515.3,11.24,42823.2,42815.9,42488.8,42141.4,42441.6,42823.2,42141.4,-727.8,-1.69,44945.0,42141.4,-1817.0,-4.11,45009.1,37467.1,5307.1,14.29,45009.1,36470.6,5893.5,16.13,,
XVI,S&P/ASX 200 VIX,15.912,15.489,16.123,18.218,16.003,18.050,15.784,-2.215,-12.16,18.218,15.489,0.668,4.36,18.218,12.693,1.285,8.73,21.700,11.776,-4632.947,-99.66,21.700,11.776,-4567.106,-99.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5098.1,5096.9,5058.3,5017.5,5052.5,5052.5,5002.2,35.0,0.70,5098.1,5017.5,-86.5,-1.68,5352.8,5017.5,-219.3,-4.16,5395.3,4613.2,426.2,9.21,5395.3,4613.2,491.7,10.78,42293.0,42282.8,41962.9,41624.4,41915.9,42293.0,41624.4,-716.1,-1.68,44387.1,41624.4,-1799.0,-4.12,44475.2,37184.2,5075.8,13.78,44475.2,36186.0,5657.1,15.60,,
XMD,S&P/ASX MidCap 50,4111.4,4101.5,4082.7,4061.8,4090.4,4090.4,4032.4,28.6,0.70,4111.4,4061.8,-36.2,-0.88,4326.4,4061.8,-130.9,-3.10,4326.4,3799.1,227.4,5.89,4326.4,3799.1,276.9,7.26,10750.9,10725.0,10676.1,10621.3,10699.4,10750.9,10621.3,-91.4,-0.85,11293.7,10621.3,-319.8,-2.90,11293.7,9756.1,930.1,9.52,11293.7,9605.7,1094.9,11.40,,
