Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Monday at 2013-03-04T17:35:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 25,Feb 26,Feb 27,Feb 28,Mar 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 25,Feb 26,Feb 27,Feb 28,Mar 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1535.1,1512.9,1517.0,1536.2,1536.5,1536.5,1527.1,0.3,0.02,1536.5,1512.9,26.5,1.75,1536.5,1463.8,63.4,4.30,1536.5,1364.5,192.7,14.34,1536.5,1195.0,249.5,19.38,11075.5,10921.9,10979.2,11123.0,11125.3,11125.3,10921.9,242.0,2.22,11125.3,10505.5,553.3,5.23,11125.3,9792.3,1481.0,15.36,11125.3,8383.2,2199.6,24.64,,
XSJ,Consumer Staples,10034.9,9863.6,9929.7,10132.0,10193.0,10193.0,10064.9,61.0,0.60,10193.0,9863.6,318.0,3.22,10193.0,9290.3,909.3,9.79,10193.0,8912.8,1318.6,14.86,10193.0,7290.5,2761.0,37.15,77802.5,76474.7,76987.2,78555.1,79028.1,79028.1,76474.7,2465.2,3.22,79028.1,71260.0,7768.1,10.90,79028.1,68413.1,10909.8,16.02,79028.1,54028.2,23951.2,43.49,,
XEJ,Energy,13203.9,13083.1,13219.7,13591.5,13515.4,13591.5,13391.0,-76.1,-0.56,13591.5,13083.1,425.9,3.25,13627.4,12915.6,445.6,3.41,13627.4,12557.5,1109.4,8.94,14406.8,11554.9,-773.4,-5.41,90866.0,90366.3,91309.3,93877.9,93527.1,93877.9,90366.3,4027.0,4.50,93877.9,88311.5,4161.5,4.66,93877.9,85862.9,8700.5,10.26,97148.7,77918.0,-2647.5,-2.75,,
XFJ,Financials,5348.2,5296.6,5324.9,5393.7,5399.8,5409.0,5362.6,6.1,0.11,5399.8,5296.6,101.4,1.91,5399.8,5079.1,278.6,5.44,5399.8,4767.7,646.1,13.59,5399.8,3913.1,1378.3,34.27,50625.8,50138.5,50407.1,51080.1,51137.5,51137.5,50138.5,1013.9,2.02,51137.5,47726.2,3016.5,6.27,51137.5,44797.5,6479.0,14.51,51137.5,35085.0,15288.3,42.65,,
XXJ,Financial-x-A-REIT,6205.5,6142.2,6170.1,6256.2,6283.0,6289.4,6226.1,26.8,0.43,6283.0,6142.2,137.1,2.23,6283.0,5848.1,382.9,6.49,6283.0,5485.5,831.1,15.24,6283.0,4433.9,1678.0,36.44,56325.7,55753.8,56006.8,56817.1,57060.5,57060.5,55753.8,1315.8,2.36,57060.5,52718.0,3873.8,7.28,57060.5,49449.4,7914.1,16.10,57060.5,38520.7,17712.5,45.02,,
XHJ,Health Care,12351.6,12293.9,12427.3,12620.6,12566.7,12625.9,12509.3,-53.9,-0.43,12620.6,12293.9,271.2,2.21,12620.6,11967.0,490.0,4.06,12620.6,11476.5,934.1,8.03,12620.6,8014.5,4396.9,53.82,75857.3,75502.8,76322.0,77648.1,77316.4,77648.1,75502.8,1803.5,2.39,77648.1,73346.6,3297.3,4.45,77648.1,70340.0,6019.4,8.44,77648.1,48115.1,28314.3,57.78,,
XNJ,Industrials,3937.1,3907.0,3916.9,3970.5,3944.9,3970.5,3931.0,-25.6,-0.64,3970.5,3907.0,24.2,0.62,3970.5,3735.0,164.7,4.36,3970.5,3605.6,393.2,11.07,3970.5,3159.7,181.6,4.82,31319.7,31088.5,31175.4,31601.8,31417.9,31601.8,31088.5,228.2,0.73,31601.8,29696.1,1362.9,4.53,31601.8,28667.2,3179.7,11.26,31601.8,24610.7,2586.5,8.97,,
XIJ,Info Technology,678.4,668.5,672.3,681.5,684.1,684.7,676.1,2.6,0.38,684.1,668.5,10.0,1.48,684.1,650.3,7.1,1.04,687.1,611.4,87.5,14.66,687.1,483.9,184.8,37.01,4348.7,4285.0,4309.4,4368.7,4385.4,4385.4,4285.0,64.0,1.48,4385.4,4131.6,83.9,1.95,4385.4,3884.8,594.7,15.69,4385.4,3019.4,1293.2,41.82,,
XMJ,Materials,10651.7,10527.2,10616.0,10737.7,10586.0,10737.7,10569.3,-151.7,-1.41,10737.7,10527.2,-82.4,-0.77,11228.0,10527.2,-266.7,-2.46,11228.0,10527.2,-14.9,-0.14,11232.9,8986.0,-703.3,-6.23,71049.6,70218.7,70811.1,71623.3,70634.9,71623.3,70218.7,-457.5,-0.64,74792.0,70218.7,-1657.1,-2.29,74792.0,70218.7,20.3,0.03,74792.0,58941.4,-3118.9,-4.23,,
XPJ,A-REIT,1030.7,1023.7,1033.8,1041.3,1024.6,1041.3,1024.5,-16.7,-1.60,1041.3,1023.7,1.9,0.19,1041.3,1003.2,-0.3,-0.02,1041.3,960.8,50.8,5.21,1041.3,810.5,193.6,23.30,27130.8,26947.7,27212.4,27411.0,26970.6,27411.0,26947.7,50.5,0.19,27411.0,26408.5,248.6,0.93,27411.0,25044.0,1612.8,6.36,27411.0,20145.6,6317.4,30.59,,
XTJ,Telecommunications,1578.3,1571.4,1577.8,1571.4,1550.7,1571.6,1541.0,-20.7,-1.32,1578.3,1550.7,-9.9,-0.64,1593.5,1540.0,-40.4,-2.54,1597.4,1515.3,54.7,3.65,1597.4,1101.4,414.8,36.52,17949.2,17870.9,17943.3,17870.8,17635.7,17949.2,17635.7,-112.5,-0.63,18026.4,17330.6,53.0,0.30,18026.4,16745.5,1103.2,6.67,18026.4,11728.8,5546.5,45.88,,
XUJ,Utilities,5462.7,5396.6,5525.7,5553.4,5506.5,5559.6,5480.0,-46.9,-0.84,5553.4,5396.6,89.0,1.64,5553.4,5294.9,78.7,1.45,5553.4,5233.6,248.6,4.73,5553.4,4558.1,946.4,20.75,53711.4,53061.3,54331.3,54764.7,54302.2,54764.7,53061.3,1035.5,1.94,54764.7,52062.1,933.9,1.75,54764.7,51459.2,2604.5,5.04,54764.7,42838.5,11445.0,26.70,,
XMM,Metals & Mining,3604.5,3566.3,3593.3,3629.3,3581.3,3629.3,3570.0,-48.0,-1.32,3629.3,3566.3,-26.8,-0.74,3841.7,3566.3,-135.0,-3.63,3841.7,3566.3,-62.1,-1.70,3992.8,3071.9,-444.8,-11.05,4926.7,4874.5,4911.3,4960.6,4896.0,4960.6,4874.5,-35.6,-0.72,5249.3,4874.5,-181.9,-3.58,5249.3,4874.5,-82.3,-1.65,5375.3,4138.3,-515.5,-9.53,,
XGD,Gold,4411.7,4470.7,4534.9,4510.1,4394.6,4510.1,4372.4,-115.5,-2.56,4534.9,4394.6,-19.0,-0.43,4988.0,4264.2,-533.8,-10.83,5191.8,4264.2,-504.1,-10.29,6682.2,4264.2,-2343.3,-34.78,5087.5,5155.6,5229.6,5201.0,5067.8,5229.6,5067.8,-22.0,-0.43,5752.2,4917.5,-615.5,-10.83,5987.1,4917.5,-581.3,-10.29,7639.3,4917.5,-2632.7,-34.19,,
XJR,S&P/ASX 200 Res,4352.0,4306.8,4342.9,4408.6,4359.5,4408.6,4339.2,-49.1,-1.11,4408.6,4306.8,14.8,0.34,4567.3,4306.8,-73.8,-1.66,4567.3,4306.8,48.9,1.13,4733.4,3728.7,-405.3,-8.51,22297.9,22087.9,22272.8,22609.7,22372.8,22609.7,22087.9,150.8,0.68,23355.8,22087.9,-297.4,-1.31,23355.8,22025.4,329.7,1.50,23852.0,18796.9,-1596.0,-6.66,,
,
