Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-03-10T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 5,Mar 6,Mar 7,Mar 8,Mar 9,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 5,Mar 6,Mar 7,Mar 8,Mar 9,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4354.2,4295.5,4234.4,4262.2,4300.5,4303.7,4262.2,38.3,0.90,4354.2,4234.4,-63.6,-1.46,4389.0,4234.4,-56.6,-1.30,4389.0,4155.2,189.5,4.61,5064.9,3927.6,-434.3,-9.17,33023.2,32581.1,32123.2,32339.5,32643.8,33023.2,32123.2,-417.2,-1.26,33227.2,31958.2,-59.8,-0.18,33227.2,31164.7,1810.4,5.87,36827.4,29204.1,-1733.6,-5.04,,
XAF,All Australian 50,4214.9,4157.8,4099.4,4127.0,4166.8,4172.5,4127.0,39.8,0.96,4214.9,4099.4,-58.3,-1.38,4259.2,4099.4,-80.4,-1.89,4269.4,4092.7,117.7,2.91,4939.1,3853.0,-441.9,-9.59,32657.2,32214.4,31764.6,31979.3,32292.0,32657.2,31764.6,-405.6,-1.24,32853.4,31764.6,-215.4,-0.66,32853.4,31296.5,1328.3,4.29,36488.5,29181.9,-1716.3,-5.05,,
XAT,All Australian 200,4256.0,4197.1,4135.9,4163.2,4204.2,4208.2,4163.2,41.0,0.98,4256.0,4135.9,-61.9,-1.45,4300.6,4135.9,-72.1,-1.69,4300.6,4095.7,153.5,3.79,4976.2,3855.4,-443.6,-9.54,32843.7,32390.9,31920.5,32135.1,32459.3,32843.7,31920.5,-422.5,-1.28,33065.6,31856.4,-160.7,-0.49,33065.6,31218.0,1584.2,5.13,36695.0,29116.8,-1769.6,-5.17,,
XTL,S&P/ASX 20,2528.6,2494.8,2459.2,2475.8,2499.9,2503.8,2475.8,24.1,0.97,2528.6,2459.2,-35.7,-1.41,2571.1,2459.2,-68.2,-2.66,2585.2,2459.2,50.2,2.05,2998.7,2334.2,-286.3,-10.28,38446.5,37932.7,37390.7,37642.8,38010.5,38446.5,37390.7,-514.4,-1.34,38768.8,37390.7,-540.3,-1.40,38776.8,37130.7,1265.4,3.44,43396.5,34671.5,-2268.7,-5.63,,
XFL,S&P/ASX 50,4242.8,4186.0,4127.1,4155.4,4195.5,4201.0,4155.4,40.1,0.97,4242.8,4127.1,-57.8,-1.36,4287.4,4127.1,-80.0,-1.87,4297.0,4119.7,119.0,2.92,4953.4,3876.7,-428.6,-9.27,32831.7,32392.2,31940.7,32160.2,32474.4,32831.7,31940.7,-400.4,-1.22,33029.6,31940.7,-210.1,-0.64,33029.6,31465.6,1339.0,4.30,36564.0,29332.3,-1619.8,-4.75,,
XTO,S&P/ASX 100,3467.2,3420.4,3371.7,3393.5,3426.9,3430.8,3393.5,33.4,0.98,3467.2,3371.7,-48.5,-1.40,3504.2,3371.7,-60.6,-1.74,3504.2,3352.0,110.2,3.32,4049.1,3155.5,-356.7,-9.43,8132.9,8023.5,7910.2,7962.3,8041.8,8132.9,7910.2,-100.3,-1.23,8184.5,7898.0,-41.8,-0.52,8184.5,7763.4,360.1,4.69,9067.0,7240.1,-419.8,-4.96,,
XJO,S&P/ASX 200,4263.0,4204.7,4143.7,4171.0,4212.0,4215.9,4171.0,41.0,0.98,4263.0,4143.7,-61.1,-1.43,4306.8,4143.7,-70.9,-1.65,4306.8,4101.2,155.4,3.83,4971.2,3863.9,-432.8,-9.32,32849.1,32401.7,31934.5,32149.5,32472.0,32849.1,31934.5,-415.5,-1.26,33068.2,31862.6,-155.1,-0.48,33068.2,31218.6,1592.8,5.16,36617.7,29145.7,-1698.1,-4.97,,
XKO,S&P/ASX 300,4266.7,4208.4,4147.4,4174.6,4215.4,4219.1,4174.6,40.8,0.98,4266.7,4147.4,-61.4,-1.44,4308.7,4147.4,-67.2,-1.57,4308.7,4097.1,163.1,4.03,4984.1,3860.9,-441.0,-9.47,32785.4,32338.9,31873.8,32086.6,32408.1,32785.4,31873.8,-416.0,-1.27,33003.9,31783.9,-132.0,-0.41,33003.9,31106.7,1641.5,5.34,36632.1,29050.7,-1771.4,-5.18,,
XMD,S&P/ASX MidCap 50,3881.5,3825.7,3766.0,3778.9,3822.2,3822.2,3778.9,43.3,1.15,3881.5,3766.0,-65.3,-1.68,3928.5,3735.6,-23.2,-0.60,3928.5,3609.5,243.3,6.80,4573.1,3408.2,-452.7,-10.59,9488.8,9355.9,9209.8,9248.1,9356.5,9488.8,9209.8,-127.3,-1.34,9573.2,9051.4,49.6,0.53,9573.2,8736.2,694.4,8.02,10728.9,8186.5,-653.9,-6.53,,
XSO,S&P/ASX Small Ords,2498.6,2460.5,2419.0,2436.5,2458.4,2458.5,2436.5,21.9,0.90,2498.6,2419.0,-45.8,-1.83,2526.6,2391.9,1.5,0.06,2526.6,2240.7,249.0,11.27,2920.5,2137.3,-265.5,-9.75,5806.3,5718.1,5621.5,5664.2,5723.0,5806.3,5621.5,-93.5,-1.61,5863.1,5536.8,38.8,0.68,5863.1,5181.7,614.1,12.02,6617.6,4915.5,-439.4,-7.13,,
XDJ,Consumer Discretionary,1280.0,1272.4,1260.7,1261.5,1266.1,1266.1,1257.4,4.6,0.36,1280.0,1260.7,-20.9,-1.63,1291.4,1207.2,22.5,1.81,1291.4,1179.0,93.4,7.96,1514.8,1140.6,-193.9,-13.28,8880.4,8827.1,8754.5,8780.9,8818.7,8880.4,8754.5,-107.0,-1.20,8925.7,8298.4,295.0,3.46,8925.7,8076.6,785.2,9.77,10062.3,7636.0,-836.2,-8.66,,
XSJ,Consumer Staples,7433.1,7366.8,7310.8,7308.0,7320.4,7324.5,7271.3,12.4,0.17,7433.1,7308.0,-111.6,-1.50,7441.8,7251.5,42.5,0.58,7562.4,7241.1,-12.7,-0.17,7967.2,7011.2,-324.5,-4.24,55084.5,54593.5,54178.7,54157.6,54249.3,55084.5,54157.6,-827.7,-1.50,55084.5,53064.1,992.5,1.86,55339.0,52987.4,588.3,1.10,56761.7,49979.4,256.3,0.47,,
XEJ,Energy,14197.2,13906.3,13757.1,13992.6,14236.6,14261.0,13992.6,244.0,1.74,14236.6,13757.1,-52.2,-0.36,14705.5,13686.1,102.8,0.73,14705.5,12824.6,1493.4,11.72,17736.5,11605.0,-1595.5,-10.08,95661.6,93748.5,92742.5,94356.0,96001.4,96001.4,92742.5,-173.2,-0.18,98057.5,91260.2,1756.2,1.86,98057.5,85515.8,11028.5,12.98,116809.6,77383.0,-8266.5,-7.93,,
XFJ,Financials,4024.2,3989.6,3931.7,3953.1,3979.6,3985.3,3946.5,26.5,0.67,4024.2,3931.7,-41.9,-1.04,4037.0,3931.7,-50.2,-1.25,4066.9,3931.7,73.7,1.89,4615.7,3596.7,-404.8,-9.23,35910.2,35601.8,35085.0,35275.9,35512.3,35910.2,35085.0,-337.0,-0.94,35910.4,34929.4,-101.8,-0.29,35910.4,34730.9,1061.4,3.08,38590.5,30965.7,-1136.3,-3.10,,
XXJ,Financial-x-A-REIT,4608.1,4573.3,4502.6,4533.3,4566.3,4572.3,4524.5,33.0,0.73,4608.1,4502.6,-38.7,-0.84,4645.4,4502.6,-67.7,-1.46,4676.1,4502.6,60.9,1.35,5390.0,4119.7,-503.8,-9.94,39423.4,39125.6,38520.7,38783.9,39066.2,39423.4,38520.7,-281.8,-0.72,39510.7,38298.5,-131.3,-0.33,39553.8,38178.9,956.2,2.51,43193.7,34142.5,-1563.5,-3.85,,
XHJ,Health Care,8220.2,8140.4,8027.8,8014.5,8122.7,8129.1,8003.5,108.2,1.35,8220.2,8014.5,-47.1,-0.58,8248.9,7756.5,249.1,3.16,8248.9,7756.1,135.1,1.69,9186.8,7082.8,-423.0,-4.95,49349.7,48870.7,48194.4,48115.1,48764.3,49349.7,48115.1,-237.8,-0.49,49349.7,46310.6,1783.2,3.80,49349.7,46279.9,1102.7,2.31,53892.5,41891.0,-1348.2,-2.69,,
XNJ,Industrials,3762.3,3708.7,3629.9,3683.5,3704.5,3705.0,3674.0,21.0,0.57,3762.3,3629.9,-58.8,-1.56,3771.9,3556.3,92.5,2.56,3771.9,3379.0,366.7,10.99,3806.1,3031.9,59.6,1.64,28959.3,28546.8,27940.8,28354.5,28580.0,28959.3,27940.8,-251.3,-0.87,28959.3,27181.6,984.9,3.57,28959.3,25815.0,3079.8,12.08,28959.3,22990.4,1447.1,5.33,,
XIJ,Info Technology,505.1,511.0,508.9,505.9,503.4,505.9,497.7,-2.5,-0.49,511.0,503.4,4.1,0.82,512.0,493.8,-3.6,-0.71,512.0,482.8,4.9,0.98,601.2,458.0,-82.1,-14.03,3128.2,3164.6,3151.7,3133.1,3129.7,3164.6,3128.2,37.5,1.21,3164.6,3028.2,31.3,1.01,3164.6,2950.6,83.0,2.72,3601.2,2743.0,-367.1,-10.50,,
XMJ,Materials,11196.1,10935.9,10723.6,10806.7,11007.1,11017.0,10806.7,200.4,1.85,11196.1,10723.6,-282.2,-2.50,11627.7,10723.6,-663.8,-5.69,11833.2,10665.2,514.5,4.90,15046.2,10436.7,-2401.7,-17.91,73242.6,71541.8,70172.1,70718.0,72029.6,73242.6,70172.1,-1724.2,-2.34,75532.7,70172.1,-3503.0,-4.64,76582.8,69023.5,4122.8,6.07,96133.1,67434.3,-13616.6,-15.90,,
XPJ,A-REIT,831.5,820.0,812.0,810.8,813.8,818.9,810.0,3.0,0.37,831.5,810.8,-17.2,-2.07,831.5,798.0,-1.3,-0.16,836.7,785.8,36.3,4.67,876.0,708.9,-47.8,-5.54,20666.1,20381.4,20182.5,20151.7,20227.8,20666.1,20151.7,-425.4,-2.06,20666.1,19807.8,-4.7,-0.02,20666.1,19271.5,1159.8,6.08,20666.1,17036.7,151.7,0.76,,
XTJ,Telecommunications,1129.2,1113.5,1107.7,1114.6,1115.1,1121.7,1108.2,0.5,0.04,1129.2,1107.7,-20.8,-1.83,1170.2,1105.7,-35.4,-3.08,1173.7,1105.7,-20.4,-1.80,1173.7,891.0,210.7,23.30,12018.3,11850.8,11789.3,11863.0,11867.7,12018.3,11789.3,-221.5,-1.83,12180.7,11767.9,95.2,0.81,12180.7,11476.1,248.3,2.14,12180.7,8708.4,3028.4,34.26,,
XUJ,Utilities,4601.2,4567.2,4558.1,4572.1,4612.9,4612.9,4566.2,40.8,0.89,4612.9,4558.1,52.8,1.16,4661.5,4527.2,-11.5,-0.25,4663.5,4527.2,68.5,1.51,4663.5,3990.1,511.4,12.47,43243.4,42923.4,42838.5,42969.9,43352.9,43352.9,42838.5,495.7,1.16,43352.9,42294.1,427.4,1.00,43352.9,42294.1,1170.4,2.77,43352.9,35021.3,7407.9,20.61,,
