Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-26T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 21,Jan 22,Jan 23,Jan 24,Jan 25,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4802.2,4802.9,4812.1,4833.8,4858.9,4858.9,4833.8,25.1,0.52,4858.9,4802.2,64.2,1.34,4858.9,4661.4,213.3,4.59,4858.9,4712.3,194.3,4.17,4858.9,4033.4,510.4,11.74,37726.6,37733.2,37805.0,37975.6,38172.9,38172.9,37726.6,505.6,1.34,38172.9,36617.8,1679.8,4.60,38172.9,37020.3,1530.3,4.18,38172.9,30869.4,5557.4,17.04,,
XAF,All Australian 50,4815.6,4819.6,4830.4,4855.0,4878.0,4879.4,4855.0,23.0,0.47,4878.0,4815.6,68.7,1.43,4878.0,4696.8,190.1,4.05,4878.0,4733.5,180.3,3.84,4878.0,3983.7,608.6,14.25,38712.8,38745.0,38831.9,39029.7,39214.3,39214.3,38712.8,552.2,1.43,39214.3,37754.5,1530.8,4.06,39214.3,38052.6,1452.1,3.85,39214.3,31167.4,6565.9,20.11,,
XAT,All Australian 200,4756.7,4758.2,4767.3,4789.6,4813.6,4813.7,4789.6,24.0,0.50,4813.6,4756.7,63.3,1.33,4813.6,4630.0,196.5,4.26,4813.6,4671.7,182.3,3.94,4813.6,3973.9,530.7,12.39,38060.2,38072.9,38146.2,38324.2,38516.1,38516.1,38060.2,506.9,1.33,38516.1,37043.9,1575.1,4.26,38516.1,37380.5,1461.7,3.94,38516.1,30947.5,5870.3,17.98,,
XTL,S&P/ASX 20,2937.7,2939.6,2950.4,2968.1,2981.9,2982.7,2968.1,13.8,0.46,2981.9,2937.7,49.3,1.68,2981.9,2866.3,119.4,4.17,2981.9,2885.8,115.3,4.02,2981.9,2396.0,396.7,15.35,46382.5,46412.7,46583.4,46862.2,47080.1,47080.1,46382.5,778.1,1.68,47080.1,45255.0,1884.8,4.17,47080.1,45563.7,1820.8,4.02,47080.1,36842.5,8303.3,21.41,,
XFL,S&P/ASX 50,4853.0,4857.6,4868.3,4893.3,4916.1,4917.3,4893.3,22.8,0.47,4916.1,4853.0,69.1,1.43,4916.1,4731.9,193.0,4.09,4916.1,4770.1,183.5,3.88,4916.1,4010.1,619.1,14.41,38961.3,38997.8,39083.9,39284.4,39467.9,39467.9,38961.3,555.0,1.43,39467.9,37986.0,1552.5,4.09,39467.9,38295.2,1476.2,3.89,39467.9,31334.8,6647.7,20.25,,
XTO,S&P/ASX 100,3925.0,3928.0,3936.1,3955.5,3976.0,3976.2,3955.5,20.5,0.52,3976.0,3925.0,54.8,1.40,3976.0,3820.5,164.2,4.31,3976.0,3855.7,155.3,4.06,3976.0,3260.5,476.9,13.63,9549.0,9556.5,9576.1,9623.3,9673.2,9673.2,9549.0,133.3,1.40,9673.2,9294.3,400.1,4.31,9673.2,9380.5,378.4,4.07,9673.2,7719.3,1569.0,19.36,,
XJO,S&P/ASX 200,4777.5,4779.1,4787.8,4810.2,4835.2,4835.2,4810.2,25.0,0.52,4835.2,4777.5,64.0,1.34,4835.2,4648.0,200.0,4.32,4835.2,4690.3,186.3,4.01,4835.2,3985.0,546.8,12.75,38164.0,38177.4,38247.3,38426.2,38625.5,38625.5,38164.0,511.6,1.34,38625.5,37126.6,1600.9,4.32,38625.5,37467.1,1491.0,4.02,38625.5,30989.0,5981.2,18.32,,
XKO,S&P/ASX 300,4756.7,4758.0,4767.2,4789.6,4814.2,4814.2,4789.6,24.6,0.51,4814.2,4756.7,63.9,1.35,4814.2,4624.9,202.4,4.39,4814.2,4669.1,187.9,4.06,4814.2,3977.4,529.3,12.35,37881.8,37892.2,37965.6,38144.3,38340.1,38340.1,37881.8,509.7,1.35,38340.1,36829.4,1615.3,4.40,38340.1,37184.2,1500.0,4.07,38340.1,30841.3,5806.7,17.85,,
XMD,S&P/ASX MidCap 50,4028.9,4026.9,4029.7,4042.8,4081.1,4084.9,4042.8,38.3,0.95,4081.1,4026.9,46.6,1.16,4081.1,3863.0,237.8,6.19,4081.1,3914.1,218.1,5.65,4081.1,3435.4,277.6,7.30,10188.9,10183.7,10190.8,10224.0,10320.9,10320.9,10183.7,118.0,1.16,10320.9,9769.3,601.4,6.19,10320.9,9898.6,551.5,5.65,10320.9,8495.1,1115.2,12.11,,
XSO,S&P/ASX Small Ords,2369.6,2355.8,2357.3,2362.3,2372.9,2372.9,2361.5,10.7,0.45,2372.9,2355.8,17.4,0.74,2372.9,2273.6,120.6,5.36,2372.9,2304.9,92.2,4.04,2526.6,2044.8,-17.8,-0.74,5657.6,5625.8,5629.5,5641.3,5666.8,5666.8,5625.8,43.0,0.76,5666.8,5428.0,289.8,5.39,5666.8,5503.0,222.0,4.08,5892.6,4798.2,137.0,2.48,,
