Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-10-26T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 21,Oct 22,Oct 23,Oct 24,Oct 25,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5351.5,5371.2,5356.8,5373.7,5385.7,5396.3,5373.7,12.0,0.22,5385.7,5351.5,64.7,1.22,5385.7,5146.2,115.6,2.19,5385.7,5385.7,721.1,15.46,5385.7,5385.7,889.4,19.78,43492.4,43652.6,43535.7,43672.7,43770.6,43770.6,43492.4,525.9,1.22,43770.6,41821.8,953.5,2.23,43770.6,37020.3,7127.9,19.45,43770.6,34178.2,8743.6,24.96,,
XAF,All Australian 50,5457.3,5480.8,5461.3,5480.6,5498.7,5509.0,5480.6,18.1,0.33,5498.7,5457.3,69.0,1.27,5498.7,5249.7,118.2,2.20,5498.7,5498.7,801.0,17.05,5498.7,5498.7,981.5,21.73,45470.3,45666.6,45503.8,45664.6,45815.6,45815.6,45470.3,575.0,1.27,45815.6,43740.8,984.7,2.20,45815.6,38052.6,8053.4,21.33,45815.6,35183.4,9846.5,27.38,,
XAT,All Australian 200,5308.3,5329.8,5312.7,5329.7,5344.2,5354.5,5329.7,14.5,0.27,5344.2,5308.3,66.3,1.26,5344.2,5104.3,111.4,2.13,5344.2,5344.2,712.9,15.39,5344.2,5344.2,889.4,19.97,43985.9,44163.7,44022.0,44163.3,44283.4,44283.4,43985.9,549.2,1.26,44283.4,42295.1,929.9,2.15,44283.4,37380.5,7229.1,19.51,44283.4,34495.2,8961.9,25.37,,
XTL,S&P/ASX 20,3367.0,3380.9,3369.8,3382.7,3399.1,3403.1,3382.7,16.4,0.48,3399.1,3367.0,50.3,1.50,3399.1,3229.1,81.3,2.45,3399.1,3399.1,532.5,18.58,3399.1,3399.1,652.8,23.77,55117.5,55345.2,55163.8,55375.3,55643.4,55643.4,55117.5,822.6,1.50,55643.4,52861.3,1330.7,2.45,55643.4,45563.7,10384.1,22.94,55643.4,42090.9,12698.4,29.57,,
XFL,S&P/ASX 50,5522.5,5546.2,5527.0,5546.3,5565.3,5575.9,5546.3,19.0,0.34,5565.3,5522.5,70.4,1.28,5565.3,5311.8,121.8,2.24,5565.3,5565.3,832.7,17.59,5565.3,5565.3,1013.0,22.25,45939.9,46137.1,45977.3,46137.8,46296.0,46296.0,45939.9,585.2,1.28,46296.0,44187.7,1013.5,2.24,46296.0,38295.2,8304.3,21.86,46296.0,35398.8,10095.3,27.89,,
XTO,S&P/ASX 100,4437.3,4454.9,4439.5,4454.7,4466.6,4475.2,4454.7,11.9,0.27,4466.6,4437.3,53.5,1.21,4466.6,4269.9,93.0,2.13,4466.6,4466.6,645.9,16.90,4466.6,4466.6,794.1,21.62,11180.4,11224.7,11185.9,11224.3,11254.2,11254.2,11180.4,134.9,1.21,11254.2,10758.5,235.2,2.13,11254.2,9380.5,1959.5,21.08,11254.2,8647.2,2403.0,27.15,,
XJO,S&P/ASX 200,5351.8,5373.1,5356.1,5372.9,5386.3,5397.1,5372.9,13.4,0.25,5386.3,5351.8,64.8,1.22,5386.3,5147.1,110.4,2.09,5386.3,5386.3,737.4,15.86,5386.3,5386.3,913.9,20.43,44262.3,44439.1,44298.1,44436.9,44548.3,44548.3,44262.3,536.6,1.22,44548.3,42569.6,919.8,2.11,44548.3,37467.1,7413.7,19.96,44548.3,34568.7,9142.2,25.82,,
XVI,S&P/ASX 200 VIX,12.286,12.295,12.465,11.925,11.776,11.913,11.453,-0.149,-1.25,12.465,11.776,-3.140,-21.05,16.327,11.776,-1.637,-12.20,21.700,11.776,-4637.174,-99.75,21.700,11.776,-4460.604,-99.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5305.6,5327.4,5311.1,5327.6,5341.4,5351.6,5327.6,13.8,0.26,5341.4,5305.6,66.2,1.26,5341.4,5103.8,110.2,2.11,5341.4,5341.4,715.1,15.46,5341.4,5341.4,885.0,19.86,43735.7,43915.0,43781.1,43916.5,44030.5,44030.5,43735.7,546.1,1.26,44030.5,42071.2,917.3,2.13,44030.5,37184.2,7190.4,19.52,44030.5,34326.6,8854.9,25.17,,
XMD,S&P/ASX MidCap 50,4305.8,4310.4,4295.7,4308.3,4290.5,4317.5,4287.3,-17.8,-0.41,4310.4,4290.5,26.2,0.61,4310.4,4158.9,48.0,1.13,4310.8,4310.8,427.5,11.07,4310.8,4310.8,599.7,16.25,11227.3,11239.2,11200.8,11233.8,11187.5,11239.2,11187.5,68.5,0.62,11239.2,10844.3,134.3,1.22,11239.2,9756.1,1418.1,14.52,11239.2,8970.1,1932.1,20.88,,
