Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-21T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 16,Feb 17,Feb 18,Feb 19,Feb 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5849.5,5822.3,5877.9,5869.8,5845.6,5876.4,5837.7,-24.2,-0.41,5877.9,5822.3,10.1,0.17,5877.9,5367.4,558.8,10.57,5877.9,5278.8,457.0,8.48,5877.9,5278.8,396.2,7.27,50020.3,49889.1,50383.7,50318.4,50118.5,50383.7,49889.1,218.3,0.44,50383.7,45179.0,4939.5,10.93,50383.7,45110.3,4071.6,8.84,50383.7,43681.7,5342.2,11.93,,
XAF,All Australian 50,5992.4,5960.8,6020.6,6009.8,5985.6,6014.3,5975.6,-24.2,-0.40,6020.6,5960.8,7.5,0.12,6020.6,5484.6,588.8,10.91,6020.6,5389.2,487.4,8.86,6020.6,5389.2,446.5,8.06,52750.3,52610.0,53158.3,53066.7,52861.0,53158.3,52610.0,235.8,0.45,53158.3,47474.8,5386.3,11.35,53158.3,47407.4,4494.7,9.29,53158.3,45790.5,6130.1,13.12,,
XAT,All Australian 200,5833.8,5803.5,5861.2,5849.5,5827.7,5856.3,5818.8,-21.8,-0.37,5861.2,5803.5,5.2,0.09,5861.2,5345.2,567.9,10.80,5861.2,5251.9,464.6,8.66,5861.2,5251.9,431.9,8.01,50966.4,50817.9,51341.8,51243.1,51058.7,51341.8,50817.9,191.3,0.38,51341.8,45920.0,5138.7,11.19,51341.8,45851.2,4237.8,9.05,51341.8,44281.4,5815.9,12.85,,
XTL,S&P/ASX 20,3707.4,3680.9,3709.0,3701.1,3688.3,3701.9,3681.9,-12.8,-0.35,3709.0,3680.9,-5.5,-0.15,3709.0,3378.4,361.0,10.85,3709.0,3321.7,289.5,8.52,3709.0,3321.7,272.4,7.97,64147.3,63898.0,64417.2,64280.1,64057.4,64417.2,63898.0,144.9,0.23,64417.2,57519.8,6537.6,11.37,64417.2,57424.2,5301.5,9.02,64417.2,55519.4,7437.2,13.14,,
XFL,S&P/ASX 50,6064.1,6032.8,6092.7,6081.5,6056.9,6085.5,6046.9,-24.6,-0.40,6092.7,6032.8,7.4,0.12,6092.7,5549.9,595.6,10.91,6092.7,5453.2,493.5,8.87,6092.7,5453.2,452.1,8.07,53284.7,53148.2,53696.9,53601.4,53393.1,53696.9,53148.2,237.3,0.45,53696.9,47954.1,5439.0,11.34,53696.9,47882.7,4542.7,9.30,53696.9,46261.4,6186.8,13.11,,
XTO,S&P/ASX 100,4913.9,4888.3,4937.3,4928.0,4910.4,4933.7,4902.9,-17.6,-0.36,4937.3,4888.3,5.3,0.11,4937.3,4500.3,482.4,10.89,4937.3,4422.0,397.4,8.81,4937.3,4422.0,397.3,8.80,13063.7,13026.9,13162.2,13138.2,13092.9,13162.2,13026.9,52.6,0.40,13162.2,11763.2,1329.8,11.30,13162.2,11747.2,1104.1,9.21,13162.2,11295.6,1583.2,13.76,,
XJO,S&P/ASX 200,5888.7,5858.2,5915.7,5904.2,5881.5,5910.8,5872.9,-22.7,-0.38,5915.7,5858.2,4.0,0.07,5915.7,5393.4,573.8,10.81,5915.7,5299.2,470.5,8.69,5915.7,5299.2,442.8,8.14,51337.1,51187.9,51708.7,51612.2,51420.7,51708.7,51187.9,181.2,0.35,51708.7,46239.6,5181.1,11.20,51708.7,46166.2,4281.5,9.08,51708.7,44533.8,5909.9,12.99,,
XVI,S&P/ASX 200 VIX,16.155,16.036,15.207,15.240,15.061,15.275,14.747,-0.179,-1.17,16.155,15.061,-1.527,-9.21,16.688,14.082,-1.434,-8.69,16.722,13.883,0.480,3.29,19.164,9.309,2.563,20.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5819.2,5790.1,5845.8,5835.3,5813.1,5841.6,5804.7,-22.2,-0.38,5845.8,5790.1,6.3,0.11,5845.8,5332.5,564.3,10.75,5845.8,5240.7,464.2,8.68,5845.8,5240.7,422.3,7.83,50543.6,50403.2,50905.9,50818.3,50631.5,50905.9,50403.2,195.8,0.39,50905.9,45558.0,5073.4,11.14,50905.9,45487.5,4205.9,9.06,50905.9,43915.8,5677.8,12.63,,
XMD,S&P/ASX MidCap 50,5125.1,5096.1,5151.7,5140.4,5140.9,5165.7,5135.8,0.5,0.01,5151.7,5096.1,-1.1,-0.02,5151.7,4719.5,500.9,10.80,5151.7,4638.6,393.4,8.29,5151.7,4638.6,681.0,15.27,13962.4,13894.1,14045.5,14014.7,14016.2,14045.5,13894.1,7.9,0.06,14045.5,12626.9,1389.3,11.00,14045.5,12623.2,1096.7,8.49,14045.5,11578.7,2278.7,19.41,,
XSO,S&P/ASX Small Ords,2201.2,2196.2,2206.1,2204.3,2190.0,2208.9,2188.3,-14.3,-0.65,2206.1,2190.0,2.9,0.13,2206.1,2028.9,181.0,9.01,2206.1,2001.2,145.6,7.12,2206.1,2001.2,-63.5,-2.82,5598.2,5585.4,5613.0,5610.4,5573.8,5613.0,5573.8,11.4,0.20,5613.0,5109.3,464.5,9.09,5613.0,5089.5,376.2,7.24,5754.2,4882.3,15.5,0.28,,
XDJ,Consumer Discretionary,1939.4,1932.0,1936.3,1961.3,1954.0,1972.1,1950.4,-7.3,-0.37,1961.3,1932.0,11.1,0.57,1961.3,1742.0,240.7,14.05,1961.3,1713.3,200.7,11.45,1961.3,1713.3,119.8,6.53,14924.9,14867.9,14904.5,15100.9,15044.8,15100.9,14867.9,92.8,0.62,15100.9,13162.6,1882.1,14.30,15100.9,13162.6,1575.0,11.69,15100.9,12935.8,1386.3,10.15,,
XSJ,Consumer Staples,9759.2,9874.6,9943.1,9889.6,10037.5,10054.7,9878.6,147.9,1.50,10037.5,9759.2,323.3,3.33,10037.5,9353.5,892.7,9.76,10037.5,9021.7,864.4,9.42,10037.5,9021.7,-117.1,-1.15,81397.8,82360.0,82931.0,82485.3,83808.1,83808.1,81397.8,2786.1,3.44,83808.1,76273.2,7534.9,9.88,83808.1,75246.2,7299.4,9.54,85101.4,73342.3,2391.5,2.94,,
XEJ,Energy,11700.1,11686.8,12048.3,11969.3,11779.5,11975.8,11697.7,-189.8,-1.59,12048.3,11686.8,185.4,1.60,12048.3,10347.2,1478.5,14.35,12048.3,10301.0,178.1,1.54,12048.3,10301.0,-1926.1,-14.05,85021.8,84924.7,87551.8,86977.6,85598.1,87551.8,84924.7,1347.1,1.60,87551.8,74854.3,10743.9,14.35,87551.8,74854.3,1293.8,1.53,111140.9,74854.3,-10753.1,-11.16,,
XFJ,Financials,6939.9,6861.6,6886.4,6883.0,6833.0,6891.5,6820.9,-50.0,-0.73,6939.9,6833.0,-99.7,-1.44,6939.9,6281.1,640.6,10.34,6939.9,6165.5,577.6,9.23,6939.9,6165.5,927.7,15.71,72469.1,71982.7,72296.4,72262.5,71737.6,72469.1,71737.6,-656.0,-0.91,72469.1,64584.5,7153.1,11.08,72469.1,64303.3,6498.4,9.96,72469.1,58692.7,12880.5,21.88,,
XXJ,Financial-x-A-REIT,8081.5,7978.4,8004.7,8016.5,7950.5,8027.8,7935.9,-66.0,-0.82,8081.5,7950.5,-96.9,-1.20,8081.5,7263.7,774.9,10.80,8081.5,7130.2,668.3,9.18,8081.5,7130.2,983.3,14.11,80760.2,80163.2,80497.4,80617.7,79954.0,80760.2,79954.0,-465.0,-0.58,80760.2,71707.0,8247.0,11.50,80760.2,71254.0,7181.5,9.87,80760.2,66463.4,13429.0,20.19,,
XHJ,Health Care,18282.3,18203.4,18516.8,18537.3,18632.7,18751.8,18537.3,95.4,0.51,18632.7,18203.4,414.1,2.27,18632.7,17258.6,1543.3,9.03,18632.7,17005.1,1145.5,6.55,18632.7,17005.1,4093.3,28.15,117186.0,116680.4,118689.2,118820.4,119432.4,119432.4,116680.4,2654.8,2.27,119432.4,109450.5,9981.9,9.12,119432.4,108911.1,7433.7,6.64,119432.4,88629.9,28275.8,31.02,,
XNJ,Industrials,4486.6,4453.9,4613.3,4599.3,4578.6,4611.3,4571.7,-20.7,-0.45,4613.3,4453.9,85.5,1.90,4613.3,4305.7,333.9,7.87,4613.3,4233.2,256.8,5.94,4613.3,4233.2,548.6,13.61,38497.8,38236.6,39604.9,39485.2,39337.5,39604.9,38236.6,784.0,2.03,39604.9,36421.6,2916.0,8.01,39604.9,36323.0,2253.9,6.08,39604.9,32870.0,6002.8,18.01,,
XIJ,Info Technology,809.8,797.6,806.5,805.4,802.4,810.4,797.9,-3.0,-0.37,809.8,797.6,0.9,0.12,809.8,762.0,44.8,5.91,809.8,757.6,19.7,2.52,809.8,757.6,23.0,2.96,5448.8,5366.6,5426.8,5459.0,5438.1,5459.0,5366.6,45.1,0.84,5459.0,5098.0,340.0,6.67,5459.0,5098.0,171.4,3.25,5555.5,4943.9,298.0,5.80,,
XMJ,Materials,9552.2,9568.6,9685.1,9610.3,9584.9,9629.8,9566.8,-25.4,-0.26,9685.1,9552.2,81.2,0.85,9685.1,8513.8,1261.3,15.15,9685.1,8248.8,857.2,9.82,9685.1,8248.8,-1147.2,-10.69,67739.0,67875.3,68701.8,68170.7,67990.7,68701.8,67739.0,595.9,0.88,68701.8,59026.3,8964.4,15.19,68701.8,58495.7,6098.4,9.85,73944.4,57471.6,-5659.9,-7.68,,
XPJ,A-REIT,1313.6,1310.0,1317.1,1301.6,1299.5,1305.1,1295.2,-2.1,-0.16,1317.1,1299.5,-37.0,-2.77,1343.7,1230.3,93.8,7.78,1343.7,1197.3,113.3,9.55,1343.7,1197.3,265.2,25.64,38530.3,38424.5,38633.6,38179.4,38117.8,38633.6,38117.8,-1086.1,-2.77,39203.9,35080.5,3037.3,8.66,39203.9,34828.8,3612.3,10.47,39203.9,27720.1,9303.8,32.29,,
XTJ,Telecommunications,2293.1,2291.7,2309.6,2296.6,2297.0,2297.6,2278.1,0.4,0.02,2309.6,2291.7,1.6,0.07,2321.2,2180.9,142.4,6.61,2321.2,2072.7,210.2,10.07,2321.2,2072.7,467.2,25.54,28300.3,28282.4,28504.2,28343.2,28348.2,28504.2,28282.4,19.4,0.07,28647.5,26591.5,1756.7,6.61,28647.5,25580.0,2594.0,10.07,28647.5,20947.3,6935.3,32.39,,
XUJ,Utilities,6549.0,6620.4,6673.0,6733.1,6686.9,6782.6,6671.9,-46.2,-0.69,6733.1,6549.0,80.8,1.22,6733.1,6163.0,635.3,10.50,6733.1,5936.5,772.7,13.07,6733.1,5936.5,967.6,16.92,71829.0,72611.6,73188.6,73847.6,73341.4,73847.6,71829.0,886.6,1.22,73847.6,66373.9,6967.5,10.50,73847.6,65111.5,8475.2,13.07,73847.6,57881.4,13935.8,23.46,,
XMM,Metals & Mining,2938.3,2939.1,2961.6,2934.2,2919.0,2934.2,2910.4,-15.2,-0.52,2961.6,2919.0,0.8,0.03,2961.6,2595.2,381.0,15.01,2961.6,2488.4,272.0,10.28,2961.6,2488.4,-588.2,-16.77,4256.4,4257.6,4290.1,4250.4,4228.5,4290.1,4228.5,1.2,0.03,4290.1,3676.5,552.0,15.01,4290.1,3604.6,394.1,10.28,4948.8,3537.4,-698.8,-14.18,,
XGD,Gold,2605.2,2627.8,2620.3,2651.8,2617.6,2652.5,2617.6,-34.2,-1.29,2651.8,2605.2,-12.6,-0.48,2694.8,2530.1,89.4,3.53,2694.8,2069.2,570.2,27.85,2694.8,2069.2,126.6,5.08,3037.7,3064.1,3055.2,3092.1,3052.1,3092.1,3037.7,-14.7,-0.48,3142.1,2947.9,104.2,3.53,3142.1,2412.7,664.9,27.85,3142.1,1941.8,154.2,5.32,,
XJR,S&P/ASX 200 Res,3650.1,3650.2,3704.7,3672.3,3642.4,3672.3,3634.5,-29.9,-0.81,3704.7,3642.4,19.0,0.52,3704.7,3219.7,476.4,15.05,3704.7,3157.8,252.1,7.44,3704.7,3157.8,-693.8,-16.00,19814.3,19814.9,20110.9,19934.6,19772.7,20110.9,19772.7,103.4,0.53,20110.9,17186.7,2586.0,15.05,20110.9,17142.0,1368.8,7.44,23407.3,16867.8,-3030.3,-13.29,,
,
