Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-05-10T23:15:07+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 5,May 6,May 7,May 8,May 9,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 5,May 6,May 7,May 8,May 9,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5443.4,5462.7,5419.1,5455.9,5442.0,5455.9,5414.3,-13.9,-0.25,5462.7,5419.1,3.2,0.06,5516.1,5353.6,-18.3,-0.33,5516.1,5088.7,88.9,1.66,5516.1,5088.7,250.9,4.83,45162.9,45323.0,44962.9,45268.5,45221.2,45323.0,44962.9,96.8,0.21,45766.1,44413.7,-73.5,-0.16,45766.1,41681.2,1376.2,3.14,45766.1,37129.1,3873.9,9.37,,
XAF,All Australian 50,5572.1,5591.1,5546.9,5590.1,5573.3,5590.2,5541.1,-16.9,-0.30,5591.1,5546.9,1.8,0.03,5650.1,5467.6,0.1,0.00,5650.1,5175.5,115.5,2.12,5650.1,5175.5,281.4,5.32,47460.7,47622.6,47246.3,47614.7,47566.5,47622.6,47246.3,110.5,0.23,48125.5,46571.1,95.9,0.20,48125.5,43505.3,1688.1,3.68,48125.5,39049.4,4397.7,10.19,,
XAT,All Australian 200,5418.1,5437.3,5393.0,5434.1,5418.2,5434.1,5388.8,-15.9,-0.29,5437.3,5393.0,4.2,0.08,5493.5,5318.9,-4.1,-0.08,5493.5,5028.8,113.5,2.14,5493.5,5028.8,243.6,4.71,45870.4,46033.0,45658.2,46005.8,45949.1,46033.0,45658.2,113.5,0.25,46508.8,45026.6,47.9,0.10,46508.8,42022.3,1621.7,3.66,46508.8,37733.6,3954.6,9.42,,
XTL,S&P/ASX 20,3453.0,3466.3,3436.8,3463.1,3450.8,3463.1,3430.3,-12.3,-0.36,3466.3,3436.8,-3.8,-0.11,3508.1,3388.5,-0.0,-0.00,3508.1,3184.2,72.4,2.14,3508.1,3184.2,207.4,6.39,57797.4,58019.8,57526.6,57966.6,57902.6,58019.8,57526.6,78.7,0.14,58718.8,56717.0,141.9,0.25,58718.8,52576.0,2120.0,3.80,58718.8,47032.2,5899.9,11.35,,
XFL,S&P/ASX 50,5636.0,5655.2,5611.0,5654.6,5637.9,5654.6,5605.2,-16.7,-0.30,5655.2,5611.0,2.3,0.04,5715.6,5530.5,0.5,0.01,5715.6,5238.2,111.0,2.01,5715.6,5238.2,293.6,5.49,47921.0,48084.4,47708.6,48079.3,48032.7,48084.4,47708.6,115.1,0.24,48597.6,47023.8,100.1,0.21,48597.6,43959.9,1649.8,3.56,48597.6,39422.6,4499.8,10.34,,
XTO,S&P/ASX 100,4544.0,4560.0,4522.6,4557.3,4543.6,4557.3,4518.3,-13.7,-0.30,4560.0,4522.6,0.7,0.01,4605.4,4456.3,0.7,0.02,4605.4,4210.6,98.4,2.21,4605.4,4210.6,234.4,5.44,11699.0,11740.2,11644.6,11734.0,11719.6,11740.2,11644.6,23.4,0.20,11857.1,11472.2,24.6,0.21,11857.1,10700.4,422.9,3.74,11857.1,9607.8,1086.0,10.21,,
XJO,S&P/ASX 200,5462.2,5481.4,5435.8,5476.8,5460.8,5476.8,5431.5,-16.0,-0.29,5481.4,5435.8,2.7,0.05,5536.1,5358.9,-3.0,-0.05,5536.1,5070.3,108.6,2.03,5536.1,5070.3,254.7,4.89,46148.5,46310.3,45927.5,46274.0,46217.4,46310.3,45927.5,104.1,0.23,46772.4,45272.2,60.3,0.13,46772.4,42284.9,1582.3,3.54,46772.4,37962.9,4039.2,9.58,,
XVI,S&P/ASX 200 VIX,12.494,12.358,13.200,12.386,12.019,12.762,11.827,-0.367,-2.96,13.200,12.019,-0.447,-3.59,13.503,10.902,0.880,7.90,18.372,0.147,0.457,3.95,21.700,0.147,-1.097,-8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5403.8,5423.1,5378.7,5417.6,5402.1,5417.6,5373.3,-15.5,-0.29,5423.1,5378.7,2.5,0.05,5476.4,5304.2,-5.5,-0.10,5476.4,5027.6,97.3,1.83,5476.4,5027.6,237.3,4.59,45494.6,45657.2,45286.2,45613.4,45558.2,45657.2,45286.2,98.8,0.22,46106.1,44652.6,36.3,0.08,46106.1,41785.8,1469.4,3.33,46106.1,37491.8,3848.1,9.23,,
XMD,S&P/ASX MidCap 50,4539.1,4559.2,4506.6,4537.4,4521.5,4537.4,4501.6,-15.9,-0.35,4559.2,4506.6,-9.7,-0.21,4597.1,4428.3,3.2,0.07,4613.1,4099.4,172.0,3.95,4613.1,4099.4,210.7,4.89,12061.4,12114.9,11981.9,12063.8,12021.5,12114.9,11981.9,-18.9,-0.16,12215.6,11756.9,25.7,0.21,12215.6,10758.1,607.1,5.32,12215.6,9756.1,995.0,9.02,,
XSO,S&P/ASX Small Ords,2147.3,2156.6,2139.2,2143.3,2141.0,2147.4,2132.1,-2.3,-0.11,2156.6,2139.2,8.9,0.42,2192.3,2129.9,-31.7,-1.46,2277.1,2092.8,-52.6,-2.40,2277.1,2092.8,-112.6,-5.00,5350.5,5373.5,5330.5,5340.6,5335.0,5373.5,5330.5,22.5,0.42,5462.5,5306.8,-77.5,-1.43,5645.9,5156.7,-68.4,-1.27,5645.9,4574.9,-105.6,-1.94,,
XDJ,Consumer Discretionary,1824.7,1837.6,1823.9,1817.6,1808.3,1817.6,1798.8,-9.3,-0.51,1837.6,1808.3,-19.1,-1.05,1859.8,1801.4,-24.3,-1.33,1913.4,1715.0,-22.8,-1.24,1913.4,1715.0,126.3,7.51,13753.0,13850.4,13746.8,13699.6,13629.8,13850.4,13629.8,-143.7,-1.04,14017.9,13577.3,-179.1,-1.30,14336.1,12735.0,32.5,0.24,14336.1,10960.6,1345.2,10.95,,
XSJ,Consumer Staples,10056.2,10107.7,10018.8,10025.9,10011.4,10027.7,9929.7,-14.5,-0.14,10107.7,10011.4,3.6,0.04,10316.1,9730.2,53.8,0.54,10316.1,9567.9,-4.6,-0.05,10316.1,9567.9,-230.1,-2.25,82015.2,82435.5,81709.8,81768.0,81650.0,82435.5,81650.0,29.9,0.04,84134.8,79356.1,439.1,0.54,84134.8,76594.5,1468.1,1.83,84134.8,71737.8,1666.7,2.08,,
XEJ,Energy,14157.7,14201.6,14188.2,14315.3,14306.3,14323.0,14207.0,-9.0,-0.06,14315.3,14157.7,294.4,2.10,14315.3,13587.1,485.5,3.51,14315.3,13017.6,683.4,5.02,14315.3,13017.6,963.6,7.22,101161.3,101474.9,101379.5,102287.6,102222.9,102287.6,101161.3,2103.4,2.10,102287.6,97084.4,3468.8,3.51,102287.6,91514.2,6452.9,6.74,102287.6,84450.3,9815.8,10.62,,
XFJ,Financials,6096.4,6113.2,6067.4,6118.1,6095.5,6118.1,6059.9,-22.6,-0.37,6118.1,6067.4,-25.9,-0.42,6215.0,5979.3,15.4,0.25,6215.0,5503.9,219.8,3.74,6215.0,5503.9,341.0,5.93,60954.4,61122.6,60671.8,61178.5,61179.5,61179.5,60671.8,-24.5,-0.04,62140.3,59772.8,398.7,0.66,62140.3,54492.0,3009.5,5.17,62140.3,49323.3,6381.6,11.65,,
XXJ,Financial-x-A-REIT,7212.5,7236.6,7173.7,7231.6,7199.0,7231.6,7150.9,-32.6,-0.45,7236.6,7173.7,-46.0,-0.63,7363.2,7083.3,-13.5,-0.19,7363.2,6467.5,217.4,3.11,7363.2,6467.5,534.6,8.02,69117.6,69349.1,68755.7,69310.5,69296.0,69349.1,68755.7,-132.8,-0.19,70561.9,67865.5,193.0,0.28,70561.9,61376.9,3039.9,4.59,70561.9,54895.6,8385.2,13.77,,
XHJ,Health Care,14342.2,14483.9,14365.6,14407.8,14439.0,14448.9,14338.6,31.2,0.22,14483.9,14342.2,83.6,0.58,14540.3,14011.7,-57.7,-0.40,14937.8,13849.2,71.7,0.50,14937.8,13849.2,1307.3,9.96,90788.1,91685.3,90936.3,91203.4,91400.8,91685.3,90788.1,529.1,0.58,92041.8,88696.1,-365.2,-0.40,94445.0,86829.4,1354.0,1.50,94445.0,76975.9,10106.7,12.43,,
XNJ,Industrials,4078.7,4089.9,4079.4,4106.0,4105.8,4110.3,4075.7,-0.2,-0.00,4106.0,4078.7,18.7,0.46,4106.0,3971.9,42.8,1.05,4158.4,3771.2,136.9,3.45,4158.4,3771.2,201.0,5.15,34101.4,34194.6,34106.7,34329.7,34327.9,34329.7,34101.4,156.9,0.46,34329.7,33207.9,357.9,1.05,34654.3,31167.8,1526.4,4.65,34654.3,28042.2,2905.4,9.25,,
XIJ,Info Technology,793.7,801.1,783.0,783.5,784.9,789.5,776.4,1.4,0.18,801.1,783.0,-3.9,-0.49,801.1,745.4,8.2,1.05,813.5,702.5,43.4,5.86,813.5,702.5,87.1,12.47,5264.1,5313.2,5193.1,5196.5,5205.6,5313.2,5193.1,-26.0,-0.50,5313.2,4943.9,53.9,1.05,5395.4,4603.8,346.4,7.13,5395.4,4277.0,699.3,15.52,,
XMJ,Materials,10105.6,10124.4,9971.6,10096.7,10029.3,10096.7,9987.3,-67.4,-0.67,10124.4,9971.6,25.6,0.26,10335.2,9971.6,-363.7,-3.50,10774.9,9745.3,-180.4,-1.77,10774.9,9745.3,279.6,2.87,70311.8,70442.8,69379.4,70249.7,69781.2,70442.8,69379.4,178.4,0.26,72311.7,69379.4,-2530.6,-3.50,73944.4,66855.5,-260.1,-0.37,73944.4,55909.5,4068.8,6.19,,
XPJ,A-REIT,1049.5,1048.5,1048.6,1059.2,1060.7,1061.7,1056.3,1.5,0.14,1060.7,1048.5,9.6,0.91,1062.7,1020.8,31.5,3.06,1062.7,980.1,75.8,7.70,1062.7,980.1,-59.4,-5.30,29246.7,29219.4,29220.7,29516.3,29558.0,29558.0,29219.4,266.1,0.91,29613.7,28447.5,876.5,3.06,29613.7,27037.3,2397.0,8.83,29914.8,26036.8,44.7,0.15,,
XTJ,Telecommunications,1813.9,1821.9,1804.1,1817.3,1817.9,1821.3,1810.1,0.6,0.03,1821.9,1804.1,7.2,0.40,1821.9,1760.6,45.8,2.58,1836.3,1741.3,-3.7,-0.20,1836.3,1741.3,87.2,5.04,21807.0,21903.3,21688.8,21848.4,21854.8,21903.3,21688.8,85.8,0.39,21903.3,21165.9,550.0,2.58,21903.3,20377.3,537.9,2.52,21903.3,17688.9,2154.5,10.94,,
XUJ,Utilities,5753.7,5789.4,5790.4,5843.9,5900.7,5904.9,5813.6,56.8,0.97,5900.7,5753.7,136.6,2.37,5900.7,5597.2,247.4,4.38,5900.7,5357.0,521.2,9.69,5900.7,5357.0,181.3,3.17,60473.0,60848.6,60858.9,61420.9,62018.2,62018.2,60473.0,1436.1,2.37,62018.2,58827.8,2600.8,4.38,62018.2,55642.3,6142.5,10.99,62018.2,52194.2,5107.7,8.97,,
XMM,Metals & Mining,3273.2,3278.9,3229.3,3269.7,3247.2,3269.7,3233.3,-22.5,-0.69,3278.9,3229.3,9.0,0.28,3360.8,3229.3,-142.6,-4.21,3522.5,3142.1,-92.1,-2.76,3522.5,3142.1,13.9,0.43,4667.2,4675.3,4604.6,4662.3,4630.1,4675.3,4604.6,12.8,0.28,4833.5,4604.6,-203.4,-4.21,4948.8,4448.3,-60.5,-1.29,4948.8,3709.5,158.3,3.54,,
XGD,Gold,2285.2,2290.0,2275.9,2240.0,2242.1,2247.7,2214.8,2.1,0.09,2290.0,2240.0,42.2,1.92,2406.3,2192.2,-140.3,-5.89,2679.6,2003.5,343.7,18.11,2679.6,2003.5,-1201.1,-34.88,2660.7,2666.3,2649.9,2608.0,2610.5,2666.3,2608.0,49.1,1.92,2801.7,2552.4,-163.3,-5.89,3119.4,2330.8,402.0,18.20,3823.0,2001.8,-1373.8,-34.48,,
XJR,S&P/ASX 200 Res,4172.4,4180.4,4134.4,4184.2,4162.3,4184.2,4142.1,-21.9,-0.52,4184.2,4134.4,33.6,0.81,4238.8,4128.7,-82.9,-1.95,4345.1,3970.3,-24.0,-0.57,4345.1,3970.3,108.4,2.67,22282.2,22325.0,22079.1,22345.0,22228.4,22345.0,22079.1,179.8,0.82,22670.8,22048.6,-442.4,-1.95,22908.0,20876.7,216.0,0.98,22908.0,17957.3,1239.2,5.90,,
,
