Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-11-06T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 1,Nov 2,Nov 3,Nov 4,Nov 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 1,Nov 2,Nov 3,Nov 4,Nov 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4770.9,4773.2,4793.8,4817.5,4872.9,4885.7,4838.8,55.4,1.15,4872.9,4770.9,139.5,2.95,4872.9,4686.3,212.3,4.55,5024.1,4250.6,-9.8,-0.20,5024.1,4250.6,268.5,5.83,34041.3,34057.6,34204.2,34422.3,34818.5,34818.5,34041.3,1045.0,3.09,34818.5,33233.5,1585.0,4.77,35111.0,29893.9,1119.9,3.32,35111.0,29893.9,3191.4,10.09,,
XAF,All Australian 50,4669.6,4675.4,4696.2,4715.5,4770.5,4785.8,4741.3,55.0,1.17,4770.5,4669.6,135.8,2.93,4770.5,4586.1,180.8,3.94,5017.2,4220.3,-92.1,-1.89,5017.2,4220.3,169.9,3.69,33786.7,33828.6,33979.5,34189.4,34588.5,34588.5,33786.7,1053.7,3.14,34588.5,33169.6,1396.3,4.21,35500.5,30076.1,635.3,1.87,35500.5,30076.1,2628.8,8.23,,
XAT,All Australian 200,4701.1,4704.5,4725.5,4748.3,4804.5,4818.9,4772.4,56.2,1.18,4804.5,4701.1,140.8,3.02,4804.5,4620.9,195.6,4.24,5001.2,4218.4,-66.4,-1.36,5001.2,4218.4,208.6,4.54,33976.0,34000.5,34152.4,34376.3,34783.3,34783.3,33976.0,1077.0,3.20,34783.3,33292.3,1491.0,4.48,35368.8,30043.8,771.8,2.27,35368.8,30043.8,2856.9,8.95,,
XTL,S&P/ASX 20,2823.5,2831.2,2844.5,2856.0,2891.9,2901.9,2874.0,35.9,1.26,2891.9,2823.5,89.3,3.19,2891.9,2767.5,114.4,4.12,3060.6,2560.9,-57.7,-1.96,3060.6,2560.9,90.0,3.21,40002.1,40111.0,40299.5,40565.5,41075.1,41075.1,40002.1,1370.1,3.45,41075.1,39192.3,1740.3,4.42,42369.7,35716.1,793.6,1.97,42369.7,35716.1,2999.9,7.88,,
XFL,S&P/ASX 50,4682.2,4687.9,4708.7,4727.4,4781.8,4797.4,4753.2,54.4,1.15,4781.8,4682.2,134.3,2.89,4781.8,4598.7,180.8,3.93,5036.9,4235.3,-97.1,-1.99,5036.9,4235.3,168.0,3.64,33857.0,33898.0,34048.4,34254.3,34648.0,34648.0,33857.0,1042.1,3.10,34648.0,33239.7,1394.6,4.19,35624.5,30164.1,594.7,1.75,35624.5,30164.1,2606.0,8.13,,
XTO,S&P/ASX 100,3824.9,3827.9,3844.9,3862.4,3907.0,3918.9,3882.5,44.6,1.15,3907.0,3824.9,110.6,2.91,3907.0,3759.2,151.1,4.02,4095.8,3455.4,-80.8,-2.03,4095.8,3455.4,142.1,3.77,8391.1,8397.6,8435.0,8488.7,8586.8,8586.8,8391.1,258.4,3.10,8586.8,8235.3,351.4,4.27,8789.4,7468.5,138.8,1.64,8789.4,7468.5,652.3,8.22,,
XJO,S&P/ASX 200,4698.5,4701.4,4722.6,4745.3,4800.6,4815.0,4769.2,55.3,1.17,4800.6,4698.5,139.0,2.98,4800.6,4618.2,193.7,4.20,5001.9,4222.1,-70.0,-1.44,5001.9,4222.1,206.6,4.50,33925.8,33946.8,34099.8,34322.2,34722.4,34722.4,33925.8,1062.9,3.16,34722.4,33247.5,1474.9,4.44,35345.6,30045.0,736.5,2.17,35345.6,30045.0,2829.9,8.87,,
XKO,S&P/ASX 300,4703.0,4706.2,4727.5,4750.7,4805.9,4820.0,4774.2,55.2,1.16,4805.9,4703.0,139.5,2.99,4805.9,4622.8,196.8,4.27,4995.0,4214.7,-62.3,-1.28,4995.0,4214.7,211.1,4.59,33893.3,33915.8,34069.9,34293.3,34692.1,34692.1,33893.3,1062.7,3.16,34692.1,33198.9,1493.2,4.50,35236.9,29938.5,776.6,2.29,35236.9,29938.5,2842.6,8.93,,
XMD,S&P/ASX Midcap 50,4266.1,4255.0,4274.2,4312.3,4364.2,4370.6,4325.8,51.9,1.20,4364.2,4255.0,131.7,3.11,4364.2,4182.6,198.3,4.76,4548.5,3797.0,-97.4,-2.18,4548.5,3797.0,203.4,4.89,9818.5,9793.0,9837.3,9925.0,10044.5,10044.5,9793.0,303.1,3.11,10044.5,9580.0,464.4,4.85,10139.9,8628.5,98.3,0.99,10139.9,8628.5,829.7,9.00,,
XSO,S&P/ASX Small Ords,2726.8,2725.5,2740.5,2763.5,2797.5,2803.5,2769.3,34.0,1.23,2797.5,2725.5,100.4,3.72,2797.5,2673.3,176.3,6.73,2797.5,2229.7,172.3,6.56,2797.5,2229.7,327.8,13.27,6107.6,6104.6,6138.2,6189.6,6266.1,6266.1,6104.6,225.2,3.73,6266.1,5868.2,397.9,6.78,6266.1,4946.8,514.5,8.94,6266.1,4946.8,873.4,16.20,,
