Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-01-28T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 20,Jan 23,Jan 24,Jan 25,Jan 27,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 20,Jan 23,Jan 24,Jan 25,Jan 27,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4303.0,4287.6,4286.4,4329.1,4348.5,4373.3,4333.8,19.4,0.45,4348.5,4286.4,69.9,1.63,4348.5,4111.0,156.4,3.73,4348.5,4155.2,237.5,5.78,5064.9,3927.6,-524.0,-10.75,32274.5,32159.2,32149.7,32470.1,32615.5,32615.5,32149.7,525.3,1.64,32615.5,30833.4,1173.8,3.73,32615.5,31164.7,1782.2,5.78,36827.4,29204.1,-2382.6,-6.81,,
XAF,All Australian 50,4211.5,4196.6,4199.6,4253.5,4269.4,4299.5,4259.1,15.9,0.37,4269.4,4196.6,79.7,1.90,4269.4,4049.1,138.9,3.36,4269.4,4092.7,220.3,5.44,4939.1,3853.0,-458.8,-9.70,32205.7,32091.0,32114.2,32526.8,32648.4,32648.4,32091.0,609.5,1.90,32648.4,30963.8,1062.4,3.36,32648.4,31296.5,1684.6,5.44,36488.5,29181.9,-1833.8,-5.32,,
XAT,All Australian 200,4233.1,4218.9,4217.7,4265.6,4282.9,4310.3,4271.2,17.3,0.41,4282.9,4217.7,74.5,1.77,4282.9,4050.7,147.6,3.57,4282.9,4095.7,232.2,5.73,4976.2,3855.4,-496.4,-10.39,32265.8,32157.9,32148.8,32513.7,32645.8,32645.8,32148.8,568.5,1.77,32645.8,30875.1,1125.7,3.57,32645.8,31218.0,1770.6,5.73,36695.0,29116.8,-2155.6,-6.19,,
XTL,S&P/ASX 20,2542.8,2533.5,2535.9,2574.5,2585.2,2605.8,2578.5,10.7,0.42,2585.2,2533.5,51.5,2.03,2585.2,2449.7,87.9,3.52,2585.2,2475.4,135.5,5.53,2998.7,2334.2,-274.1,-9.59,38140.9,38002.2,38037.9,38617.8,38776.8,38776.8,38002.2,771.0,2.03,38776.8,36745.0,1317.7,3.52,38776.8,37130.7,2031.8,5.53,43396.5,34671.5,-2064.8,-5.06,,
XFL,S&P/ASX 50,4240.2,4225.0,4228.0,4281.9,4297.0,4327.2,4286.5,15.1,0.35,4297.0,4225.0,78.6,1.86,4297.0,4076.5,140.0,3.37,4297.0,4119.7,220.5,5.41,4953.4,3876.7,-443.2,-9.35,32386.1,32269.8,32293.2,32704.3,32820.3,32820.3,32269.8,600.8,1.86,32820.3,31135.4,1069.8,3.37,32820.3,31465.6,1684.9,5.41,36564.0,29332.3,-1724.4,-4.99,,
XTO,S&P/ASX 100,3458.4,3445.7,3446.5,3486.9,3499.1,3522.7,3491.1,12.2,0.35,3499.1,3445.7,60.0,1.75,3499.1,3316.7,116.1,3.43,3499.1,3352.0,182.4,5.50,4049.1,3155.5,-385.2,-9.92,8009.8,7980.4,7982.3,8076.0,8104.2,8104.2,7980.4,139.1,1.75,8104.2,7681.6,268.9,3.43,8104.2,7763.4,422.6,5.50,9067.0,7240.1,-482.7,-5.62,,
XJO,S&P/ASX 200,4239.6,4225.1,4224.2,4271.3,4288.4,4315.6,4276.7,17.1,0.40,4288.4,4224.2,73.6,1.75,4288.4,4056.6,148.0,3.57,4288.4,4101.2,231.8,5.72,4971.2,3863.9,-486.5,-10.19,32273.4,32162.7,32156.1,32514.7,32644.3,32644.3,32156.1,560.9,1.75,32644.3,30879.1,1126.9,3.58,32644.3,31218.6,1765.2,5.72,36617.7,29145.7,-2090.5,-6.02,,
XKO,S&P/ASX 300,4236.8,4222.0,4221.3,4267.6,4284.9,4311.4,4272.8,17.3,0.41,4284.9,4221.3,72.5,1.72,4284.9,4052.3,149.8,3.62,4284.9,4097.1,232.6,5.74,4984.1,3860.9,-502.0,-10.49,32168.5,32056.1,32051.1,32402.1,32533.4,32533.4,32051.1,551.2,1.72,32533.4,30766.6,1137.9,3.62,32533.4,31106.7,1766.8,5.74,36632.1,29050.7,-2217.2,-6.38,,
XMD,S&P/ASX MidCap 50,3810.4,3793.9,3779.0,3791.8,3803.5,3822.2,3784.9,11.7,0.31,3810.4,3779.0,28.3,0.75,3810.4,3578.9,145.2,3.97,3810.4,3609.5,224.6,6.27,4573.1,3408.2,-635.0,-14.31,9222.3,9182.3,9146.4,9177.3,9205.6,9222.3,9146.4,68.4,0.75,9222.3,8662.1,351.4,3.97,9222.3,8736.2,543.5,6.27,10728.9,8186.5,-1075.6,-10.46,,
XSO,S&P/ASX Small Ords,2374.3,2370.2,2360.7,2367.7,2390.7,2395.6,2367.3,23.0,0.97,2390.7,2360.7,34.7,1.47,2390.7,2207.6,126.3,5.58,2390.7,2240.7,181.3,8.21,2945.6,2137.3,-447.2,-15.76,5491.8,5482.3,5460.4,5476.8,5529.8,5529.8,5460.4,81.4,1.49,5529.8,5104.9,293.6,5.61,5529.8,5181.7,420.9,8.24,6625.3,4915.5,-851.2,-13.34,,
