Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-07T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 2,Feb 3,Feb 4,Feb 5,Feb 6,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5586.5,5666.2,5733.7,5765.5,5774.7,5803.0,5764.8,9.2,0.16,5774.7,5586.5,223.1,4.02,5774.7,5278.8,428.5,8.02,5774.7,5278.8,386.1,7.17,5774.7,5278.8,590.2,11.38,47740.3,48421.2,48998.0,49269.4,49348.1,49348.1,47740.3,1906.5,4.02,49348.1,45110.3,3663.4,8.02,49348.1,45110.3,3301.2,7.17,49348.1,42920.6,6856.5,16.14,,
XAF,All Australian 50,5726.8,5812.1,5886.7,5920.3,5931.3,5965.6,5919.7,11.0,0.19,5931.3,5726.8,246.8,4.34,5931.3,5389.2,484.2,8.89,5931.3,5389.2,433.1,7.88,5931.3,5389.2,665.9,12.65,50377.7,51128.1,51783.8,52079.5,52176.3,52176.3,50377.7,2171.2,4.34,52176.3,47407.4,4259.3,8.89,52176.3,47407.4,3809.9,7.88,52176.3,44792.8,7882.0,17.79,,
XAT,All Australian 200,5573.4,5654.7,5723.9,5757.4,5766.3,5797.0,5755.6,8.9,0.15,5766.3,5573.4,230.5,4.16,5766.3,5251.9,448.4,8.43,5766.3,5251.9,403.2,7.52,5766.3,5251.9,641.4,12.51,48657.6,49367.3,49971.5,50264.3,50341.6,50341.6,48657.6,2012.1,4.16,50341.6,45851.2,3915.5,8.43,50341.6,45851.2,3520.7,7.52,50341.6,43316.3,7488.9,17.48,,
XTL,S&P/ASX 20,3533.0,3586.9,3636.0,3657.8,3665.2,3687.5,3656.3,7.4,0.20,3665.2,3533.0,156.6,4.46,3665.2,3321.7,307.7,9.16,3665.2,3321.7,266.4,7.84,3665.2,3321.7,423.9,13.08,61076.2,62008.3,62857.6,63233.1,63362.6,63362.6,61076.2,2707.8,4.46,63362.6,57424.2,5319.3,9.16,63362.6,57424.2,4606.7,7.84,63362.6,54231.0,9813.2,18.33,,
XFL,S&P/ASX 50,5795.5,5882.2,5957.9,5991.6,6002.3,6036.8,5990.6,10.7,0.18,6002.3,5795.5,249.3,4.33,6002.3,5453.2,490.8,8.91,6002.3,5453.2,438.9,7.89,6002.3,5453.2,673.2,12.63,50888.2,51650.1,52314.3,52610.5,52704.2,52704.2,50888.2,2188.5,4.33,52704.2,47882.7,4309.7,8.91,52704.2,47882.7,3853.7,7.89,52704.2,45255.6,7948.3,17.76,,
XTO,S&P/ASX 100,4698.9,4767.4,4825.2,4852.4,4860.5,4886.4,4851.3,8.1,0.17,4860.5,4698.9,193.5,4.15,4860.5,4422.0,386.8,8.65,4860.5,4422.0,347.5,7.70,4860.5,4422.0,571.5,13.33,12482.8,12664.9,12818.3,12890.6,12912.0,12912.0,12482.8,513.9,4.15,12912.0,11747.2,1027.6,8.65,12912.0,11747.2,923.2,7.70,12912.0,11026.3,2005.2,18.39,,
XJO,S&P/ASX 200,5625.3,5707.4,5777.3,5811.0,5820.2,5850.9,5809.5,9.2,0.16,5820.2,5625.3,231.9,4.15,5820.2,5299.2,455.4,8.49,5820.2,5299.2,409.2,7.56,5820.2,5299.2,653.7,12.65,49007.1,49721.7,50331.4,50624.4,50704.5,50704.5,49007.1,2019.8,4.15,50704.5,46166.2,3967.9,8.49,50704.5,46166.2,3565.2,7.56,50704.5,43581.2,7590.3,17.61,,
XVI,S&P/ASX 200 VIX,14.866,14.394,15.396,15.044,16.062,16.225,14.886,1.018,6.77,16.062,14.394,1.729,12.06,16.722,13.883,-0.212,-1.30,16.722,13.883,1.481,10.16,19.164,0.147,0.788,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5557.6,5637.7,5706.5,5739.8,5749.1,5778.7,5738.7,9.4,0.16,5749.1,5557.6,227.9,4.13,5749.1,5240.7,443.9,8.37,5749.1,5240.7,400.2,7.48,5749.1,5240.7,626.0,12.22,48238.1,48933.3,49530.6,49819.0,49899.8,49899.8,48238.1,1977.7,4.13,49899.8,45487.5,3853.7,8.37,49899.8,45487.5,3474.2,7.48,49899.8,43059.1,7294.5,17.12,,
XMD,S&P/ASX MidCap 50,4923.6,4980.1,5010.5,5037.9,5041.5,5056.0,5033.7,3.6,0.07,5041.5,4923.6,130.2,2.65,5041.5,4638.6,311.6,6.59,5041.5,4638.6,294.0,6.19,5041.5,4638.6,821.1,19.46,13398.7,13552.5,13635.2,13709.9,13719.5,13719.5,13398.7,354.1,2.65,13719.5,12623.2,847.9,6.59,13719.5,12623.2,800.0,6.19,13719.5,11177.0,2644.0,23.87,,
