Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-09-10T23:15:15+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 5,Sep 6,Sep 7,Sep 8,Sep 9,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 5,Sep 6,Sep 7,Sep 8,Sep 9,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4224.2,4160.7,4262.9,4269.8,4277.4,4311.4,4264.4,7.6,0.18,4277.4,4160.7,-44.1,-1.02,4382.7,4150.8,180.7,4.41,5064.9,4056.7,-569.5,-11.75,5064.9,4056.7,-323.3,-7.03,31323.5,30855.2,31613.6,31666.8,31725.8,31725.8,30855.2,-245.9,-0.77,32414.5,30003.6,1722.2,5.74,36827.4,29710.8,-3086.9,-8.87,36827.4,29710.8,-1003.3,-3.07,,
XAF,All Australian 50,4104.5,4038.1,4147.5,4147.1,4152.3,4192.6,4142.5,5.2,0.13,4152.3,4038.1,-52.9,-1.26,4264.5,4038.1,148.9,3.72,4939.1,3944.2,-529.9,-11.32,4939.1,3944.2,-386.9,-8.52,31018.8,30517.4,31343.9,31340.7,31380.9,31380.9,30517.4,-313.9,-0.99,32132.8,29813.5,1567.4,5.26,36488.5,29372.5,-2765.6,-8.10,36488.5,29372.5,-1386.0,-4.23,,
XAT,All Australian 200,4139.5,4073.1,4181.1,4185.7,4192.4,4229.7,4180.1,6.7,0.16,4192.4,4073.1,-48.3,-1.14,4304.8,4073.1,157.7,3.91,4976.2,3984.4,-558.1,-11.75,4976.2,3984.4,-367.8,-8.07,31186.1,30687.9,31501.7,31536.3,31588.3,31588.3,30687.9,-280.3,-0.88,32341.4,29982.1,1606.2,5.36,36695.0,29608.0,-3002.7,-8.68,36695.0,29608.0,-1281.4,-3.90,,
XTL,S&P/ASX 20,2482.5,2442.9,2512.2,2511.1,2513.8,2540.0,2507.7,2.7,0.11,2513.8,2442.9,-32.2,-1.26,2586.0,2442.9,86.1,3.55,2998.7,2390.4,-318.3,-11.24,2998.7,2390.4,-232.8,-8.48,36795.0,36207.5,37235.1,37217.8,37258.8,37258.8,36207.5,-356.6,-0.95,38160.0,35427.7,1831.1,5.17,43396.5,34882.9,-3194.8,-7.90,43396.5,34882.9,-1565.0,-4.03,,
XFL,S&P/ASX 50,4123.0,4056.4,4166.3,4165.4,4171.2,4211.6,4160.9,5.8,0.14,4171.2,4056.4,-52.5,-1.24,4283.7,4056.4,153.1,3.81,4953.4,3959.3,-522.1,-11.12,4953.4,3959.3,-380.2,-8.35,31126.7,30624.1,31453.8,31448.8,31493.3,31493.3,30624.1,-311.1,-0.98,32246.0,29896.9,1596.4,5.34,36564.0,29459.8,-2709.3,-7.92,36564.0,29459.8,-1341.5,-4.09,,
XTO,S&P/ASX 100,3370.1,3315.7,3404.1,3405.8,3410.1,3441.5,3401.7,4.3,0.13,3410.1,3315.7,-43.1,-1.25,3505.4,3315.7,123.5,3.76,4049.1,3244.2,-443.2,-11.50,4049.1,3244.2,-311.3,-8.36,7714.7,7590.7,7793.1,7797.4,7807.4,7807.4,7590.7,-77.0,-0.98,7998.5,7417.4,390.0,5.26,9067.0,7321.6,-711.0,-8.35,9067.0,7321.6,-335.4,-4.12,,
XJO,S&P/ASX 200,4141.9,4075.5,4183.4,4188.0,4194.7,4232.0,4182.4,6.7,0.16,4194.7,4075.5,-48.2,-1.14,4307.5,4075.5,159.9,3.96,4971.2,3986.1,-550.5,-11.60,4971.2,3986.1,-365.6,-8.02,31165.3,30668.0,31479.6,31515.3,31567.3,31567.3,30668.0,-278.9,-0.88,32322.4,29948.7,1618.6,5.40,36617.7,29587.1,-2951.2,-8.55,36617.7,29587.1,-1273.3,-3.88,,
XKO,S&P/ASX 300,4148.4,4082.5,4189.5,4194.2,4201.9,4238.1,4189.0,7.7,0.18,4201.9,4082.5,-46.3,-1.09,4311.9,4082.5,164.6,4.08,4984.1,3990.0,-558.9,-11.74,4984.1,3990.0,-355.8,-7.81,31135.8,30642.9,31446.6,31483.5,31542.6,31542.6,30642.9,-264.8,-0.83,32276.1,29898.6,1644.0,5.50,36632.1,29548.3,-3017.8,-8.73,36632.1,29548.3,-1215.9,-3.71,,
XMD,S&P/ASX MidCap 50,3775.3,3715.1,3801.6,3824.8,3825.9,3848.0,3816.1,1.1,0.03,3825.9,3715.1,-49.2,-1.27,3961.9,3683.7,123.8,3.34,4573.1,3683.7,-641.6,-14.36,4573.1,3683.7,-353.6,-8.46,9027.6,8888.3,9095.3,9150.9,9153.4,9153.4,8888.3,-89.2,-0.97,9417.9,8724.5,404.1,4.62,10728.9,8724.5,-1195.1,-11.55,10728.9,8724.5,-421.0,-4.40,,
XSO,S&P/ASX Small Ords,2431.0,2397.3,2450.5,2467.4,2484.9,2493.0,2462.3,17.5,0.71,2484.9,2397.3,9.6,0.39,2518.0,2350.9,165.3,7.12,2946.3,2319.1,-407.6,-14.09,2946.3,2319.1,-55.6,-2.19,5565.4,5489.5,5611.3,5650.7,5692.3,5692.3,5489.5,29.6,0.52,5760.5,5281.3,410.9,7.78,6625.3,5280.2,-810.0,-12.46,6625.3,5280.2,21.7,0.38,,
XDJ,Consumer Discretionary,1184.1,1162.2,1193.4,1190.6,1194.1,1205.1,1188.5,3.5,0.29,1194.1,1162.2,-14.5,-1.20,1243.1,1140.6,35.4,3.05,1557.8,1140.6,-306.7,-20.43,1572.1,1140.6,-338.2,-22.07,8000.2,7859.5,8070.6,8061.2,8084.7,8084.7,7859.5,-59.8,-0.73,8308.8,7636.0,367.5,4.76,10210.5,7636.0,-1697.6,-17.35,10246.9,7636.0,-1803.0,-18.23,,
XSJ,Consumer Staples,7317.5,7278.7,7449.3,7445.1,7487.3,7543.3,7445.1,42.2,0.57,7487.3,7278.7,90.7,1.23,7597.3,7185.8,458.7,6.53,8013.9,7011.2,-227.2,-2.95,8415.1,7011.2,-743.9,-9.04,52973.6,52693.1,53927.9,53897.0,54202.5,54202.5,52693.1,656.1,1.23,54426.8,50103.3,4099.2,8.18,56701.2,49979.4,404.7,0.75,58402.4,49979.4,-2492.3,-4.40,,
XEJ,Energy,12970.7,12700.7,12944.5,13049.2,13014.6,13306.0,12992.3,-34.6,-0.27,13049.2,12700.7,-426.7,-3.17,13939.5,12700.7,58.3,0.45,17736.5,12700.7,-3099.8,-19.24,17736.5,12700.7,-1627.8,-11.12,86452.6,84653.2,86278.3,86975.8,86770.8,86975.8,84653.2,-2804.8,-3.13,91803.0,84653.2,1442.7,1.69,116809.6,83817.5,-18322.4,-17.43,116809.6,83817.5,-8685.8,-9.10,,
XFJ,Financials,3828.1,3755.8,3864.5,3863.5,3870.7,3905.7,3859.0,7.2,0.19,3870.7,3755.8,-61.2,-1.56,3990.2,3731.7,150.5,4.05,4666.6,3638.7,-491.1,-11.26,4666.6,3638.7,-549.0,-12.42,33079.1,32454.1,33393.9,33384.5,33447.3,33447.3,32454.1,-489.3,-1.44,34440.1,31659.3,1788.1,5.65,38822.8,30965.7,-2616.3,-7.25,38822.8,30965.7,-2457.5,-6.84,,
XXJ,Financial-x-A-REIT,4395.2,4311.6,4451.7,4450.2,4464.3,4508.9,4446.8,14.1,0.32,4464.3,4311.6,-58.8,-1.30,4590.8,4310.1,167.3,3.89,5430.9,4195.3,-599.5,-11.84,5430.9,4195.3,-622.2,-12.23,36416.1,35723.3,36884.5,36872.0,36989.2,36989.2,35723.3,-435.0,-1.16,37984.2,35054.7,1934.5,5.52,43285.0,34224.8,-3151.6,-7.85,43285.0,34224.8,-2629.0,-6.64,,
XHJ,Health Care,7445.0,7402.3,7579.8,7611.6,7595.7,7648.1,7578.4,-15.9,-0.21,7611.6,7402.3,-35.7,-0.47,7916.5,7402.3,260.7,3.55,9186.8,7335.0,-1337.5,-14.97,9186.8,7335.0,-588.9,-7.20,44033.5,43780.9,44830.9,45018.9,44925.1,45018.9,43780.9,-210.8,-0.47,46440.9,43029.6,1895.5,4.41,53892.5,43029.6,-6896.2,-13.31,53892.5,43029.6,-2111.7,-4.49,,
XNJ,Industrials,3262.0,3199.6,3282.2,3297.1,3314.2,3334.0,3292.7,17.1,0.52,3314.2,3199.6,-5.5,-0.17,3437.3,3199.6,125.9,3.95,3870.5,3171.2,-422.3,-11.30,3870.5,3171.2,-328.9,-9.03,24563.2,24106.1,24728.4,24840.2,24969.2,24969.2,24106.1,-4.7,-0.02,25783.7,23904.1,1065.0,4.46,28566.6,23776.3,-2591.0,-9.40,28566.6,23776.3,-1609.2,-6.05,,
XIJ,Info Technology,498.4,485.6,492.4,495.6,495.0,497.5,493.9,-0.6,-0.12,498.4,485.6,-9.6,-1.89,510.5,458.0,30.2,6.51,666.6,458.0,-149.7,-23.22,666.6,458.0,-85.1,-14.67,3020.9,2943.0,2984.1,3004.0,3007.2,3020.9,2943.0,-50.9,-1.66,3094.2,2743.0,223.5,8.03,3919.5,2743.0,-783.7,-20.67,3919.5,2743.0,-393.5,-11.57,,
XMJ,Materials,12035.1,11853.4,12185.1,12201.1,12197.6,12335.3,12161.1,-3.5,-0.03,12201.1,11853.4,-161.7,-1.31,12633.3,11853.4,374.5,3.17,15046.2,11694.7,-1883.0,-13.37,15046.2,11694.7,30.9,0.25,77681.6,76511.2,78651.9,78755.4,78734.0,78755.4,76511.2,-499.2,-0.63,80836.2,75592.4,3141.6,4.16,96133.1,74771.4,-10477.3,-11.74,96133.1,74771.4,1811.3,2.35,,
XPJ,A-REIT,780.2,766.0,774.5,774.6,770.9,775.8,768.9,-3.7,-0.48,780.2,766.0,-22.7,-2.85,804.8,708.9,35.6,4.84,887.0,708.9,-68.9,-8.21,894.8,708.9,-121.0,-13.56,18773.1,18430.5,18637.0,18637.6,18549.2,18773.1,18430.5,-545.2,-2.86,19365.1,17036.7,1105.5,6.34,20646.7,17036.7,-804.8,-4.16,20646.7,17036.7,-1652.7,-8.18,,
XTJ,Telecommunications,1031.0,1018.7,1038.8,1035.7,1042.7,1046.3,1035.7,7.0,0.68,1042.7,1018.7,1.1,0.11,1082.6,972.7,83.7,8.73,1082.6,891.0,83.1,8.66,1082.6,891.0,76.4,7.91,10543.9,10418.3,10623.8,10591.8,10663.2,10663.2,10418.3,10.7,0.10,10906.8,9383.7,1279.5,13.64,10906.8,8708.4,1688.7,18.82,10906.8,8339.6,1647.3,18.27,,
XUJ,Utilities,4340.6,4283.1,4368.3,4383.2,4389.7,4421.7,4372.9,6.5,0.15,4389.7,4283.1,-14.9,-0.34,4550.9,4134.1,344.4,8.51,4550.9,3990.1,-23.7,-0.54,4614.3,3990.1,-27.9,-0.63,39616.1,39091.2,39868.9,40005.2,40064.1,40064.1,39091.2,-135.9,-0.34,41005.7,36450.5,3613.6,9.91,41005.7,35021.3,1606.9,4.18,41005.7,35021.3,2282.9,6.04,,
XMM,Metals & Mining,4366.1,4300.2,4420.7,4427.9,4424.6,4474.6,4412.2,-3.3,-0.07,4427.9,4300.2,-59.5,-1.33,4583.6,4300.2,138.1,3.22,5491.6,4239.8,-721.1,-14.01,5491.6,4239.8,68.3,1.57,5805.9,5718.5,5878.7,5888.3,5884.1,5888.3,5718.5,-34.5,-0.58,6044.6,5647.9,236.2,4.18,7235.3,5586.5,-840.1,-12.49,7235.3,5586.5,198.9,3.50,,
XGD,Gold,7728.0,7794.0,7791.2,7815.5,7931.9,7995.3,7812.7,116.4,1.49,7931.9,7728.0,257.3,3.35,7931.9,7452.4,590.0,8.04,8435.7,6946.7,-167.2,-2.06,8435.7,6946.7,524.5,7.08,8792.0,8868.2,8865.1,8892.7,9025.2,9025.2,8792.0,294.0,3.37,9025.2,8352.4,672.9,8.06,9595.8,7902.5,-167.6,-1.82,9595.8,7902.5,646.4,7.71,,
XJR,S&P/ASX 200 Res,4955.3,4872.7,5000.6,5015.1,5005.0,5067.6,4999.9,-10.1,-0.20,5015.1,4872.7,-99.0,-1.94,5240.9,4872.7,111.9,2.29,6355.0,4833.5,-903.8,-15.30,6355.0,4833.5,-102.0,-2.00,24662.3,24251.6,24888.4,24960.5,24912.1,24960.5,24251.6,-337.7,-1.34,25839.7,24108.2,804.0,3.33,31311.1,23814.3,-3948.0,-13.68,31311.1,23814.3,-4.6,-0.02,,
,
