Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-15T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 10,Mar 11,Mar 12,Mar 13,Mar 14,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1913.4,1896.0,1870.0,1877.0,1843.1,1877.0,1837.6,-33.9,-1.81,1913.4,1843.1,-63.1,-3.31,1913.4,1807.8,36.3,2.01,1913.4,1715.0,12.0,0.66,1913.4,1715.0,254.7,16.03,14336.1,14205.8,14017.5,14069.5,13815.3,14336.1,13815.3,-466.9,-3.27,14336.1,13452.3,363.0,2.70,14336.1,12735.0,218.0,1.60,14336.1,10960.6,2286.3,19.83,,
XSJ,Consumer Staples,10197.6,10167.5,10107.6,10109.6,9949.4,10109.6,9920.0,-160.2,-1.58,10197.6,9949.4,-190.4,-1.88,10197.6,9949.4,-122.8,-1.22,10197.6,9567.9,-66.6,-0.66,10197.6,9567.9,-612.2,-5.80,82534.6,82290.7,81805.9,81822.1,80525.7,82534.6,80525.7,-1541.0,-1.88,82534.6,80245.0,-106.0,-0.13,82534.6,76594.5,343.8,0.43,83265.0,71737.8,-1389.1,-1.70,,
XEJ,Energy,13974.0,13892.1,13721.5,13703.1,13562.4,13703.1,13537.2,-140.7,-1.03,13974.0,13562.4,-505.7,-3.59,14068.1,13540.1,-126.4,-0.92,14068.1,13017.6,-60.5,-0.44,14068.1,13017.6,-47.4,-0.35,99848.6,99263.4,98044.6,97912.8,96907.5,99848.6,96907.5,-3613.2,-3.59,100520.7,96233.2,674.4,0.70,100520.7,91514.2,1137.6,1.19,101032.3,83100.5,2650.4,2.81,,
XFJ,Financials,5937.4,5975.8,5932.2,5954.6,5876.5,5954.6,5871.1,-78.1,-1.31,5975.8,5876.5,-94.8,-1.59,5975.8,5844.0,41.6,0.71,5975.8,5503.9,0.8,0.01,5975.8,5503.9,394.5,7.20,59346.3,59730.5,59299.4,59523.7,58743.0,59730.5,58743.0,-942.8,-1.58,59730.5,57850.4,892.6,1.54,59730.5,54492.0,572.9,0.98,59730.5,49323.3,6740.9,12.96,,
XXJ,Financial-x-A-REIT,7034.8,7078.0,7023.3,7051.8,6957.3,7051.8,6950.3,-94.5,-1.34,7078.0,6957.3,-108.7,-1.54,7078.0,6901.2,66.8,0.97,7078.0,6467.5,-24.3,-0.35,7078.0,6467.5,578.0,9.06,67394.2,67808.0,67290.5,0.0,66658.4,67808.0,66658.4,-1035.0,-1.53,67808.0,65391.2,1267.2,1.94,67808.0,61376.9,402.3,0.61,67808.0,54895.6,8609.2,14.83,,
XHJ,Health Care,14937.8,14900.5,14930.7,14906.4,14729.6,14906.4,14704.1,-176.8,-1.19,14937.8,14729.6,-93.4,-0.63,14937.8,14235.7,635.8,4.51,14937.8,13849.2,362.3,2.52,14937.8,13849.2,1831.8,14.20,94445.0,94209.2,94399.6,94246.3,93128.5,94445.0,93128.5,-590.4,-0.63,94445.0,88362.7,4765.8,5.39,94445.0,86829.4,3081.7,3.42,94445.0,75670.5,13361.7,16.75,,
XNJ,Industrials,4158.4,4120.3,4078.5,4102.5,4039.0,4102.5,4035.1,-63.5,-1.55,4158.4,4039.0,-111.3,-2.68,4158.4,3950.4,102.0,2.59,4158.4,3771.2,70.1,1.77,4158.4,3771.2,111.4,2.84,34654.3,34336.5,33988.7,34188.3,33677.8,34654.3,33677.8,-908.6,-2.63,34654.3,32556.2,1121.6,3.45,34654.3,31167.8,876.3,2.67,34654.3,28042.2,2129.7,6.75,,
XIJ,Info Technology,813.5,802.0,793.2,806.5,790.7,806.5,790.0,-15.8,-1.96,813.5,790.7,-19.3,-2.38,813.5,770.6,12.6,1.62,813.5,702.5,49.2,6.64,813.5,702.5,75.9,10.62,5395.4,5319.3,5260.8,5349.3,5244.6,5395.4,5244.6,-127.8,-2.38,5395.4,5082.0,145.3,2.85,5395.4,4603.8,385.4,7.93,5395.4,4239.8,643.9,14.00,,
XMJ,Materials,10019.7,9963.9,9992.3,10163.9,9923.1,10163.9,9923.1,-240.8,-2.37,10163.9,9923.1,-516.4,-4.95,10774.9,9923.1,-534.9,-5.11,10774.9,9745.3,-286.6,-2.81,10774.9,9745.3,-334.4,-3.26,69702.1,69313.7,69511.4,70705.1,69030.0,70705.1,69030.0,-3592.6,-4.95,73944.4,69030.0,-2714.8,-3.78,73944.4,66855.5,-1011.3,-1.44,73944.4,55909.5,-66.2,-0.10,,
XPJ,A-REIT,1012.7,1021.4,1016.7,1018.9,1007.3,1018.9,1005.5,-11.6,-1.14,1021.4,1007.3,-19.4,-1.89,1038.3,1007.3,-9.0,-0.88,1038.3,980.1,22.4,2.27,1038.3,980.1,-32.3,-3.10,28213.2,28455.3,28324.4,0.0,28060.7,28455.3,28060.7,-542.6,-1.90,28926.7,28060.7,-250.8,-0.89,28926.7,27037.3,899.7,3.31,29914.8,26036.8,695.9,2.54,,
XTJ,Telecommunications,1757.8,1773.0,1772.4,1773.2,1748.2,1773.2,1747.7,-25.0,-1.41,1773.2,1748.2,-22.0,-1.24,1836.3,1748.2,-61.7,-3.41,1836.3,1741.3,-73.4,-4.03,1836.3,1741.3,203.1,13.15,21116.5,21299.7,21292.3,21307.7,21006.5,21307.7,21006.5,-259.0,-1.22,21489.9,21006.5,-174.1,-0.82,21489.9,20377.3,-310.3,-1.46,21489.9,17524.5,3425.8,19.49,,
XUJ,Utilities,5620.6,5612.6,5564.7,5568.7,5529.5,5568.7,5496.0,-39.2,-0.70,5620.6,5529.5,-96.7,-1.72,5799.6,5529.5,-101.3,-1.80,5799.6,5357.0,150.0,2.79,5799.6,5357.0,-102.0,-1.81,58992.3,58908.4,58405.7,58448.3,58037.0,58992.3,58037.0,-1014.9,-1.72,60239.3,58037.0,-448.7,-0.77,60239.3,55642.3,2161.2,3.87,60239.3,52194.2,2065.4,3.69,,
XMM,Metals & Mining,3227.2,3204.2,3221.3,3282.4,3210.2,3282.4,3210.2,-72.2,-2.20,3282.4,3204.2,-173.5,-5.13,3522.5,3204.2,-198.9,-5.83,3522.5,3166.8,-129.1,-3.87,3522.5,3166.8,-231.1,-6.72,4601.5,4568.7,4593.2,4680.3,4577.4,4680.3,4568.7,-247.3,-5.13,4948.8,4568.7,-211.2,-4.41,4948.8,4448.3,-113.2,-2.41,4948.8,3709.5,-179.7,-3.78,,
XGD,Gold,2517.8,2490.3,2596.5,2677.2,2634.0,2707.7,2634.0,-43.2,-1.61,2677.2,2490.3,47.3,1.83,2677.2,2453.0,103.1,4.07,2677.2,2003.5,735.6,38.75,2677.2,2003.5,-1809.8,-40.73,2931.1,2899.1,3022.7,3116.6,3066.3,3116.6,2899.1,55.1,1.83,3116.6,2853.7,122.0,4.14,3116.6,2330.8,857.8,38.84,5236.4,2001.8,-2060.4,-40.19,,
XJR,S&P/ASX 200 Res,4104.1,4078.0,4078.0,4129.7,4052.1,4129.7,4052.1,-77.6,-1.88,4129.7,4052.1,-202.6,-4.76,4345.1,4052.1,-190.8,-4.50,4345.1,3970.3,-134.2,-3.21,4345.1,3970.3,-190.5,-4.49,21917.5,21778.0,21777.8,0.0,21639.7,21917.5,21639.7,-1081.9,-4.76,22908.0,21639.7,-669.9,-3.00,22908.0,20876.7,-372.7,-1.69,22908.0,17957.3,-318.0,-1.45,,
,
