Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-12-18T23:15:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 13,Dec 14,Dec 15,Dec 16,Dec 17,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 13,Dec 14,Dec 15,Dec 16,Dec 17,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4841.2,4850.9,4853.4,4868.8,4853.0,4868.6,4853.0,-15.8,-0.32,4868.8,4841.2,23.0,0.48,4868.8,4673.2,147.9,3.14,5024.1,4250.6,-29.7,-0.61,5024.1,4250.6,181.1,3.88,34723.7,34793.0,34811.1,34921.5,34809.0,34921.5,34723.7,165.6,0.48,34921.5,33512.9,1072.9,3.18,35111.0,29893.9,1110.4,3.30,35111.0,29893.9,2607.2,8.10,,
XAF,All Australian 50,4719.9,4726.1,4723.0,4736.9,4712.3,4737.3,4712.3,-24.6,-0.52,4736.9,4712.3,6.4,0.14,4736.9,4544.7,118.3,2.57,5017.2,4220.3,-150.3,-3.09,5017.2,4220.3,67.2,1.45,34390.8,34435.9,34413.1,34515.0,34335.6,34515.0,34335.6,47.2,0.14,34515.0,33114.5,865.5,2.59,35500.5,30076.1,382.3,1.13,35500.5,30076.1,1925.6,5.94,,
XAT,All Australian 200,4760.5,4770.9,4771.7,4787.9,4767.2,4787.7,4767.2,-20.7,-0.43,4787.9,4760.5,17.8,0.38,4787.9,4587.3,139.8,3.02,5001.2,4218.4,-103.7,-2.13,5001.2,4218.4,116.5,2.50,34615.6,34690.8,34696.5,34814.5,34663.6,34814.5,34615.6,129.4,0.37,34814.5,33352.9,1024.2,3.04,35368.8,30043.8,652.1,1.92,35368.8,30043.8,2231.8,6.88,,
XTL,S&P/ASX 20,2858.9,2863.1,2859.9,2866.7,2850.2,2867.1,2850.2,-16.5,-0.58,2866.7,2850.2,1.8,0.06,2866.7,2737.8,75.6,2.73,3060.6,2560.9,-99.4,-3.37,3060.6,2560.9,39.6,1.41,40835.9,40895.9,40850.9,40947.3,40711.5,40947.3,40711.5,25.1,0.06,40947.3,39106.3,1080.0,2.73,42369.7,35716.1,430.0,1.07,42369.7,35716.1,2328.0,6.07,,
XFL,S&P/ASX 50,4732.3,4737.7,4734.3,4748.5,4723.6,4748.7,4723.6,-24.9,-0.52,4748.5,4723.6,5.5,0.12,4748.5,4555.3,118.8,2.58,5036.9,4235.3,-155.3,-3.18,5036.9,4235.3,62.6,1.34,34456.3,34495.9,34471.3,34574.7,34392.9,34574.7,34392.9,39.5,0.11,34574.7,33167.7,868.0,2.59,35624.5,30164.1,339.6,1.00,35624.5,30164.1,1881.7,5.79,,
XTO,S&P/ASX 100,3871.9,3878.2,3877.1,3889.6,3871.9,3889.6,3871.9,-17.7,-0.46,3889.6,3871.9,9.1,0.24,3889.6,3730.3,105.8,2.81,4095.8,3455.4,-115.9,-2.91,4095.8,3455.4,61.8,1.62,8548.3,8562.2,8559.9,8587.5,8548.4,8587.5,8548.3,20.2,0.24,8587.5,8235.1,235.0,2.83,8789.4,7468.5,100.4,1.19,8789.4,7468.5,486.3,6.03,,
XJO,S&P/ASX 200,4757.1,4766.9,4767.8,4784.0,4763.1,4783.8,4763.1,-20.9,-0.44,4784.0,4757.1,17.2,0.36,4784.0,4584.4,138.8,3.00,5001.9,4222.1,-107.5,-2.21,5001.9,4222.1,112.6,2.42,34556.2,34627.0,34633.7,34751.3,34600.3,34751.3,34556.2,125.3,0.36,34751.3,33298.7,1017.3,3.03,35345.6,30045.0,614.4,1.81,35345.6,30045.0,2191.4,6.76,,
XKO,S&P/ASX 300,4765.8,4775.9,4777.7,4793.9,4774.8,4793.8,4774.8,-19.1,-0.40,4793.9,4765.8,20.1,0.42,4793.9,4594.6,143.4,3.10,4995.0,4214.7,-93.4,-1.92,4995.0,4214.7,125.4,2.70,34547.7,34620.7,34634.2,34751.6,34613.7,34751.6,34547.7,146.1,0.42,34751.6,33303.7,1048.3,3.12,35236.9,29938.5,698.1,2.06,35236.9,29938.5,2264.1,7.00,,
XMD,S&P/ASX Midcap 50,4371.5,4395.2,4409.4,4431.0,4435.0,4445.1,4419.2,4.0,0.09,4435.0,4371.5,52.0,1.19,4435.0,4236.7,195.9,4.62,4548.5,3797.0,-26.6,-0.60,4548.5,3797.0,168.1,3.94,10081.5,10136.3,10168.8,10218.6,10227.9,10227.9,10081.5,120.0,1.19,10227.9,9763.7,458.6,4.69,10227.9,8628.5,281.8,2.83,10227.9,8628.5,765.1,8.09,,
XSO,S&P/ASX Small Ords,2791.2,2810.7,2830.2,2844.7,2849.3,2851.8,2827.2,4.6,0.16,2849.3,2791.2,63.6,2.28,2849.3,2689.1,160.3,5.96,2849.3,2229.7,224.1,8.54,2849.3,2229.7,353.8,14.18,6259.2,6302.8,6346.5,6379.0,6390.8,6390.8,6259.2,144.2,2.31,6390.8,6024.4,366.5,6.08,6390.8,4946.8,639.2,11.11,6390.8,4946.8,936.1,17.16,,
