Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-02T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 28,May 29,May 30,May 31,Jun 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 28,May 29,May 30,May 31,Jun 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSJ,Consumer Staples,7529.2,7579.8,7550.1,7605.4,7606.4,7631.3,7556.0,1.0,0.01,7606.4,7529.2,2.2,0.03,7899.1,7529.2,-143.3,-1.85,7899.1,7241.1,273.3,3.73,7909.0,7011.2,-65.3,-0.85,56304.5,56683.3,56460.9,56874.5,56882.1,56882.1,56304.5,16.3,0.03,59070.7,56304.5,-1071.2,-1.85,59070.7,52987.4,3221.1,6.00,59070.7,49979.4,2284.2,4.18,,
XEJ,Energy,12531.0,12866.3,12765.4,12671.2,12496.4,12666.3,12443.8,-174.8,-1.38,12866.3,12496.4,167.6,1.36,14406.8,12328.8,-1813.7,-12.67,14705.5,12328.8,-246.8,-1.94,15929.3,11605.0,-3534.2,-22.05,84500.0,86761.0,86080.7,85445.0,84266.7,86761.0,84266.7,1130.3,1.36,97148.7,83136.4,-12230.3,-12.67,98057.5,83136.4,-706.2,-0.83,104908.1,77383.0,-21308.0,-20.18,,
XFJ,Financials,3985.1,4019.7,4006.4,3960.9,3980.5,3991.9,3941.7,19.6,0.49,4019.7,3960.9,45.1,1.15,4323.9,3935.4,-350.7,-8.10,4331.2,3931.7,74.6,1.91,4331.2,3596.7,-226.9,-5.39,35978.5,36290.8,36170.7,35946.9,36124.6,36290.8,35946.9,594.7,1.67,38661.3,35529.9,-2536.7,-6.56,38661.3,34730.9,1673.6,4.86,38661.3,30965.7,411.4,1.15,,
XXJ,Financial-x-A-REIT,4517.5,4570.0,4557.5,4496.5,4514.8,4528.8,4466.9,18.3,0.41,4570.0,4496.5,49.4,1.11,4966.0,4465.4,-467.6,-9.38,4982.4,4465.4,9.4,0.21,4988.8,4119.7,-325.9,-6.73,39176.1,39631.9,39523.3,39240.5,39400.3,39631.9,39176.1,675.6,1.74,42631.7,38724.8,-3231.3,-7.58,42631.7,38178.9,1290.4,3.39,42631.7,34142.5,-88.2,-0.22,,
XHJ,Health Care,8934.5,8897.9,8868.8,8971.1,9024.8,9070.9,8932.4,53.7,0.60,9024.8,8868.8,58.3,0.65,9168.8,8868.8,-4.7,-0.05,9168.8,7756.1,1037.2,12.98,9168.8,7082.8,487.9,5.71,53992.9,53771.5,53595.3,54214.0,54538.4,54538.4,53595.3,352.4,0.65,55408.8,53595.3,-28.1,-0.05,55408.8,46279.9,6876.8,14.43,55408.8,41891.0,4458.1,8.90,,
XNJ,Industrials,3387.0,3425.0,3411.1,3438.0,3392.6,3439.6,3382.3,-45.4,-1.32,3438.0,3387.0,22.8,0.68,3770.0,3369.8,-374.3,-9.94,3815.2,3369.8,54.8,1.64,3815.2,3031.9,-188.6,-5.27,26169.6,26463.4,26356.0,26563.4,26212.9,26563.4,26169.6,176.6,0.68,29128.9,26036.3,-2891.6,-9.94,29446.6,25815.0,712.7,2.79,29446.6,22990.4,-465.0,-1.74,,
XIJ,Info Technology,493.2,500.3,497.8,500.1,494.0,502.0,489.5,-6.1,-1.22,500.3,493.2,5.0,1.02,541.7,489.0,-46.1,-8.54,560.6,482.8,-4.5,-0.91,582.1,458.0,-82.9,-14.37,3077.4,3121.5,3105.9,3120.3,3082.3,3121.5,3077.4,31.1,1.02,3379.8,3051.2,-287.8,-8.54,3498.2,2950.6,35.5,1.17,3498.2,2743.0,-373.1,-10.80,,
XMJ,Materials,9775.5,9933.1,9835.0,9788.2,9626.8,9787.1,9535.1,-161.4,-1.65,9933.1,9626.8,24.8,0.26,11096.9,9599.2,-1408.8,-12.77,11833.2,9599.2,-865.8,-8.25,13806.7,9599.2,-3740.7,-27.98,64071.1,65104.1,64461.2,64154.3,63096.5,65104.1,63096.5,201.2,0.32,72660.4,62868.9,-9162.5,-12.68,76582.8,62868.9,-4810.3,-7.08,88274.8,62868.9,-22370.4,-26.17,,
XPJ,A-REIT,864.3,859.8,854.6,853.3,861.0,863.3,853.2,7.7,0.90,864.3,853.3,11.3,1.34,880.0,845.3,-13.4,-1.53,880.0,785.8,83.5,10.74,880.0,708.9,12.5,1.47,21527.1,21416.5,21287.6,21254.3,21446.4,21527.1,21254.3,283.1,1.34,21898.6,21053.7,-308.2,-1.42,21898.6,19271.5,2378.3,12.47,21898.6,17036.7,1624.6,8.20,,
XTJ,Telecommunications,1208.0,1218.5,1221.6,1218.5,1248.1,1248.1,1213.5,29.6,2.43,1248.1,1208.0,36.8,3.04,1272.0,1208.0,21.6,1.77,1272.0,1101.4,112.6,9.91,1272.0,959.0,210.9,20.33,12866.4,12978.0,13011.4,12978.6,13293.4,13293.4,12866.4,391.4,3.03,13548.3,12866.4,230.1,1.76,13548.3,11476.1,1674.0,14.41,13548.3,9383.7,3149.7,31.05,,
XUJ,Utilities,4789.6,4889.7,4893.0,4942.4,4931.7,4934.2,4888.0,-10.7,-0.22,4942.4,4789.6,131.8,2.75,4942.4,4670.7,40.3,0.82,4942.4,4527.2,387.3,8.52,4942.4,4004.3,630.8,14.67,45254.8,46200.7,46231.7,46698.6,46596.7,46698.6,45254.8,1244.6,2.74,46698.6,43986.4,532.1,1.16,46698.6,42294.1,4414.2,10.46,46698.6,36081.2,8319.4,21.73,,
XMM,Metals & Mining,3406.7,3464.3,3429.0,3409.0,3352.1,3409.1,3316.8,-56.9,-1.67,3464.3,3352.1,18.5,0.56,3907.2,3331.6,-534.6,-13.75,4252.2,3331.6,-369.6,-9.93,5005.4,3331.6,-1499.2,-30.90,4589.0,4666.5,4618.9,4592.1,4515.4,4666.5,4515.4,24.9,0.55,5263.2,4487.8,-720.1,-13.75,5661.9,4487.8,-440.0,-8.88,6595.2,4487.8,-1876.7,-29.36,,
XGD,Gold,5289.4,5324.3,5201.3,5231.4,5096.7,5232.0,5067.1,-134.7,-2.57,5324.3,5096.7,-49.3,-0.96,5720.5,4898.3,-595.6,-10.46,7178.9,4898.3,-937.3,-15.53,7931.9,4898.3,-2357.8,-31.63,6060.1,6100.5,5959.6,5994.0,5839.7,6100.5,5839.7,-56.2,-0.95,6554.0,5612.0,-682.1,-10.46,8202.2,5612.0,-1054.1,-15.29,9025.2,5612.0,-2639.9,-31.13,,
XJR,S&P/ASX 200 Res,4087.8,4167.7,4127.6,4100.9,4036.7,4100.5,4000.3,-64.2,-1.57,4167.7,4036.7,30.8,0.77,4684.8,4005.5,-621.5,-13.34,4925.8,4005.5,-332.6,-7.61,5721.3,4005.5,-1612.8,-28.55,20607.0,21009.8,20808.0,20673.4,20349.6,21009.8,20349.6,155.4,0.77,23616.8,20192.4,-3132.8,-13.34,24542.0,20192.4,-1419.5,-6.52,28188.6,20192.4,-7485.5,-26.89,,
,
