Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-16T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 11,Jul 12,Jul 13,Jul 14,Jul 15,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4646.8,4563.5,4583.2,4561.3,4542.7,4561.3,4525.1,-18.6,-0.41,4646.8,4542.7,-173.3,-3.68,4716.0,4512.5,-92.7,-2.00,5064.9,4512.5,-304.2,-6.28,5064.9,4356.6,105.7,2.38,34027.3,33417.8,33561.7,33401.8,33265.4,34027.3,33265.4,-1269.0,-3.67,34534.4,32986.8,-616.0,-1.82,36827.4,32986.8,-1547.3,-4.44,36827.4,30753.3,2059.8,6.60,,
XAF,All Australian 50,4553.7,4467.1,4483.1,4455.1,4438.7,4455.1,4417.2,-16.4,-0.37,4553.7,4438.7,-186.0,-4.02,4624.7,4423.7,-95.3,-2.10,4939.1,4423.7,-243.5,-5.20,4939.1,4312.2,11.6,0.26,33912.0,33267.0,33385.9,33177.7,33055.3,33912.0,33055.3,-1384.8,-4.02,34440.1,32910.8,-676.3,-2.01,36488.5,32910.8,-1091.2,-3.20,36488.5,30992.3,1505.4,4.77,,
XAT,All Australian 200,4583.1,4496.6,4516.7,4491.5,4474.4,4491.5,4455.2,-17.1,-0.38,4583.1,4474.4,-180.3,-3.87,4654.7,4450.7,-93.3,-2.04,4976.2,4450.7,-276.1,-5.81,4976.2,4319.0,54.9,1.24,34057.0,33414.2,33563.4,33376.1,33249.3,34057.0,33249.3,-1339.5,-3.87,34588.8,33020.3,-635.4,-1.88,36695.0,33020.3,-1341.6,-3.88,36695.0,30986.3,1772.3,5.63,,
XTL,S&P/ASX 20,2762.3,2708.1,2715.2,2697.7,2685.7,2697.7,2671.9,-12.0,-0.44,2762.3,2685.7,-121.3,-4.32,2807.0,2678.1,-60.1,-2.19,2998.7,2678.1,-146.4,-5.17,2998.7,2597.7,-1.3,-0.05,40310.1,39519.4,39623.8,39367.7,39192.3,40310.1,39192.3,-1770.9,-4.32,40963.3,39082.2,-878.0,-2.19,43396.5,39082.2,-1261.3,-3.12,43396.5,36591.9,1717.8,4.58,,
XFL,S&P/ASX 50,4568.8,4480.9,4495.4,4468.8,4451.6,4468.8,4430.0,-17.2,-0.38,4568.8,4451.6,-189.3,-4.08,4640.9,4440.1,-98.0,-2.15,4953.4,4440.1,-241.7,-5.15,4953.4,4324.0,9.4,0.21,33994.6,33340.2,33448.8,33250.8,33122.5,33994.6,33122.5,-1408.6,-4.08,34531.1,33004.9,-696.1,-2.06,36564.0,33004.9,-1080.1,-3.16,36564.0,31056.4,1485.0,4.69,,
XTO,S&P/ASX 100,3737.6,3667.0,3681.9,3660.0,3645.7,3660.0,3629.6,-14.3,-0.39,3737.6,3645.7,-150.8,-3.97,3796.5,3634.2,-81.5,-2.19,4049.1,3634.2,-207.6,-5.39,4049.1,3530.5,23.7,0.65,8435.2,8275.9,8309.5,8260.1,8227.9,8435.2,8227.9,-340.3,-3.97,8568.2,8189.7,-170.3,-2.03,9067.0,8189.7,-290.6,-3.41,9067.0,7689.1,399.3,5.10,,
XJO,S&P/ASX 200,4582.3,4495.4,4514.8,4490.7,4473.5,4490.7,4454.3,-17.2,-0.38,4582.3,4473.5,-181.2,-3.89,4654.7,4451.7,-93.3,-2.04,4971.2,4451.7,-271.7,-5.73,4971.2,4320.1,50.8,1.15,34011.8,33367.1,33510.5,33332.2,33204.3,34011.8,33204.3,-1345.1,-3.89,34549.4,32990.8,-634.9,-1.88,36617.7,32990.8,-1314.2,-3.81,36617.7,30967.0,1731.0,5.50,,
XKO,S&P/ASX 300,4586.8,4499.8,4519.1,4495.5,4477.8,4495.5,4459.0,-17.7,-0.39,4586.8,4477.8,-180.2,-3.87,4658.0,4454.6,-94.6,-2.07,4984.1,4454.6,-283.0,-5.94,4984.1,4316.1,64.7,1.47,33966.8,33322.7,33465.9,33291.2,33159.6,33966.8,33159.6,-1335.0,-3.87,34494.6,32936.3,-643.4,-1.90,36632.1,32936.3,-1400.7,-4.05,36632.1,30879.1,1811.2,5.78,,
XMD,S&P/ASX MidCap 50,4214.4,4146.6,4189.1,4163.5,4145.9,4163.5,4140.5,-17.6,-0.42,4214.4,4145.9,-134.3,-3.14,4280.2,4074.9,-102.7,-2.42,4573.1,4074.9,-321.6,-7.20,4573.1,3899.3,164.6,4.13,9959.9,9799.8,9900.3,9839.7,9798.2,9959.9,9798.2,-317.4,-3.14,10115.6,9630.3,-179.0,-1.79,10728.9,9630.3,-550.4,-5.32,10728.9,8861.1,750.9,8.30,,
XSO,S&P/ASX Small Ords,2610.5,2559.0,2576.0,2580.4,2568.9,2580.4,2563.7,-11.5,-0.45,2610.5,2559.0,-76.5,-2.89,2645.4,2461.7,-24.6,-0.95,2946.3,2461.7,-323.6,-11.19,2946.3,2288.7,239.4,10.28,5942.3,5825.1,5863.7,5873.8,5847.7,5942.3,5825.1,-174.0,-2.89,6021.7,5600.5,-40.4,-0.69,6625.3,5600.5,-654.6,-10.07,6625.3,5077.8,679.3,13.14,,
