Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-15T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 10,Jan 11,Jan 12,Jan 13,Jan 14,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 10,Jan 11,Jan 12,Jan 13,Jan 14,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4818.7,4814.9,4831.9,4901.5,4908.6,4909.3,4891.3,7.1,0.14,4908.6,4814.9,96.6,2.01,4908.6,4812.0,57.7,1.19,4908.6,4812.0,61.7,1.27,5024.1,4250.6,-20.9,-0.42,34610.5,34583.4,34705.4,35205.5,35257.0,35257.0,34583.4,694.5,2.01,35257.0,34562.5,463.9,1.33,35257.0,34562.5,444.2,1.28,35257.0,29893.9,1233.8,3.63,,
XAF,All Australian 50,4645.3,4649.7,4660.5,4727.2,4736.4,4737.4,4717.2,9.2,0.19,4736.4,4645.3,97.3,2.10,4750.4,4639.1,10.3,0.22,4736.4,4639.1,54.2,1.16,5017.2,4220.3,-154.9,-3.17,33877.7,33909.8,33987.9,34474.8,34541.9,34541.9,33877.7,710.1,2.10,34643.7,33831.8,106.0,0.31,34541.9,33831.8,395.4,1.16,35500.5,30076.1,387.9,1.14,,
XAT,All Australian 200,4716.2,4714.6,4728.5,4800.5,4807.8,4809.1,4790.2,7.3,0.15,4807.8,4714.6,99.1,2.11,4807.8,4708.7,36.9,0.77,4807.8,4708.7,57.3,1.21,5001.2,4218.4,-93.8,-1.91,34341.2,34329.7,34430.9,34955.3,35008.9,35008.9,34329.7,722.5,2.11,35008.9,34286.3,318.1,0.92,35008.9,34286.3,417.9,1.21,35368.8,30043.8,782.5,2.29,,
XTL,S&P/ASX 20,2800.2,2803.9,2812.1,2853.4,2858.1,2858.7,2846.1,4.7,0.16,2858.1,2800.2,59.0,2.11,2875.7,2799.1,-5.0,-0.17,2858.1,2799.1,26.0,0.92,3060.6,2560.9,-113.6,-3.82,39997.6,40050.0,40168.1,40757.9,40825.1,40825.1,39997.6,843.4,2.11,41076.2,39981.7,-70.8,-0.17,40825.1,39981.7,371.5,0.92,42369.7,35716.1,241.4,0.59,,
XFL,S&P/ASX 50,4657.3,4662.0,4671.7,4737.9,4746.3,4747.1,4727.3,8.4,0.18,4746.3,4657.3,95.1,2.04,4762.3,4651.2,8.6,0.18,4746.3,4651.2,53.0,1.13,5036.9,4235.3,-160.4,-3.27,33940.8,33975.0,34045.3,34528.1,34588.9,34588.9,33940.8,692.6,2.04,34705.8,33896.3,93.0,0.27,34588.9,33896.3,386.3,1.13,35624.5,30164.1,341.7,1.00,,
XTO,S&P/ASX 100,3827.3,3828.5,3836.5,3892.1,3898.2,3899.0,3884.0,6.1,0.16,3898.2,3827.3,77.1,2.02,3903.0,3821.1,20.0,0.52,3898.2,3821.1,44.9,1.16,4095.8,3455.4,-111.8,-2.79,8461.0,8463.5,8481.2,8604.1,8617.6,8617.6,8461.0,170.5,2.02,8628.3,8447.1,55.4,0.65,8617.6,8447.1,99.1,1.16,8789.4,7468.5,122.5,1.44,,
XJO,S&P/ASX 200,4712.3,4710.7,4724.2,4795.2,4801.5,4802.8,4784.3,6.3,0.13,4801.5,4710.7,96.5,2.05,4801.5,4705.0,34.6,0.73,4801.5,4705.0,56.3,1.19,5001.9,4222.1,-98.1,-2.00,34278.9,34267.1,34365.5,34882.2,34928.3,34928.3,34267.1,702.2,2.05,34928.3,34226.1,301.3,0.87,34928.3,34226.1,409.7,1.19,35345.6,30045.0,739.5,2.16,,
XKO,S&P/ASX 300,4725.6,4723.7,4738.3,4809.5,4816.7,4817.7,4798.7,7.2,0.15,4816.7,4723.7,97.8,2.07,4816.7,4718.9,40.8,0.86,4816.7,4718.9,55.9,1.17,4995.0,4214.7,-82.5,-1.68,34305.2,34291.1,34397.5,34914.0,34967.0,34967.0,34291.1,710.8,2.08,34967.0,34256.2,346.3,1.00,34967.0,34256.2,406.7,1.18,35236.9,29938.5,834.9,2.45,,
XMD,S&P/ASX Midcap 50,4467.2,4445.1,4455.2,4530.0,4530.9,4533.7,4516.4,0.9,0.02,4530.9,4445.1,81.7,1.84,4530.9,4409.4,135.7,3.09,4530.9,4445.1,63.4,1.42,4530.9,3797.0,48.3,1.08,10347.8,10296.6,10320.1,10493.4,10495.3,10495.3,10296.6,189.2,1.84,10495.3,10136.3,359.1,3.54,10495.3,10296.6,146.8,1.42,10495.3,8628.5,502.3,5.03,,
XSO,S&P/ASX Small Ords,2853.6,2833.1,2869.6,2927.0,2929.4,2929.7,2912.0,2.4,0.08,2929.4,2833.1,74.2,2.60,2929.4,2830.2,118.7,4.22,2929.4,2833.1,36.9,1.28,2929.4,2229.7,264.7,9.93,6415.1,6369.0,6451.1,6580.2,6586.8,6586.8,6369.0,167.9,2.62,6586.8,6302.8,284.0,4.51,6586.8,6369.0,84.5,1.30,6586.8,4946.8,746.9,12.79,,
XDJ,Consumer Discretionary,1505.2,1511.1,1502.0,1516.1,1517.9,1517.9,1511.1,1.8,0.12,1517.9,1502.0,19.3,1.29,1517.9,1486.5,26.6,1.78,1517.9,1495.6,17.1,1.14,1670.5,1424.3,-106.0,-6.53,9811.4,9849.7,9790.1,9882.5,9893.8,9893.8,9790.1,125.9,1.29,9893.8,9689.4,173.0,1.78,9893.8,9748.3,111.5,1.14,10680.0,9106.3,-303.9,-2.98,,
XSJ,Consumer Staples,7597.6,7630.1,7601.6,7702.1,7846.8,7870.3,7702.1,144.7,1.88,7846.8,7597.6,266.1,3.51,7846.8,7569.1,239.9,3.15,7846.8,7569.1,132.3,1.71,8415.1,7095.7,68.3,0.88,52982.5,53209.0,53010.5,53710.8,54720.1,54720.1,52982.5,1855.5,3.51,54720.1,52783.5,1673.1,3.15,54720.1,52783.5,922.2,1.71,58402.4,47464.4,2688.2,5.17,,
