Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-04-18T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 13,Apr 14,Apr 15,Apr 16,Apr 17,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 10,Apr 13,Apr 14,Apr 15,Apr 16,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5928.1,5916.2,5877.3,5917.6,5851.5,5917.6,5843.9,-66.1,-1.12,5928.1,5851.5,-83.9,-1.41,5937.1,5808.0,40.5,0.70,5937.1,5278.8,462.9,8.59,5937.1,5278.8,406.7,7.47,51390.7,51327.5,51225.3,50888.5,51241.3,51327.5,50888.5,-149.4,-0.29,51390.7,50249.9,991.4,1.97,51390.7,45110.3,5194.4,11.28,51390.7,43681.7,6071.1,13.44,,
XAF,All Australian 50,6051.4,6036.2,5997.3,6036.8,5967.5,6036.8,5957.1,-69.3,-1.15,6051.4,5967.5,-94.6,-1.56,6081.0,5940.3,29.1,0.49,6081.0,5389.2,469.3,8.54,6081.0,5389.2,407.1,7.32,54056.9,53960.9,53825.4,53478.6,53831.3,53960.9,53478.6,-225.5,-0.42,54222.3,52914.2,917.1,1.73,54222.3,47407.4,5464.9,11.30,54222.3,45852.9,6469.8,13.66,,
XAT,All Australian 200,5899.3,5885.7,5848.3,5887.7,5819.5,5887.7,5811.1,-68.2,-1.16,5899.3,5819.5,-88.9,-1.50,5916.5,5784.2,35.0,0.60,5916.5,5251.9,456.4,8.51,5916.5,5251.9,406.3,7.51,52273.0,52192.3,52072.2,51741.2,52094.6,52192.3,51741.2,-178.5,-0.34,52324.7,51123.7,970.9,1.90,52324.7,45851.2,5273.7,11.26,52324.7,44281.4,6269.4,13.68,,
XTL,S&P/ASX 20,3726.6,3710.4,3686.1,3712.3,3669.1,3712.3,3662.6,-43.2,-1.16,3726.6,3669.1,-65.8,-1.76,3760.5,3669.1,0.5,0.01,3760.5,3321.7,270.3,7.95,3760.5,3321.7,219.6,6.37,65537.0,65390.5,65105.7,64680.8,65139.8,65390.5,64680.8,-397.2,-0.61,65985.5,64316.8,823.0,1.28,65985.5,57424.2,6384.0,10.87,65985.5,55673.0,7401.7,12.82,,
XFL,S&P/ASX 50,6122.0,6106.5,6067.4,6107.5,6037.4,6107.5,6026.9,-70.1,-1.15,6122.0,6037.4,-95.7,-1.56,6152.9,6010.8,28.1,0.47,6152.9,5453.2,474.0,8.52,6152.9,5453.2,413.3,7.35,54594.0,54494.7,54356.6,54009.2,54366.1,54494.7,54009.2,-227.9,-0.42,54764.7,53449.3,916.8,1.72,54764.7,47882.7,5515.6,11.29,54764.7,46300.1,6546.4,13.69,,
XTO,S&P/ASX 100,4980.9,4968.2,4936.6,4966.6,4909.3,4966.6,4901.5,-57.3,-1.15,4980.9,4909.3,-79.2,-1.59,4996.2,4882.4,27.8,0.57,4996.2,4422.0,396.3,8.78,4996.2,4422.0,374.5,8.26,13430.8,13410.2,13375.9,13290.9,13372.8,13410.2,13290.9,-58.0,-0.43,13448.7,13131.2,241.6,1.84,13448.7,11747.2,1384.0,11.54,13448.7,11295.6,1698.5,14.55,,
XJO,S&P/ASX 200,5960.3,5946.6,5908.4,5947.5,5877.9,5947.5,5869.5,-69.6,-1.17,5960.3,5877.9,-90.5,-1.52,5975.5,5842.3,35.8,0.61,5975.5,5299.2,466.9,8.63,5975.5,5299.2,423.7,7.77,52690.4,52618.9,52497.8,52161.1,52510.6,52618.9,52161.1,-179.8,-0.34,52731.3,51520.1,990.4,1.92,52731.3,46166.2,5371.3,11.39,52731.3,44533.8,6433.4,13.96,,
XVI,S&P/ASX 200 VIX,13.410,13.708,13.493,13.525,14.801,14.839,13.234,1.276,9.43,14.801,13.410,2.187,17.34,14.966,12.403,0.119,0.81,16.722,12.403,0.220,1.51,19.164,9.309,3.899,35.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5890.1,5876.8,5839.1,5877.6,5810.0,5877.6,5801.9,-67.6,-1.15,5890.1,5810.0,-87.6,-1.49,5904.1,5773.8,35.7,0.62,5904.1,5240.7,461.1,8.62,5904.1,5240.7,413.1,7.65,51870.1,51804.2,51687.3,51355.8,51698.3,51804.2,51355.8,-171.7,-0.33,51912.7,50728.9,969.4,1.91,51912.7,45487.5,5272.8,11.36,51912.7,43915.8,6265.5,13.79,,
XMD,S&P/ASX MidCap 50,5363.8,5349.3,5316.7,5327.2,5264.0,5328.0,5260.4,-63.2,-1.19,5363.8,5264.0,-96.4,-1.80,5363.8,5191.0,71.9,1.38,5363.8,4638.6,516.5,10.88,5363.8,4638.6,731.2,16.13,14750.5,14759.9,14719.9,14630.3,14671.0,14759.9,14630.3,-79.5,-0.54,14759.9,14267.7,403.3,2.83,14759.9,12623.2,1751.5,13.56,14759.9,11578.7,2636.5,21.91,,
