Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-05-12T23:15:15+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,May 7,May 8,May 9,May 10,May 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,May 7,May 8,May 9,May 10,May 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4361.6,4375.9,4332.2,4353.8,4342.7,4359.3,4333.1,-11.1,-0.25,4375.9,4332.2,-116.7,-2.62,4504.8,4332.2,15.4,0.36,4504.8,4155.2,231.7,5.64,4828.2,3927.6,-444.6,-9.29,33187.4,33296.7,32964.6,33178.5,33093.5,33296.7,32964.6,-828.3,-2.44,34266.8,32910.4,183.1,0.56,34266.8,31164.7,2260.1,7.33,35231.0,29204.1,-1776.9,-5.10,,
XAF,All Australian 50,4294.9,4304.3,4273.1,4286.9,4274.7,4292.8,4262.8,-12.2,-0.28,4304.3,4273.1,-110.4,-2.52,4413.6,4247.8,58.3,1.38,4413.6,4092.7,225.6,5.57,4730.3,3853.0,-411.9,-8.79,33342.9,33416.3,33174.0,33350.5,33255.3,33416.3,33174.0,-774.6,-2.28,34251.1,32720.9,534.4,1.63,34251.1,31296.5,2291.5,7.40,35115.2,29181.9,-1448.0,-4.17,,
XAT,All Australian 200,4292.1,4305.1,4265.1,4284.5,4273.8,4290.7,4263.0,-10.7,-0.25,4305.1,4265.1,-113.1,-2.58,4426.4,4265.1,35.9,0.85,4426.4,4095.7,223.1,5.51,4756.9,3855.4,-437.8,-9.29,33203.1,33303.5,32994.6,33201.8,33118.9,33303.5,32994.6,-805.9,-2.38,34230.5,32770.5,348.4,1.06,34230.5,31218.0,2243.8,7.27,35220.8,29116.8,-1693.6,-4.86,,
XTL,S&P/ASX 20,2587.6,2593.0,2576.0,2582.1,2575.7,2585.3,2568.1,-6.4,-0.25,2593.0,2575.7,-67.0,-2.53,2659.9,2551.6,43.2,1.70,2659.9,2459.2,126.0,5.14,2875.0,2334.2,-273.7,-9.60,39418.5,39499.8,39240.4,39436.2,39338.2,39499.8,39240.4,-903.1,-2.24,40503.5,38564.3,773.9,2.01,40503.5,37130.7,2593.2,7.06,41849.9,34671.5,-2009.2,-4.86,,
XFL,S&P/ASX 50,4322.5,4332.2,4301.3,4316.8,4304.6,4322.9,4292.6,-12.2,-0.28,4332.2,4301.3,-109.6,-2.48,4442.6,4276.1,59.6,1.40,4442.6,4119.7,228.1,5.60,4748.5,3876.7,-399.2,-8.49,33516.4,33591.3,33351.6,33541.2,33446.8,33591.3,33351.6,-767.1,-2.24,34434.2,32902.5,544.3,1.65,34434.2,31465.6,2311.4,7.42,35220.1,29332.3,-1355.1,-3.89,,
XTO,S&P/ASX 100,3514.6,3524.5,3496.0,3511.8,3502.9,3517.2,3493.6,-8.9,-0.25,3524.5,3496.0,-86.8,-2.42,3618.2,3487.8,43.0,1.24,3618.2,3352.0,186.2,5.61,3883.9,3155.5,-343.5,-8.93,8263.0,8286.3,8219.4,8271.6,8250.7,8286.3,8219.4,-186.0,-2.20,8503.6,8130.8,119.9,1.47,8503.6,7763.4,569.1,7.41,8734.5,7240.1,-380.3,-4.41,,
XJO,S&P/ASX 200,4301.3,4314.4,4275.1,4295.6,4285.1,4302.2,4274.4,-10.5,-0.24,4314.4,4275.1,-110.9,-2.52,4435.9,4275.1,39.0,0.92,4435.9,4101.2,228.5,5.63,4756.4,3863.9,-426.3,-9.05,33228.5,33329.3,33026.0,33241.3,33160.2,33329.3,33026.0,-789.0,-2.32,34257.1,32787.6,372.6,1.14,34257.1,31218.6,2281.1,7.39,35178.3,29145.7,-1612.5,-4.64,,
XKO,S&P/ASX 300,4295.7,4308.8,4267.9,4288.8,4278.3,4295.1,4268.0,-10.5,-0.24,4308.8,4267.9,-112.9,-2.57,4432.4,4267.9,31.6,0.74,4432.4,4097.1,226.0,5.58,4764.5,3860.9,-443.0,-9.38,33094.1,33195.3,32880.2,33096.5,33015.9,33195.3,32880.2,-802.8,-2.37,34136.0,32701.9,314.0,0.96,34136.0,31106.7,2249.3,7.31,35157.2,29050.7,-1751.7,-5.04,,
XMD,S&P/ASX MidCap 50,3776.3,3804.9,3744.7,3789.5,3788.9,3805.3,3781.5,-0.6,-0.02,3804.9,3744.7,-73.0,-1.89,3950.9,3744.7,-2.1,-0.06,3950.9,3609.5,210.0,5.87,4378.3,3408.2,-535.6,-12.39,9271.2,9341.5,9193.7,9303.7,9302.2,9341.5,9193.7,-179.3,-1.89,9693.0,9193.7,1.4,0.02,9693.0,8736.2,640.1,7.39,10279.3,8186.5,-851.0,-8.38,,
XSO,S&P/ASX Small Ords,2349.4,2362.6,2305.0,2325.6,2322.2,2331.7,2318.3,-3.4,-0.15,2362.6,2305.0,-100.5,-4.15,2505.5,2305.0,-104.3,-4.30,2526.6,2240.7,112.8,5.11,2705.6,2137.3,-370.3,-13.75,5490.6,5521.5,5386.8,5435.0,5427.1,5521.5,5386.8,-234.7,-4.15,5852.4,5386.8,-239.8,-4.23,5892.6,5181.7,318.2,6.23,6139.3,4915.5,-676.5,-11.08,,
