Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-26T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 21,Nov 22,Nov 23,Nov 24,Nov 25,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4233.6,4204.2,4125.8,4115.3,4057.6,4114.1,4047.4,-57.7,-1.40,4233.6,4057.6,-189.1,-4.45,4411.4,4057.6,-230.1,-5.37,5064.9,3927.6,-789.3,-16.28,5064.9,3927.6,-632.6,-13.49,31691.2,31471.1,30884.3,30805.9,30374.1,31691.2,30374.1,-1410.8,-4.44,32859.0,30374.1,-1521.9,-4.77,36827.4,29204.1,-4438.7,-12.75,36827.4,29204.1,-3260.8,-9.69,,
XAF,All Australian 50,4138.6,4111.1,4029.6,4026.7,3962.7,4025.7,3951.8,-64.0,-1.59,4138.6,3962.7,-188.6,-4.54,4328.1,3962.7,-240.9,-5.73,4939.1,3853.0,-719.5,-15.37,4939.1,3853.0,-594.9,-13.05,31604.5,31394.3,30772.3,30750.2,30261.5,31604.5,30261.5,-1440.1,-4.54,32873.3,30261.5,-1575.5,-4.95,36488.5,29181.9,-3885.1,-11.38,36488.5,29181.9,-2946.4,-8.87,,
XAT,All Australian 200,4161.1,4130.8,4048.1,4041.1,3980.9,4039.8,3970.3,-60.2,-1.49,4161.1,3980.9,-194.2,-4.65,4352.1,3980.9,-244.6,-5.79,4976.2,3855.4,-769.6,-16.20,4976.2,3855.4,-620.1,-13.48,31657.4,31427.2,30797.8,30744.5,30286.3,31657.4,30286.3,-1474.5,-4.64,32902.3,30286.3,-1631.5,-5.11,36695.0,29116.8,-4304.7,-12.44,36695.0,29116.8,-3165.2,-9.46,,
XTL,S&P/ASX 20,2504.2,2487.7,2435.7,2434.3,2390.0,2433.6,2382.9,-44.3,-1.82,2504.2,2390.0,-121.9,-4.85,2630.2,2390.0,-161.6,-6.33,2998.7,2334.2,-442.1,-15.61,2998.7,2334.2,-354.8,-12.93,37562.5,37314.7,36535.6,36513.9,35849.6,37562.5,35849.6,-1828.9,-4.85,39090.6,35849.6,-2052.0,-5.41,43396.5,34671.5,-4604.0,-11.38,43396.5,34671.5,-3357.1,-8.56,,
XFL,S&P/ASX 50,4162.3,4135.2,4053.6,4050.7,3986.5,4049.7,3975.8,-64.2,-1.58,4162.3,3986.5,-189.2,-4.53,4350.8,3986.5,-240.3,-5.69,4953.4,3876.7,-706.8,-15.06,4953.4,3876.7,-582.2,-12.74,31753.1,31545.7,30923.9,30901.6,30412.0,31753.1,30412.0,-1443.1,-4.53,33016.4,30412.0,-1569.6,-4.91,36564.0,29332.3,-3790.6,-11.08,36564.0,29332.3,-2853.3,-8.58,,
XTO,S&P/ASX 100,3395.2,3371.3,3305.1,3299.3,3248.9,3298.3,3240.4,-50.4,-1.53,3395.2,3248.9,-157.1,-4.61,3550.3,3248.9,-199.0,-5.77,4049.1,3155.5,-604.4,-15.69,4049.1,3155.5,-492.4,-13.16,7849.8,7794.6,7641.4,7628.0,7511.6,7849.8,7511.6,-362.9,-4.61,8153.6,7511.6,-400.7,-5.06,9067.0,7240.1,-1006.9,-11.82,9067.0,7240.1,-747.8,-9.05,,
XJO,S&P/ASX 200,4163.0,4133.0,4051.0,4044.2,3984.3,4042.9,3973.8,-59.9,-1.48,4163.0,3984.3,-192.7,-4.61,4353.3,3984.3,-243.6,-5.76,4971.2,3863.9,-760.9,-16.04,4971.2,3863.9,-614.0,-13.35,31630.8,31402.7,30779.8,30728.1,30273.2,31630.8,30273.2,-1460.2,-4.60,32880.0,30273.2,-1624.1,-5.09,36617.7,29145.7,-4245.4,-12.30,36617.7,29145.7,-3126.0,-9.36,,
XKO,S&P/ASX 300,4161.4,4131.2,4050.7,4043.1,3984.2,4041.8,3973.8,-58.9,-1.46,4161.4,3984.2,-191.3,-4.58,4349.1,3984.2,-240.1,-5.68,4984.1,3860.9,-776.6,-16.31,4984.1,3860.9,-622.9,-13.52,31537.0,31307.9,30697.8,30640.1,30193.7,31537.0,30193.7,-1446.5,-4.57,32768.8,30193.7,-1598.6,-5.03,36632.1,29050.7,-4366.6,-12.63,36632.1,29050.7,-3199.9,-9.58,,
XMD,S&P/ASX MidCap 50,3743.4,3701.7,3630.8,3593.2,3555.7,3591.1,3547.0,-37.5,-1.04,3743.4,3555.7,-198.6,-5.29,3926.9,3555.7,-246.2,-6.48,4573.1,3408.2,-911.8,-20.41,4573.1,3408.2,-697.3,-16.40,9002.9,8902.5,8732.0,8641.7,8551.3,9002.9,8551.3,-474.9,-5.26,9435.6,8551.3,-580.9,-6.36,10728.9,8186.5,-1797.2,-17.37,10728.9,8186.5,-1249.9,-12.75,,
XSO,S&P/ASX Small Ords,2343.1,2320.7,2279.2,2272.0,2254.8,2270.5,2245.4,-17.2,-0.76,2343.1,2254.8,-100.8,-4.28,2445.2,2254.8,-113.8,-4.80,2946.3,2137.3,-637.7,-22.05,2946.3,2137.3,-455.4,-16.80,5402.0,5350.3,5254.7,5238.1,5198.4,5402.0,5198.4,-228.2,-4.20,5632.0,5198.4,-254.7,-4.67,6625.3,4915.5,-1303.9,-20.05,6625.3,4915.5,-877.0,-14.44,,
