Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-12T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 7,Feb 8,Feb 9,Feb 10,Feb 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4964.3,4983.1,4995.1,5001.7,4970.6,5001.7,4970.6,-31.1,-0.62,5001.7,4964.3,11.8,0.24,5001.7,4831.9,155.7,3.23,5001.7,4812.0,123.7,2.55,5024.1,4250.6,381.8,8.32,35657.6,35817.2,35903.8,35951.2,35729.0,35951.2,35657.6,110.7,0.31,35951.2,34583.4,1145.6,3.31,35951.2,34562.5,916.2,2.63,35951.2,29893.9,4021.6,12.68,,
XAF,ALL Australian 50,4818.7,4843.8,4857.7,4873.9,4839.0,4873.9,4839.0,-34.9,-0.72,4873.9,4818.7,28.7,0.60,4873.9,4660.5,189.3,4.07,4873.9,4639.1,156.8,3.35,5017.2,4220.3,278.1,6.10,35142.3,35356.5,35458.0,35576.5,35321.9,35576.5,35142.3,241.5,0.69,35576.5,33909.8,1412.1,4.16,35576.5,33831.8,1175.4,3.44,35576.5,30076.1,3431.5,10.76,,
XAT,ALL Australian 200,4872.3,4894.0,4908.2,4918.2,4885.0,4918.2,4885.0,-33.2,-0.68,4918.2,4872.3,18.3,0.38,4918.2,4728.5,170.4,3.61,4918.2,4708.7,134.5,2.83,5001.2,4218.4,323.7,7.10,35478.4,35663.6,35767.2,35840.0,35599.1,35840.0,35478.4,161.6,0.46,35840.0,34329.7,1269.4,3.70,35840.0,34286.3,1008.2,2.91,35840.0,30043.8,3710.0,11.63,,
XTL,S&P/Asx 20,2919.0,2937.5,2948.5,2958.0,2935.7,2958.0,2935.7,-22.3,-0.75,2958.0,2919.0,21.1,0.72,2958.0,2812.1,131.8,4.70,2958.0,2799.1,103.6,3.66,3060.6,2560.9,181.4,6.59,41694.1,41996.2,42153.6,42288.8,41970.1,42288.8,41694.1,337.7,0.81,42288.8,40050.0,1920.0,4.79,42288.8,39981.7,1516.5,3.75,42369.7,35716.1,4302.0,11.42,,
XFL,S&P/Asx 50,4832.5,4857.2,4871.7,4887.4,4852.1,4887.4,4852.1,-35.3,-0.72,4887.4,4832.5,28.1,0.58,4887.4,4671.7,190.1,4.08,4887.4,4651.2,158.8,3.38,5036.9,4235.3,275.3,6.02,35217.0,35429.1,35534.9,35649.5,35391.6,35649.5,35217.0,236.4,0.67,35649.5,33975.0,1416.6,4.17,35649.5,33896.3,1189.0,3.48,35649.5,30164.1,3404.0,10.64,,
XTO,S&P/Asx 100,3955.7,3974.3,3986.4,3997.2,3969.8,3997.2,3969.8,-27.4,-0.69,3997.2,3955.7,18.4,0.47,3997.2,3836.5,141.3,3.69,3997.2,3821.1,116.5,3.02,4095.8,3455.4,232.5,6.22,8744.8,8792.7,8819.6,8843.4,8783.2,8843.4,8744.8,47.9,0.55,8843.4,8463.5,319.8,3.78,8843.4,8447.1,264.7,3.11,8843.4,7468.5,855.8,10.80,,
XJO,S&P/Asx 200,4868.6,4890.4,4904.8,4914.4,4880.9,4914.4,4880.9,-33.5,-0.68,4914.4,4868.6,18.2,0.37,4914.4,4724.2,170.2,3.61,4914.4,4705.0,135.7,2.86,5001.9,4222.1,318.8,6.99,35416.2,35601.5,35706.3,35776.7,35534.5,35776.7,35416.2,160.8,0.45,35776.7,34267.1,1267.4,3.70,35776.7,34226.1,1016.0,2.94,35776.7,30045.0,3661.9,11.49,,
XKO,S&P/Asx 300,4882.4,4903.8,4917.9,4927.1,4893.8,4927.1,4893.8,-33.3,-0.68,4927.1,4882.4,17.3,0.35,4927.1,4738.3,170.1,3.60,4927.1,4718.9,133.0,2.79,4995.0,4214.7,335.4,7.36,35443.7,35626.1,35728.2,35795.2,35554.4,35795.2,35443.7,153.0,0.43,35795.2,34291.1,1263.3,3.68,35795.2,34256.2,994.0,2.88,35795.2,29938.5,3758.2,11.82,,
XMD,S&P/Asx Midcap 50,4484.1,4490.0,4506.4,4500.2,4482.6,4500.2,4481.5,-17.6,-0.39,4506.4,4482.6,-19.3,-0.43,4566.1,4391.6,37.5,0.84,4566.1,4391.6,15.1,0.34,4566.1,3797.0,330.6,7.96,10387.0,10400.7,10438.6,10424.2,10387.9,10438.6,10387.0,-40.2,-0.39,10577.0,10172.6,91.3,0.89,10577.0,10172.6,39.3,0.38,10577.0,8628.5,1125.2,12.15,,
XSO,S&P/Asx Small Ords,2937.8,2942.7,2945.6,2927.7,2910.2,2927.7,2908.6,-17.5,-0.60,2945.6,2910.2,-21.2,-0.72,2946.3,2828.8,77.1,2.72,2946.3,2828.8,17.7,0.61,2946.3,2229.7,475.4,19.53,6605.7,6618.8,6625.3,6585.2,6545.8,6625.3,6545.8,-45.4,-0.69,6625.3,6360.7,176.8,2.78,6625.3,6360.7,43.5,0.67,6625.3,4946.8,1208.4,22.64,,
