Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-04-13T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 8,Apr 9,Apr 10,Apr 11,Apr 12,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 8,Apr 9,Apr 10,Apr 11,Apr 12,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4912.7,4980.2,4973.7,5010.3,5016.0,5024.4,5009.2,5.7,0.11,5016.0,4912.7,116.8,2.38,5129.3,4899.2,-112.6,-2.19,5160.0,4712.3,351.4,7.53,5160.0,4033.4,611.8,13.89,39061.1,39599.4,39549.3,39840.5,39887.5,39887.5,39061.1,935.3,2.40,40728.9,38952.2,-832.1,-2.04,40968.7,37020.3,3244.9,8.86,40968.7,30869.4,6391.6,19.08,,
XAF,All Australian 50,4968.4,5042.6,5032.3,5077.4,5086.7,5097.3,5076.8,9.3,0.18,5086.7,4968.4,130.1,2.62,5190.5,4956.6,-102.7,-1.98,5214.1,4733.5,389.0,8.28,5214.1,3983.7,798.8,18.63,40450.6,41054.8,40970.8,41337.9,41413.9,41413.9,40450.6,1059.4,2.63,42220.1,40354.5,-797.5,-1.89,42412.3,38052.6,3651.7,9.67,42412.3,31167.4,8138.4,24.46,,
XAT,All Australian 200,4880.4,4951.6,4943.2,4981.9,4988.1,4997.6,4980.9,6.2,0.12,4988.1,4880.4,121.3,2.49,5098.8,4866.8,-107.6,-2.11,5124.5,4671.7,356.8,7.70,5124.5,3973.9,673.2,15.60,39536.5,40112.9,40046.3,40360.0,40410.2,40410.2,39536.5,984.8,2.50,41257.8,39425.4,-821.5,-1.99,41464.3,37380.5,3355.9,9.06,41464.3,30947.5,7044.2,21.11,,
XTL,S&P/ASX 20,3036.5,3086.2,3076.6,3104.6,3108.7,3116.1,3103.9,4.1,0.13,3108.7,3036.5,80.4,2.66,3178.3,3028.3,-71.6,-2.25,3194.6,2885.8,242.1,8.45,3194.6,2396.0,534.1,20.74,48572.7,49367.6,49214.7,49662.9,49727.8,49727.8,48572.7,1286.5,2.66,50819.9,48441.3,-1092.1,-2.15,51048.3,45563.7,4468.6,9.87,51048.3,36842.5,10522.9,26.84,,
XFL,S&P/ASX 50,5016.6,5091.6,5080.7,5126.6,5136.5,5147.1,5126.0,9.9,0.19,5136.5,5016.6,132.7,2.65,5238.3,5003.8,-100.8,-1.92,5262.4,4770.1,403.9,8.53,5262.4,4010.1,820.0,19.00,40784.1,41393.7,41305.1,41677.9,41758.4,41758.4,40784.1,1078.8,2.65,42547.6,40679.5,-781.0,-1.84,42743.5,38295.2,3766.7,9.91,42743.5,31334.8,8301.5,24.81,,
XTO,S&P/ASX 100,4048.7,4109.4,4101.9,4135.8,4142.3,4150.3,4135.2,6.5,0.16,4142.3,4048.7,103.6,2.57,4225.0,4038.7,-81.4,-1.93,4246.4,3855.7,321.6,8.42,4246.4,3260.5,620.6,17.62,9972.7,10122.1,10103.6,10187.2,10203.2,10203.2,9972.7,255.4,2.57,10396.1,9947.8,-189.7,-1.83,10448.8,9380.5,908.5,9.77,10448.8,7719.3,1927.0,23.28,,
XJO,S&P/ASX 200,4905.5,4976.8,4968.0,5007.1,5013.5,5023.0,5006.1,6.4,0.13,5013.5,4905.5,122.1,2.50,5120.2,4891.4,-104.4,-2.04,5146.9,4690.3,364.6,7.84,5146.9,3985.0,690.2,15.96,39671.5,40248.5,40177.9,40493.9,40546.2,40546.2,39671.5,989.5,2.50,41360.2,39556.7,-793.4,-1.92,41574.2,37467.1,3411.7,9.19,41574.2,30989.0,7162.6,21.46,,
XKO,S&P/ASX 300,4874.2,4943.8,4935.7,4973.6,4979.8,4989.0,4972.5,6.2,0.12,4979.8,4874.2,119.4,2.46,5091.4,4860.4,-109.9,-2.16,5118.9,4669.1,353.5,7.64,5118.9,3977.4,655.5,15.16,39293.5,39854.6,39790.0,40095.8,40146.3,40146.3,39293.5,965.0,2.46,40995.6,39181.3,-834.3,-2.04,41215.7,37184.2,3306.2,8.97,41215.7,30841.3,6847.2,20.56,,
XMD,S&P/ASX MidCap 50,4082.5,4144.7,4148.4,4156.2,4150.0,4158.1,4143.6,-6.2,-0.15,4156.2,4082.5,74.6,1.83,4237.6,4074.6,-82.2,-1.94,4276.0,3914.1,287.0,7.43,4276.0,3435.4,258.9,6.65,10435.1,10593.9,10603.4,10623.4,10607.6,10623.4,10435.1,192.9,1.85,10808.6,10408.0,-187.1,-1.73,10906.4,9898.6,838.3,8.58,10906.4,8495.1,1061.2,11.12,,
XSO,S&P/ASX Small Ords,2242.4,2256.2,2257.3,2258.9,2253.5,2259.6,2249.0,-5.4,-0.24,2258.9,2242.4,26.6,1.20,2369.1,2212.5,-114.0,-4.81,2414.5,2212.5,-27.2,-1.19,2505.5,2044.8,-226.2,-9.12,5407.5,5440.9,5444.9,5449.5,5436.4,5449.5,5407.5,66.7,1.24,5696.0,5335.1,-253.3,-4.45,5770.0,5335.1,-8.4,-0.15,5852.4,4798.2,-354.8,-6.13,,
XDJ,Consumer Discretionary,1584.4,1591.2,1574.1,1588.7,1584.5,1595.5,1584.5,-4.2,-0.26,1591.2,1574.1,17.1,1.09,1591.2,1552.7,7.5,0.48,1591.2,1364.5,240.7,17.91,1591.2,1195.0,284.9,21.92,11566.9,11616.6,11492.3,11598.3,11567.6,11616.6,11492.3,130.7,1.14,11616.6,11309.9,124.9,1.09,11616.6,9792.3,1923.4,19.94,11616.6,8383.2,2450.7,26.88,,
XSJ,Consumer Staples,9916.0,10019.0,9921.3,10037.2,10092.0,10155.8,10037.2,54.8,0.55,10092.0,9916.0,205.6,2.08,10561.6,9886.4,-300.8,-2.89,10561.6,8912.8,1217.6,13.72,10561.6,7455.3,2548.5,33.78,77440.8,78245.3,77482.4,78387.3,78815.4,78815.4,77440.8,1605.3,2.08,81914.7,77210.2,-1789.5,-2.22,81914.7,68413.1,10697.1,15.70,81914.7,55752.0,22404.1,39.72,,
XEJ,Energy,12700.5,12876.1,12857.4,12962.5,13064.0,13136.9,12943.9,101.5,0.78,13064.0,12700.5,432.9,3.43,13609.8,12631.1,-403.2,-2.99,13702.8,12557.5,658.0,5.30,14406.8,11554.9,-981.0,-6.98,87959.8,89175.5,89046.3,89774.2,90476.6,90476.6,87959.8,2997.9,3.43,94257.2,87478.7,-2792.7,-2.99,94901.2,85862.9,5650.0,6.66,97148.7,77918.0,-4232.2,-4.47,,
XFJ,Financials,5347.7,5434.1,5396.4,5467.2,5486.1,5495.8,5470.0,18.9,0.35,5486.1,5347.7,147.5,2.76,5486.1,5338.0,-31.6,-0.57,5521.6,4767.7,732.4,15.41,5521.6,3913.1,1303.6,31.17,50728.6,51547.4,51190.5,51861.8,52041.6,52041.6,50728.6,1399.2,2.76,52340.9,50636.4,-299.3,-0.57,52377.5,44797.5,7383.0,16.53,52377.5,35513.2,14712.3,39.41,,
XXJ,Financial-x-A-REIT,6201.1,6317.9,6264.6,6355.0,6357.1,6377.3,6355.0,2.1,0.03,6357.1,6201.1,166.6,2.69,6379.3,6190.5,-69.2,-1.08,6432.0,5485.5,905.2,16.60,6432.0,4433.9,1538.2,31.92,56428.0,57490.5,57005.6,57827.9,57847.3,57847.3,56428.0,1515.8,2.69,58476.4,56331.5,-629.1,-1.08,58529.0,49449.4,8700.9,17.70,58529.0,38694.8,16620.0,40.31,,
