Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-02-09T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 4,Feb 5,Feb 6,Feb 7,Feb 8,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4929.1,4902.6,4940.5,4955.8,4989.4,4989.4,4948.7,33.6,0.68,4989.4,4902.6,47.5,0.96,4989.4,4730.1,277.1,5.88,4989.4,4712.3,324.8,6.96,4989.4,4033.4,666.8,15.43,38724.9,38516.3,38814.3,38934.2,39222.7,39222.7,38516.3,397.3,1.02,39222.7,37020.3,2202.4,5.95,39222.7,37020.3,2580.1,7.04,39222.7,30869.4,6777.9,20.89,,
XAF,All Australian 50,4956.0,4933.8,4973.1,4991.9,5025.8,5025.8,4984.9,33.9,0.68,5025.8,4933.8,56.4,1.13,5025.8,4749.9,292.3,6.18,5025.8,4733.5,328.1,6.98,5025.8,3983.7,818.0,19.44,39841.6,39663.0,39979.2,40130.5,40433.7,40433.7,39663.0,484.1,1.21,40433.7,38052.6,2381.1,6.26,40433.7,38052.6,2671.5,7.07,40433.7,31167.4,8228.1,25.55,,
XAT,All Australian 200,4886.5,4861.6,4899.8,4915.9,4950.5,4950.5,4907.9,34.6,0.70,4950.5,4861.6,50.7,1.03,4950.5,4689.7,278.8,5.97,4950.5,4671.7,319.2,6.89,4950.5,3973.9,711.7,16.79,39099.7,38900.6,39206.4,39334.7,39637.9,39637.9,38900.6,431.8,1.10,39637.9,37380.5,2257.4,6.04,39637.9,37380.5,2583.6,6.97,39637.9,30947.5,7303.7,22.59,,
XTL,S&P/ASX 20,3027.2,3014.5,3039.3,3052.5,3074.4,3074.4,3048.8,21.9,0.72,3074.4,3014.5,37.6,1.24,3074.4,2894.5,188.6,6.53,3074.4,2885.8,207.8,7.25,3074.4,2396.0,532.0,20.93,47795.9,47595.3,47986.9,48194.8,48571.5,48571.5,47595.3,624.2,1.30,48571.5,45563.7,3007.8,6.60,48571.5,45563.7,3312.3,7.32,48571.5,36842.5,10407.4,27.27,,
XFL,S&P/ASX 50,4995.8,4975.7,5016.3,5034.2,5069.1,5069.1,5027.2,34.9,0.69,5069.1,4975.7,59.9,1.20,5069.1,4786.7,299.0,6.27,5069.1,4770.1,336.5,7.11,5069.1,4010.1,834.0,19.69,40107.9,39946.1,40272.5,40415.7,40727.6,40727.6,39946.1,512.3,1.27,40727.6,38295.2,2432.3,6.35,40727.6,38295.2,2735.8,7.20,40727.6,31334.8,8351.9,25.80,,
XTO,S&P/ASX 100,4037.7,4018.9,4050.5,4063.2,4092.0,4092.0,4057.6,28.8,0.71,4092.0,4018.9,44.0,1.09,4092.0,3870.3,236.3,6.13,4092.0,3855.7,271.3,7.10,4092.0,3260.5,635.7,18.39,9823.3,9777.6,9854.5,9885.3,9962.3,9962.3,9777.6,113.9,1.16,9962.3,9380.5,581.8,6.20,9962.3,9380.5,667.5,7.18,9962.3,7719.3,1950.9,24.35,,
XJO,S&P/ASX 200,4907.5,4882.7,4921.0,4935.7,4971.3,4971.3,4928.5,35.6,0.72,4971.3,4882.7,50.2,1.02,4971.3,4708.1,281.1,5.99,4971.3,4690.3,322.4,6.93,4971.3,3985.0,726.0,17.10,39203.4,39005.3,39310.8,39428.6,39738.6,39738.6,39005.3,426.7,1.09,39738.6,37467.1,2271.5,6.06,39738.6,37467.1,2604.0,7.01,39738.6,30989.0,7397.5,22.87,,
XKO,S&P/ASX 300,4884.2,4858.9,4897.2,4911.6,4946.5,4946.5,4904.4,34.9,0.71,4946.5,4858.9,48.8,1.00,4946.5,4686.9,277.4,5.94,4946.5,4669.1,320.2,6.92,4946.5,3977.4,700.2,16.49,38897.5,38696.1,39000.8,39115.9,39418.8,39418.8,38696.1,413.9,1.06,39418.8,37184.2,2234.6,6.01,39418.8,37184.2,2578.8,7.00,39418.8,30841.3,7154.1,22.17,,
XMD,S&P/ASX MidCap 50,4120.6,4080.1,4102.0,4099.8,4134.1,4134.1,4093.4,34.3,0.84,4134.1,4080.1,6.9,0.17,4134.1,3955.0,194.8,4.95,4134.1,3914.1,271.1,7.02,4134.1,3435.4,306.3,8.00,10420.8,10318.3,10373.7,10368.2,10454.9,10454.9,10318.3,17.4,0.17,10454.9,9962.1,492.8,4.95,10454.9,9898.6,685.6,7.02,10454.9,8495.1,1190.5,12.85,,
XSO,S&P/ASX Small Ords,2380.2,2353.0,2371.5,2373.7,2390.9,2390.9,2366.0,17.2,0.72,2390.9,2353.0,-1.5,-0.06,2392.4,2314.3,86.0,3.73,2392.4,2304.9,110.2,4.83,2526.6,2044.8,-56.3,-2.30,5684.2,5619.2,5663.4,5668.5,5709.6,5709.6,5619.2,-3.7,-0.07,5713.3,5503.0,206.5,3.75,5713.3,5503.0,264.7,4.86,5892.6,4798.2,47.6,0.84,,
