Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-02-14T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 9,Feb 10,Feb 11,Feb 12,Feb 13,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5770.1,5757.4,5731.7,5707.7,5835.5,5850.2,5707.7,127.8,2.24,5835.5,5707.7,60.8,1.05,5835.5,5278.8,453.4,8.42,5835.5,5278.8,446.9,8.29,5835.5,5278.8,468.6,8.73,49310.7,49202.9,49011.4,48807.5,49900.2,49900.2,48807.5,552.1,1.12,49900.2,45110.3,3908.4,8.50,49900.2,45110.3,3853.3,8.37,49900.2,43681.7,5906.7,13.43,,
XAF,All Australian 50,5922.3,5904.2,5866.5,5836.0,5978.1,5993.9,5836.0,142.1,2.43,5978.1,5836.0,46.8,0.79,5978.1,5389.2,489.8,8.92,5978.1,5389.2,479.9,8.73,5978.1,5389.2,521.0,9.55,52096.7,51937.6,51642.6,51374.2,52625.2,52625.2,51374.2,448.9,0.86,52625.2,47407.4,4345.8,9.00,52625.2,47407.4,4258.8,8.81,52625.2,45790.5,6718.0,14.63,,
XAT,All Australian 200,5760.6,5746.7,5714.9,5688.8,5822.5,5838.4,5688.8,133.7,2.35,5822.5,5688.8,56.2,0.97,5822.5,5251.9,465.6,8.69,5822.5,5251.9,459.4,8.57,5822.5,5251.9,508.6,9.57,50293.1,50171.7,49926.2,49699.3,50867.4,50867.4,49699.3,525.8,1.04,50867.4,45851.2,4100.4,8.77,50867.4,45851.2,4046.5,8.64,50867.4,44281.4,6427.3,14.46,,
XTL,S&P/ASX 20,3660.4,3648.6,3618.4,3601.0,3693.8,3702.6,3601.0,92.8,2.58,3693.8,3601.0,28.6,0.78,3693.8,3321.7,309.9,9.16,3693.8,3321.7,295.0,8.68,3693.8,3321.7,332.1,9.88,63279.5,63074.5,62608.0,62306.6,63912.5,63912.5,62306.6,550.0,0.87,63912.5,57424.2,5413.8,9.25,63912.5,57424.2,5156.7,8.78,63912.5,55519.4,8373.8,15.08,,
XFL,S&P/ASX 50,5993.0,5974.9,5936.7,5905.1,6049.5,6065.6,5905.1,144.4,2.45,6049.5,5905.1,47.2,0.79,6049.5,5453.2,496.3,8.94,6049.5,5453.2,486.1,8.74,6049.5,5453.2,526.7,9.54,52622.5,52463.8,52165.0,51887.1,53155.8,53155.8,51887.1,451.6,0.86,53155.8,47882.7,4395.0,9.01,53155.8,47882.7,4305.4,8.81,53155.8,46261.4,6773.1,14.60,,
XTO,S&P/ASX 100,4856.0,4843.2,4814.6,4791.2,4905.1,4918.4,4791.2,113.9,2.38,4905.1,4791.2,44.6,0.92,4905.1,4422.0,396.5,8.79,4905.1,4422.0,392.1,8.69,4905.1,4422.0,459.2,10.33,12900.6,12866.8,12799.2,12737.3,13040.4,13040.4,12737.3,128.3,0.99,13040.4,11747.2,1063.0,8.87,13040.4,11747.2,1051.5,8.77,13040.4,11295.6,1732.9,15.33,,
XJO,S&P/ASX 200,5814.9,5800.6,5769.1,5743.6,5877.5,5893.5,5743.6,133.9,2.33,5877.5,5743.6,57.3,0.99,5877.5,5299.2,472.8,8.75,5877.5,5299.2,466.5,8.62,5877.5,5299.2,521.2,9.73,50660.2,50536.0,50293.2,50072.2,51239.5,51239.5,50072.2,535.0,1.06,51239.5,46166.2,4155.4,8.83,51239.5,46166.2,4100.3,8.70,51239.5,44533.8,6534.3,14.62,,
XVI,S&P/ASX 200 VIX,16.458,16.142,16.452,16.688,16.588,16.588,15.688,-0.100,-0.60,16.688,16.142,0.526,3.27,16.722,14.082,1.346,8.83,16.722,13.883,2.007,13.76,19.164,9.309,3.918,30.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5744.0,5730.3,5700.4,5675.5,5806.8,5822.3,5675.5,131.3,2.31,5806.8,5675.5,57.7,1.00,5806.8,5240.7,462.7,8.66,5806.8,5240.7,457.9,8.56,5806.8,5240.7,497.3,9.37,49856.9,49739.2,49510.0,49294.9,50435.7,50435.7,49294.9,535.9,1.07,50435.7,45487.5,4051.4,8.73,50435.7,45487.5,4010.1,8.64,50435.7,43915.8,6272.1,14.20,,
XMD,S&P/ASX MidCap 50,5062.8,5065.0,5054.4,5048.6,5142.0,5157.6,5048.6,93.4,1.85,5142.0,5048.6,100.5,1.99,5142.0,4638.6,365.8,7.66,5142.0,4638.6,394.5,8.31,5142.0,4638.6,758.2,17.30,13781.2,13789.6,13766.0,13754.0,14008.4,14008.4,13754.0,288.9,2.11,14008.4,12623.2,1010.7,7.78,14008.4,12623.2,1088.9,8.43,14008.4,11547.5,2489.7,21.61,,
