Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-11-03T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 29,Oct 30,Oct 31,Nov 1,Nov 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 29,Oct 30,Oct 31,Nov 1,Nov 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4499.4,4505.7,4535.4,4479.9,4483.3,4507.5,4480.1,3.4,0.08,4535.4,4479.9,-13.0,-0.29,4593.5,4458.8,31.4,0.70,4593.5,4033.4,372.3,9.06,4593.5,4033.4,140.8,3.24,35052.4,35101.7,35332.9,34901.9,34936.0,35332.9,34901.9,-91.0,-0.26,35780.9,34672.0,264.0,0.76,35780.9,30869.4,4102.6,13.31,35780.9,30374.1,2629.1,8.14,,
XAF,All Australian 50,4521.0,4532.2,4561.0,4504.1,4503.5,4533.3,4501.8,-0.6,-0.01,4561.0,4503.5,-13.7,-0.30,4609.1,4475.0,32.0,0.72,4609.1,3983.7,454.4,11.22,4609.1,3962.7,239.4,5.62,35999.0,36088.6,36318.0,35864.2,35870.0,36318.0,35864.2,-99.0,-0.28,36697.7,35601.7,268.3,0.75,36697.7,31167.4,4906.2,15.85,36697.7,30261.5,3571.9,11.06,,
XAT,All Australian 200,4460.0,4469.0,4500.1,4441.2,4443.2,4469.6,4440.5,2.0,0.05,4500.1,4441.2,-11.6,-0.26,4552.1,4419.0,29.1,0.66,4552.1,3973.9,392.5,9.69,4552.1,3973.9,164.8,3.85,35363.5,35434.9,35681.7,35214.6,35238.7,35681.7,35214.6,-82.9,-0.23,36089.5,34992.4,246.3,0.70,36089.5,30947.5,4363.5,14.13,36089.5,30286.3,2918.0,9.03,,
XTL,S&P/ASX 20,2746.8,2755.8,2774.6,2737.2,2737.9,2755.3,2735.6,0.7,0.03,2774.6,2737.2,-8.4,-0.30,2802.2,2719.5,17.8,0.65,2802.2,2396.0,288.2,11.76,2802.2,2390.0,150.7,5.83,42953.1,43094.6,43388.7,42802.6,42828.4,43388.7,42802.6,-116.6,-0.27,43819.6,42527.1,292.9,0.69,43819.6,36842.5,6083.4,16.56,43819.6,35849.6,4398.5,11.45,,
XFL,S&P/ASX 50,4555.9,4567.4,4596.3,4538.6,4538.4,4568.4,4536.7,-0.2,-0.00,4596.3,4538.4,-13.9,-0.31,4646.2,4511.6,30.5,0.68,4646.2,4010.1,461.9,11.33,4646.2,3986.5,250.8,5.85,36229.6,36320.7,36551.1,36092.2,36100.5,36551.1,36092.2,-100.2,-0.28,36944.8,35844.6,255.9,0.71,36944.8,31334.8,4965.2,15.95,36944.8,30412.0,3656.5,11.27,,
XTO,S&P/ASX 100,3675.8,3684.2,3708.0,3660.6,3661.9,3684.8,3660.1,1.3,0.04,3708.0,3660.6,-10.6,-0.29,3751.2,3640.2,26.1,0.72,3751.2,3260.5,345.2,10.41,3751.2,3248.9,170.6,4.89,8859.4,8879.4,8936.9,8822.8,8828.0,8936.9,8822.8,-23.3,-0.26,9040.3,8761.6,66.3,0.76,9040.3,7719.3,1146.3,14.92,9040.3,7511.6,815.1,10.17,,
XJO,S&P/ASX 200,4476.9,4485.7,4517.0,4457.6,4460.1,4486.4,4457.3,2.5,0.06,4517.0,4457.6,-12.3,-0.27,4571.1,4438.6,27.1,0.61,4571.1,3985.0,403.5,9.95,4571.1,3984.3,179.0,4.18,35442.3,35512.2,35760.1,35290.2,35317.6,35760.1,35290.2,-88.5,-0.25,36183.8,35087.9,229.7,0.65,36183.8,30989.0,4438.5,14.37,36183.8,30273.2,3015.3,9.33,,
XKO,S&P/ASX 300,4460.4,4468.0,4499.0,4440.8,4443.5,4469.3,4440.7,2.7,0.06,4499.0,4440.8,-12.9,-0.29,4554.9,4424.2,25.1,0.57,4554.9,3977.4,391.2,9.65,4554.9,3977.4,166.5,3.89,35207.6,35268.1,35512.6,35053.5,35082.9,35512.6,35053.5,-92.7,-0.26,35949.4,34869.0,214.0,0.61,35949.4,30841.3,4316.4,14.03,35949.4,30193.7,2890.6,8.98,,
XMD,S&P/ASX MidCap 50,3697.4,3697.7,3725.7,3671.2,3684.7,3700.8,3675.8,13.5,0.37,3725.7,3671.2,-6.1,-0.17,3795.3,3662.5,39.5,1.08,3950.9,3435.4,105.8,2.96,3950.9,3435.4,-109.2,-2.88,9273.9,9274.7,9344.9,9208.1,9242.0,9344.9,9208.1,-13.3,-0.14,9517.4,9137.6,104.4,1.14,9693.0,8495.1,579.9,6.69,9693.0,8495.1,126.0,1.38,,
XSO,S&P/ASX Small Ords,2253.6,2243.6,2271.0,2237.5,2245.9,2248.7,2240.1,8.4,0.38,2271.0,2237.5,-6.0,-0.27,2318.8,2237.5,-24.8,-1.09,2526.6,2044.8,36.5,1.65,2526.6,2044.8,-149.4,-6.24,5364.4,5340.5,5405.8,5326.0,5346.0,5405.8,5326.0,-14.3,-0.27,5517.7,5326.0,-52.9,-0.98,5892.6,4798.2,237.1,4.64,5892.6,4798.2,-168.5,-3.06,,
