Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-01-18T23:15:04+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 13,Jan 14,Jan 15,Jan 16,Jan 17,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 13,Jan 14,Jan 15,Jan 16,Jan 17,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5296.8,5219.8,5255.5,5319.4,5316.4,5328.6,5295.6,-3.0,-0.06,5319.4,5219.8,0.1,0.00,5369.8,5099.3,210.3,4.12,5369.8,5219.8,-36.7,-0.69,5369.8,5219.8,521.7,10.88,43384.5,42753.5,43045.9,43569.5,43546.4,43569.5,42753.5,2.7,0.01,43982.1,41690.8,1799.8,4.31,43982.1,42753.5,-298.6,-0.68,44191.5,37129.1,5879.1,15.61,,
XAF,All Australian 50,5391.6,5315.5,5343.7,5406.0,5412.7,5419.0,5387.6,6.7,0.12,5412.7,5315.5,0.3,0.01,5472.3,5207.2,203.1,3.90,5472.3,5315.5,-45.1,-0.83,5472.3,5315.5,603.4,12.55,45322.1,44682.2,44919.5,45443.6,45499.3,45499.3,44682.2,2.2,0.00,46001.0,43703.9,1775.7,4.06,46001.0,44682.2,-379.1,-0.83,46381.3,38712.8,6837.3,17.68,,
XAT,All Australian 200,5247.2,5168.8,5201.2,5263.9,5261.9,5274.2,5239.9,-2.0,-0.04,5263.9,5168.8,-5.2,-0.10,5320.6,5051.7,203.3,4.02,5320.6,5168.8,-42.8,-0.81,5320.6,5168.8,511.6,10.77,43846.3,43191.1,43462.6,43986.0,43969.9,43986.0,43191.1,-43.2,-0.10,44459.5,42135.2,1776.8,4.21,44459.5,43191.1,-357.5,-0.81,44742.6,37733.6,5960.8,15.68,,
XTL,S&P/ASX 20,3326.2,3278.2,3292.3,3329.1,3332.5,3339.1,3316.8,3.4,0.10,3332.5,3278.2,-9.3,-0.28,3385.4,3213.1,117.9,3.67,3385.4,3278.2,-45.9,-1.36,3385.4,3278.2,399.9,13.64,54920.2,54127.6,54360.5,54967.7,55023.7,55023.7,54127.6,-153.5,-0.28,55897.9,53053.0,1945.7,3.67,55897.9,54127.6,-758.9,-1.36,56458.8,46382.5,8721.7,18.84,,
XFL,S&P/ASX 50,5456.9,5379.2,5407.9,5471.4,5478.1,5484.4,5452.7,6.7,0.12,5478.1,5379.2,0.0,0.00,5541.7,5271.9,204.1,3.87,5541.7,5379.2,-48.8,-0.88,5541.7,5379.2,631.1,13.02,45795.1,45143.7,45383.9,45917.1,45973.5,45973.5,45143.7,0.3,0.00,46507.3,44173.9,1782.2,4.03,46507.3,45143.7,-409.5,-0.88,46862.3,38961.3,7060.6,18.14,,
XTO,S&P/ASX 100,4392.9,4327.7,4353.5,4406.4,4406.9,4415.5,4387.8,0.5,0.01,4406.9,4327.7,-3.0,-0.07,4457.1,4235.8,166.9,3.94,4457.1,4327.7,-38.3,-0.86,4457.1,4327.7,485.7,12.39,11163.8,10998.0,11063.5,11198.0,11199.2,11199.2,10998.0,-7.9,-0.07,11327.0,10745.8,442.7,4.12,11327.0,10998.0,-97.6,-0.86,11384.6,9549.0,1659.3,17.39,,
XJO,S&P/ASX 200,5292.1,5212.0,5245.4,5309.1,5305.9,5319.3,5283.9,-3.2,-0.06,5309.1,5212.0,-6.5,-0.12,5367.9,5096.1,202.7,3.97,5367.9,5212.0,-46.3,-0.87,5367.9,5212.0,534.7,11.21,44133.6,43466.2,43744.6,44275.3,44249.4,44275.3,43466.2,-53.5,-0.12,44766.0,42422.5,1767.9,4.16,44766.0,43466.2,-385.7,-0.86,45009.1,37962.9,6135.5,16.10,,
XVI,S&P/ASX 200 VIX,12.012,13.637,12.362,11.650,11.385,11.990,11.353,-0.265,-2.27,13.637,11.385,0.250,2.25,14.222,10.689,-3.506,-23.54,13.637,11.135,-0.177,-1.53,21.700,10.689,-4759.841,-99.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5245.7,5166.8,5199.8,5262.3,5259.5,5272.3,5238.0,-2.8,-0.05,5262.3,5166.8,-5.8,-0.11,5320.8,5050.4,202.0,3.99,5320.8,5166.8,-45.3,-0.85,5320.8,5166.8,509.2,10.72,43598.0,42942.4,43216.0,43735.6,43712.9,43735.6,42942.4,-47.9,-0.11,44221.7,41899.0,1755.4,4.18,44221.7,42942.4,-375.9,-0.85,44475.2,37491.8,5882.6,15.55,,
XMD,S&P/ASX MidCap 50,4332.3,4244.5,4293.1,4360.3,4319.1,4360.3,4308.3,-41.2,-0.94,4360.3,4244.5,-29.3,-0.67,4360.8,4107.9,185.6,4.49,4360.8,4244.5,-30.4,-0.70,4360.8,4244.5,284.6,7.06,11369.3,11138.9,11266.3,11442.8,11334.7,11442.8,11138.9,-76.9,-0.67,11444.1,10745.1,522.6,4.83,11444.1,11138.9,-79.7,-0.70,11444.1,9756.1,1131.8,11.09,,
