Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-16T23:15:16+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 8,Jun 12,Jun 13,Jun 14,Jun 15,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 8,Jun 12,Jun 13,Jun 14,Jun 15,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4111.2,4118.3,4111.5,4089.8,4107.0,4110.4,4083.5,17.2,0.42,4118.3,4089.8,-49.7,-1.20,4214.7,4033.4,-209.3,-4.85,4504.8,4033.4,-4.0,-0.10,4716.0,3927.6,-444.1,-9.76,31466.1,31520.7,31469.3,31303.2,31434.7,31520.7,31303.2,-379.9,-1.19,32962.3,30869.4,-1527.5,-4.63,34266.8,30869.4,601.4,1.95,34534.4,29204.1,-1830.5,-5.50,,
XAF,All Australian 50,4059.8,4067.4,4058.4,4038.5,4051.8,4060.6,4029.5,13.3,0.33,4067.4,4038.5,-50.7,-1.24,4164.8,3983.7,-211.8,-4.97,4413.6,3983.7,2.7,0.07,4624.7,3853.0,-400.0,-8.99,31763.1,31822.6,31751.8,31596.3,31700.2,31822.6,31596.3,-396.8,-1.24,33266.1,31167.4,-1565.9,-4.71,34251.1,31167.4,736.4,2.38,34440.1,29181.9,-1420.0,-4.29,,
XAT,All Australian 200,4052.0,4061.2,4051.6,4029.9,4044.8,4051.8,4022.4,14.9,0.37,4061.2,4029.9,-52.2,-1.27,4154.3,3973.9,-210.0,-4.94,4426.4,3973.9,-5.9,-0.15,4654.7,3855.4,-439.6,-9.80,31556.6,31628.2,31553.6,31384.4,31500.4,31628.2,31384.4,-406.6,-1.27,33053.6,30947.5,-1553.2,-4.70,34230.5,30947.5,625.2,2.02,34588.8,29116.8,-1766.4,-5.31,,
XTL,S&P/ASX 20,2447.4,2449.5,2443.8,2431.0,2439.1,2444.7,2425.0,8.1,0.33,2449.5,2431.0,-31.1,-1.26,2509.8,2396.0,-131.4,-5.11,2659.9,2396.0,-10.6,-0.43,2807.0,2334.2,-256.2,-9.51,37632.9,37665.4,37578.1,37381.3,37506.1,37665.4,37381.3,-478.6,-1.26,39402.0,36842.5,-1895.9,-4.81,40503.5,36842.5,761.0,2.07,40963.3,34671.5,-1827.0,-4.64,,
XFL,S&P/ASX 50,4087.7,4095.5,4086.9,4066.9,4080.7,4089.4,4058.2,13.8,0.34,4095.5,4066.9,-49.6,-1.20,4194.3,4010.1,-212.7,-4.95,4442.6,4010.1,4.2,0.10,4640.9,3876.7,-387.4,-8.67,31941.5,32002.6,31935.3,31779.1,31886.9,32002.6,31779.1,-387.1,-1.20,33457.2,31334.8,-1570.3,-4.69,34434.2,31334.8,751.5,2.41,34531.1,29332.3,-1325.6,-3.99,,
XTO,S&P/ASX 100,3324.0,3332.2,3325.9,3308.2,3319.6,3326.3,3301.7,11.4,0.34,3332.2,3308.2,-40.0,-1.19,3409.4,3260.5,-171.4,-4.91,3618.2,3260.5,2.9,0.09,3796.5,3155.5,-339.6,-9.28,7869.9,7889.5,7874.6,7832.6,7859.6,7889.5,7832.6,-94.6,-1.19,8244.1,7719.3,-384.5,-4.66,8503.6,7719.3,178.0,2.32,8568.2,7240.1,-385.5,-4.68,,
XJO,S&P/ASX 200,4063.7,4072.9,4063.8,4042.2,4057.3,4064.2,4035.0,15.1,0.37,4072.9,4042.2,-51.3,-1.25,4165.5,3985.0,-209.0,-4.90,4435.9,3985.0,0.7,0.02,4654.7,3863.9,-427.6,-9.53,31602.0,31673.4,31602.7,31435.1,31552.5,31673.4,31435.1,-398.5,-1.25,33095.3,30989.0,-1542.8,-4.66,34257.1,30989.0,673.4,2.18,34549.4,29145.7,-1680.4,-5.06,,
XKO,S&P/ASX 300,4055.7,4063.9,4055.3,4033.8,4049.7,4055.5,4026.8,15.9,0.39,4063.9,4033.8,-51.4,-1.25,4156.5,3977.4,-207.5,-4.87,4432.4,3977.4,-2.6,-0.06,4658.0,3860.9,-440.2,-9.80,31449.7,31513.3,31446.5,31279.7,31403.4,31513.3,31279.7,-397.8,-1.25,32931.5,30841.3,-1528.1,-4.64,34136.0,30841.3,636.8,2.07,34494.6,29050.7,-1790.1,-5.39,,
XMD,S&P/ASX MidCap 50,3574.1,3599.8,3599.4,3567.2,3581.1,3584.8,3562.7,13.9,0.39,3599.8,3567.2,-39.8,-1.10,3691.5,3502.5,-170.3,-4.54,3950.9,3502.5,2.2,0.06,4301.9,3408.2,-580.1,-13.94,8786.0,8849.3,8848.1,8769.0,8803.1,8849.3,8769.0,-98.0,-1.10,9210.1,8606.8,-407.0,-4.42,9693.0,8606.8,141.0,1.63,10166.8,8186.5,-968.7,-9.91,,
XSO,S&P/ASX Small Ords,2177.7,2171.4,2161.1,2150.3,2170.6,2170.6,2151.5,20.3,0.94,2177.7,2150.3,-42.8,-1.93,2233.7,2131.3,-102.4,-4.50,2526.6,2131.3,-38.8,-1.75,2687.1,2131.3,-381.2,-14.94,5095.6,5080.8,5057.3,5031.9,5079.4,5095.6,5031.9,-99.1,-1.91,5312.0,4986.1,-232.6,-4.38,5892.6,4986.1,-29.4,-0.58,6116.7,4915.5,-714.1,-12.33,,
XDJ,Consumer Discretionary,1218.1,1230.2,1234.2,1230.2,1231.5,1235.8,1227.8,1.3,0.11,1234.2,1218.1,9.9,0.81,1272.7,1195.0,-62.5,-4.83,1313.3,1179.0,58.8,5.01,1383.7,1140.6,-107.6,-8.04,8545.5,8630.4,8658.3,8630.2,8639.3,8658.3,8545.5,69.5,0.81,9077.9,8383.2,-438.6,-4.83,9212.9,8076.6,605.8,7.54,9215.8,7636.0,-276.2,-3.10,,
XSJ,Consumer Staples,7625.2,7639.8,7619.0,7590.7,7589.2,7647.2,7580.7,-1.5,-0.02,7639.8,7589.2,-121.9,-1.58,7806.2,7529.2,-309.9,-3.92,7899.1,7241.1,256.1,3.49,7909.0,7011.2,-86.2,-1.12,57022.7,57132.0,56976.4,56764.4,56753.0,57132.0,56753.0,-911.8,-1.58,59070.7,56304.5,-2317.7,-3.92,59070.7,52987.4,3092.0,5.76,59070.7,49979.4,2128.9,3.90,,
XEJ,Energy,12501.4,12504.4,12501.2,12369.5,12443.0,12494.2,12366.1,73.5,0.59,12504.4,12369.5,-181.3,-1.44,12866.3,12083.9,-587.3,-4.51,14705.5,12083.9,-300.2,-2.36,15138.0,11605.0,-2475.9,-16.60,84300.1,84320.7,84298.6,83411.1,83906.6,84320.7,83411.1,-1222.5,-1.44,87866.6,81485.2,-3960.0,-4.51,98057.5,81485.2,-1066.3,-1.25,99696.3,77383.0,-14347.1,-14.60,,
XFJ,Financials,3998.3,4015.7,3993.9,3979.5,3996.3,4005.4,3973.0,16.8,0.42,4015.7,3979.5,-58.4,-1.44,4125.0,3913.1,-204.1,-4.86,4331.2,3913.1,90.4,2.31,4331.2,3596.7,-175.9,-4.22,36285.6,36443.5,36245.8,36115.0,36268.2,36443.5,36115.0,-529.7,-1.44,37922.5,35513.2,-1654.2,-4.36,38661.3,34730.9,1817.3,5.27,38661.3,30965.7,854.0,2.41,,
