Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-01-03T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 24,Dec 29,Dec 30,Dec 31,Jan 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 24,Dec 29,Dec 30,Dec 31,Jan 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5369.5,5447.0,5392.3,5388.6,5415.0,5415.0,5366.4,26.4,0.49,5447.0,5369.5,58.6,1.09,5447.0,5131.0,155.0,2.95,5415.0,5415.0,26.4,0.49,5415.0,5415.0,63.2,1.18,45805.2,46545.5,46078.8,46046.9,46272.7,46545.5,45805.2,579.0,1.27,46545.5,43763.4,1413.5,3.15,46272.7,46046.9,225.8,0.49,47783.6,41681.2,2438.1,5.56,,
XAF,All Australian 50,5484.5,5561.3,5507.5,5498.2,5520.8,5522.3,5470.1,22.6,0.41,5561.3,5484.5,52.5,0.96,5561.3,5240.7,140.3,2.61,5520.8,5520.8,22.6,0.41,5520.8,5520.8,63.5,1.16,48171.0,48921.5,48448.2,48366.4,48565.6,48921.5,48171.0,536.8,1.12,48921.5,46020.1,1318.2,2.79,48565.6,48366.4,199.3,0.41,49995.8,43505.3,2690.8,5.87,,
XAT,All Australian 200,5346.1,5425.0,5368.5,5363.1,5388.4,5388.9,5339.3,25.3,0.47,5425.0,5346.1,55.9,1.05,5425.0,5106.2,153.4,2.93,5388.4,5388.4,25.3,0.47,5388.4,5388.4,85.5,1.61,46594.2,47361.6,46867.9,46820.9,47041.5,47361.6,46594.2,565.4,1.22,47361.6,44495.0,1426.8,3.13,47041.5,46820.9,220.6,0.47,48471.7,42022.3,2729.4,6.16,,
XTL,S&P/ASX 20,3382.3,3432.1,3403.9,3398.8,3409.9,3411.9,3377.6,11.1,0.33,3432.1,3382.3,38.1,1.13,3432.1,3231.6,82.6,2.48,3409.9,3409.9,11.1,0.33,3409.9,3409.9,34.4,1.02,58471.9,59331.8,58844.2,58755.8,58948.0,59331.8,58471.9,658.7,1.13,59331.8,55866.6,1428.1,2.48,58948.0,58755.8,192.2,0.33,60670.4,52576.0,3213.1,5.77,,
XFL,S&P/ASX 50,5549.9,5627.1,5572.8,5563.4,5586.3,5587.7,5535.0,22.9,0.41,5627.1,5549.9,53.1,0.96,5627.1,5303.9,141.0,2.59,5586.3,5586.3,22.9,0.41,5586.3,5586.3,59.4,1.08,48656.1,49410.2,48933.2,48850.5,49051.8,49410.2,48656.1,541.7,1.12,49410.2,46489.5,1322.8,2.77,49051.8,48850.5,201.4,0.41,50484.7,43959.9,2669.3,5.76,,
XTO,S&P/ASX 100,4501.4,4565.4,4518.7,4513.0,4532.0,4532.7,4492.0,19.0,0.42,4565.4,4501.4,42.8,0.95,4565.4,4300.1,126.0,2.86,4532.0,4532.0,19.0,0.42,4532.0,4532.0,87.9,1.98,11938.9,12128.3,12004.0,11988.9,12039.5,12128.3,11938.9,133.0,1.12,12128.3,11402.8,356.2,3.05,12039.5,11988.9,50.6,0.42,12340.3,10700.4,745.7,6.60,,
XJO,S&P/ASX 200,5394.5,5473.8,5416.6,5411.0,5435.9,5436.3,5387.0,24.9,0.46,5473.8,5394.5,55.0,1.02,5473.8,5152.3,154.6,2.93,5435.9,5435.9,24.9,0.46,5435.9,5435.9,85.8,1.60,46917.5,47686.0,47188.1,47139.2,47356.3,47686.0,46917.5,557.1,1.19,47686.0,44802.3,1435.3,3.13,47356.3,47139.2,217.0,0.46,48729.0,42284.9,2738.8,6.14,,
XVI,S&P/ASX 200 VIX,13.157,13.622,14.526,14.581,14.300,15.110,14.261,-0.281,-1.93,14.581,13.157,0.281,2.00,17.892,12.935,-1.214,-7.83,14.300,14.300,-0.281,-1.93,19.164,0.147,2.139,17.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5330.9,5408.9,5353.8,5348.9,5374.1,5374.3,5325.5,25.2,0.47,5408.9,5330.9,56.9,1.07,5408.9,5092.4,154.9,2.97,5374.1,5374.1,25.2,0.47,5374.1,5374.1,71.2,1.34,46190.0,46945.7,46467.6,46425.6,46643.8,46945.7,46190.0,572.2,1.24,46945.7,44114.8,1432.6,3.17,46643.8,46425.6,218.2,0.47,48058.9,41785.8,2570.6,5.83,,
XMD,S&P/ASX MidCap 50,4730.3,4809.1,4737.3,4747.5,4771.2,4771.2,4737.9,23.7,0.50,4809.1,4730.3,43.0,0.91,4809.1,4502.4,231.6,5.10,4771.2,4771.2,23.7,0.50,4771.2,4771.2,432.5,9.97,12846.0,13087.2,12891.9,12919.5,12984.1,13087.2,12846.0,143.7,1.12,13087.2,12227.2,661.2,5.37,12984.1,12919.5,64.5,0.50,13087.2,10758.1,1598.1,14.04,,
