Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-10-12T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 7,Oct 8,Oct 9,Oct 10,Oct 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 7,Oct 8,Oct 9,Oct 10,Oct 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5160.6,5148.1,5151.6,5146.2,5228.8,5236.6,5146.2,82.6,1.61,5228.8,5146.2,22.9,0.44,5302.3,5146.2,-1.8,-0.03,5302.3,5302.3,564.2,12.10,5302.3,5302.3,718.7,15.94,41935.5,41836.2,41865.2,41821.8,42493.6,42493.6,41821.8,190.2,0.45,43078.9,41821.8,26.7,0.06,43078.9,37020.3,5851.0,15.97,43078.9,34178.2,7363.8,20.96,,
XAF,All Australian 50,5261.7,5250.8,5255.1,5249.7,5333.3,5342.0,5249.7,83.6,1.59,5333.3,5249.7,26.2,0.49,5410.3,5249.7,7.4,0.14,5410.3,5410.3,635.6,13.53,5410.3,5410.3,807.6,17.85,43840.5,43750.0,43786.1,43740.8,44437.2,44437.2,43740.8,217.9,0.49,45079.2,43740.8,64.8,0.15,45079.2,38052.6,6675.0,17.68,45079.2,35183.4,8403.9,23.32,,
XAT,All Australian 200,5117.7,5106.1,5110.1,5104.3,5187.6,5196.0,5104.3,83.3,1.63,5187.6,5104.3,22.8,0.44,5263.3,5104.3,-4.5,-0.09,5263.3,5263.3,556.3,12.01,5263.3,5263.3,719.3,16.10,42403.2,42309.7,42343.4,42295.1,42985.6,42985.6,42295.1,192.0,0.45,43606.4,42295.1,-9.6,-0.02,43606.4,37380.5,5931.3,16.01,43606.4,34495.2,7560.6,21.34,,
XTL,S&P/ASX 20,3235.2,3231.0,3234.8,3229.1,3281.9,3287.1,3229.1,52.8,1.64,3281.9,3229.1,14.4,0.44,3335.5,3229.1,-7.4,-0.22,3335.5,3335.5,415.3,14.49,3335.5,3335.5,530.5,19.28,52961.3,52892.5,52954.4,52861.3,53724.4,53724.4,52861.3,235.5,0.44,54602.4,52861.3,-121.9,-0.23,54602.4,45563.7,8465.1,18.70,54602.4,42090.9,10699.2,24.87,,
XFL,S&P/ASX 50,5325.1,5313.8,5317.8,5311.8,5396.2,5405.1,5311.8,84.4,1.59,5396.2,5311.8,25.6,0.48,5474.3,5311.8,6.8,0.13,5474.3,5474.3,663.6,14.02,5474.3,5474.3,834.7,18.30,44298.3,44204.0,44236.9,44187.7,44889.3,44889.3,44187.7,212.7,0.48,45538.7,44187.7,59.3,0.13,45538.7,38295.2,6897.6,18.16,45538.7,35398.8,8618.1,23.76,,
XTO,S&P/ASX 100,4280.7,4271.7,4274.5,4269.9,4338.1,4345.6,4269.9,68.2,1.60,4338.1,4269.9,20.1,0.47,4399.3,4269.9,2.6,0.06,4399.3,4399.3,517.4,13.54,4399.3,4399.3,656.0,17.82,10785.3,10763.0,10770.3,10758.5,10930.3,10930.3,10758.5,51.2,0.47,11083.7,10758.5,10.2,0.09,11083.7,9380.5,1635.6,17.60,11083.7,8647.2,2056.7,23.18,,
XJO,S&P/ASX 200,5161.1,5149.4,5153.0,5147.1,5230.9,5239.6,5147.1,83.8,1.63,5230.9,5147.1,22.9,0.44,5307.1,5147.1,-3.5,-0.07,5307.1,5307.1,581.9,12.52,5307.1,5307.1,744.3,16.59,42682.7,42588.3,42617.9,42569.6,43262.1,43262.1,42569.6,191.5,0.44,43885.8,42569.6,-1.3,-0.00,43885.8,37467.1,6127.6,16.50,43885.8,34568.7,7747.3,21.81,,
XVI,S&P/ASX 200 VIX,16.293,16.325,16.327,16.178,14.344,15.169,14.126,-1.834,-11.34,16.327,14.344,-0.647,-4.32,16.327,12.232,0.217,1.54,21.700,12.232,-4634.606,-99.69,21.700,12.232,-4472.236,-99.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5117.6,5106.2,5109.2,5103.8,5186.2,5194.7,5103.8,82.4,1.61,5186.2,5103.8,21.9,0.42,5261.5,5103.8,-5.2,-0.10,5261.5,5261.5,559.9,12.10,5261.5,5261.5,714.4,15.98,42182.7,42090.9,42115.5,42071.2,42750.9,42750.9,42071.2,183.5,0.43,43363.5,42071.2,-12.3,-0.03,43363.5,37184.2,5910.9,16.04,43363.5,34326.6,7457.1,21.13,,
XMD,S&P/ASX MidCap 50,4171.0,4162.5,4162.8,4158.9,4228.6,4239.5,4158.9,69.7,1.68,4228.6,4158.9,15.5,0.37,4277.4,4158.9,-22.0,-0.52,4310.8,4310.8,365.6,9.46,4310.8,4310.8,510.0,13.72,10870.3,10853.6,10854.4,10844.3,11026.0,11026.0,10844.3,45.9,0.42,11139.9,10844.3,-27.1,-0.25,11139.9,9756.1,1256.6,12.86,11139.9,8970.1,1701.0,18.24,,
XSO,S&P/ASX Small Ords,2163.6,2156.0,2154.7,2153.5,2193.2,2194.4,2153.5,39.7,1.84,2193.2,2153.5,-1.2,-0.05,2244.8,2153.5,-46.0,-2.05,2414.5,2414.5,-87.5,-3.84,2414.5,2414.5,-88.6,-3.88,5308.6,5289.9,5287.3,5284.4,5381.8,5381.8,5284.4,-2.2,-0.04,5488.2,5284.4,-84.3,-1.54,5770.0,4574.9,-63.0,-1.16,5770.0,4574.9,-47.5,-0.87,,
XDJ,Consumer Discretionary,1772.8,1765.9,1757.6,1749.3,1777.3,1780.2,1749.3,28.0,1.60,1777.3,1749.3,-6.5,-0.36,1800.7,1749.3,1.3,0.08,1800.7,1800.7,433.5,32.26,1800.7,1800.7,500.7,39.22,13142.0,13091.4,13029.3,12968.3,13175.5,13175.5,12968.3,-48.2,-0.36,13349.5,12968.3,72.6,0.55,13349.5,9792.3,3531.2,36.61,13349.5,8925.0,4027.9,44.03,,
XSJ,Consumer Staples,9840.5,9813.4,9828.0,9829.4,9908.0,9928.5,9829.4,78.6,0.80,9908.0,9813.4,-8.3,-0.08,10059.2,9813.4,27.1,0.27,10661.7,10661.7,1033.6,11.65,10661.7,10661.7,1329.3,15.50,78684.6,78467.5,78584.5,78595.9,79224.1,79224.1,78467.5,-66.3,-0.08,80433.1,78467.5,254.0,0.32,83265.0,68413.1,11105.7,16.30,83265.0,64261.5,13475.8,20.50,,
XEJ,Energy,13798.8,13695.7,13702.2,13696.8,13833.3,13893.6,13696.8,136.5,1.00,13833.3,13695.7,-69.2,-0.50,14371.5,13695.7,-227.6,-1.62,14371.5,14371.5,1427.3,11.51,14371.5,14371.5,1078.5,8.46,97006.2,96281.8,96327.1,96289.0,97248.6,97248.6,96281.8,-486.4,-0.50,101032.3,96281.8,-1600.4,-1.62,101032.3,83100.5,12422.0,14.64,101032.3,80181.3,10036.8,11.51,,
XFJ,Financials,5701.7,5685.0,5690.2,5687.4,5797.1,5807.0,5687.4,109.7,1.93,5797.1,5685.0,41.3,0.72,5841.9,5685.0,50.1,0.87,5851.4,5851.4,1043.4,21.95,5851.4,5851.4,1144.9,24.61,55568.6,55405.8,55456.4,55428.9,56498.0,56498.0,55405.8,402.4,0.72,56934.9,55405.8,496.7,0.89,56934.9,44797.5,11839.4,26.51,56934.9,41925.5,13588.3,31.67,,
XXJ,Financial-x-A-REIT,6694.2,6679.1,6687.3,6683.6,6819.2,6831.3,6683.6,135.6,2.03,6819.2,6679.1,52.2,0.77,6898.1,6679.1,39.5,0.58,6898.1,6898.1,1367.3,25.08,6898.1,6898.1,1490.9,27.98,62565.2,62424.2,62501.5,62466.2,63733.6,63733.6,62424.2,487.6,0.77,64471.0,62424.2,377.4,0.60,64471.0,49449.4,14587.2,29.68,64471.0,45922.1,16594.2,35.20,,
XHJ,Health Care,13575.9,13721.6,13632.4,13630.5,13843.6,13870.7,13630.5,213.1,1.56,13843.6,13575.9,136.5,1.00,13917.1,13575.9,7.7,0.06,14173.5,14173.5,2211.0,19.01,14173.5,14173.5,3173.2,29.74,85058.8,85971.2,85412.7,85400.8,86736.1,86736.1,85058.8,855.4,1.00,87152.7,85058.8,167.0,0.19,88163.6,70340.0,15439.1,21.65,88163.6,63876.7,21355.4,32.66,,
XNJ,Industrials,3890.7,3879.3,3893.8,3909.3,3990.1,3993.8,3909.3,80.8,2.07,3990.1,3879.3,68.1,1.74,4015.5,3879.3,67.3,1.72,4015.5,4015.5,438.4,12.34,4015.5,4015.5,637.5,19.02,31922.3,31828.2,31947.8,32075.0,32738.0,32738.0,31828.2,558.8,1.74,32935.2,31828.2,622.4,1.94,32935.2,28042.2,4499.8,15.93,32935.2,25541.2,6260.6,23.65,,
