Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-10-20T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 15,Oct 16,Oct 17,Oct 18,Oct 19,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4505.5,4513.9,4550.9,4580.9,4593.5,4593.9,4561.6,12.6,0.28,4593.5,4505.5,83.4,1.85,4593.5,4382.5,153.1,3.45,4593.5,4033.4,482.5,11.74,4593.5,4033.4,390.1,9.28,35094.2,35159.9,35448.1,35682.8,35780.9,35780.9,35094.2,651.0,1.85,35780.9,34126.0,1225.4,3.55,35780.9,30869.4,4947.5,16.05,35780.9,30374.1,4512.0,14.43,,
XAF,All Australian 50,4524.9,4532.9,4567.5,4601.4,4609.1,4610.4,4575.5,7.7,0.17,4609.1,4524.9,83.4,1.84,4609.1,4403.1,155.0,3.48,4609.1,3983.7,560.0,13.83,4609.1,3962.7,492.4,11.96,36027.5,36090.7,36366.7,36636.1,36697.7,36697.7,36027.5,664.4,1.84,36697.7,35057.4,1244.3,3.51,36697.7,31167.4,5733.9,18.52,36697.7,30261.5,5518.2,17.70,,
XAT,All Australian 200,4465.3,4473.1,4509.6,4540.5,4552.1,4552.9,4518.9,11.6,0.26,4552.1,4465.3,83.8,1.87,4552.1,4342.6,151.4,3.44,4552.1,3973.9,501.4,12.38,4552.1,3973.9,414.5,10.02,35401.0,35463.0,35752.3,35997.5,36089.5,36089.5,35401.0,664.4,1.88,36089.5,34423.7,1219.8,3.50,36089.5,30947.5,5214.4,16.89,36089.5,30286.3,4835.3,15.47,,
XTL,S&P/ASX 20,2752.2,2757.0,2778.8,2802.2,2801.6,2804.6,2782.0,-0.6,-0.02,2802.2,2752.2,50.2,1.82,2802.2,2677.5,88.2,3.25,2802.2,2396.0,351.9,14.37,2802.2,2390.0,302.8,12.12,43037.4,43113.1,43453.2,43819.6,43809.9,43819.6,43037.4,784.8,1.82,43819.6,41870.2,1389.6,3.28,43819.6,36842.5,7064.9,19.23,43819.6,35849.6,6692.9,18.03,,
XFL,S&P/ASX 50,4560.9,4568.8,4603.8,4638.3,4646.2,4647.5,4612.5,7.9,0.17,4646.2,4560.9,84.7,1.86,4646.2,4439.6,156.1,3.48,4646.2,4010.1,569.7,13.98,4646.2,3986.5,506.3,12.23,36266.4,36328.8,36607.6,36881.5,36944.8,36944.8,36266.4,673.6,1.86,36944.8,35301.8,1251.8,3.51,36944.8,31334.8,5809.4,18.66,36944.8,30412.0,5621.4,17.95,,
XTO,S&P/ASX 100,3681.1,3687.9,3717.0,3742.3,3751.2,3752.1,3724.2,8.9,0.24,3751.2,3681.1,69.1,1.88,3751.2,3577.8,129.4,3.57,3751.2,3260.5,434.5,13.10,3751.2,3248.9,373.1,11.04,8871.3,8887.7,8957.7,9018.6,9040.3,9040.3,8871.3,166.7,1.88,9040.3,8621.9,315.1,3.61,9040.3,7719.3,1358.6,17.69,9040.3,7511.6,1288.2,16.62,,
XJO,S&P/ASX 200,4483.4,4491.5,4528.2,4559.4,4571.1,4571.8,4538.0,11.7,0.26,4571.1,4483.4,84.5,1.88,4571.1,4361.6,152.7,3.46,4571.1,3985.0,514.5,12.68,4571.1,3984.3,429.2,10.36,35490.0,35553.9,35844.5,36091.7,36183.8,36183.8,35490.0,669.0,1.88,36183.8,34521.2,1228.7,3.52,36183.8,30989.0,5304.7,17.18,36183.8,30273.2,4935.4,15.79,,
XKO,S&P/ASX 300,4468.1,4475.6,4512.5,4543.3,4554.9,4555.6,4522.2,11.6,0.26,4554.9,4468.1,83.1,1.86,4554.9,4347.2,149.8,3.40,4554.9,3977.4,502.6,12.40,4554.9,3977.4,416.4,10.06,35264.3,35323.5,35615.2,35857.8,35949.4,35949.4,35264.3,655.6,1.86,35949.4,34304.6,1202.6,3.46,35949.4,30841.3,5182.8,16.85,35949.4,30193.7,4802.8,15.42,,
XMD,S&P/ASX MidCap 50,3713.7,3724.7,3760.6,3763.7,3795.3,3795.4,3762.8,31.6,0.84,3795.3,3713.7,76.7,2.06,3795.3,3561.8,160.0,4.40,3950.9,3435.4,216.4,6.05,3950.9,3435.4,59.8,1.60,9312.9,9340.3,9430.3,9438.1,9517.4,9517.4,9312.9,192.4,2.06,9517.4,8927.1,412.1,4.53,9693.0,8495.1,855.2,9.87,9693.0,8495.1,544.6,6.07,,
XSO,S&P/ASX Small Ords,2265.1,2264.6,2293.0,2309.0,2318.8,2320.0,2301.7,9.8,0.42,2318.8,2264.6,37.0,1.62,2318.8,2229.2,34.6,1.51,2526.6,2044.8,109.4,4.95,2526.6,2044.8,-0.1,-0.00,5389.8,5388.6,5456.3,5494.4,5517.7,5517.7,5388.6,88.4,1.63,5517.7,5297.5,98.5,1.82,5892.6,4798.2,408.8,8.00,5892.6,4798.2,178.9,3.35,,
