Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-06-09T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 4,Jun 5,Jun 6,Jun 7,Jun 8,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 4,Jun 5,Jun 6,Jun 7,Jun 8,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4033.4,4092.4,4104.7,4156.7,4111.2,4168.2,4103.2,-45.5,-1.09,4156.7,4033.4,-5.7,-0.14,4353.8,4033.4,-264.7,-6.05,4504.8,4033.4,0.2,0.00,4716.0,3927.6,-523.7,-11.30,30869.4,31321.2,31415.2,31814.7,31466.1,31814.7,30869.4,-39.7,-0.13,33296.7,30869.4,-1830.5,-5.50,34266.8,30869.4,632.8,2.05,34534.4,29204.1,-2411.4,-7.12,,
XAF,All Australian 50,3983.7,4037.7,4045.5,4102.5,4059.8,4117.1,4050.3,-42.7,-1.04,4102.5,3983.7,4.1,0.10,4290.1,3983.7,-244.5,-5.68,4413.6,3983.7,10.7,0.26,4624.7,3853.0,-466.0,-10.30,31167.4,31590.2,31650.7,32097.0,31763.1,32097.0,31167.4,32.0,0.10,33473.1,31167.4,-1653.3,-4.95,34251.1,31167.4,799.3,2.58,34440.1,29181.9,-1907.6,-5.67,,
XAT,All Australian 200,3973.9,4032.8,4044.2,4097.0,4052.0,4109.9,4042.9,-45.0,-1.10,4097.0,3973.9,-0.6,-0.01,4285.7,3973.9,-253.1,-5.88,4426.4,3973.9,1.3,0.03,4654.7,3855.4,-509.7,-11.17,30947.5,31406.4,31494.8,31906.9,31556.6,31906.9,30947.5,-0.3,-0.00,33303.5,30947.5,-1746.8,-5.25,34230.5,30947.5,681.5,2.21,34588.8,29116.8,-2283.2,-6.75,,
XTL,S&P/ASX 20,2396.0,2430.0,2433.4,2470.2,2447.4,2480.6,2439.9,-22.8,-0.92,2470.2,2396.0,10.6,0.43,2585.4,2396.0,-145.6,-5.61,2659.9,2396.0,-2.3,-0.09,2807.0,2334.2,-292.6,-10.68,36842.5,37365.5,37418.3,37984.7,37632.9,37984.7,36842.5,162.5,0.43,39631.8,36842.5,-1866.9,-4.73,40503.5,36842.5,887.9,2.42,40963.3,34671.5,-2352.5,-5.88,,
XFL,S&P/ASX 50,4010.1,4064.5,4072.3,4130.3,4087.7,4144.8,4077.7,-42.6,-1.03,4130.3,4010.1,4.3,0.10,4319.9,4010.1,-244.5,-5.64,4442.6,4010.1,11.2,0.28,4640.9,3876.7,-454.9,-10.01,31334.8,31760.1,31821.1,32274.0,31941.5,32274.0,31334.8,33.3,0.10,33664.1,31334.8,-1649.9,-4.91,34434.2,31334.8,806.1,2.59,34531.1,29332.3,-1824.7,-5.40,,
XTO,S&P/ASX 100,3260.5,3306.4,3314.6,3359.6,3324.0,3371.2,3316.0,-35.6,-1.06,3359.6,3260.5,0.7,0.02,3513.8,3260.5,-200.5,-5.69,3618.2,3260.5,7.3,0.22,3796.5,3155.5,-398.7,-10.71,7719.3,7828.0,7847.3,7954.2,7869.9,7954.2,7719.3,2.6,0.03,8298.0,7719.3,-416.4,-5.02,8503.6,7719.3,188.3,2.45,8568.2,7240.1,-518.2,-6.18,,
XJO,S&P/ASX 200,3985.0,4043.7,4055.3,4108.6,4063.7,4121.4,4054.8,-44.9,-1.09,4108.6,3985.0,-0.2,-0.00,4297.0,3985.0,-250.7,-5.81,4435.9,3985.0,7.1,0.18,4654.7,3863.9,-498.4,-10.93,30989.0,31445.2,31535.4,31950.9,31602.0,31950.9,30989.0,2.6,0.01,33333.6,30989.0,-1727.4,-5.18,34257.1,30989.0,722.8,2.34,34549.4,29145.7,-2202.8,-6.52,,
XKO,S&P/ASX 300,3977.4,4036.0,4048.3,4101.1,4055.7,4113.5,4047.3,-45.4,-1.11,4101.1,3977.4,-1.2,-0.03,4289.2,3977.4,-253.1,-5.87,4432.4,3977.4,3.4,0.08,4658.0,3860.9,-512.5,-11.22,30841.3,31295.2,31390.9,31801.2,31449.7,31801.2,30841.3,-4.5,-0.01,33195.3,30841.3,-1745.6,-5.26,34136.0,30841.3,683.1,2.22,34494.6,29050.7,-2322.3,-6.88,,
XMD,S&P/ASX MidCap 50,3502.5,3566.8,3591.5,3620.9,3574.1,3631.8,3564.6,-46.8,-1.29,3620.9,3502.5,-24.2,-0.67,3789.5,3502.5,-230.8,-6.07,3950.9,3502.5,-4.8,-0.14,4301.9,3408.2,-680.6,-16.00,8606.8,8765.0,8825.6,8901.1,8786.0,8901.1,8606.8,-48.3,-0.55,9341.5,8606.8,-555.5,-5.95,9693.0,8606.8,123.9,1.43,10166.8,8186.5,-1205.5,-12.06,,
XSO,S&P/ASX Small Ords,2131.3,2176.8,2197.4,2213.4,2177.7,2212.2,2177.7,-35.7,-1.61,2213.4,2131.3,-12.0,-0.55,2325.6,2131.3,-184.9,-7.83,2526.6,2131.3,-31.7,-1.43,2687.1,2131.3,-420.8,-16.19,4986.1,5093.1,5141.1,5178.6,5095.6,5178.6,4986.1,-26.9,-0.52,5521.5,4986.1,-425.9,-7.71,5892.6,4986.1,-13.3,-0.26,6116.7,4915.5,-803.9,-13.63,,
