Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-08-27T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 22,Aug 23,Aug 24,Aug 25,Aug 26,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4150.8,4239.8,4235.7,4280.5,4271.0,4297.1,4267.2,-9.5,-0.22,4280.5,4150.8,99.1,2.38,4612.6,4056.7,-375.3,-8.08,5064.9,4056.7,-575.9,-11.88,5064.9,4056.7,-133.1,-3.02,30576.2,31266.9,31241.5,31590.9,31523.4,31590.9,30576.2,852.7,2.78,34024.5,29710.8,-2501.0,-7.35,36827.4,29710.8,-3289.4,-9.45,36827.4,29710.8,319.8,1.02,,
XAF,All Australian 50,4056.1,4144.8,4133.5,4174.6,4159.3,4188.3,4157.6,-15.3,-0.37,4174.6,4056.1,84.9,2.08,4483.1,3944.2,-361.2,-7.99,4939.1,3944.2,-522.9,-11.17,4939.1,3944.2,-205.8,-4.72,30436.2,31139.1,31059.3,31394.0,31278.7,31394.0,30436.2,784.4,2.57,33664.5,29372.5,-2385.8,-7.09,36488.5,29372.5,-2867.8,-8.40,36488.5,29372.5,-96.5,-0.31,,
XAT,All Australian 200,4079.3,4170.7,4164.3,4208.7,4196.6,4225.4,4194.1,-12.1,-0.29,4208.7,4079.3,98.2,2.40,4538.8,3984.4,-378.0,-8.26,4976.2,3984.4,-553.9,-11.66,4976.2,3984.4,-172.8,-3.96,30513.4,31234.9,31192.9,31547.2,31458.7,31547.2,30513.4,870.5,2.85,33993.5,29608.0,-2534.8,-7.46,36695.0,29608.0,-3132.2,-9.06,36695.0,29608.0,97.9,0.31,,
XTL,S&P/ASX 20,2464.3,2516.6,2508.7,2533.2,2524.9,2543.2,2524.0,-8.3,-0.33,2533.2,2464.3,47.5,1.92,2712.4,2390.4,-212.4,-7.76,2998.7,2390.4,-307.2,-10.85,2998.7,2390.4,-105.9,-4.03,36274.0,37100.5,36983.1,37383.3,37261.1,37383.3,36274.0,910.4,2.50,39946.3,34882.9,-2685.2,-6.72,43396.5,34882.9,-3192.5,-7.89,43396.5,34882.9,202.5,0.55,,
XFL,S&P/ASX 50,4074.6,4163.0,4152.2,4194.5,4178.4,4207.9,4177.0,-16.1,-0.38,4194.5,4074.6,84.7,2.07,4496.6,3959.3,-355.6,-7.84,4953.4,3959.3,-514.9,-10.97,4953.4,3959.3,-198.6,-4.54,30546.4,31247.2,31170.8,31514.6,31393.1,31514.6,30546.4,782.1,2.55,33735.8,29459.8,-2342.7,-6.94,36564.0,29459.8,-2809.5,-8.21,36564.0,29459.8,-46.8,-0.15,,
XTO,S&P/ASX 100,3325.7,3398.2,3392.8,3428.8,3416.8,3440.9,3415.4,-12.0,-0.35,3428.8,3325.7,74.2,2.22,3690.5,3244.2,-303.3,-8.15,4049.1,3244.2,-436.5,-11.33,4049.1,3244.2,-154.8,-4.33,7557.7,7732.2,7721.1,7808.7,7781.8,7808.7,7557.7,203.4,2.68,8395.7,7321.6,-613.8,-7.31,9067.0,7321.6,-736.6,-8.65,9067.0,7321.6,-0.2,-0.00,,
XJO,S&P/ASX 200,4082.3,4173.4,4167.6,4212.8,4200.0,4229.0,4197.8,-12.8,-0.30,4212.8,4082.3,98.1,2.39,4537.4,3986.1,-373.3,-8.16,4971.2,3986.1,-545.2,-11.49,4971.2,3986.1,-170.1,-3.89,30498.5,31217.1,31179.3,31539.1,31445.2,31539.1,30498.5,867.0,2.84,33945.2,29587.1,-2500.0,-7.36,36617.7,29587.1,-3073.3,-8.90,36617.7,29587.1,107.6,0.34,,
XKO,S&P/ASX 300,4085.9,4176.5,4170.9,4215.5,4203.3,4231.6,4200.9,-12.2,-0.29,4215.5,4085.9,97.7,2.38,4544.1,3990.0,-376.6,-8.22,4984.1,3990.0,-557.5,-11.71,4984.1,3990.0,-161.9,-3.71,30451.6,31164.7,31128.6,31482.2,31393.5,31482.2,30451.6,860.7,2.82,33916.0,29548.3,-2522.5,-7.44,36632.1,29548.3,-3166.8,-9.16,36632.1,29548.3,150.8,0.48,,
XMD,S&P/ASX MidCap 50,3683.7,3766.7,3791.5,3843.7,3840.4,3868.3,3832.3,-3.3,-0.09,3843.7,3683.7,126.1,3.39,4266.1,3683.7,-449.6,-10.48,4573.1,3683.7,-627.1,-14.04,4573.1,3683.7,-108.7,-2.75,8724.5,8935.9,8994.7,9118.5,9116.6,9118.5,8724.5,325.0,3.70,10138.8,8724.5,-1022.2,-10.08,10728.9,8724.5,-1232.0,-11.90,10728.9,8724.5,102.4,1.14,,
XSO,S&P/ASX Small Ords,2350.9,2411.6,2413.5,2441.2,2448.6,2458.0,2439.5,7.4,0.30,2448.6,2350.9,92.3,3.92,2669.4,2319.1,-238.5,-8.88,2946.3,2319.1,-443.9,-15.35,2946.3,2319.1,67.2,2.82,5358.1,5500.5,5508.3,5571.8,5589.0,5589.0,5358.1,220.5,4.11,6116.7,5280.2,-527.7,-8.63,6625.3,5280.2,-913.3,-14.05,6625.3,5280.2,294.7,5.57,,
XDJ,Consumer Discretionary,1140.6,1160.0,1183.7,1200.6,1205.8,1218.4,1200.2,5.2,0.43,1205.8,1140.6,38.9,3.34,1298.4,1140.6,-98.1,-7.52,1557.8,1140.6,-295.0,-19.65,1572.1,1140.6,-268.0,-18.18,7636.0,7765.5,7930.0,8043.1,8077.6,8077.6,7636.0,265.8,3.40,8684.3,7636.0,-606.7,-6.99,10210.5,7636.0,-1704.7,-17.43,10246.9,7636.0,-1386.6,-14.65,,
XSJ,Consumer Staples,7438.5,7509.2,7542.8,7464.9,7437.1,7464.9,7412.8,-27.8,-0.37,7542.8,7437.1,-12.0,-0.16,7663.0,7011.2,-243.0,-3.16,8013.9,7011.2,-277.4,-3.60,8415.1,7011.2,-422.5,-5.38,53096.0,54184.7,54426.8,53865.1,53663.9,54426.8,53096.0,492.0,0.93,54748.0,49979.4,-1084.0,-1.98,56701.2,49979.4,-133.9,-0.25,58402.4,49979.4,-471.3,-0.87,,
XEJ,Energy,12849.3,13263.8,13209.5,13509.1,13470.6,13573.8,13428.9,-38.5,-0.28,13509.1,12849.3,579.9,4.50,14912.7,12726.9,-1500.2,-10.02,17736.5,12726.9,-2643.8,-16.41,17736.5,12726.9,-1209.9,-8.24,85014.8,87756.8,87560.2,89545.7,89290.9,89545.7,85014.8,4394.8,5.18,98595.6,83817.5,-9304.6,-9.44,116809.6,83817.5,-15802.2,-15.04,116809.6,83817.5,-5720.2,-6.02,,
XFJ,Financials,3731.7,3827.0,3811.1,3868.7,3862.7,3890.3,3853.0,-6.0,-0.16,3868.7,3731.7,110.4,2.94,4134.2,3638.7,-314.3,-7.52,4666.6,3638.7,-499.1,-11.44,4666.6,3638.7,-346.0,-8.22,32071.8,32893.8,32757.6,33312.9,33261.3,33312.9,32071.8,1012.7,3.14,35546.4,30965.7,-2285.1,-6.43,38822.8,30965.7,-2802.3,-7.77,38822.8,30965.7,-850.4,-2.49,,
XXJ,Financial-x-A-REIT,4310.1,4432.2,4408.7,4469.4,4468.9,4494.9,4456.0,-0.5,-0.01,4469.4,4310.1,134.4,3.10,4786.2,4195.3,-374.3,-7.73,5430.9,4195.3,-594.9,-11.75,5430.9,4195.3,-356.3,-7.38,35488.8,36498.5,36305.1,36885.0,36880.6,36885.0,35488.8,1190.6,3.34,39510.5,34224.8,-2629.9,-6.66,43285.0,34224.8,-3260.2,-8.12,43285.0,34224.8,-598.5,-1.60,,
XHJ,Health Care,7532.4,7635.1,7661.5,7773.4,7693.6,7830.3,7676.6,-79.8,-1.03,7773.4,7532.4,228.6,3.06,8329.3,7335.0,-763.3,-9.03,9186.8,7335.0,-1239.6,-13.88,9186.8,7335.0,-316.0,-3.95,44187.4,44825.2,44980.4,45637.4,45263.2,45637.4,44187.4,1470.9,3.36,49610.5,43029.6,-4347.3,-8.76,53892.5,43029.6,-6558.0,-12.66,53892.5,43029.6,-532.2,-1.16,,
XNJ,Industrials,3233.6,3318.0,3299.1,3317.0,3301.3,3325.7,3296.5,-15.7,-0.47,3318.0,3233.6,29.3,0.90,3587.0,3171.2,-288.4,-8.03,3870.5,3171.2,-435.2,-11.65,3870.5,3171.2,-132.7,-3.86,24279.1,24912.7,24770.7,24905.3,24787.4,24912.7,24279.1,243.6,0.99,26913.8,23776.3,-2126.4,-7.90,28566.6,23776.3,-2772.8,-10.06,28566.6,23776.3,-150.7,-0.60,,
XIJ,Info Technology,472.8,487.6,488.4,490.8,489.6,493.7,487.5,-1.2,-0.24,490.8,472.8,17.9,3.79,536.4,458.0,-48.8,-9.06,666.6,458.0,-155.1,-24.06,666.6,458.0,-88.0,-15.24,2865.4,2955.2,2960.2,2974.5,2967.7,2974.5,2865.4,108.7,3.80,3224.8,2743.0,-257.0,-7.97,3919.5,2743.0,-823.2,-21.72,3919.5,2743.0,-411.0,-12.16,,
XMJ,Materials,11892.2,12153.0,12108.7,12212.1,12165.7,12294.9,12156.1,-46.4,-0.38,12212.1,11892.2,278.7,2.34,13645.6,11694.7,-1604.5,-11.65,15046.2,11694.7,-1914.9,-13.60,15046.2,11694.7,561.5,4.84,76121.1,77832.4,77558.9,78221.3,77923.9,78221.3,76121.1,1843.7,2.42,88041.5,74771.4,-10117.6,-11.49,96133.1,74771.4,-11287.3,-12.65,96133.1,73399.5,5114.4,7.02,,
XPJ,A-REIT,737.8,745.9,747.4,763.9,757.0,768.5,753.2,-6.9,-0.90,763.9,737.8,15.7,2.12,807.4,708.9,-52.1,-6.44,887.0,708.9,-82.8,-9.86,908.7,708.9,-109.2,-12.60,17732.0,17926.6,17962.1,18358.6,18194.0,18358.6,17732.0,378.5,2.12,19193.3,17036.7,-999.3,-5.21,20646.7,17036.7,-1159.9,-5.99,20646.7,17036.7,-1426.1,-7.27,,
XTJ,Telecommunications,1021.0,1034.0,1050.4,1067.4,1051.5,1067.4,1051.5,-15.9,-1.49,1067.4,1021.0,-1.6,-0.15,1082.6,959.0,10.0,0.97,1082.6,891.0,91.9,9.58,1082.6,891.0,100.9,10.61,10432.5,10566.0,10733.2,10906.8,10744.1,10906.8,10432.5,439.6,4.27,10906.8,9383.7,559.3,5.49,10906.8,8708.4,1769.6,19.72,10906.8,8339.6,1897.3,21.45,,
XUJ,Utilities,4220.0,4307.7,4284.3,4365.8,4431.6,4454.8,4346.5,65.8,1.51,4431.6,4220.0,213.2,5.05,4431.6,4004.3,84.5,1.94,4452.1,3990.1,18.2,0.41,4614.3,3990.1,216.9,5.15,38024.4,38814.5,38604.1,39337.9,39931.5,39931.5,38024.4,1921.7,5.06,39931.5,36081.2,762.3,1.95,39931.5,35021.3,1474.3,3.83,39931.5,35021.3,4202.8,11.76,,
XMM,Metals & Mining,4316.2,4407.2,4392.0,4421.2,4414.8,4461.1,4404.7,-6.4,-0.14,4421.2,4316.2,96.0,2.22,4954.4,4239.8,-588.9,-11.77,5491.6,4239.8,-730.9,-14.20,5491.6,4168.7,279.5,6.76,5694.1,5816.4,5796.4,5835.1,5826.5,5835.1,5694.1,129.6,2.27,6592.9,5586.5,-766.4,-11.62,7235.3,5586.5,-897.6,-13.35,7235.3,5399.5,470.3,8.78,,
XGD,Gold,7721.8,7838.6,7751.6,7603.1,7637.8,7686.6,7603.3,34.7,0.46,7838.6,7603.1,43.6,0.57,7848.6,7281.2,-196.8,-2.51,8435.7,6946.7,-461.3,-5.70,8435.7,6737.2,1046.1,15.87,8784.6,8917.5,8818.5,8649.5,8689.0,8917.5,8649.5,49.6,0.57,8928.5,8283.4,-223.7,-2.51,9595.8,7902.5,-503.9,-5.48,9595.8,7617.2,1236.7,16.59,,
XJR,S&P/ASX 200 Res,4906.5,5021.7,5004.0,5058.8,5047.6,5095.5,5042.9,-11.2,-0.22,5058.8,4906.5,135.1,2.75,5649.7,4833.5,-650.8,-11.42,6355.0,4833.5,-861.2,-14.58,6355.0,4833.5,124.4,2.53,24223.2,24800.1,24722.7,24993.8,24938.4,24993.8,24223.2,712.6,2.94,28076.1,23814.3,-3137.6,-11.18,31311.1,23814.3,-3921.7,-13.59,31311.1,23814.3,1102.8,4.63,,
,
