Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-02-22T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 17,Feb 18,Feb 19,Feb 20,Feb 21,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5394.8,5402.2,5415.5,5421.3,5449.4,5460.4,5421.3,28.1,0.52,5449.4,5394.8,82.5,1.54,5449.4,5088.7,107.4,2.01,5449.4,5088.7,96.3,1.80,5449.4,5088.7,412.7,8.19,44311.1,44376.5,44485.8,44533.9,44776.3,44776.3,44311.1,782.8,1.78,44776.3,41681.2,1020.7,2.33,44776.3,41681.2,931.3,2.12,44776.3,37129.1,5005.1,12.58,,
XAF,All Australian 50,5482.3,5498.9,5512.9,5511.7,5539.1,5553.6,5511.7,27.4,0.50,5539.1,5482.3,82.0,1.50,5539.1,5175.5,104.9,1.93,5539.1,5175.5,81.3,1.49,5539.1,5175.5,455.7,8.96,46242.1,46385.2,46502.8,46493.2,46730.9,46730.9,46242.1,823.7,1.79,46730.9,43505.3,1050.8,2.30,46730.9,43505.3,852.5,1.86,46730.9,39049.4,5611.5,13.65,,
XAT,All Australian 200,5341.2,5351.1,5365.2,5369.3,5395.7,5409.4,5369.3,26.4,0.49,5395.7,5341.2,81.8,1.54,5395.7,5028.8,107.6,2.04,5395.7,5028.8,91.0,1.71,5395.7,5028.8,397.4,7.95,44769.5,44857.3,44975.5,45011.1,45242.8,45242.8,44769.5,802.7,1.81,45242.8,42022.3,1053.8,2.38,45242.8,42022.3,915.4,2.07,45242.8,37733.6,5022.4,12.49,,
XTL,S&P/ASX 20,3376.0,3391.5,3401.3,3399.3,3415.9,3424.9,3399.3,16.6,0.49,3415.9,3376.0,54.2,1.61,3415.9,3184.2,68.3,2.04,3415.9,3184.2,37.5,1.11,3415.9,3184.2,310.2,9.99,55959.0,56215.2,56377.6,56345.5,56620.2,56620.2,55959.0,1081.5,1.95,56620.2,52576.0,1346.6,2.44,56620.2,52576.0,837.5,1.50,56620.2,47032.2,7245.4,14.67,,
XFL,S&P/ASX 50,5548.2,5565.0,5579.2,5577.5,5604.8,5619.5,5577.5,27.3,0.49,5604.8,5548.2,82.0,1.49,5604.8,5238.2,105.8,1.92,5604.8,5238.2,77.9,1.41,5604.8,5238.2,476.9,9.30,46719.4,46863.9,46984.1,46969.1,47206.3,47206.3,46719.4,823.6,1.78,47206.3,43959.9,1057.8,2.29,47206.3,43959.9,823.4,1.78,47206.3,39422.6,5786.4,13.97,,
XTO,S&P/ASX 100,4466.7,4477.3,4491.7,4492.3,4513.1,4525.0,4492.3,20.8,0.46,4513.1,4466.7,67.2,1.51,4513.1,4210.6,88.0,1.99,4513.1,4210.6,67.9,1.53,4513.1,4210.6,376.4,9.10,11387.1,11415.4,11452.1,11454.1,11509.7,11509.7,11387.1,202.3,1.79,11509.7,10700.4,264.1,2.35,11509.7,10700.4,212.9,1.88,11509.7,9607.8,1387.0,13.70,,
XJO,S&P/ASX 200,5382.9,5392.8,5408.2,5412.3,5438.7,5452.4,5412.3,26.4,0.49,5438.7,5382.9,82.4,1.54,5438.7,5070.3,107.2,2.01,5438.7,5070.3,86.5,1.62,5438.7,5070.3,420.6,8.38,45028.3,45116.0,45245.0,45280.3,45510.8,45510.8,45028.3,805.6,1.80,45510.8,42284.9,1048.0,2.36,45510.8,42284.9,875.7,1.96,45510.8,37962.9,5199.4,12.90,,
XVI,S&P/ASX 200 VIX,12.929,12.795,12.600,13.315,12.498,12.964,12.498,-0.817,-6.14,13.315,12.498,-0.172,-1.36,18.372,0.147,0.888,7.65,18.372,0.147,0.936,8.10,21.700,0.147,-5005.647,-99.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5336.2,5345.4,5360.3,5363.9,5390.8,5403.9,5363.9,26.9,0.50,5390.8,5336.2,81.3,1.53,5390.8,5027.6,105.4,1.99,5390.8,5027.6,86.0,1.62,5390.8,5027.6,398.9,7.99,44483.0,44564.9,44689.0,44720.2,44953.6,44953.6,44483.0,790.1,1.79,44953.6,41785.8,1024.7,2.33,44953.6,41785.8,864.9,1.96,44953.6,37491.8,4979.1,12.46,,
XMD,S&P/ASX MidCap 50,4406.8,4392.9,4431.5,4449.9,4459.9,4473.1,4446.2,10.0,0.22,4459.9,4392.9,76.1,1.74,4459.9,4099.4,110.3,2.54,4459.9,4099.4,110.4,2.54,4459.9,4099.4,304.6,7.33,11579.0,11547.5,11648.9,11699.9,11737.5,11737.5,11547.5,218.9,1.90,11737.5,10758.1,323.0,2.83,11737.5,10758.1,323.1,2.83,11737.5,9756.1,1193.4,11.32,,
