Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-09-12T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 7,Sep 8,Sep 9,Sep 10,Sep 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 7,Sep 8,Sep 9,Sep 10,Sep 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5051.0,5133.5,5236.9,5117.0,5096.3,5137.5,5079.1,-20.7,-0.40,5236.9,5051.0,35.5,0.70,5389.0,5014.2,-376.8,-6.88,5954.8,5014.2,-292.3,-5.42,5954.8,5014.2,-436.0,-7.88,44568.8,45304.3,46350.6,45295.3,45113.7,46350.6,44568.8,496.4,1.11,47784.3,43952.0,-2670.6,-5.59,51568.0,43952.0,-933.3,-2.03,51568.0,43681.7,-1731.5,-3.70,,
XAF,All Australian 50,5079.6,5169.6,5280.3,5150.5,5122.6,5173.8,5106.1,-28.0,-0.54,5280.3,5079.6,28.7,0.56,5457.8,5053.0,-417.9,-7.54,6081.0,5053.0,-375.6,-6.83,6081.0,5053.0,-500.8,-8.91,46270.3,47092.4,48278.9,47092.4,46836.5,48278.9,46270.3,486.2,1.05,49888.4,45714.6,-3051.9,-6.12,54222.3,45714.6,-1529.9,-3.16,54222.3,45714.6,-2175.2,-4.44,,
XAT,All Australian 200,4982.7,5067.2,5172.4,5047.1,5023.1,5068.1,5005.9,-24.0,-0.48,5172.4,4982.7,30.5,0.61,5337.7,4953.3,-399.3,-7.36,5926.9,4953.3,-340.0,-6.34,5926.9,4953.3,-466.6,-8.50,44969.9,45740.0,46837.8,45707.2,45490.8,46837.8,44969.9,472.6,1.05,48398.3,44404.7,-2907.5,-6.01,52442.3,44404.7,-1330.1,-2.84,52442.3,44281.4,-2000.0,-4.21,,
XTL,S&P/ASX 20,3061.9,3115.4,3191.5,3107.0,3091.3,3123.7,3078.8,-15.7,-0.51,3191.5,3061.9,15.9,0.52,3317.8,3049.9,-278.5,-8.26,3760.5,3049.9,-307.5,-9.05,3760.5,3049.9,-385.9,-11.10,54929.8,55889.6,57518.9,55995.5,55711.6,57518.9,54929.8,593.4,1.08,59697.3,54356.5,-3985.7,-6.68,65985.5,54356.5,-3044.3,-5.18,65985.5,54356.5,-3871.4,-6.50,,
XFL,S&P/ASX 50,5133.1,5224.4,5336.4,5205.0,5176.8,5228.7,5160.2,-28.2,-0.54,5336.4,5133.1,29.1,0.57,5518.6,5105.8,-426.6,-7.61,6152.9,5105.8,-386.6,-6.95,6152.9,5105.8,-512.8,-9.01,46675.2,47505.4,48703.5,47504.3,47247.2,48703.5,46675.2,488.6,1.05,50366.5,46111.2,-3119.3,-6.19,54764.7,46111.2,-1603.3,-3.28,54764.7,46111.2,-2252.2,-4.55,,
XTO,S&P/ASX 100,4198.3,4270.2,4360.5,4254.8,4232.7,4272.3,4218.5,-22.1,-0.52,4360.5,4198.3,25.3,0.60,4498.3,4171.5,-336.5,-7.37,4996.2,4171.5,-280.3,-6.21,4996.2,4171.5,-361.9,-7.88,11537.6,11736.2,12023.9,11732.8,11671.7,12023.9,11537.6,119.9,1.04,12414.8,11386.2,-743.2,-5.99,13449.8,11386.2,-317.2,-2.65,13449.8,11295.6,-422.3,-3.49,,
XJO,S&P/ASX 200,5030.4,5115.3,5221.1,5095.0,5071.1,5116.1,5053.7,-23.9,-0.47,5221.1,5030.4,30.5,0.60,5387.9,5001.3,-402.1,-7.35,5982.7,5001.3,-339.9,-6.28,5982.7,5001.3,-460.1,-8.32,45301.7,46073.1,47175.5,46039.9,45824.4,47175.5,45301.7,471.7,1.04,48747.2,44738.2,-2922.8,-6.00,52822.2,44738.2,-1314.8,-2.79,52822.2,44533.8,-1924.6,-4.03,,
XVI,S&P/ASX 200 VIX,28.267,25.851,22.983,26.332,25.783,27.935,25.232,-0.549,-2.08,28.267,22.983,-3.448,-11.80,30.244,18.062,7.559,41.48,30.244,0.171,11.202,76.83,30.244,0.171,13.448,109.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,4979.2,5062.0,5166.5,5043.4,5020.7,5064.4,5003.7,-22.7,-0.45,5166.5,4979.2,31.2,0.63,5329.4,4950.1,-392.2,-7.25,5912.7,4950.1,-328.2,-6.14,5912.7,4950.1,-455.7,-8.32,44663.0,45414.3,46497.1,45393.4,45189.9,46497.1,44663.0,473.8,1.06,48024.4,44107.5,-2834.5,-5.90,52008.8,44107.5,-1235.6,-2.66,52008.8,43915.8,-1911.2,-4.06,,
XMD,S&P/ASX MidCap 50,4705.6,4762.7,4853.5,4750.1,4732.7,4754.2,4708.4,-17.4,-0.37,4853.5,4705.6,41.2,0.88,4951.5,4637.4,-272.2,-5.44,5363.8,4637.4,-14.8,-0.31,5363.8,4637.4,78.5,1.69,13140.9,13310.4,13564.0,13278.7,13230.0,13564.0,13140.9,128.5,0.98,13835.3,12865.0,-605.3,-4.37,14759.9,12623.2,310.5,2.40,14759.9,11578.7,673.8,5.37,,
