Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-22T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 17,Jan 18,Jan 19,Jan 20,Jan 21,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 17,Jan 18,Jan 19,Jan 20,Jan 21,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4872.6,4911.6,4944.2,4892.0,4860.9,4901.1,4847.1,-31.1,-0.64,4944.2,4860.9,-47.7,-0.97,4944.2,4812.0,-1.6,-0.03,4944.2,4812.0,14.0,0.29,5024.1,4250.6,89.0,1.87,34998.4,35279.2,35513.0,35137.9,34914.4,35513.0,34914.4,-342.6,-0.97,35513.0,34562.5,37.6,0.11,35513.0,34562.5,101.6,0.29,35513.0,29893.9,1979.0,6.01,,
XAF,All Australian 50,4699.4,4740.6,4768.4,4717.0,4696.0,4729.7,4677.8,-21.0,-0.45,4768.4,4696.0,-40.4,-0.85,4768.4,4639.1,-25.1,-0.53,4768.4,4639.1,13.8,0.29,5017.2,4220.3,-58.9,-1.24,34272.0,34572.1,34775.3,34400.2,34246.9,34775.3,34246.9,-295.0,-0.85,34775.3,33831.8,-152.9,-0.44,34775.3,33831.8,100.4,0.29,35500.5,30076.1,1045.2,3.15,,
XAT,All Australian 200,4768.8,4807.9,4841.1,4790.2,4761.5,4801.7,4746.1,-28.7,-0.60,4841.1,4761.5,-46.3,-0.96,4841.1,4708.7,-15.0,-0.31,4841.1,4708.7,11.0,0.23,5001.2,4218.4,9.1,0.19,34724.9,35009.6,35251.4,34880.7,34671.5,35251.4,34671.5,-337.4,-0.96,35251.4,34286.3,-59.9,-0.17,35251.4,34286.3,80.5,0.23,35368.8,30043.8,1487.1,4.48,,
XTL,S&P/ASX 20,2834.4,2858.0,2876.9,2847.5,2837.2,2854.4,2825.2,-10.3,-0.36,2876.9,2834.4,-20.9,-0.73,2876.9,2799.1,-15.8,-0.55,2876.9,2799.1,5.1,0.18,3060.6,2560.9,-54.0,-1.87,40485.7,40823.6,41093.0,40673.2,40525.5,41093.0,40485.7,-299.6,-0.73,41093.0,39981.7,-226.8,-0.56,41093.0,39981.7,71.9,0.18,42369.7,35716.1,1040.7,2.64,,
XFL,S&P/ASX 50,4709.5,4750.3,4777.9,4726.7,4707.0,4740.2,4688.6,-19.7,-0.42,4777.9,4707.0,-39.3,-0.83,4777.9,4651.2,-25.4,-0.54,4777.9,4651.2,13.7,0.29,5036.9,4235.3,-62.9,-1.32,34321.3,34618.2,34819.2,34446.6,34302.9,34819.2,34302.9,-286.0,-0.83,34819.2,33896.3,-154.1,-0.45,34819.2,33896.3,100.3,0.29,35624.5,30164.1,1010.5,3.04,,
XTO,S&P/ASX 100,3868.0,3899.3,3924.7,3882.8,3863.1,3893.8,3850.2,-19.7,-0.51,3924.7,3863.1,-35.1,-0.90,3924.7,3821.1,-16.8,-0.43,3924.7,3821.1,9.8,0.25,4095.8,3455.4,-29.4,-0.76,8550.8,8620.0,8676.1,8583.6,8540.1,8676.1,8540.1,-77.5,-0.90,8676.1,8447.1,-26.0,-0.30,8676.1,8447.1,21.7,0.25,8789.4,7468.5,293.9,3.56,,
XJO,S&P/ASX 200,4763.1,4801.8,4834.6,4783.7,4755.7,4795.5,4740.5,-28.0,-0.59,4834.6,4755.7,-45.8,-0.95,4834.6,4705.0,-16.2,-0.34,4834.6,4705.0,10.5,0.22,5001.9,4222.1,5.1,0.11,34648.8,34930.7,35168.9,34798.8,34594.9,35168.9,34594.9,-333.4,-0.95,35168.9,34226.1,-69.1,-0.20,35168.9,34226.1,76.3,0.22,35345.6,30045.0,1445.7,4.36,,
XKO,S&P/ASX 300,4777.8,4815.5,4849.0,4798.6,4770.3,4809.7,4755.1,-28.3,-0.59,4849.0,4770.3,-46.4,-0.96,4849.0,4718.9,-13.3,-0.28,4849.0,4718.9,9.5,0.20,4995.0,4214.7,21.8,0.46,34684.3,34958.3,35201.2,34835.8,34629.9,35201.2,34629.9,-337.2,-0.96,35201.2,34256.2,-47.9,-0.14,35201.2,34256.2,69.5,0.20,35236.9,29938.5,1547.3,4.68,,
XMD,S&P/ASX Midcap 50,4495.2,4513.0,4566.1,4518.7,4466.0,4531.8,4464.0,-52.7,-1.17,4566.1,4466.0,-64.9,-1.43,4566.1,4445.1,14.8,0.33,4566.1,4445.1,-1.5,-0.03,4566.1,3797.0,161.6,3.75,10412.8,10453.9,10577.0,10467.1,10345.1,10577.0,10345.1,-150.2,-1.43,10577.0,10265.2,79.9,0.78,10577.0,10296.6,-3.5,-0.03,10577.0,8628.5,749.4,7.81,,
XSO,S&P/ASX Small Ords,2896.4,2914.0,2946.3,2923.7,2882.9,2923.7,2878.3,-40.8,-1.40,2946.3,2882.9,-46.5,-1.59,2946.3,2833.1,34.5,1.21,2946.3,2833.1,-9.6,-0.33,2946.3,2229.7,342.7,13.49,6512.6,6552.2,6624.8,6574.0,6482.3,6624.8,6482.3,-104.5,-1.59,6624.8,6369.0,93.5,1.46,6624.8,6369.0,-20.0,-0.31,6624.8,4946.8,915.1,16.44,,
XDJ,Consumer Discretionary,1514.7,1520.1,1536.9,1533.2,1531.7,1543.6,1528.3,-1.5,-0.10,1536.9,1514.7,13.8,0.91,1536.9,1495.6,32.2,2.15,1536.9,1495.6,30.9,2.06,1670.5,1424.3,-73.3,-4.57,9873.1,9908.1,10017.5,9993.7,9983.9,10017.5,9873.1,90.1,0.91,10017.5,9748.3,209.8,2.15,10017.5,9748.3,201.6,2.06,10680.0,9106.3,-94.7,-0.94,,
XSJ,Consumer Staples,7853.3,7891.6,7970.3,7981.4,7949.9,8052.8,7936.7,-31.5,-0.39,7981.4,7853.3,103.1,1.31,7981.4,7569.1,268.8,3.50,7981.4,7569.1,235.4,3.05,8415.1,7095.7,432.4,5.75,54765.1,55032.4,55581.1,55658.5,55439.0,55658.5,54765.1,718.9,1.31,55658.5,52783.5,1874.0,3.50,55658.5,52783.5,1641.1,3.05,58402.4,47464.4,5153.1,10.25,,
XEJ,Energy,16288.2,16459.7,16569.6,16386.9,16164.6,16435.0,16137.0,-222.3,-1.36,16569.6,16164.6,-242.0,-1.48,16569.6,16018.7,-87.8,-0.54,16569.6,16018.7,50.2,0.31,16569.6,13714.7,1003.0,6.62,106226.6,107344.7,108061.6,106870.4,105420.8,108061.6,105420.8,-1578.1,-1.47,108061.6,104469.1,-572.5,-0.54,108061.6,104469.1,327.6,0.31,108061.6,88395.3,8774.2,9.08,,
XFJ,Financials,4371.0,4410.8,4436.3,4398.5,4405.2,4434.9,4386.4,6.7,0.15,4436.3,4371.0,-0.4,-0.01,4436.3,4326.9,-10.2,-0.23,4436.3,4326.9,43.4,1.00,5040.0,4077.7,-349.8,-7.36,36141.3,36470.3,36681.9,36368.7,36424.4,36681.9,36141.3,-3.7,-0.01,36681.9,35775.6,2.3,0.01,36681.9,35775.6,360.8,1.00,39826.8,32702.7,-717.6,-1.93,,
XXJ,Financials-x-A-REIT,5058.6,5101.1,5137.8,5096.6,5114.2,5143.1,5085.9,17.6,0.35,5137.8,5058.6,8.4,0.17,5142.9,5008.8,-13.5,-0.26,5137.8,5008.8,50.4,1.00,5934.6,4674.3,-454.6,-8.16,40099.5,40436.0,40727.0,40400.6,40540.5,40727.0,40099.5,67.0,0.17,40767.4,39705.1,-105.4,-0.26,40727.0,39705.1,399.7,1.00,44955.1,35932.3,-1210.5,-2.90,,
XHJ,Health Care,8994.7,9110.1,9175.5,9124.8,9024.3,9158.1,9007.2,-100.5,-1.10,9175.5,8994.7,33.1,0.37,9175.5,8885.1,115.4,1.30,9175.5,8885.1,91.1,1.02,9195.2,7848.5,696.5,8.36,52177.9,52847.5,53226.7,52932.7,52349.9,53226.7,52177.9,192.6,0.37,53226.7,51542.1,669.7,1.30,53226.7,51542.1,528.7,1.02,53226.7,44799.6,5409.6,11.52,,
XNJ,Industrials,3776.5,3786.7,3795.8,3786.7,3764.0,3808.1,3744.3,-22.7,-0.60,3795.8,3764.0,-38.4,-1.01,3813.6,3689.8,0.2,0.01,3813.6,3689.8,27.5,0.74,4008.5,3140.1,-190.7,-4.82,27855.1,27930.8,27998.0,27931.0,27763.5,27998.0,27763.5,-282.6,-1.01,28129.2,27216.1,164.6,0.60,28129.2,27216.1,203.3,0.74,28820.6,22749.0,-404.4,-1.44,,
XIJ,Info Technology,660.3,661.5,666.6,643.1,628.8,652.8,626.0,-14.3,-2.22,666.6,628.8,-26.6,-4.06,666.6,628.8,-18.3,-2.83,666.6,628.8,-15.9,-2.47,736.7,559.3,-58.8,-8.55,3882.5,3889.8,3919.5,3781.5,3697.6,3919.5,3697.6,-156.5,-4.06,3919.5,3697.6,-107.4,-2.82,3919.5,3697.6,-93.4,-2.46,4262.9,3236.2,-226.1,-5.76,,
XMJ,Materials,14008.0,14148.8,14282.6,13992.9,13793.4,13992.9,13714.2,-199.5,-1.43,14282.6,13793.4,-414.9,-2.92,14282.6,13793.4,-310.1,-2.20,14282.6,13793.4,-287.2,-2.04,14282.6,10889.1,1467.0,11.90,88751.5,89643.3,90490.8,88655.8,87391.4,90490.8,87391.4,-2628.9,-2.92,90490.8,87391.4,-1965.1,-2.20,90490.8,87391.4,-1819.8,-2.04,90490.8,68188.9,10870.1,14.21,,
XPJ,A-REIT,855.4,866.3,865.2,855.4,848.2,858.9,846.4,-7.2,-0.84,866.3,848.2,-7.9,-0.92,866.3,834.2,-0.6,-0.07,866.3,834.2,8.4,0.99,908.7,813.8,-23.4,-2.69,19718.3,19970.2,19943.4,19719.2,19552.2,19970.2,19552.2,-181.7,-0.92,19970.2,19222.9,270.3,1.40,19970.2,19222.9,198.2,1.02,20582.4,17970.7,670.8,3.55,,
XTJ,Telecommunications,984.1,981.6,971.6,967.6,965.3,974.9,962.1,-2.3,-0.24,984.1,965.3,-19.1,-1.94,990.1,953.2,9.7,1.01,990.1,953.8,5.7,0.59,1173.8,892.3,-184.8,-16.07,9203.4,9180.6,9086.6,9049.3,9028.0,9203.4,9028.0,-178.2,-1.94,9260.0,8914.9,90.9,1.02,9260.0,8919.9,53.5,0.60,10046.4,8339.6,-763.3,-7.80,,
XUJ,Utilities,4408.5,4416.4,4452.1,4433.3,4414.4,4458.3,4411.4,-18.9,-0.43,4452.1,4408.5,-30.8,-0.69,4452.1,4378.7,-21.1,-0.47,4452.1,4388.7,1.0,0.02,4614.3,3998.4,206.1,4.90,38414.7,38483.6,38794.6,38630.7,38466.5,38794.6,38414.7,-268.2,-0.69,38794.6,38155.4,283.6,0.74,38794.6,38242.6,9.3,0.02,39587.2,33266.4,4114.9,11.98,,
XMM,Metals & Mining,5102.3,5156.0,5208.1,5097.7,5016.8,5097.7,4987.0,-80.9,-1.59,5208.1,5016.8,-163.3,-3.15,5211.2,5016.8,-126.0,-2.45,5208.1,5016.8,-128.9,-2.50,5211.2,3866.0,629.7,14.35,6667.4,6737.6,6805.7,6661.5,6555.7,6805.7,6555.7,-213.4,-3.15,6809.8,6555.7,-164.6,-2.45,6805.7,6555.7,-168.4,-2.50,6809.8,5001.6,928.6,16.50,,
XGD,Gold,7617.1,7641.4,7689.7,7560.8,7404.3,7562.3,7388.2,-156.5,-2.07,7689.7,7404.3,-341.1,-4.40,8175.0,7404.3,-625.1,-7.79,8136.9,7404.3,-694.8,-8.58,8421.8,5090.0,1826.4,32.74,8645.7,8673.4,8728.2,8581.8,8404.2,8728.2,8404.2,-387.2,-4.40,9279.0,8404.2,-709.6,-7.79,9235.8,8404.2,-788.7,-8.58,9559.1,5742.7,2113.9,33.60,,
XJR,Resources,5884.7,5947.8,6002.2,5886.5,5796.8,5886.5,5774.2,-89.7,-1.52,6002.2,5796.8,-165.6,-2.78,6002.2,5796.8,-127.7,-2.16,6002.2,5796.8,-112.0,-1.90,6002.2,4611.8,591.4,11.36,28742.3,29050.4,29316.4,28751.3,28313.1,29316.4,28313.1,-808.8,-2.78,29316.4,28313.1,-623.7,-2.16,29316.4,28313.1,-547.0,-1.90,29316.4,22285.5,3392.5,13.61,,
,
