Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-16T23:15:04+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 11,Apr 12,Apr 13,Apr 14,Apr 15,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,5064.9,4990.2,4999.6,4972.4,4939.3,4976.5,4939.3,-33.1,-0.67,5064.9,4939.3,-97.2,-1.93,5064.9,4638.4,329.4,7.15,5064.9,4609.9,92.4,1.91,5064.9,4250.6,-68.0,-1.36,36827.4,36284.3,36352.8,36155.2,35915.0,36827.4,35915.0,-701.6,-1.92,36827.4,33473.5,2441.6,7.29,36827.4,33473.5,1102.3,3.17,36827.4,29893.9,920.8,2.63,,
XAF,ALL Australian 50,4939.1,4872.7,4884.4,4855.3,4822.2,4862.8,4822.2,-33.1,-0.68,4939.1,4822.2,-76.4,-1.56,4939.1,4526.6,314.9,6.99,4939.1,4507.3,140.0,2.99,4963.3,4220.3,-178.5,-3.57,36488.5,35998.1,36084.3,35869.7,35624.9,36488.5,35624.9,-564.2,-1.56,36488.5,33259.8,2365.1,7.11,36488.5,33259.8,1478.3,4.33,36488.5,30076.1,241.6,0.68,,
XAT,ALL Australian 200,4976.2,4902.4,4914.4,4887.5,4855.1,4893.8,4855.1,-32.4,-0.66,4976.2,4855.1,-89.4,-1.81,4976.2,4558.7,323.3,7.13,4976.2,4531.8,104.6,2.20,4976.2,4218.4,-129.6,-2.60,36695.0,36150.2,36239.5,36040.6,35801.8,36695.0,35801.8,-657.5,-1.80,36695.0,33376.2,2425.6,7.27,36695.0,33376.2,1210.9,3.50,36695.0,30043.8,549.8,1.56,,
XTL,S&P/Asx 20,2998.7,2962.5,2969.9,2952.7,2930.8,2956.5,2930.7,-21.9,-0.74,2998.7,2930.8,-35.3,-1.19,2998.7,2739.0,204.0,7.48,2998.7,2726.8,98.7,3.48,3027.7,2560.9,-120.6,-3.95,43396.5,42873.1,42980.4,42730.7,42415.2,43396.5,42415.2,-510.7,-1.19,43396.5,39420.6,2994.6,7.60,43396.5,39420.6,1961.6,4.85,43396.5,35716.1,172.9,0.41,,
XFL,S&P/Asx 50,4953.4,4887.5,4899.4,4870.7,4837.4,4877.6,4837.4,-33.3,-0.68,4953.4,4837.4,-76.2,-1.55,4953.4,4541.8,314.8,6.96,4953.4,4522.6,144.1,3.07,4983.6,4235.3,-182.5,-3.64,36564.0,36078.0,36165.7,35953.8,35707.5,36564.0,35707.5,-562.6,-1.55,36564.0,33345.4,2362.1,7.08,36564.0,33345.4,1504.9,4.40,36564.0,30164.1,202.9,0.57,,
XTO,S&P/Asx 100,4049.1,3991.9,4003.2,3980.9,3955.6,3986.3,3955.6,-25.3,-0.64,4049.1,3955.6,-67.9,-1.69,4049.1,3713.9,260.3,7.04,4049.1,3695.3,102.3,2.65,4054.7,3455.4,-126.0,-3.09,9067.0,8938.8,8964.1,8914.1,8857.5,9067.0,8857.5,-151.8,-1.69,9067.0,8264.4,593.1,7.18,9067.0,8264.4,339.1,3.98,9067.0,7468.5,98.6,1.13,,
XJO,S&P/Asx 200,4971.2,4898.7,4911.0,4884.2,4852.1,4890.2,4852.1,-32.1,-0.66,4971.2,4852.1,-88.5,-1.79,4971.2,4555.3,323.4,7.14,4971.2,4528.7,106.9,2.25,4971.2,4222.1,-132.6,-2.66,36617.7,36083.4,36174.1,35977.3,35740.8,36617.7,35740.8,-649.9,-1.79,36617.7,33317.6,2423.2,7.27,36617.7,33317.6,1222.3,3.54,36617.7,30045.0,517.2,1.47,,
XKO,S&P/Asx 300,4984.1,4911.5,4923.0,4896.9,4864.8,4902.3,4864.8,-32.1,-0.66,4984.1,4864.8,-89.4,-1.81,4984.1,4564.0,327.6,7.22,4984.1,4537.2,104.0,2.18,4984.1,4214.7,-113.5,-2.28,36632.1,36098.3,36183.5,35991.2,35755.4,36632.1,35755.4,-655.6,-1.80,36632.1,33306.3,2449.0,7.35,36632.1,33306.3,1195.0,3.46,36632.1,29938.5,636.9,1.81,,
XMD,S&P/Asx Midcap 50,4541.6,4448.0,4474.2,4459.0,4448.2,4472.3,4443.7,-10.8,-0.24,4541.6,4448.0,-124.9,-2.73,4573.1,4175.6,318.2,7.71,4573.1,4130.0,-19.3,-0.43,4573.1,3797.0,58.7,1.34,10657.9,10438.1,10499.6,10464.0,10438.6,10657.9,10438.1,-290.3,-2.71,10728.9,9674.0,764.6,7.90,10728.9,9674.0,90.0,0.87,10728.9,8628.5,552.8,5.59,,
XSO,S&P/Asx Small Ords,2920.5,2865.8,2859.7,2851.8,2827.4,2852.7,2826.8,-24.4,-0.86,2920.5,2827.4,-84.8,-2.91,2920.5,2631.0,234.8,9.06,2946.3,2592.6,-65.1,-2.25,2946.3,2229.7,170.3,6.41,6617.6,6493.8,6480.2,6462.2,6406.9,6617.6,6406.9,-190.5,-2.89,6617.6,5867.0,540.0,9.20,6625.3,5867.0,-95.4,-1.47,6625.3,4946.8,539.0,9.19,,
