Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-03-26T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 21,Mar 22,Mar 23,Mar 24,Mar 25,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4734.1,4737.7,4746.5,4794.2,4840.3,4858.8,4794.2,46.1,0.96,4840.3,4734.1,124.5,2.64,4958.6,4609.9,-84.6,-1.72,5026.1,4609.9,-6.6,-0.14,5026.1,4250.6,-64.9,-1.32,34400.4,34426.8,34491.6,34839.0,35179.7,35179.7,34400.4,933.1,2.72,35918.5,33473.5,-382.7,-1.08,36193.1,33473.5,366.9,1.05,36193.1,29893.9,908.8,2.65,,
XAF,ALL Australian 50,4606.2,4605.6,4619.0,4662.1,4702.3,4726.6,4662.1,40.2,0.86,4702.3,4605.6,112.0,2.44,4818.1,4507.3,-93.4,-1.95,4894.2,4507.3,20.1,0.43,5017.2,4220.3,-219.7,-4.46,34023.5,34019.0,34117.7,34436.3,34735.9,34735.9,34019.0,858.9,2.54,35472.0,33259.8,-462.3,-1.31,35803.3,33259.8,589.3,1.73,35803.3,30076.1,-87.8,-0.25,,
XAT,ALL Australian 200,4646.8,4647.1,4656.7,4703.9,4747.2,4767.9,4703.9,43.3,0.92,4747.2,4646.8,117.1,2.53,4867.7,4531.8,-93.2,-1.93,4941.6,4531.8,-3.3,-0.07,5001.2,4218.4,-149.8,-3.06,34251.5,34253.9,34325.3,34674.1,34998.5,34998.5,34251.5,894.1,2.62,35770.0,33376.2,-453.7,-1.28,36087.5,33376.2,407.6,1.18,36087.5,30043.8,372.3,1.08,,
XTL,S&P/Asx 20,2785.2,2784.3,2791.4,2816.4,2840.1,2856.9,2816.4,23.7,0.84,2840.1,2784.3,65.3,2.35,2912.7,2726.8,-61.7,-2.13,2968.8,2726.8,8.0,0.28,3060.6,2560.9,-163.4,-5.44,40307.1,40294.9,40396.5,40758.4,41102.1,41102.1,40294.9,987.4,2.46,42001.2,39420.6,-648.9,-1.55,42556.1,39420.6,648.5,1.60,42556.1,35716.1,-476.7,-1.15,,
XFL,S&P/Asx 50,4621.3,4621.3,4634.4,4677.4,4717.5,4741.9,4677.4,40.1,0.86,4717.5,4621.3,112.0,2.43,4833.3,4522.6,-91.4,-1.90,4907.1,4522.6,24.2,0.52,5036.9,4235.3,-222.4,-4.50,34106.8,34106.7,34204.0,34521.1,34819.3,34819.3,34106.7,857.5,2.52,35553.6,33345.4,-446.2,-1.27,35871.5,33345.4,616.7,1.80,35871.5,30164.1,-115.9,-0.33,,
XTO,S&P/Asx 100,3780.7,3780.8,3790.0,3826.8,3860.2,3878.0,3826.8,33.4,0.87,3860.2,3780.7,93.1,2.47,3957.5,3695.3,-76.2,-1.94,4016.0,3695.3,6.9,0.18,4095.8,3455.4,-156.7,-3.90,8462.9,8463.1,8483.9,8566.2,8642.4,8642.4,8462.9,216.2,2.57,8831.4,8264.4,-112.4,-1.28,8904.8,8264.4,123.9,1.45,8904.8,7468.5,23.9,0.28,,
XJO,S&P/Asx 200,4642.8,4643.4,4652.4,4699.6,4742.6,4763.0,4699.6,43.0,0.91,4742.6,4642.8,116.2,2.51,4864.3,4528.7,-93.9,-1.94,4938.4,4528.7,-2.6,-0.06,5001.9,4222.1,-154.3,-3.15,34185.2,34189.8,34256.4,34604.1,34926.7,34926.7,34185.2,886.2,2.60,35706.2,33317.6,-460.1,-1.30,36027.5,33317.6,408.2,1.18,36027.5,30045.0,329.0,0.95,,
XKO,S&P/Asx 300,4654.5,4657.0,4665.7,4713.0,4756.4,4776.4,4713.0,43.4,0.92,4756.4,4654.5,119.1,2.57,4876.6,4537.2,-92.0,-1.90,4950.5,4537.2,-4.4,-0.09,4995.0,4214.7,-131.7,-2.69,34194.8,34213.2,34277.8,34626.0,34950.4,34950.4,34194.8,905.5,2.66,35717.4,33306.3,-445.9,-1.26,36039.3,33306.3,390.0,1.13,36039.3,29938.5,473.9,1.37,,
XMD,S&P/Asx Midcap 50,4267.0,4268.0,4264.7,4320.1,4363.4,4371.4,4320.1,43.3,1.00,4363.4,4264.7,117.8,2.77,4495.6,4130.0,-98.4,-2.21,4566.1,4130.0,-104.1,-2.33,4566.1,3797.0,40.7,0.94,9996.0,9998.4,9992.7,10122.3,10231.6,10231.6,9992.7,286.7,2.88,10516.6,9674.0,-148.7,-1.43,10601.8,9674.0,-117.0,-1.13,10601.8,8628.5,504.3,5.18,,
XSO,S&P/Asx Small Ords,2732.1,2746.5,2737.2,2776.4,2813.9,2819.2,2776.4,37.5,1.35,2813.9,2732.1,94.6,3.48,2888.5,2592.6,-44.8,-1.57,2946.3,2592.6,-78.6,-2.72,2946.3,2229.7,268.0,10.52,6182.8,6215.6,6194.6,6284.2,6370.9,6370.9,6182.8,217.2,3.53,6518.9,5867.0,-68.9,-1.07,6625.3,5867.0,-131.4,-2.02,6625.3,4946.8,748.8,13.32,,
XDJ,Cons Discretionary,1456.3,1458.2,1455.1,1465.3,1474.3,1478.1,1461.3,9.0,0.61,1474.3,1455.1,15.9,1.09,1530.8,1429.2,-42.5,-2.80,1557.8,1429.2,-26.5,-1.76,1670.5,1424.3,-186.4,-11.22,9637.9,9650.6,9630.5,9699.3,9773.5,9773.5,9630.5,121.4,1.26,10099.3,9458.7,-168.6,-1.70,10210.5,9458.7,-8.8,-0.09,10680.0,9106.3,-802.5,-7.59,,
XSJ,Consumer Staples,7504.0,7500.0,7490.6,7548.5,7608.4,7675.6,7548.5,59.9,0.79,7608.4,7490.6,54.4,0.72,7953.8,7490.6,-264.8,-3.36,8013.9,7490.6,-106.1,-1.38,8415.1,7167.6,-203.3,-2.60,53404.3,53376.2,53309.1,53721.5,54147.1,54147.1,53309.1,795.7,1.49,56175.1,52985.2,-1332.2,-2.40,56175.1,52783.5,349.3,0.65,58402.4,48819.1,940.5,1.77,,
