Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-04-06T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 28,Apr 2,Apr 3,Apr 4,Apr 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 28,Apr 2,Apr 3,Apr 4,Apr 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4979.9,4995.5,4966.4,4919.3,4899.2,4929.7,4891.6,-20.1,-0.41,4995.5,4899.2,-107.8,-2.15,5160.0,4899.2,-188.9,-3.71,5160.0,4712.3,234.6,5.03,5160.0,4033.4,496.9,11.29,39590.3,39716.0,39484.7,39110.1,38952.2,39716.0,38952.2,-852.9,-2.14,40968.7,38952.2,-1409.5,-3.49,40968.7,37020.3,2309.6,6.30,40968.7,30869.4,5474.0,16.35,,
XAF,All Australian 50,5028.2,5052.3,5023.8,4985.5,4956.6,4996.8,4950.6,-28.9,-0.58,5052.3,4956.6,-100.8,-1.99,5214.1,4956.6,-190.6,-3.70,5214.1,4733.5,258.9,5.51,5214.1,3983.7,670.0,15.63,40937.0,41133.4,40901.1,40589.8,40354.5,41133.4,40354.5,-820.6,-1.99,42412.3,40354.5,-1492.4,-3.57,42412.3,38052.6,2592.3,6.86,42412.3,31167.4,7089.2,21.31,,
XAT,All Australian 200,4943.6,4962.2,4933.0,4888.5,4866.8,4899.1,4858.7,-21.7,-0.44,4962.2,4866.8,-104.9,-2.11,5124.5,4866.8,-186.8,-3.70,5124.5,4671.7,235.5,5.08,5124.5,3973.9,555.5,12.89,40044.2,40196.3,39959.5,39599.4,39425.4,40196.3,39425.4,-846.7,-2.10,41464.3,39425.4,-1435.5,-3.51,41464.3,37380.5,2371.1,6.40,41464.3,30947.5,6088.3,18.26,,
XTL,S&P/ASX 20,3072.9,3089.1,3071.3,3048.5,3028.3,3057.0,3025.4,-20.2,-0.66,3089.1,3028.3,-67.3,-2.17,3194.6,3028.3,-126.9,-4.02,3194.6,2885.8,161.7,5.64,3194.6,2396.0,454.3,17.65,49154.8,49415.1,49130.1,48765.4,48441.3,49415.1,48441.3,-1076.7,-2.17,51048.3,48441.3,-1954.7,-3.88,51048.3,45563.7,3182.0,7.03,51048.3,36842.5,9245.1,23.59,,
XFL,S&P/ASX 50,5074.5,5099.6,5071.9,5033.1,5003.8,5044.4,4997.7,-29.3,-0.58,5099.6,5003.8,-100.4,-1.97,5262.4,5003.8,-190.0,-3.66,5262.4,4770.1,271.2,5.73,5262.4,4010.1,688.4,15.95,41254.8,41458.8,41233.3,40917.8,40679.5,41458.8,40679.5,-816.0,-1.97,42743.5,40679.5,-1484.3,-3.52,42743.5,38295.2,2687.8,7.07,42743.5,31334.8,7231.7,21.62,,
XTO,S&P/ASX 100,4098.0,4114.6,4093.1,4059.8,4038.7,4068.4,4034.0,-21.1,-0.52,4114.6,4038.7,-81.4,-1.98,4246.4,4038.7,-150.1,-3.58,4246.4,3855.7,218.0,5.71,4246.4,3260.5,520.0,14.78,10093.4,10134.4,10081.2,9999.2,9947.8,10134.4,9947.8,-200.2,-1.97,10448.8,9947.8,-352.7,-3.42,10448.8,9380.5,653.0,7.03,10448.8,7719.3,1678.7,20.30,,
XJO,S&P/ASX 200,4966.5,4985.5,4957.7,4913.5,4891.4,4924.0,4883.7,-22.1,-0.45,4985.5,4891.4,-103.6,-2.07,5146.9,4891.4,-184.0,-3.62,5146.9,4690.3,242.4,5.22,5146.9,3985.0,571.6,13.23,40160.9,40315.8,40090.8,39733.3,39556.7,40315.8,39556.7,-834.6,-2.07,41574.2,39556.7,-1408.3,-3.44,41574.2,37467.1,2422.2,6.52,41574.2,30989.0,6200.7,18.59,,
XKO,S&P/ASX 300,4937.9,4955.6,4926.4,4881.3,4860.4,4891.8,4852.2,-20.9,-0.43,4955.6,4860.4,-105.5,-2.12,5118.9,4860.4,-186.9,-3.70,5118.9,4669.1,234.1,5.06,5118.9,3977.4,539.6,12.49,39803.3,39947.2,39711.6,39347.9,39181.3,39947.2,39181.3,-846.4,-2.11,41215.7,39181.3,-1426.3,-3.51,41215.7,37184.2,2341.2,6.36,41215.7,30841.3,5909.3,17.76,,
XMD,S&P/ASX MidCap 50,4154.2,4140.0,4125.0,4074.6,4075.4,4085.3,4058.4,0.8,0.02,4154.2,4074.6,-86.0,-2.07,4276.0,4074.6,-123.9,-2.95,4276.0,3914.1,212.4,5.50,4276.0,3435.4,206.4,5.34,10611.2,10575.0,10536.8,10408.0,10414.7,10611.2,10408.0,-215.0,-2.02,10906.4,10408.0,-278.2,-2.60,10906.4,9898.6,645.3,6.61,10906.4,8495.1,922.6,9.72,,
XSO,S&P/ASX Small Ords,2295.1,2290.8,2260.1,2212.5,2226.9,2232.7,2208.7,14.4,0.65,2295.1,2212.5,-87.8,-3.80,2391.8,2212.5,-118.7,-5.06,2414.5,2212.5,-53.8,-2.36,2505.5,2044.8,-252.5,-10.18,5532.3,5524.0,5449.9,5335.1,5369.8,5532.3,5335.1,-208.6,-3.74,5747.9,5335.1,-253.4,-4.51,5770.0,5335.1,-75.1,-1.38,5852.4,4798.2,-419.3,-7.24,,
