Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-11-08T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 3,Nov 4,Nov 5,Nov 6,Nov 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 3,Nov 4,Nov 5,Nov 6,Nov 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5485.0,5498.2,5492.8,5479.2,5522.1,5522.1,5474.3,42.9,0.78,5522.1,5479.2,17.1,0.31,5522.1,5153.1,237.3,4.49,5656.9,5088.7,169.0,3.16,5656.9,5088.7,127.7,2.37,46504.3,46616.3,46570.3,46455.3,46969.3,46969.3,46455.3,300.5,0.64,46969.3,43681.7,2174.5,4.85,47783.6,41681.2,3124.3,7.13,47783.6,41443.6,2901.3,6.58,,
XAF,All Australian 50,5618.4,5629.1,5630.7,5619.4,5658.7,5658.7,5607.1,39.3,0.70,5658.7,5618.4,18.3,0.32,5658.7,5260.6,273.9,5.09,5751.6,5175.5,200.9,3.68,5751.6,5175.5,135.1,2.45,48971.6,49065.5,49079.0,48980.5,49534.3,49534.3,48971.6,370.5,0.75,49534.3,45852.9,2598.6,5.54,49995.8,43505.3,3655.9,7.97,49995.8,43428.7,3201.4,6.91,,
XAT,All Australian 200,5463.1,5476.5,5474.2,5462.0,5504.7,5504.7,5456.2,42.7,0.78,5504.7,5462.0,21.0,0.38,5504.7,5115.6,261.2,4.98,5617.0,5028.8,200.0,3.77,5617.0,5028.8,145.6,2.72,47295.7,47411.4,47391.4,47286.7,47828.0,47828.0,47286.7,358.7,0.76,47828.0,44281.4,2441.6,5.38,48471.7,42022.3,3500.6,7.90,48471.7,41869.0,3161.2,7.08,,
XTL,S&P/ASX 20,3481.5,3485.7,3489.9,3483.5,3506.4,3506.4,3470.7,22.9,0.66,3506.4,3481.5,10.3,0.29,3506.4,3249.0,182.6,5.49,3551.7,3184.2,128.0,3.79,3551.7,3184.2,86.7,2.54,59657.0,59729.6,59801.7,59692.0,60403.1,60403.1,59657.0,495.3,0.83,60403.1,55673.0,3448.5,6.05,60670.4,52576.0,4620.5,8.28,60670.4,52576.0,3960.7,7.02,,
XFL,S&P/ASX 50,5683.6,5694.5,5696.4,5685.3,5725.1,5725.1,5673.3,39.8,0.70,5725.1,5683.6,19.3,0.34,5725.1,5321.5,277.7,5.10,5818.9,5238.2,198.2,3.59,5818.9,5238.2,136.1,2.43,49450.4,49545.4,49562.0,49465.2,50024.6,50024.6,49450.4,381.2,0.77,50024.6,46300.1,2629.4,5.55,50484.7,43959.9,3641.6,7.85,50484.7,43886.4,3220.2,6.88,,
XTO,S&P/ASX 100,4587.5,4597.7,4598.0,4588.8,4623.9,4623.9,4583.0,35.1,0.76,4623.9,4587.5,20.4,0.44,4623.9,4289.7,229.6,5.22,4699.7,4210.6,178.7,4.02,4699.7,4210.6,141.5,3.16,12081.4,12108.3,12109.1,12084.8,12223.9,12223.9,12081.4,101.5,0.84,12223.9,11295.6,652.8,5.64,12340.3,10700.4,927.1,8.21,12340.3,10670.3,860.9,7.58,,
XJO,S&P/ASX 200,5506.9,5519.9,5517.9,5506.1,5549.1,5549.1,5500.3,43.0,0.78,5549.1,5506.1,22.5,0.41,5549.1,5155.5,264.9,5.01,5658.5,5070.3,196.9,3.68,5658.5,5070.3,148.4,2.75,47575.2,47687.9,47670.2,47569.0,48112.9,48112.9,47569.0,371.5,0.78,48112.9,44533.8,2468.2,5.41,48729.0,42284.9,3477.7,7.79,48729.0,42141.4,3188.5,7.10,,
XVI,S&P/ASX 200 VIX,13.283,12.712,12.762,13.036,11.571,12.404,11.571,-1.465,-11.24,13.283,11.571,-0.965,-7.70,19.164,11.571,-3.945,-25.43,19.164,0.147,0.009,0.08,19.164,0.147,-0.925,-7.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5443.3,5456.3,5453.5,5441.0,5483.2,5483.2,5435.3,42.2,0.78,5483.2,5441.0,20.0,0.37,5483.2,5102.5,251.9,4.82,5601.5,5027.6,178.4,3.36,5601.5,5027.6,130.7,2.44,46855.3,46967.1,46942.8,46835.8,47365.0,47365.0,46835.8,343.1,0.73,47365.0,43915.8,2342.9,5.20,48058.9,41785.8,3276.3,7.43,48058.9,41624.4,2993.0,6.75,,
XMD,S&P/ASX MidCap 50,4628.4,4650.7,4640.4,4629.0,4690.2,4690.2,4629.0,61.2,1.32,4690.2,4628.4,62.1,1.34,4690.2,4279.7,278.7,6.32,4774.6,4099.4,340.7,7.83,4774.6,4099.4,412.7,9.65,12537.8,12598.2,12570.2,12539.4,12705.1,12705.1,12537.8,179.6,1.43,12705.1,11578.7,769.9,6.45,12861.6,10758.1,1290.7,11.31,12861.6,10621.3,1540.8,13.80,,
