Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-09-17T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 12,Sep 13,Sep 14,Sep 15,Sep 16,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4125.1,4158.4,4090.4,4153.2,4229.9,4236.6,4153.2,76.7,1.85,4229.9,4090.4,-47.5,-1.11,4382.7,4090.4,-87.4,-2.03,5064.9,4056.7,-617.0,-12.73,5064.9,4056.7,-455.2,-9.72,30631.0,30878.1,30373.7,30847.4,31419.3,31419.3,30373.7,-306.6,-0.97,32414.5,30373.7,-316.1,-1.00,36827.4,29710.8,-3393.5,-9.75,36827.4,29710.8,-1950.8,-5.85,,
XAF,All Australian 50,4002.4,4035.5,3975.5,4041.9,4118.5,4133.5,4042.0,76.5,1.89,4118.5,3975.5,-33.8,-0.81,4264.5,3975.5,-89.7,-2.13,4939.1,3944.2,-563.7,-12.04,4939.1,3944.2,-493.3,-10.70,30285.2,30535.2,30081.5,30591.8,31171.0,31171.0,30081.5,-209.9,-0.67,32132.8,30081.5,-324.5,-1.03,36488.5,29372.5,-2975.6,-8.71,36488.5,29372.5,-2165.9,-6.50,,
XAT,All Australian 200,4035.5,4069.0,4001.1,4067.1,4145.3,4155.8,4067.1,78.2,1.92,4145.3,4001.1,-47.1,-1.12,4304.8,4001.1,-98.3,-2.32,4976.2,3984.4,-605.2,-12.74,4976.2,3984.4,-493.7,-10.64,30441.3,30693.5,30181.5,30687.2,31278.2,31278.2,30181.5,-310.0,-0.98,32341.4,30181.5,-388.6,-1.23,36695.0,29608.0,-3312.7,-9.58,36695.0,29608.0,-2202.0,-6.58,,
XTL,S&P/ASX 20,2422.4,2440.5,2403.7,2443.7,2487.7,2497.6,2443.7,44.0,1.80,2487.7,2403.7,-26.1,-1.04,2586.0,2403.7,-64.9,-2.54,2998.7,2390.4,-344.4,-12.16,2998.7,2390.4,-303.4,-10.87,35949.3,36217.5,35670.6,36275.2,36928.2,36928.2,35670.6,-330.6,-0.89,38160.0,35670.6,-525.7,-1.40,43396.5,34882.9,-3525.4,-8.71,43396.5,34882.9,-2590.1,-6.55,,
XFL,S&P/ASX 50,4021.4,4055.2,3995.3,4062.6,4138.6,4153.8,4062.6,76.0,1.87,4138.6,3995.3,-32.6,-0.78,4283.7,3995.3,-89.5,-2.12,4953.4,3959.3,-554.7,-11.82,4953.4,3959.3,-485.6,-10.50,30398.8,30654.2,30201.3,30717.5,31292.2,31292.2,30201.3,-201.1,-0.64,32246.0,30201.3,-323.8,-1.02,36564.0,29459.8,-2910.4,-8.51,36564.0,29459.8,-2113.4,-6.33,,
XTO,S&P/ASX 100,3283.5,3310.9,3257.7,3311.2,3374.3,3385.3,3311.2,63.1,1.91,3374.3,3257.7,-35.8,-1.05,3505.4,3257.7,-85.8,-2.48,4049.1,3244.2,-479.0,-12.43,4049.1,3244.2,-406.1,-10.74,7525.6,7588.4,7466.3,7591.0,7735.8,7735.8,7466.3,-71.7,-0.92,7998.5,7466.3,-107.5,-1.37,9067.0,7321.6,-782.7,-9.19,9067.0,7321.6,-546.6,-6.60,,
XJO,S&P/ASX 200,4038.5,4072.7,4005.8,4071.7,4149.4,4160.0,4071.7,77.7,1.91,4149.4,4005.8,-45.3,-1.08,4307.5,4005.8,-97.9,-2.30,4971.2,3986.1,-595.8,-12.56,4971.2,3986.1,-489.5,-10.55,30426.3,30683.7,30179.8,30684.8,31271.0,31271.0,30179.8,-296.4,-0.94,32322.4,30179.8,-385.5,-1.22,36617.7,29587.1,-3247.6,-9.41,36617.7,29587.1,-2178.3,-6.51,,
XKO,S&P/ASX 300,4046.2,4079.4,4012.3,4077.7,4154.0,4164.0,4077.7,76.3,1.87,4154.0,4012.3,-47.9,-1.14,4311.9,4012.3,-96.2,-2.26,4984.1,3990.0,-606.8,-12.75,4984.1,3990.0,-484.2,-10.44,30407.5,30657.7,30153.0,30652.9,31227.2,31227.2,30153.0,-315.4,-1.00,32276.1,30153.0,-375.4,-1.19,36632.1,29548.3,-3333.1,-9.64,36632.1,29548.3,-2151.7,-6.45,,
XMD,S&P/ASX MidCap 50,3647.9,3676.6,3579.6,3626.6,3706.2,3707.8,3626.6,79.6,2.19,3706.2,3579.6,-119.7,-3.13,3961.9,3579.6,-205.7,-5.26,4573.1,3579.6,-761.3,-17.04,4573.1,3579.6,-535.2,-12.62,8727.6,8796.2,8564.2,8680.2,8870.8,8870.8,8564.2,-282.6,-3.09,9417.9,8564.2,-374.4,-4.05,10728.9,8564.2,-1477.8,-14.28,10728.9,8564.2,-848.9,-8.73,,
XSO,S&P/ASX Small Ords,2394.3,2411.5,2363.3,2399.0,2435.6,2435.6,2399.0,36.6,1.53,2435.6,2363.3,-49.3,-1.98,2518.0,2350.9,-5.3,-0.22,2946.3,2319.1,-456.9,-15.79,2946.3,2319.1,-197.0,-7.48,5493.3,5532.7,5422.3,5506.2,5592.1,5592.1,5422.3,-100.1,-1.76,5760.5,5358.1,31.1,0.56,6625.3,5280.2,-910.2,-14.00,6625.3,5280.2,-291.0,-4.95,,
XDJ,Consumer Discretionary,1155.9,1166.7,1144.4,1158.2,1175.4,1180.5,1158.2,17.2,1.49,1175.4,1144.4,-18.7,-1.57,1243.1,1140.6,-54.8,-4.45,1557.8,1140.6,-325.4,-21.68,1572.1,1140.6,-393.3,-25.07,7838.5,7911.7,7760.5,7854.1,7970.9,7970.9,7760.5,-113.9,-1.41,8308.8,7636.0,-228.2,-2.78,10210.5,7636.0,-1811.4,-18.52,10246.9,7636.0,-2163.0,-21.34,,
XSJ,Consumer Staples,7279.4,7317.7,7273.0,7359.1,7399.4,7447.0,7359.1,40.3,0.55,7399.4,7273.0,-87.9,-1.17,7597.3,7273.0,-36.8,-0.49,8013.9,7011.2,-315.1,-4.09,8415.1,7011.2,-831.1,-10.10,53173.1,53453.4,53126.5,53755.4,54050.2,54050.2,53126.5,-152.3,-0.28,54426.8,52693.1,971.0,1.83,56701.2,49979.4,252.4,0.47,58402.4,49979.4,-3071.4,-5.38,,
XEJ,Energy,12379.3,12709.7,12374.0,12710.4,13084.4,13104.3,12710.4,374.0,2.94,13084.4,12374.0,69.8,0.54,13892.6,12374.0,-609.7,-4.45,17736.5,12374.0,-3030.0,-18.80,17736.5,12374.0,-2072.2,-13.67,82546.6,84749.2,82511.0,84754.2,87248.2,87248.2,82511.0,477.3,0.55,91494.3,82511.0,-2938.7,-3.26,116809.6,82511.0,-17845.0,-16.98,116809.6,82511.0,-11598.6,-11.73,,
XFJ,Financials,3719.5,3728.9,3656.6,3727.0,3816.6,3835.2,3727.0,89.6,2.40,3816.6,3656.6,-54.1,-1.40,3990.2,3656.6,-54.8,-1.42,4666.6,3638.7,-545.2,-12.50,4666.6,3638.7,-667.6,-14.89,32147.3,32229.2,31603.8,32212.6,32986.7,32986.7,31603.8,-460.7,-1.38,34440.1,31603.8,-285.9,-0.86,38822.8,30965.7,-3077.0,-8.53,38822.8,30965.7,-3445.6,-9.46,,
XXJ,Financial-x-A-REIT,4277.1,4290.9,4202.1,4285.1,4377.9,4406.7,4285.1,92.8,2.17,4377.9,4202.1,-86.4,-1.94,4590.8,4202.1,-90.1,-2.02,5430.9,4195.3,-685.9,-13.55,5430.9,4195.3,-807.8,-15.58,35446.8,35561.8,34825.4,35513.5,36282.5,36282.5,34825.4,-706.6,-1.91,37984.2,34825.4,-506.2,-1.38,43285.0,34224.8,-3858.2,-9.61,43285.0,34224.8,-4112.6,-10.18,,
XHJ,Health Care,7205.2,7302.7,7082.8,7209.3,7304.3,7332.5,7209.3,95.0,1.32,7304.3,7082.8,-291.4,-3.84,7869.7,7082.8,-612.2,-7.73,9186.8,7082.8,-1628.9,-18.23,9186.8,7082.8,-808.2,-9.96,42615.1,43191.6,41891.0,42639.4,43201.2,43201.2,41891.0,-1723.9,-3.84,46440.9,41891.0,-3239.7,-6.98,53892.5,41891.0,-8620.1,-16.63,53892.5,41891.0,-3751.7,-7.99,,
XNJ,Industrials,3190.9,3202.3,3159.1,3212.3,3277.2,3277.2,3212.3,64.9,2.02,3277.2,3159.1,-37.0,-1.12,3437.3,3159.1,-91.3,-2.71,3870.5,3159.1,-459.3,-12.29,3870.5,3159.1,-446.3,-11.99,24082.1,24167.9,23842.0,24329.4,24831.9,24831.9,23842.0,-137.3,-0.55,25783.7,23842.0,-436.1,-1.73,28566.6,23776.3,-2728.3,-9.90,28566.6,23776.3,-2406.5,-8.84,,
XIJ,Info Technology,478.6,490.1,476.7,476.5,485.1,485.9,476.5,8.6,1.80,490.1,476.5,-9.9,-1.99,510.5,471.7,7.5,1.57,666.6,458.0,-159.6,-24.76,666.6,458.0,-117.9,-19.55,2907.8,2977.9,2896.3,2906.8,2959.4,2977.9,2896.3,-47.8,-1.59,3094.2,2859.0,64.6,2.23,3919.5,2743.0,-831.6,-21.94,3919.5,2743.0,-586.0,-16.53,,
XMJ,Materials,11745.9,11894.5,11703.8,11853.9,12078.9,12099.1,11853.9,225.0,1.90,12078.9,11703.8,-118.7,-0.97,12576.9,11703.8,-370.8,-2.98,15046.2,11694.7,-2001.7,-14.22,15046.2,11694.7,-438.7,-3.50,75826.8,76785.9,75555.3,76524.3,77976.8,77976.8,75555.3,-757.2,-0.96,80615.2,75555.3,-1704.9,-2.14,96133.1,74771.4,-11234.5,-12.59,96133.1,74771.4,-1164.8,-1.47,,
XPJ,A-REIT,752.2,751.4,741.8,754.3,781.4,783.6,754.3,27.1,3.59,781.4,741.8,10.5,1.36,804.8,737.8,12.9,1.67,887.0,708.9,-58.4,-6.96,887.0,708.9,-100.7,-11.41,18098.6,18080.7,17849.7,18148.9,18802.7,18802.7,17849.7,253.5,1.37,19365.1,17732.0,332.2,1.80,20646.7,17036.7,-551.2,-2.85,20646.7,17036.7,-1177.8,-5.89,,
XTJ,Telecommunications,1022.1,1029.8,1036.3,1049.4,1050.2,1056.4,1049.4,0.8,0.08,1050.2,1022.1,7.5,0.72,1082.6,1018.7,-15.7,-1.47,1082.6,891.0,90.6,9.44,1082.6,891.0,101.3,10.68,10453.5,10531.3,10598.0,10732.2,10740.0,10740.0,10453.5,76.7,0.72,10906.8,10304.6,310.6,2.98,10906.8,8708.4,1765.4,19.67,10906.8,8339.6,1886.4,21.31,,
XUJ,Utilities,4257.6,4338.1,4327.6,4401.0,4414.9,4448.9,4394.9,13.9,0.32,4414.9,4257.6,25.2,0.57,4550.9,4218.4,157.6,3.70,4550.9,3990.1,1.5,0.03,4614.3,3990.1,-39.1,-0.88,38915.9,39652.1,39556.1,40227.0,40353.7,40353.7,38915.9,289.7,0.72,41005.7,38009.8,1993.0,5.20,41005.7,35021.3,1896.6,4.93,41005.7,35021.3,2211.3,5.80,,
XMM,Metals & Mining,4264.7,4314.4,4247.1,4298.1,4372.6,4381.4,4298.1,74.5,1.73,4372.6,4247.1,-52.0,-1.18,4570.4,4247.1,-145.2,-3.21,5491.6,4239.8,-773.1,-15.02,5491.6,4239.8,-128.4,-2.85,5672.0,5738.1,5648.7,5716.4,5815.6,5815.6,5648.7,-68.5,-1.16,6028.9,5648.7,-143.9,-2.41,7235.3,5586.5,-908.6,-13.51,7235.3,5586.5,-58.5,-1.00,,
