Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-04-19T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 11,Apr 14,Apr 15,Apr 16,Apr 17,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 11,Apr 14,Apr 15,Apr 16,Apr 17,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5423.5,5353.6,5380.3,5412.6,5444.8,5450.5,5412.6,32.2,0.59,5444.8,5353.6,-32.7,-0.60,5477.5,5312.7,109.6,2.05,5477.5,5088.7,91.7,1.71,5477.5,5088.7,533.5,10.86,44993.1,44413.7,44635.0,44902.8,45170.3,45170.3,44413.7,-268.6,-0.59,45438.9,44046.0,939.0,2.12,45438.9,41681.2,1325.2,3.02,45438.9,37129.1,6114.5,15.66,,
XAF,All Australian 50,5536.1,5467.6,5497.9,5526.6,5560.4,5566.4,5526.6,33.8,0.61,5560.4,5467.6,-26.0,-0.47,5586.4,5376.3,160.1,2.96,5586.4,5175.5,102.6,1.88,5586.4,5175.5,538.8,10.73,47154.7,46571.1,46828.6,47073.7,47361.5,47361.5,46571.1,-221.6,-0.47,47583.1,45790.5,1366.4,2.97,47583.1,43505.3,1483.1,3.23,47583.1,39049.4,6478.2,15.85,,
XAT,All Australian 200,5387.3,5318.9,5347.4,5379.4,5413.2,5418.5,5379.4,33.8,0.63,5413.2,5318.9,-25.4,-0.47,5438.6,5249.3,138.2,2.62,5438.6,5028.8,108.5,2.04,5438.6,5028.8,515.4,10.52,45605.8,45026.6,45268.2,45538.6,45825.1,45825.1,45026.6,-214.7,-0.47,46039.8,44421.0,1186.8,2.66,46039.8,42022.3,1497.7,3.38,46039.8,37733.6,6145.7,15.49,,
XTL,S&P/ASX 20,3429.7,3388.5,3409.0,3427.8,3449.5,3453.0,3427.8,21.7,0.63,3449.5,3388.5,-7.9,-0.23,3457.4,3316.9,117.6,3.53,3457.4,3184.2,71.1,2.10,3457.4,3184.2,369.3,11.99,57406.6,56717.0,57060.6,57374.4,57738.2,57738.2,56717.0,-132.0,-0.23,57870.2,55519.4,1968.9,3.53,57870.2,52576.0,1955.5,3.51,57870.2,47032.2,8465.4,17.18,,
XFL,S&P/ASX 50,5600.4,5530.5,5561.0,5589.7,5624.1,5630.1,5589.7,34.4,0.62,5624.1,5530.5,-27.1,-0.48,5651.2,5441.2,159.4,2.92,5651.2,5238.2,97.2,1.76,5651.2,5238.2,552.4,10.89,47617.8,47023.8,47283.3,47527.4,47819.7,47819.7,47023.8,-230.0,-0.48,48049.7,46261.4,1357.8,2.92,48049.7,43959.9,1436.7,3.10,48049.7,39422.6,6588.3,15.98,,
XTO,S&P/ASX 100,4513.3,4456.3,4480.3,4506.7,4534.8,4539.0,4506.7,28.1,0.62,4534.8,4456.3,-20.8,-0.46,4555.6,4393.9,121.2,2.75,4555.6,4210.6,89.6,2.01,4555.6,4210.6,452.8,11.09,11618.8,11472.2,11534.0,11602.0,11674.3,11674.3,11472.2,-53.4,-0.46,11727.8,11309.0,314.6,2.77,11727.8,10700.4,377.5,3.34,11727.8,9607.8,1619.6,16.11,,
XJO,S&P/ASX 200,5428.6,5358.9,5388.2,5420.3,5454.2,5459.4,5420.3,33.9,0.63,5454.2,5358.9,-26.6,-0.48,5480.8,5294.0,136.6,2.57,5480.8,5070.3,102.0,1.91,5480.8,5070.3,529.8,10.76,45861.0,45272.2,45518.9,45790.6,46077.1,46077.1,45272.2,-224.1,-0.48,46301.2,44705.9,1172.4,2.61,46301.2,42284.9,1442.0,3.23,46301.2,37962.9,6251.1,15.70,,
XVI,S&P/ASX 200 VIX,11.919,13.503,12.420,11.341,10.902,11.374,10.784,-0.439,-3.87,13.503,10.902,-0.542,-4.74,14.222,10.902,-4.447,-28.97,18.372,0.147,-0.660,-5.71,21.700,0.147,-4.973,-31.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5373.0,5304.2,5332.5,5363.9,5396.9,5402.1,5363.9,33.0,0.62,5396.9,5304.2,-27.6,-0.51,5424.5,5247.9,124.9,2.37,5424.5,5027.6,92.1,1.74,5424.5,5027.6,511.1,10.46,45231.1,44652.6,44890.3,45154.5,45432.9,45432.9,44652.6,-232.2,-0.51,45665.1,44160.1,1070.3,2.41,45665.1,41785.8,1344.1,3.05,45665.1,37491.8,6044.5,15.35,,
XMD,S&P/ASX MidCap 50,4490.5,4428.3,4447.2,4501.6,4532.8,4535.4,4501.6,31.2,0.69,4532.8,4428.3,-11.8,-0.26,4544.6,4428.3,58.7,1.31,4613.1,4099.4,183.3,4.21,4613.1,4099.4,511.8,12.73,11922.0,11756.9,11807.2,11951.6,12034.5,12034.5,11756.9,-31.3,-0.26,12065.9,11746.9,175.6,1.48,12210.9,10758.1,620.1,5.43,12210.9,9756.1,1756.6,17.09,,
XSO,S&P/ASX Small Ords,2161.9,2129.9,2139.6,2151.9,2163.6,2166.6,2151.9,11.7,0.54,2163.6,2129.9,-24.4,-1.11,2225.2,2129.9,-40.5,-1.84,2277.1,2092.8,-30.0,-1.37,2277.1,2092.8,68.2,3.25,5386.6,5306.8,5331.1,5361.7,5390.7,5390.7,5306.8,-60.8,-1.12,5530.2,5306.8,-86.8,-1.59,5645.9,5156.7,-12.7,-0.24,5645.9,4574.9,334.8,6.62,,
XDJ,Consumer Discretionary,1829.3,1801.4,1812.5,1827.6,1842.1,1843.4,1827.6,14.5,0.79,1842.1,1801.4,0.5,0.02,1853.9,1797.2,4.2,0.23,1913.4,1715.0,11.0,0.60,1913.4,1715.0,257.0,16.21,13787.8,13577.3,13661.4,13774.8,13884.6,13884.6,13577.3,3.7,0.03,13901.7,13541.6,102.7,0.75,14336.1,12735.0,287.3,2.11,14336.1,10960.6,2307.6,19.93,,
XSJ,Consumer Staples,9871.2,9730.2,9817.5,9905.1,10026.3,10047.0,9904.4,121.2,1.22,10026.3,9730.2,1.2,0.01,10026.3,9717.7,186.7,1.90,10197.6,9567.9,10.3,0.10,10197.6,9567.9,-311.9,-3.02,80505.9,79356.1,80068.2,80783.2,81771.1,81771.1,79356.1,9.3,0.01,81771.1,79254.7,1522.3,1.90,82534.6,76594.5,1589.2,1.98,83265.0,71737.8,1033.1,1.28,,
XEJ,Energy,13729.6,13587.1,13633.6,13796.8,13881.4,13894.6,13763.6,84.6,0.61,13881.4,13587.1,82.4,0.60,13881.4,13391.9,374.0,2.77,14068.1,13017.6,258.5,1.90,14068.1,13017.6,1882.5,15.69,98102.0,97084.4,97416.2,98582.4,99187.1,99187.1,97084.4,589.0,0.60,99187.1,95689.6,2672.7,2.77,100520.7,91514.2,3417.2,3.57,101032.3,84450.3,16086.6,19.36,,
XFJ,Financials,6067.0,5979.3,6011.5,6041.6,6085.0,6093.8,6041.6,43.4,0.72,6085.0,5979.3,-33.5,-0.55,6118.5,5871.5,212.1,3.61,6118.5,5503.9,209.3,3.56,6118.5,5503.9,552.6,9.99,60649.7,59772.8,60095.1,60395.4,60829.6,60829.6,59772.8,-335.1,-0.55,61164.8,58692.7,2122.9,3.62,61164.8,54492.0,2659.6,4.57,61164.8,49323.3,8348.9,15.91,,
XXJ,Financial-x-A-REIT,7191.2,7083.3,7120.9,7158.1,7206.8,7219.0,7158.1,48.7,0.68,7206.8,7083.3,-46.1,-0.64,7252.9,6952.8,250.0,3.59,7252.9,6467.5,225.2,3.23,7252.9,6467.5,807.9,12.63,68899.3,67865.5,68225.4,68581.8,69048.7,69048.7,67865.5,-441.8,-0.64,69490.5,66614.5,2395.6,3.59,69490.5,61376.9,2792.6,4.21,69490.5,54895.6,10821.2,18.58,,
XHJ,Health Care,14319.6,14011.7,14017.9,14132.7,14151.0,14202.8,14097.5,18.3,0.13,14319.6,14011.7,-389.3,-2.68,14713.4,14011.7,-529.7,-3.61,14937.8,13849.2,-216.3,-1.51,14937.8,13849.2,1819.3,14.75,90645.2,88696.1,88735.0,89462.2,89577.9,90645.2,88696.1,-2463.9,-2.68,93092.2,88696.1,-3307.2,-3.56,94445.0,86829.4,-469.0,-0.52,94445.0,76532.4,13236.4,17.34,,
XNJ,Industrials,4024.6,3971.9,3996.2,4039.9,4054.4,4070.4,4035.8,14.5,0.36,4054.4,3971.9,-25.8,-0.63,4092.5,3971.9,14.9,0.37,4158.4,3771.2,85.5,2.15,4158.4,3771.2,390.1,10.64,33648.7,33207.9,33411.7,33776.7,33897.8,33897.8,33207.9,-216.0,-0.63,34178.3,33207.9,162.5,0.48,34654.3,31167.8,1096.2,3.34,34654.3,28042.2,4409.9,14.95,,
XIJ,Info Technology,761.9,745.4,748.8,767.2,776.6,786.2,767.2,9.4,1.23,776.6,745.4,-4.9,-0.63,798.8,745.4,-10.9,-1.39,813.5,702.5,35.1,4.74,813.5,702.5,119.5,18.18,5053.4,4943.9,4966.7,5088.3,5150.7,5150.7,4943.9,-32.5,-0.63,5298.1,4943.9,-72.7,-1.39,5395.4,4603.8,291.6,6.00,5395.4,4277.0,907.4,21.38,,
XMJ,Materials,10235.1,10142.2,10198.6,10220.5,10251.6,10262.6,10195.1,31.1,0.30,10251.6,10142.2,-83.6,-0.81,10393.0,9751.0,347.9,3.51,10774.9,9745.3,41.9,0.41,10774.9,9745.3,1572.1,18.11,71213.3,70566.9,70958.9,71111.2,71327.8,71327.8,70566.9,-581.8,-0.81,72311.7,67832.8,2432.5,3.53,73944.4,66855.5,1286.5,1.84,73944.4,55909.5,12827.9,21.93,,
XPJ,A-REIT,1032.2,1020.8,1026.9,1030.6,1040.5,1042.4,1030.6,9.9,0.96,1040.5,1020.8,0.1,0.01,1040.5,994.7,37.3,3.72,1040.5,980.1,55.6,5.64,1040.5,980.1,-44.0,-4.06,28763.8,28447.5,28616.9,28718.9,28994.7,28994.7,28447.5,2.7,0.01,28994.7,27720.1,1046.5,3.74,28994.7,27037.3,1833.7,6.75,29914.8,26036.8,447.4,1.57,,
XTJ,Telecommunications,1763.0,1760.6,1768.1,1777.5,1788.0,1788.0,1777.5,10.5,0.59,1788.0,1760.6,12.5,0.70,1788.0,1742.7,43.8,2.51,1836.3,1741.3,-33.6,-1.84,1836.3,1741.3,137.6,8.34,21195.5,21165.9,21256.6,21370.0,21495.9,21495.9,21165.9,149.7,0.70,21495.9,20947.3,531.1,2.53,21495.9,20377.3,179.0,0.84,21495.9,17688.9,2709.2,14.42,,
XUJ,Utilities,5650.7,5597.2,5648.3,5647.5,5673.3,5686.6,5647.5,25.8,0.46,5673.3,5597.2,17.4,0.31,5673.3,5507.1,152.0,2.75,5799.6,5357.0,293.8,5.46,5799.6,5357.0,69.4,1.24,59390.2,58827.8,59365.5,59357.3,59628.1,59628.1,58827.8,182.6,0.31,59628.1,57881.4,1598.0,2.75,60239.3,55642.3,3752.3,6.72,60239.3,52194.2,3867.1,6.94,,
XMM,Metals & Mining,3328.0,3304.6,3326.7,3330.4,3337.6,3342.6,3318.8,7.2,0.22,3337.6,3304.6,-23.2,-0.69,3389.8,3142.1,139.7,4.37,3522.5,3142.1,-1.7,-0.05,3522.5,3142.1,481.0,16.84,4745.4,4712.0,4743.5,4748.8,4759.0,4759.0,4712.0,-33.1,-0.69,4833.5,4480.2,199.2,4.37,4948.8,4448.3,68.4,1.46,4948.8,3709.5,808.1,20.45,,
