Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-11-28T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 23,Nov 24,Nov 25,Nov 26,Nov 27,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5326.5,5277.0,5245.2,5259.7,5251.4,5305.8,5244.8,-8.3,-0.16,5326.5,5245.2,-54.1,-1.02,5374.4,5064.5,-133.2,-2.47,5954.8,4958.1,-137.2,-2.55,5954.8,4958.1,-46.7,-0.88,47510.9,47070.8,46793.4,46923.6,46849.3,47510.9,46793.4,-474.2,-1.00,47720.7,45164.9,-871.4,-1.83,51568.0,43929.2,802.3,1.74,51568.0,43763.4,1673.5,3.70,,
XAF,All Australian 50,5269.1,5222.6,5187.8,5206.1,5199.0,5253.4,5191.2,-7.1,-0.14,5269.1,5187.8,-49.8,-0.95,5362.6,4994.7,-177.7,-3.31,6081.0,4950.0,-299.2,-5.44,6081.0,4950.0,-202.4,-3.75,48581.0,48151.6,47840.1,48008.5,47942.9,48581.0,47840.1,-450.0,-0.93,49163.4,46046.0,-1220.5,-2.48,54222.3,45262.3,-423.5,-0.88,54222.3,45262.3,521.4,1.10,,
XAT,All Australian 200,5222.7,5173.2,5140.5,5156.5,5148.7,5203.9,5141.3,-7.8,-0.15,5222.7,5140.5,-54.0,-1.04,5283.4,4951.8,-146.4,-2.76,5926.9,4871.4,-214.4,-4.00,5926.9,4871.4,-118.1,-2.24,47669.0,47219.2,46928.1,47074.2,47002.8,47669.0,46928.1,-484.1,-1.02,47987.4,45190.0,-984.6,-2.05,52442.3,44141.5,181.9,0.39,52442.3,44141.5,1120.3,2.44,,
XTL,S&P/ASX 20,3150.6,3121.6,3100.0,3109.4,3103.9,3136.0,3098.2,-5.5,-0.18,3150.6,3100.0,-32.2,-1.03,3224.0,2981.2,-136.2,-4.20,3760.5,2963.6,-294.9,-8.68,3760.5,2963.6,-235.6,-7.05,57391.0,56864.0,56469.0,56641.2,56540.1,57391.0,56469.0,-585.7,-1.03,58393.6,54305.4,-1853.5,-3.17,65985.5,53410.1,-2215.7,-3.77,65985.5,53410.1,-1190.0,-2.06,,
XFL,S&P/ASX 50,5325.8,5278.7,5243.7,5262.2,5254.1,5310.0,5246.2,-8.1,-0.15,5325.8,5243.7,-50.9,-0.96,5419.6,5048.8,-180.3,-3.32,6152.9,5002.4,-309.3,-5.56,6152.9,5002.4,-212.7,-3.89,49018.1,48583.9,48271.0,48441.0,48366.8,49018.1,48271.0,-459.5,-0.94,49604.4,46463.1,-1237.7,-2.50,54764.7,45661.4,-483.7,-0.99,54764.7,45661.4,458.5,0.96,,
XTO,S&P/ASX 100,4385.5,4344.6,4316.0,4330.1,4322.5,4369.7,4316.3,-7.6,-0.18,4385.5,4316.0,-45.4,-1.04,4443.8,4158.6,-131.6,-2.95,4996.2,4097.0,-190.5,-4.22,4996.2,4097.0,-103.7,-2.34,12189.5,12076.4,11998.6,12038.0,12016.7,12189.5,11998.6,-123.9,-1.02,12286.8,11556.7,-270.1,-2.20,13449.8,11301.0,27.9,0.23,13449.8,11301.0,282.6,2.41,,
XJO,S&P/ASX 200,5276.4,5226.4,5193.7,5210.7,5202.6,5258.6,5195.4,-8.1,-0.16,5276.4,5193.7,-53.6,-1.02,5335.2,5003.8,-143.6,-2.69,5982.7,4918.4,-208.4,-3.85,5982.7,4918.4,-110.4,-2.08,48053.0,47598.9,47308.2,47463.2,47389.5,48053.0,47308.2,-478.8,-1.00,48345.2,45562.7,-955.7,-1.98,52822.2,44471.4,250.3,0.53,52822.2,44471.4,1201.7,2.60,,
XVI,S&P/ASX 200 VIX,17.578,17.618,17.842,17.025,16.895,17.439,16.715,-0.130,-0.76,17.842,16.895,-1.032,-5.76,22.346,16.895,-0.521,-2.99,30.244,0.171,2.314,15.87,30.244,0.171,2.279,15.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5229.0,5179.6,5147.7,5164.0,5155.8,5210.8,5148.7,-8.2,-0.16,5229.0,5147.7,-53.5,-1.03,5285.7,4963.4,-141.1,-2.66,5912.7,4873.4,-193.1,-3.61,5912.7,4873.4,-97.4,-1.85,47429.3,46982.6,46700.2,46848.2,46774.6,47429.3,46700.2,-476.5,-1.01,47714.2,45012.8,-939.6,-1.97,52008.8,43892.1,349.0,0.75,52008.8,43892.1,1277.3,2.81,,
XMD,S&P/ASX MidCap 50,5164.0,5099.0,5066.2,5074.3,5056.5,5122.1,5051.5,-17.8,-0.35,5164.0,5056.5,-83.0,-1.62,5169.4,4907.0,-13.7,-0.27,5363.8,4637.4,309.1,6.51,5363.8,4637.4,472.7,10.31,14503.8,14325.2,14233.3,14256.0,14206.4,14503.8,14206.4,-228.7,-1.58,14512.4,13772.7,0.1,0.00,14759.9,12623.2,1286.9,9.96,14759.9,12194.4,1767.5,14.21,,
