Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-12T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 7,Jan 8,Jan 9,Jan 10,Jan 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 7,Jan 8,Jan 9,Jan 10,Jan 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4738.1,4712.3,4730.1,4745.2,4733.8,4757.2,4728.4,-11.4,-0.24,4745.2,4712.3,-9.1,-0.19,4761.4,4588.0,152.5,3.33,4761.4,4712.3,69.2,1.48,4761.4,4033.4,478.4,11.24,37222.5,37020.3,37159.7,37278.2,37188.9,37278.2,37020.3,-68.8,-0.18,37403.4,35927.0,1261.9,3.51,37403.4,37020.3,546.2,1.49,37403.4,30869.4,5272.5,16.52,,
XAF,All Australian 50,4761.6,4733.5,4751.6,4767.9,4749.9,4777.5,4745.5,-18.0,-0.38,4767.9,4733.5,-18.7,-0.39,4782.5,4618.1,120.4,2.60,4782.5,4733.5,52.2,1.11,4782.5,3983.7,566.5,13.54,38278.5,38052.6,38198.1,38329.6,38184.3,38329.6,38052.6,-147.8,-0.39,38443.7,37073.1,1019.3,2.74,38443.7,38052.6,422.2,1.12,38443.7,31167.4,6193.9,19.36,,
XAT,All Australian 200,4698.7,4671.7,4689.7,4704.2,4689.9,4715.4,4684.6,-14.3,-0.30,4704.2,4671.7,-15.4,-0.33,4722.2,4556.1,131.4,2.88,4722.2,4671.7,58.6,1.27,4722.2,3973.9,499.7,11.93,37596.3,37380.5,37524.5,37640.2,37525.8,37640.2,37380.5,-120.3,-0.32,37781.2,36391.9,1115.8,3.06,37781.2,37380.5,471.4,1.27,37781.2,30947.5,5587.7,17.50,,
XTL,S&P/ASX 20,2904.2,2885.8,2896.1,2905.6,2894.5,2911.6,2891.7,-11.1,-0.38,2905.6,2885.8,-15.3,-0.53,2916.9,2817.2,72.0,2.55,2916.9,2885.8,27.9,0.97,2916.9,2396.0,367.8,14.56,45852.9,45563.7,45726.3,45874.9,45699.6,45874.9,45563.7,-241.9,-0.53,46054.0,44479.7,1136.4,2.55,46054.0,45563.7,440.3,0.97,46054.0,36842.5,7800.2,20.58,,
XFL,S&P/ASX 50,4798.4,4770.1,4787.9,4804.6,4786.7,4814.4,4782.6,-17.9,-0.37,4804.6,4770.1,-18.6,-0.39,4819.4,4652.5,121.7,2.61,4819.4,4770.1,54.1,1.14,4819.4,4010.1,576.0,13.68,38522.4,38295.2,38438.9,38572.3,38429.1,38572.3,38295.2,-146.0,-0.38,38688.4,37299.7,1029.0,2.75,38688.4,38295.2,437.4,1.15,38688.4,31334.8,6268.7,19.49,,
XTO,S&P/ASX 100,3876.8,3855.7,3870.3,3883.2,3870.8,3892.0,3866.5,-12.4,-0.32,3883.2,3855.7,-10.4,-0.27,3892.2,3757.7,105.8,2.81,3892.2,3855.7,50.1,1.31,3892.2,3260.5,443.5,12.94,9431.9,9380.5,9416.0,9447.5,9417.2,9447.5,9380.5,-24.6,-0.26,9468.7,9126.8,272.9,2.98,9468.7,9380.5,122.5,1.32,9468.7,7719.3,1479.5,18.64,,
XJO,S&P/ASX 200,4717.3,4690.3,4708.1,4723.0,4709.5,4734.6,4704.2,-13.5,-0.29,4723.0,4690.3,-14.3,-0.30,4740.7,4573.4,133.5,2.92,4740.7,4690.3,60.6,1.30,4740.7,3985.0,513.6,12.24,37683.4,37467.1,37610.0,37728.4,37620.8,37728.4,37467.1,-111.5,-0.30,37867.3,36470.6,1130.0,3.10,37867.3,37467.1,486.2,1.31,37867.3,30989.0,5681.0,17.79,,
XKO,S&P/ASX 300,4695.9,4669.1,4686.9,4702.1,4689.2,4713.8,4683.9,-12.9,-0.27,4702.1,4669.1,-13.0,-0.28,4719.3,4551.7,136.2,2.99,4719.3,4669.1,62.9,1.36,4719.3,3977.4,496.7,11.85,37397.3,37184.2,37325.6,37446.4,37344.2,37446.4,37184.2,-100.5,-0.27,37580.6,36186.0,1148.4,3.17,37580.6,37184.2,504.2,1.37,37580.6,30841.3,5512.5,17.32,,
XMD,S&P/ASX MidCap 50,3945.6,3939.3,3955.0,3964.4,3968.5,3980.9,3955.7,4.1,0.10,3968.5,3939.3,29.0,0.74,3968.5,3813.5,171.6,4.52,3968.5,3914.1,105.5,2.73,3968.5,3435.4,257.2,6.93,9978.1,9962.1,10002.1,10025.7,10036.1,10036.1,9962.1,73.3,0.74,10036.1,9560.7,475.4,4.97,10036.1,9898.6,266.7,2.73,10036.1,8495.1,1053.5,11.73,,
XSO,S&P/ASX Small Ords,2325.1,2304.9,2314.3,2318.7,2325.3,2331.9,2321.0,6.6,0.28,2325.3,2304.9,-8.4,-0.36,2363.8,2234.9,114.3,5.17,2363.8,2304.9,44.6,1.96,2526.6,2044.8,10.5,0.45,5551.2,5503.0,5525.6,5535.9,5551.8,5551.8,5503.0,-20.0,-0.36,5643.5,5266.4,285.4,5.42,5643.5,5503.0,107.0,1.96,5892.6,4798.2,198.7,3.71,,
XDJ,Consumer Discretionary,1381.1,1376.1,1378.2,1384.9,1389.9,1393.7,1385.1,5.0,0.36,1389.9,1376.1,10.9,0.79,1389.9,1320.3,76.6,5.83,1389.9,1364.5,46.1,3.43,1389.9,1195.0,175.2,14.42,9911.4,9875.6,9890.7,9939.3,9974.5,9974.5,9875.6,77.7,0.79,9974.5,9418.9,555.5,5.90,9974.5,9792.3,330.2,3.42,9974.5,8211.5,1653.1,19.87,,
XSJ,Consumer Staples,8949.2,8926.6,8970.8,9046.6,9088.1,9095.2,9036.6,41.5,0.46,9088.1,8926.6,173.5,1.95,9088.1,8723.4,204.6,2.30,9088.1,8912.8,213.7,2.41,9088.1,7241.1,1579.8,21.04,68692.3,68518.9,68858.3,69439.6,69758.2,69758.2,68518.9,1331.8,1.95,69758.2,66959.0,1569.9,2.30,69758.2,68413.1,1639.9,2.41,69758.2,52987.4,14815.4,26.97,,
XEJ,Energy,12631.7,12702.0,12641.4,12641.2,12622.1,12693.2,12606.2,-19.1,-0.15,12702.0,12622.1,-23.8,-0.19,12702.0,12286.1,417.3,3.42,12702.0,12557.5,216.1,1.74,14705.5,11554.9,-735.9,-5.51,86369.8,86850.6,86436.3,86435.2,86304.7,86850.6,86304.7,-162.7,-0.19,86850.6,83450.8,2853.9,3.42,86850.6,85862.9,1478.1,1.74,98057.5,77918.0,-2767.7,-3.11,,
XFJ,Financials,4807.7,4767.7,4794.9,4824.7,4826.5,4844.5,4822.0,1.8,0.04,4826.5,4767.7,15.2,0.32,4826.5,4681.6,112.9,2.40,4826.5,4767.7,72.8,1.53,4826.5,3913.1,826.3,20.66,45173.2,44797.5,45053.2,45333.4,45350.4,45350.4,44797.5,150.8,0.33,45350.4,43869.1,1181.2,2.67,45350.4,44797.5,691.8,1.55,45350.4,34867.4,10068.2,28.54,,
XXJ,Financial-x-A-REIT,5532.9,5485.5,5507.3,5538.6,5537.6,5563.0,5534.0,-1.0,-0.02,5538.6,5485.5,3.9,0.07,5538.6,5345.4,150.0,2.78,5538.6,5485.5,85.7,1.57,5538.6,4433.9,961.9,21.02,49876.4,49449.4,49646.2,49928.2,49919.3,49928.2,49449.4,35.8,0.07,49928.2,48186.4,1352.5,2.78,49928.2,49449.4,772.9,1.57,49928.2,38218.7,11214.5,28.97,,
XHJ,Health Care,11508.7,11476.5,11516.6,11552.0,11517.7,11567.6,11488.7,-34.3,-0.30,11552.0,11476.5,4.4,0.04,11711.7,11476.5,57.7,0.50,11632.0,11476.5,-114.9,-0.99,11711.7,7756.1,3588.1,45.25,70537.7,70340.0,70586.0,70802.9,70592.6,70802.9,70340.0,26.8,0.04,71781.9,70238.8,353.7,0.50,71293.2,70340.0,-704.5,-0.99,71781.9,46279.9,23277.5,49.20,,
XNJ,Industrials,3648.0,3618.1,3632.9,3640.9,3623.9,3652.2,3607.0,-17.0,-0.47,3648.0,3618.1,-26.9,-0.74,3660.0,3427.9,201.8,5.90,3660.0,3607.3,72.2,2.03,3815.2,3159.7,182.5,5.30,29004.3,28766.1,28884.0,28947.7,28812.2,29004.3,28766.1,-213.7,-0.74,29099.3,27059.5,1752.7,6.48,29099.3,28680.7,574.0,2.03,29446.6,24610.7,2520.2,9.59,,
XIJ,Info Technology,629.0,631.8,639.1,640.8,647.1,648.6,640.8,6.3,0.98,647.1,629.0,18.3,2.91,647.1,586.8,66.4,11.44,647.1,611.4,50.5,8.46,647.1,482.8,154.0,31.23,3996.2,4014.2,4060.5,4071.2,4111.5,4111.5,3996.2,116.2,2.91,4111.5,3689.3,422.2,11.44,4111.5,3884.8,320.8,8.46,4111.5,2950.6,1097.8,36.43,,
XMJ,Materials,10832.4,10743.9,10766.4,10734.8,10583.8,10719.3,10567.8,-151.0,-1.41,10832.4,10583.8,-293.7,-2.70,11006.3,10333.3,299.3,2.91,11006.3,10583.8,-17.1,-0.16,11833.2,8986.0,-608.5,-5.44,72156.9,71567.7,71717.2,71506.5,70500.7,72156.9,70500.7,-1956.4,-2.70,73315.0,68501.3,1999.4,2.92,73315.0,70500.7,-113.9,-0.16,76582.8,58941.4,-1934.6,-2.67,,
XPJ,A-REIT,967.6,960.8,974.8,983.6,986.7,987.7,981.9,3.1,0.32,986.7,960.8,15.3,1.58,988.5,960.8,4.5,0.46,986.7,960.8,12.9,1.32,988.5,798.0,155.8,18.75,25221.7,25044.0,25410.8,25638.8,25720.9,25720.9,25044.0,426.7,1.69,25720.9,24913.5,535.0,2.12,25720.9,25044.0,363.1,1.43,25720.9,19749.2,5344.0,26.23,,
XTJ,Telecommunications,1521.5,1524.9,1532.5,1531.2,1532.5,1544.6,1531.2,1.3,0.08,1532.5,1521.5,1.2,0.08,1532.5,1455.2,48.5,3.27,1532.5,1520.0,36.5,2.44,1532.5,1101.4,410.6,36.60,16814.0,16851.5,16934.8,16920.7,16935.7,16935.7,16814.0,13.8,0.08,16935.7,16079.1,538.3,3.28,16935.7,16796.8,403.2,2.44,16935.7,11476.1,5455.6,47.52,,
XUJ,Utilities,5233.6,5239.0,5257.8,5275.0,5253.7,5297.1,5252.4,-21.3,-0.40,5275.0,5233.6,0.2,0.00,5322.0,5172.0,103.0,2.00,5277.0,5233.6,-4.2,-0.08,5322.0,4527.2,597.5,12.83,51459.2,51512.4,51696.6,51866.3,51656.6,51866.3,51459.2,1.7,0.00,52328.3,50074.5,1582.1,3.16,51885.4,51459.2,-41.1,-0.08,52328.3,42294.1,8435.8,19.52,,
XMM,Metals & Mining,3727.5,3688.4,3693.6,3683.5,3630.4,3677.0,3622.6,-53.1,-1.44,3727.5,3630.4,-114.9,-3.07,3796.3,3553.5,100.3,2.84,3796.3,3630.4,-13.0,-0.36,4252.2,3071.9,-366.4,-9.17,5093.2,5039.9,5046.9,5033.1,4960.5,5093.2,4960.5,-157.0,-3.07,5187.3,4823.5,137.0,2.84,5187.3,4960.5,-17.8,-0.36,5661.9,4138.3,-361.3,-6.79,,
XGD,Gold,4926.3,4863.3,4844.2,4770.1,4813.2,4859.7,4773.2,43.1,0.90,4926.3,4770.1,-197.8,-3.95,5244.9,4770.1,-400.6,-7.68,5191.8,4770.1,-85.5,-1.74,7178.9,4550.0,-1797.1,-27.19,5680.9,5608.4,5586.3,5500.9,5550.6,5680.9,5500.9,-228.2,-3.95,6048.4,5500.9,-462.0,-7.68,5987.1,5500.9,-98.6,-1.74,8202.2,5214.8,-2001.6,-26.50,,
XJR,S&P/ASX 200 Res,4402.7,4374.3,4373.7,4364.1,4314.0,4360.2,4306.3,-50.1,-1.15,4402.7,4314.0,-106.0,-2.40,4470.6,4229.5,121.7,2.90,4470.6,4314.0,3.4,0.08,4925.8,3728.7,-350.4,-7.51,22513.8,22369.0,22365.5,22316.7,22060.4,22513.8,22060.4,-541.8,-2.40,22861.3,21437.8,622.6,2.90,22861.3,22060.4,17.3,0.08,24542.0,18796.9,-1179.3,-5.07,,
,
