Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-11-17T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 12,Nov 13,Nov 14,Nov 15,Nov 16,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4469.9,4404.2,4410.7,4370.6,4360.1,4372.2,4355.9,-10.5,-0.24,4469.9,4360.1,-122.4,-2.73,4593.5,4360.1,-153.8,-3.41,4593.5,4033.4,249.1,6.06,4593.5,4033.4,113.4,2.67,35024.7,34512.0,34563.1,34251.5,34178.2,35024.7,34178.2,-945.0,-2.69,35780.9,34178.2,-981.7,-2.79,35780.9,30869.4,3344.8,10.85,35780.9,30374.1,2393.3,7.53,,
XAF,All Australian 50,4491.5,4425.3,4436.4,4399.3,4383.6,4401.2,4382.2,-15.7,-0.36,4491.5,4383.6,-121.8,-2.70,4609.1,4383.6,-149.3,-3.29,4609.1,3983.7,334.5,8.26,4609.1,3962.7,232.3,5.60,36042.7,35511.9,35600.8,35303.3,35183.4,36042.7,35183.4,-971.1,-2.69,36697.7,35183.4,-907.2,-2.51,36697.7,31167.4,4219.7,13.63,36697.7,30261.5,3481.8,10.98,,
XAT,All Australian 200,4430.8,4362.8,4371.5,4332.9,4320.6,4335.7,4318.3,-12.3,-0.28,4430.8,4320.6,-124.1,-2.79,4552.1,4320.6,-152.5,-3.41,4552.1,3973.9,269.9,6.66,4552.1,3973.9,145.5,3.48,35363.8,34821.5,34890.8,34585.3,34495.2,35363.8,34495.2,-980.3,-2.76,36089.5,34495.2,-967.7,-2.73,36089.5,30947.5,3620.1,11.72,36089.5,30286.3,2734.4,8.61,,
XTL,S&P/ASX 20,2735.4,2692.7,2700.1,2676.6,2665.9,2678.0,2665.4,-10.7,-0.40,2735.4,2665.9,-75.8,-2.76,2802.2,2665.9,-91.1,-3.31,2802.2,2396.0,216.2,8.83,2802.2,2390.0,154.0,6.13,43188.2,42514.1,42630.8,42260.6,42090.9,43188.2,42090.9,-1196.5,-2.76,43819.6,42090.9,-1022.2,-2.37,43819.6,36842.5,5345.9,14.55,43819.6,35849.6,4412.5,11.71,,
XFL,S&P/ASX 50,4525.7,4458.6,4469.9,4432.1,4416.4,4433.9,4414.8,-15.7,-0.35,4525.7,4416.4,-123.6,-2.72,4646.2,4416.4,-152.4,-3.34,4646.2,4010.1,339.9,8.34,4646.2,3986.5,240.7,5.76,36269.0,35730.8,35821.8,35519.2,35398.8,36269.0,35398.8,-984.3,-2.71,36944.8,35398.8,-930.0,-2.56,36944.8,31334.8,4263.4,13.69,36944.8,30412.0,3543.7,11.12,,
XTO,S&P/ASX 100,3651.6,3597.3,3605.2,3574.0,3561.8,3575.7,3560.6,-12.2,-0.34,3651.6,3561.8,-101.6,-2.77,3751.2,3561.8,-126.1,-3.42,3751.2,3260.5,245.1,7.39,3751.2,3248.9,155.8,4.57,8862.4,8730.6,8749.7,8674.8,8647.2,8862.4,8647.2,-243.7,-2.74,9040.3,8647.2,-240.5,-2.71,9040.3,7719.3,965.6,12.57,9040.3,7511.6,772.8,9.81,,
XJO,S&P/ASX 200,4448.0,4379.8,4388.4,4349.3,4336.8,4351.8,4334.3,-12.4,-0.29,4448.0,4336.8,-125.2,-2.81,4571.1,4336.8,-154.7,-3.44,4571.1,3985.0,280.2,6.91,4571.1,3984.3,159.8,3.83,35443.8,34900.1,34968.8,34659.7,34568.7,35443.8,34568.7,-986.6,-2.77,36183.8,34568.7,-985.2,-2.77,36183.8,30989.0,3689.6,11.95,36183.8,30273.2,2835.3,8.93,,
XKO,S&P/ASX 300,4430.8,4363.3,4370.7,4331.5,4319.7,4333.6,4316.5,-11.8,-0.27,4430.8,4319.7,-124.7,-2.81,4554.9,4319.7,-155.9,-3.48,4554.9,3977.4,267.4,6.60,4554.9,3977.4,144.2,3.45,35198.3,34662.8,34721.8,34412.8,34326.6,35198.3,34326.6,-980.3,-2.78,35949.4,34326.6,-996.8,-2.82,35949.4,30841.3,3560.0,11.57,35949.4,30193.7,2686.4,8.49,,
XMD,S&P/ASX MidCap 50,3674.4,3618.7,3615.0,3577.6,3569.9,3582.5,3568.4,-7.7,-0.22,3674.4,3569.9,-119.1,-3.23,3795.3,3569.9,-154.8,-4.16,3950.9,3435.4,-9.0,-0.25,3950.9,3435.4,-184.4,-4.91,9216.3,9076.6,9068.5,8981.7,8970.1,9216.3,8970.1,-282.7,-3.06,9517.4,8970.1,-370.2,-3.96,9693.0,8495.1,307.9,3.55,9693.0,8495.1,-56.2,-0.62,,
XSO,S&P/ASX Small Ords,2237.4,2194.7,2186.0,2158.2,2169.5,2169.5,2154.1,11.3,0.52,2237.4,2158.2,-71.1,-3.17,2318.8,2158.2,-95.1,-4.20,2526.6,2044.8,-39.9,-1.80,2526.6,2044.8,-186.1,-7.90,5326.4,5224.7,5204.2,5137.9,5164.7,5326.4,5137.9,-169.3,-3.17,5517.7,5137.9,-223.8,-4.15,5892.6,4798.2,55.9,1.09,5892.6,4798.2,-261.8,-4.82,,
