Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-10-25T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 20,Oct 21,Oct 22,Oct 23,Oct 24,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5307.3,5312.5,5373.3,5369.9,5399.3,5411.6,5369.9,29.4,0.55,5399.3,5307.3,139.2,2.65,5399.3,5153.1,23.4,0.44,5656.9,5088.7,46.2,0.86,5656.9,5088.7,13.6,0.25,44989.9,45033.5,45549.4,45521.0,45769.9,45769.9,44989.9,1180.5,2.65,45769.9,43681.7,219.1,0.48,47783.6,41681.2,1924.9,4.39,47783.6,41443.6,1999.3,4.57,,
XAF,All Australian 50,5436.1,5438.1,5495.6,5495.5,5521.0,5534.9,5495.5,25.5,0.46,5521.0,5436.1,131.4,2.44,5521.0,5260.6,53.7,0.98,5751.6,5175.5,63.2,1.16,5751.6,5175.5,22.3,0.41,47383.4,47400.6,47901.5,47901.0,48123.3,48123.3,47383.4,1146.0,2.44,48123.3,45852.9,468.0,0.98,49995.8,43505.3,2244.9,4.89,49995.8,43428.7,2307.7,5.04,,
XAT,All Australian 200,5279.8,5284.9,5344.7,5342.6,5370.2,5383.5,5342.5,27.7,0.52,5370.2,5279.8,137.6,2.63,5370.2,5115.6,35.8,0.67,5617.0,5028.8,65.5,1.23,5617.0,5028.8,26.0,0.49,45702.9,45747.1,46264.7,46246.0,46485.8,46485.8,45702.9,1191.4,2.63,46485.8,44281.4,322.7,0.70,48471.7,42022.3,2158.4,4.87,48471.7,41869.0,2202.3,4.97,,
XTL,S&P/ASX 20,3366.4,3364.8,3398.1,3402.1,3419.2,3427.5,3402.1,17.1,0.50,3419.2,3364.8,83.5,2.50,3419.2,3249.0,43.9,1.30,3551.7,3184.2,40.8,1.21,3551.7,3184.2,20.1,0.59,57686.1,57658.7,58228.2,58297.3,58590.5,58590.5,57658.7,1431.4,2.50,58590.5,55673.0,752.3,1.30,60670.4,52576.0,2807.8,5.03,60670.4,52576.0,2947.1,5.30,,
XFL,S&P/ASX 50,5498.1,5499.9,5558.4,5559.3,5585.2,5599.2,5559.3,25.9,0.47,5585.2,5498.1,134.1,2.46,5585.2,5321.5,53.3,0.96,5818.9,5238.2,58.3,1.05,5818.9,5238.2,19.9,0.36,47837.0,47852.5,48361.6,48368.8,48594.5,48594.5,47837.0,1166.7,2.46,48594.5,46300.1,463.9,0.96,50484.7,43959.9,2211.6,4.77,50484.7,43886.4,2298.5,4.96,,
XTO,S&P/ASX 100,4427.9,4432.8,4482.0,4481.0,4505.7,4516.9,4481.0,24.7,0.55,4505.7,4427.9,116.2,2.65,4505.7,4289.7,40.2,0.90,4699.7,4210.6,60.5,1.36,4699.7,4210.6,39.1,0.88,11659.5,11672.5,11802.1,11799.4,11864.3,11864.3,11659.5,305.9,2.65,11864.3,11295.6,106.8,0.91,12340.3,10700.4,567.5,5.02,12340.3,10670.3,610.1,5.42,,
XJO,S&P/ASX 200,5319.4,5325.0,5385.9,5383.1,5412.2,5425.7,5383.1,29.1,0.54,5412.2,5319.4,140.5,2.66,5412.2,5155.5,36.4,0.68,5658.5,5070.3,60.0,1.12,5658.5,5070.3,25.9,0.48,45950.2,45998.5,46524.0,46500.4,46751.9,46751.9,45950.2,1213.9,2.67,46751.9,44533.8,326.3,0.70,48729.0,42284.9,2116.8,4.74,48729.0,42141.4,2203.7,4.95,,
XVI,S&P/ASX 200 VIX,16.569,15.763,14.272,14.391,13.795,14.566,13.570,-0.596,-4.14,16.569,13.795,-4.214,-23.40,19.164,13.795,-1.067,-7.18,19.164,0.147,2.233,19.31,19.164,0.147,2.019,17.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5261.6,5267.1,5326.9,5324.2,5352.8,5365.8,5324.2,28.6,0.54,5352.8,5261.6,138.1,2.65,5352.8,5102.5,30.9,0.58,5601.5,5027.6,48.0,0.90,5601.5,5027.6,11.4,0.21,45285.4,45333.0,45847.2,45824.3,46070.7,46070.7,45285.4,1189.0,2.65,46070.7,43915.8,279.9,0.61,48058.9,41785.8,1981.9,4.50,48058.9,41624.4,2040.2,4.63,,
XMD,S&P/ASX MidCap 50,4380.9,4416.4,4483.2,4467.4,4524.6,4535.4,4467.4,57.2,1.28,4524.6,4380.9,186.0,4.29,4524.6,4279.7,15.7,0.35,4774.6,4099.4,175.1,4.03,4774.6,4099.4,234.1,5.46,11852.6,11948.6,12129.2,12086.7,12241.1,12241.1,11852.6,503.0,4.29,12241.1,11578.7,52.9,0.43,12861.6,10758.1,826.7,7.24,12861.6,10621.3,1053.7,9.42,,
