Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-09T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 4,Aug 5,Aug 6,Aug 7,Aug 8,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 4,Aug 5,Aug 6,Aug 7,Aug 8,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5533.3,5511.5,5504.0,5500.7,5429.6,5500.7,5419.7,-71.1,-1.29,5533.3,5429.6,-118.0,-2.13,5623.1,5429.6,-68.9,-1.25,5623.1,5088.7,76.5,1.43,5623.1,5088.7,390.8,7.76,46292.2,46110.6,46048.0,46019.9,45425.3,46292.2,45425.3,-987.0,-2.13,47043.7,45425.3,-573.7,-1.25,47043.7,41681.2,1580.3,3.60,47043.7,40844.7,5015.0,12.41,,
XAF,All Australian 50,5644.3,5621.0,5614.5,5610.4,5535.1,5610.4,5525.1,-75.3,-1.34,5644.3,5535.1,-126.0,-2.23,5738.1,5535.1,-77.1,-1.37,5738.1,5175.5,77.3,1.42,5738.1,5175.5,368.0,7.12,48541.1,48340.4,48284.8,48249.4,47601.8,48541.1,47601.8,-1083.3,-2.23,49347.7,47601.8,-663.4,-1.37,49347.7,43505.3,1723.4,3.76,49347.7,42750.9,5132.6,12.09,,
XAT,All Australian 200,5500.4,5478.0,5471.5,5468.0,5395.8,5468.0,5385.8,-72.2,-1.32,5500.4,5395.8,-119.7,-2.17,5590.9,5395.8,-73.0,-1.33,5590.9,5028.8,91.1,1.72,5590.9,5028.8,384.6,7.68,46983.0,46791.8,46736.2,46706.1,46089.9,46983.0,46089.9,-1022.0,-2.17,47756.3,46089.9,-621.9,-1.33,47756.3,42022.3,1762.5,3.98,47756.3,41385.8,5122.8,12.50,,
XTL,S&P/ASX 20,3490.6,3475.7,3471.2,3466.4,3418.2,3466.4,3412.2,-48.2,-1.39,3490.6,3418.2,-83.9,-2.40,3548.8,3418.2,-49.1,-1.42,3548.8,3184.2,39.8,1.18,3548.8,3184.2,224.4,7.02,58960.8,58708.6,58632.8,58551.9,57737.2,58960.8,57737.2,-1418.3,-2.40,59943.9,57737.2,-830.4,-1.42,59943.9,52576.0,1954.5,3.50,59943.9,51862.9,6176.8,11.98,,
XFL,S&P/ASX 50,5709.4,5684.5,5677.2,5673.9,5597.5,5673.9,5587.3,-76.4,-1.35,5709.4,5597.5,-128.9,-2.25,5804.7,5597.5,-78.9,-1.39,5804.7,5238.2,70.6,1.28,5804.7,5238.2,366.3,7.00,49013.9,48799.5,48737.4,48708.8,48053.1,49013.9,48053.1,-1105.9,-2.25,49831.4,48053.1,-677.5,-1.39,49831.4,43959.9,1670.2,3.60,49831.4,43204.7,5121.1,11.93,,
XTO,S&P/ASX 100,4608.7,4590.2,4585.6,4582.1,4520.1,4582.1,4511.8,-62.0,-1.35,4608.7,4520.1,-100.8,-2.18,4684.7,4520.1,-62.0,-1.35,4684.7,4210.6,74.9,1.68,4684.7,4210.6,326.1,7.77,11975.4,11927.2,11915.3,11906.3,11745.1,11975.4,11745.1,-262.1,-2.18,12172.9,11745.1,-161.3,-1.35,12172.9,10700.4,448.3,3.97,12172.9,10510.0,1318.3,12.64,,
XJO,S&P/ASX 200,5540.9,5518.6,5512.0,5509.0,5435.3,5509.0,5425.2,-73.7,-1.34,5540.9,5435.3,-121.1,-2.18,5632.9,5435.3,-75.6,-1.37,5632.9,5070.3,83.1,1.55,5632.9,5070.3,380.1,7.52,47231.6,47041.4,46985.4,46959.9,46331.7,47231.6,46331.7,-1032.0,-2.18,48015.8,46331.7,-643.2,-1.37,48015.8,42284.9,1696.6,3.80,48015.8,41658.3,5078.4,12.31,,
XVI,S&P/ASX 200 VIX,12.507,12.330,12.479,12.446,15.123,15.150,12.631,2.677,21.51,15.123,12.330,2.739,22.12,15.123,9.309,4.616,43.93,18.372,0.147,3.561,30.80,18.372,0.147,1.533,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5484.6,5462.4,5455.8,5453.4,5381.9,5453.4,5371.9,-71.5,-1.31,5484.6,5381.9,-117.5,-2.14,5575.1,5381.9,-72.6,-1.33,5575.1,5027.6,77.1,1.45,5575.1,5027.6,369.9,7.38,46583.8,46395.7,46339.2,46318.5,45711.7,46583.8,45711.7,-998.2,-2.14,47352.0,45711.7,-615.3,-1.33,47352.0,41785.8,1622.9,3.68,47352.0,41179.0,4944.5,12.13,,
XMD,S&P/ASX MidCap 50,4652.1,4647.6,4653.9,4643.5,4577.6,4643.5,4567.8,-65.9,-1.42,4653.9,4577.6,-74.2,-1.60,4721.2,4542.0,-48.3,-1.04,4721.2,4099.4,228.1,5.24,4721.2,4099.4,586.9,14.71,12433.1,12421.0,12437.9,12410.0,12233.9,12437.9,12233.9,-198.4,-1.60,12617.7,12139.0,-129.1,-1.04,12617.7,10758.1,819.5,7.18,12617.7,10413.9,1954.7,19.02,,
